                  复星医药 (600196)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	  AMO.AMO   	  AMO.MAAMO1	  AMO.MAAMO2	  AMO.MAAMO3	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2013/07/16	   10.99	   11.08	   10.80	   11.05	       10793303	           	           	           	           	123569696.00	           	           	           	       0.00	       0.00	       0.00	
 2013/07/17	   11.01	   11.07	   10.66	   10.70	        9954969	           	           	           	           	112925200.00	           	           	           	      -0.03	      -0.01	      -0.04	
 2013/07/18	   10.62	   10.97	   10.62	   10.85	       10520905	           	           	           	           	118688504.00	           	           	           	      -0.04	      -0.01	      -0.05	
 2013/07/19	   10.85	   10.95	   10.43	   10.51	        9064579	           	           	           	           	101144976.00	           	           	           	      -0.07	      -0.02	      -0.10	
 2013/07/22	   10.42	   10.64	   10.33	   10.62	       10625383	      10.75	           	           	           	117372800.00	           	           	           	      -0.09	      -0.04	      -0.10	
 2013/07/23	   10.60	   10.87	   10.60	   10.83	       12269837	      10.70	           	           	           	137992640.00	118615640.00	           	           	      -0.08	      -0.05	      -0.08	
 2013/07/24	   10.82	   11.00	   10.72	   10.92	       11386371	      10.75	           	           	           	129243816.00	119561320.00	           	           	      -0.07	      -0.05	      -0.04	
 2013/07/25	   10.94	   11.05	   10.69	   10.71	        9461020	      10.72	           	           	           	106766760.00	118534912.00	           	           	      -0.08	      -0.06	      -0.05	
 2013/07/26	   10.97	   11.25	   10.82	   11.13	       22322380	      10.84	           	           	           	257222688.00	141623952.00	           	           	      -0.05	      -0.06	       0.01	
 2013/07/29	   11.02	   11.33	   10.90	   11.15	       16662466	      10.95	      10.85	           	           	194446160.00	157174128.00	           	           	      -0.03	      -0.05	       0.05	
 2013/07/30	   11.15	   11.22	   10.86	   10.92	       12855914	      10.97	      10.83	           	           	147838032.00	162251680.00	           	           	      -0.02	      -0.05	       0.04	
 2013/07/31	   10.95	   11.12	   10.88	   10.95	        8113245	      10.97	      10.86	           	           	92924944.00	154740400.00	136678016.00	           	      -0.02	      -0.04	       0.04	
 2013/08/01	   10.94	   11.26	   10.94	   11.20	       14617613	      11.07	      10.89	           	           	169661232.00	161476656.00	140518976.00	           	       0.00	      -0.03	       0.07	
 2013/08/02	   11.24	   11.30	   11.05	   11.08	       12557970	      11.06	      10.95	           	           	146112368.00	168034224.00	143284576.00	           	       0.01	      -0.02	       0.07	
 2013/08/05	   11.13	   11.50	   11.04	   11.47	       18672562	      11.12	      11.04	           	           	220596624.00	161929872.00	151776912.00	           	       0.05	      -0.01	       0.11	
 2013/08/06	   11.41	   11.78	   11.38	   11.69	       29310046	      11.28	      11.12	           	           	355476480.00	188768272.00	172971200.00	           	       0.10	       0.01	       0.17	
 2013/08/07	   11.68	   11.78	   11.44	   11.46	       14960658	      11.38	      11.18	           	           	180163344.00	194155824.00	178203744.00	           	       0.11	       0.03	       0.16	
 2013/08/08	   11.44	   11.73	   11.38	   11.63	       13551912	      11.47	      11.27	           	           	163731152.00	205956864.00	180348624.00	           	       0.14	       0.05	       0.17	
 2013/08/09	   11.67	   11.79	   11.40	   11.64	       12260939	      11.58	      11.32	           	           	148443136.00	202420496.00	181948576.00	           	       0.16	       0.07	       0.17	
 2013/08/12	   11.67	   11.89	   11.57	   11.70	       17701964	      11.62	      11.37	      11.11	           	216328800.00	214123280.00	191078752.00	           	       0.18	       0.09	       0.16	
 2013/08/13	   11.72	   11.75	   11.53	   11.60	       11091535	      11.61	      11.44	      11.14	           	133913040.00	199675984.00	180802928.00	           	       0.18	       0.11	       0.14	
 2013/08/14	   11.60	   11.78	   11.56	   11.62	        9580221	      11.64	      11.51	      11.18	           	116121704.00	159783552.00	174275920.00	           	       0.18	       0.13	       0.11	
 2013/08/15	   11.67	   11.67	   11.13	   11.17	       19875784	      11.55	      11.51	      11.20	           	234456896.00	168832464.00	181494144.00	           	       0.15	       0.13	       0.03	
 2013/08/16	   11.02	   11.80	   10.68	   10.72	       30662196	      11.36	      11.47	      11.21	           	348873504.00	199689520.00	202823184.00	169750608.00	       0.08	       0.12	      -0.08	
 2013/08/19	   10.65	   10.92	   10.65	   10.87	       12904996	      11.20	      11.41	      11.22	           	142977952.00	198778672.00	200599584.00	170559280.00	       0.04	       0.10	      -0.13	
 2013/08/20	   10.83	   10.94	   10.65	   10.70	       11891805	      11.02	      11.31	      11.22	           	131667744.00	184668464.00	199395872.00	171340224.00	      -0.01	       0.08	      -0.17	
 2013/08/21	   10.78	   10.87	   10.67	   10.84	        7333907	      10.86	      11.25	      11.21	           	81162456.00	175876688.00	187776336.00	169776624.00	      -0.03	       0.06	      -0.18	
 2013/08/22	   10.81	   11.07	   10.78	   11.03	       10848460	      10.83	      11.19	      11.23	           	121768968.00	176817872.00	168300720.00	170635968.00	      -0.03	       0.04	      -0.15	
 2013/08/23	   11.07	   11.12	   10.75	   10.98	       10096446	      10.88	      11.12	      11.22	           	113235784.00	156614400.00	162723440.00	170463584.00	      -0.04	       0.03	      -0.13	
 2013/08/26	   10.94	   11.20	   10.94	   11.15	       14953024	      10.94	      11.07	      11.22	           	169812288.00	126770904.00	163230208.00	171789424.00	      -0.03	       0.01	      -0.09	
 2013/08/27	   11.24	   11.45	   11.22	   11.30	       17135440	      11.06	      11.04	      11.24	           	198338080.00	135997568.00	167388112.00	174668352.00	      -0.01	       0.01	      -0.04	
 2013/08/28	   11.23	   11.53	   11.18	   11.38	       22109992	      11.17	      11.01	      11.26	           	257095168.00	156902144.00	170785296.00	180932032.00	       0.01	       0.01	       0.00	
 2013/08/29	   11.48	   11.55	   11.06	   11.16	       16523516	      11.19	      11.01	      11.26	           	190541008.00	175131904.00	175504304.00	178153616.00	       0.01	       0.01	       0.00	
 2013/08/30	   11.16	   11.50	   11.06	   11.28	       18492752	      11.25	      11.07	      11.27	           	214153360.00	190529280.00	183673584.00	178974752.00	       0.02	       0.01	       0.01	
 2013/09/02	   11.33	   11.47	   11.18	   11.38	       14545694	      11.30	      11.12	      11.27	           	169081584.00	199836928.00	178225664.00	179859904.00	       0.03	       0.02	       0.04	
 2013/09/03	   11.43	   11.46	   11.25	   11.40	       13251050	      11.32	      11.19	      11.25	           	154011120.00	197203376.00	161987136.00	182405168.00	       0.05	       0.02	       0.05	
 2013/09/04	   11.42	   11.43	   11.15	   11.19	       15747248	      11.28	      11.23	      11.24	           	181258480.00	194356736.00	165177152.00	182888368.00	       0.04	       0.02	       0.03	
 2013/09/05	   11.19	   11.20	   11.02	   11.10	       10440333	      11.27	      11.23	      11.21	           	118665008.00	171285072.00	164093616.00	181744736.00	       0.03	       0.02	       0.00	
 2013/09/06	   11.10	   11.26	   11.05	   11.21	       10767783	      11.26	      11.26	      11.19	           	123342168.00	160085328.00	167608624.00	177692480.00	       0.02	       0.02	      -0.00	
 2013/09/09	   11.18	   11.35	   11.11	   11.34	       21679016	      11.25	      11.27	      11.17	           	250027968.00	166064384.00	178296832.00	173298768.00	       0.03	       0.03	       0.01	
 2013/09/10	   11.34	   11.74	   11.28	   11.72	       36228376	      11.31	      11.32	      11.18	           	427393824.00	209116416.00	204476672.00	183600048.00	       0.07	       0.03	       0.07	
 2013/09/11	   11.81	   11.83	   11.50	   11.57	       27430936	      11.39	      11.34	      11.17	           	325724736.00	237735344.00	217469360.00	190349776.00	       0.08	       0.04	       0.08	
 2013/09/12	   11.56	   12.11	   11.47	   11.92	       45523344	      11.55	      11.41	      11.21	           	554192320.00	299891040.00	247123888.00	207256000.00	       0.12	       0.06	       0.13	
 2013/09/13	   11.88	   12.02	   11.75	   11.87	       22490366	      11.68	      11.47	      11.27	           	273205280.00	325647712.00	248466384.00	209625840.00	       0.15	       0.08	       0.14	
 2013/09/16	   11.98	   12.03	   11.72	   11.78	       16980488	      11.77	      11.51	      11.31	           	206335728.00	339479968.00	249782656.00	212643472.00	       0.16	       0.09	       0.13	
 2013/09/17	   11.78	   11.84	   11.50	   11.52	       21862652	      11.73	      11.52	      11.36	           	260346528.00	341199776.00	253632080.00	218652832.00	       0.15	       0.11	       0.08	
 2013/09/18	   11.52	   11.85	   11.52	   11.62	       12991428	      11.74	      11.56	      11.39	           	155320480.00	295854176.00	252485296.00	215355472.00	       0.14	       0.11	       0.06	
 2013/09/23	   11.66	   12.03	   11.63	   11.97	       20894076	      11.75	      11.65	      11.44	           	253348176.00	283791360.00	260763344.00	211375248.00	       0.16	       0.12	       0.08	
 2013/09/24	   11.96	   12.21	   11.68	   12.07	       28409708	      11.79	      11.74	      11.50	           	347491968.00	249341360.00	274616192.00	219896672.00	       0.19	       0.14	       0.11	
 2013/09/25	   12.03	   13.30	   12.03	   12.90	       71189192	      12.02	      11.89	      11.58	           	928617344.00	358576736.00	342112224.00	253102912.00	       0.27	       0.16	       0.22	
 2013/09/26	   12.83	   13.22	   12.64	   12.95	       47560440	      12.30	      12.02	      11.67	           	628630208.00	428959136.00	384219552.00	275914080.00	       0.34	       0.20	       0.28	
 2013/09/27	   13.02	   13.75	   13.02	   13.51	       63393568	      12.68	      12.21	      11.77	           	873464768.00	531145568.00	436172672.00	307234752.00	       0.43	       0.24	       0.37	
 2013/09/30	   13.66	   13.89	   13.38	   13.62	       37410512	      13.01	      12.38	      11.90	           	520048704.00	591933632.00	443893888.00	324185280.00	       0.51	       0.30	       0.42	
 2013/10/08	   13.78	   13.86	   13.23	   13.39	       34629552	      13.27	      12.53	      12.00	           	476093056.00	629057728.00	456424544.00	336946944.00	       0.54	       0.35	       0.39	
 2013/10/09	   13.23	   13.43	   13.05	   13.27	       29309834	      13.35	      12.68	      12.10	           	395423616.00	637046272.00	443193824.00	345158848.00	       0.55	       0.39	       0.33	
 2013/10/10	   13.73	   14.62	   13.73	   14.54	       85793648	      13.67	      12.98	      12.25	           	1253999744.00	691276608.00	524926688.00	386696544.00	       0.66	       0.44	       0.43	
 2013/10/11	   14.45	   15.66	   14.37	   15.28	       77123184	      14.02	      13.35	      12.46	           	1173596288.00	782104256.00	605531712.00	427657184.00	       0.79	       0.51	       0.56	
 2013/10/14	   15.31	   15.99	   15.02	   15.10	       58328004	      14.32	      13.66	      12.66	           	919649984.00	789801792.00	660473664.00	457052896.00	       0.87	       0.58	       0.58	
 2013/10/15	   16.27	   16.64	   16.27	   16.64	       61859020	      14.97	      14.12	      12.93	           	1043477888.00	877039936.00	734486784.00	493486048.00	       1.05	       0.68	       0.74	
 2013/10/16	   17.08	   17.48	   16.00	   16.63	      118052760	      15.64	      14.49	      13.19	      11.82	2010192896.00	1132723584.00	880890624.00	570827008.00	       1.17	       0.78	       0.80	
 2013/10/17	   16.70	   16.98	   15.94	   16.06	       55100288	      15.94	      14.80	      13.41	      11.91	912918400.00	1218972672.00	928009472.00	601312832.00	       1.21	       0.86	       0.70	
 2013/10/18	   15.93	   17.69	   15.83	   17.69	       74792568	      16.42	      15.22	      13.72	      12.02	1282459776.00	1223715968.00	957496320.00	649804288.00	       1.36	       0.96	       0.80	
 2013/10/21	   18.53	   19.49	   17.84	   19.49	       57323744	      17.30	      15.81	      14.09	      12.17	1120351744.00	1214841728.00	998472960.00	691346240.00	       1.60	       1.09	       1.03	
 2013/10/22	   20.18	   20.61	   18.84	   19.31	       89226768	      17.84	      16.40	      14.47	      12.32	1787403136.00	1359467392.00	1074634624.00	755403648.00	       1.76	       1.23	       1.07	
