600000 浦发银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.01	7.05	6.90	6.91	32428434	274365568.00
2011/10/11	7.27	7.27	6.97	7.06	59130344	511050464.00
2011/10/12	7.03	7.41	6.98	7.34	89412222	787072832.00
2011/10/13	7.31	7.43	7.25	7.36	51298778	453963296.00
2011/10/14	7.33	7.37	7.22	7.32	40504198	356399904.00
2011/10/17	7.33	7.54	7.31	7.41	46009758	410848352.00
2011/10/18	7.34	7.39	7.24	7.27	41115344	362177728.00
2011/10/19	7.27	7.41	7.24	7.33	36188377	319545728.00
2011/10/20	7.26	7.35	7.13	7.22	50658455	443175232.00
2011/10/21	7.24	7.46	7.19	7.38	59306969	526976704.00
2011/10/24	7.40	7.70	7.36	7.65	94932084	864185472.00
2011/10/25	7.67	7.74	7.57	7.65	66314936	608223040.00
2011/10/26	7.62	7.79	7.54	7.67	68454846	631301568.00
2011/10/27	7.75	7.84	7.70	7.75	45585827	422360448.00
2011/10/28	7.89	8.04	7.75	7.87	82502754	775731712.00
2011/10/31	7.84	7.84	7.65	7.70	50778832	468747744.00
2011/11/01	7.64	7.83	7.60	7.67	57198902	527513056.00
2011/11/02	7.57	7.86	7.53	7.85	59397848	546059776.00
2011/11/03	7.87	7.88	7.71	7.73	84349601	785658944.00
2011/11/04	7.84	7.85	7.72	7.80	42565042	395922336.00
2011/11/07	7.74	7.77	7.65	7.67	32870037	302777632.00
2011/11/08	7.73	7.79	7.63	7.70	31693301	291603584.00
2011/11/09	7.73	7.78	7.67	7.76	27951632	257975136.00
2011/11/10	7.69	7.74	7.53	7.54	46636157	426657152.00
2011/11/11	7.55	7.66	7.54	7.57	25261827	230005504.00
2011/11/14	7.67	7.76	7.62	7.70	42296963	389371104.00
2011/11/15	7.69	7.71	7.62	7.67	30013432	275179264.00
2011/11/16	7.67	7.67	7.36	7.41	64028631	576115136.00
2011/11/17	7.43	7.46	7.33	7.35	32007465	284590464.00
2011/11/18	7.29	7.38	7.25	7.29	36819930	324198784.00
2011/11/21	7.33	7.34	7.16	7.23	32355327	281903840.00
2011/11/22	7.19	7.30	7.17	7.24	30669913	268099632.00
2011/11/23	7.25	7.26	7.11	7.18	26370231	228822400.00
2011/11/24	7.11	7.25	7.09	7.19	24460075	212634672.00
2011/11/25	7.19	7.21	7.09	7.11	21366538	184856608.00
2011/11/28	7.12	7.17	7.06	7.09	23967739	206431568.00
2011/11/29	7.15	7.23	7.11	7.22	25960610	225388352.00
2011/11/30	7.18	7.22	6.96	6.99	44971839	384658400.00
2011/12/01	7.23	7.44	7.22	7.30	89049077	787219136.00
2011/12/02	7.27	7.34	7.20	7.29	38638133	339557376.00
2011/12/05	7.33	7.40	7.12	7.29	40188321	354439392.00
2011/12/06	7.25	7.33	7.19	7.22	26440305	232129312.00
2011/12/07	7.23	7.32	7.19	7.27	23350899	204935328.00
2011/12/08	7.27	7.32	7.17	7.27	21909676	191759968.00
2011/12/09	7.22	7.27	7.13	7.19	29514000	257109792.00
2011/12/12	7.17	7.23	7.13	7.15	23035328	200109776.00
2011/12/13	7.13	7.21	7.05	7.07	47600711	412160768.00
2011/12/14	7.06	7.14	7.03	7.09	27334982	235202160.00
2011/12/15	7.05	7.11	6.97	6.98	41518789	354799712.00
2011/12/16	7.00	7.14	6.98	7.11	37730295	322463296.00
2011/12/19	7.06	7.13	6.86	7.10	45264959	384672672.00
2011/12/20	7.07	7.24	7.05	7.08	38376971	331731072.00
2011/12/21	7.15	7.21	6.99	7.02	41637650	359681312.00
2011/12/22	6.98	7.08	6.94	7.02	42682705	363453856.00
2011/12/23	7.03	7.10	6.98	7.03	23263186	198890336.00
2011/12/26	7.01	7.05	6.91	6.96	31788769	269877056.00
2011/12/27	6.96	7.02	6.89	6.93	31075676	262876944.00
2011/12/28	6.92	6.95	6.74	6.87	42011046	351109632.00
2011/12/29	6.84	6.87	6.78	6.84	40055045	333839360.00
2011/12/30	6.88	7.00	6.87	6.98	52982530	448339744.00
2012/01/04	7.03	7.05	6.88	6.90	34201379	290229536.00
2012/01/05	6.96	7.31	6.96	7.14	132116203	1144753024.00
2012/01/06	7.12	7.27	7.11	7.20	61778687	537043776.00
2012/01/09	7.21	7.48	7.17	7.44	80136249	711429632.00
2012/01/10	7.44	7.59	7.37	7.56	72004632	647206656.00
2012/01/11	7.54	7.59	7.47	7.49	49261157	444366560.00
2012/01/12	7.49	7.70	7.48	7.58	60486981	551261440.00
2012/01/13	7.60	7.67	7.46	7.53	56725332	514638080.00
2012/01/16	7.49	7.61	7.45	7.46	33100160	299225056.00
2012/01/17	7.49	7.75	7.28	7.69	97357263	876457408.00
2012/01/18	7.65	7.72	7.49	7.53	58089289	529288096.00
2012/01/19	7.54	7.71	7.51	7.69	68645571	628781824.00
2012/01/20	7.74	7.92	7.66	7.91	95052703	883450368.00
2012/01/30	7.89	7.90	7.69	7.71	71883155	668276672.00
2012/01/31	7.73	7.77	7.65	7.71	35464104	326763264.00
2012/02/01	7.69	7.75	7.54	7.57	39647888	362716576.00
2012/02/02	7.61	7.91	7.57	7.89	87973331	816297536.00
2012/02/03	7.84	7.99	7.81	7.93	97135312	914988416.00
2012/02/06	7.95	8.00	7.78	7.88	63691281	599080960.00
2012/02/07	7.81	7.85	7.67	7.73	51391402	475945760.00
2012/02/08	7.72	7.97	7.72	7.94	64270717	602796544.00
2012/02/09	7.94	7.97	7.85	7.89	50273854	473358240.00
2012/02/10	7.85	7.97	7.81	7.86	51836488	487049472.00
2012/02/13	7.74	7.86	7.67	7.76	49204966	456411680.00
2012/02/14	7.73	7.77	7.62	7.68	53024869	487049248.00
2012/02/15	7.65	7.78	7.63	7.72	55064760	507511360.00
2012/02/16	7.74	7.77	7.63	7.68	47501799	437494048.00
2012/02/17	7.74	7.80	7.69	7.75	41743292	386595872.00
2012/02/20	7.90	7.90	7.74	7.75	57740009	539245888.00
2012/02/21	7.76	7.80	7.69	7.77	42757386	395923936.00
2012/02/22	7.77	7.85	7.69	7.81	81447790	755732416.00
2012/02/23	7.81	7.89	7.77	7.82	87754888	818404864.00
2012/02/24	7.84	8.02	7.80	8.00	128341832	1207795584.00
2012/02/27	8.06	8.11	7.94	7.97	126664015	1206459776.00
2012/02/28	7.97	8.19	7.95	8.15	136121116	1308533888.00
2012/02/29	8.16	8.16	8.00	8.03	77757837	745267136.00
2012/03/01	7.99	8.08	7.98	8.04	46237868	441399328.00
2012/03/02	8.04	8.19	8.03	8.18	74013187	711842944.00
2012/03/05	8.23	8.24	8.07	8.07	66098035	638459392.00
2012/03/06	8.02	8.10	7.90	7.93	68450355	650629568.00
2012/03/07	7.88	7.93	7.82	7.83	51077237	479615296.00
2012/03/08	7.88	7.99	7.86	7.95	54828552	517039328.00
2012/03/09	7.96	8.00	7.91	7.96	47510501	449318752.00
2012/03/12	7.93	7.94	7.82	7.87	52784386	494779968.00
2012/03/13	7.88	8.02	7.84	7.96	61430150	582028864.00
2012/03/14	8.02	8.10	7.81	7.85	99280321	940852480.00
2012/03/15	7.85	7.94	7.65	7.68	70673894	661561280.00
2012/03/16	7.74	7.83	7.69	7.74	72584563	672304000.00
2012/03/19	7.75	7.81	7.73	7.77	50228036	466395776.00
2012/03/20	7.74	7.75	7.61	7.61	62725576	575220544.00
2012/03/21	7.67	7.68	7.51	7.57	51867060	471579968.00
2012/03/22	7.58	7.70	7.52	7.61	38651197	352251200.00
2012/03/23	7.59	7.61	7.51	7.55	35268448	319927040.00
2012/03/26	7.54	7.66	7.54	7.62	33692849	306941856.00
2012/03/27	7.64	7.66	7.57	7.61	27294640	249025232.00
2012/03/28	7.61	7.63	7.42	7.46	43565307	394701408.00
2012/03/29	7.43	7.49	7.34	7.36	48391415	432068896.00
2012/03/30	7.41	7.46	7.37	7.42	50587012	451335936.00
2012/04/05	7.39	7.44	7.30	7.42	76352001	677374528.00
2012/04/06	7.42	7.45	7.33	7.43	56682481	504458944.00
2012/04/09	7.38	7.43	7.32	7.33	34889828	309720480.00
2012/04/10	7.35	7.42	7.27	7.41	45147000	399088192.00
2012/04/11	7.36	7.44	7.34	7.38	39397074	350489728.00
2012/04/12	7.38	7.63	7.36	7.61	64571634	581979200.00
2012/04/13	7.60	7.64	7.51	7.63	61175666	556243008.00
2012/04/16	7.57	7.61	7.53	7.55	38614798	350463008.00
2012/04/17	7.55	7.58	7.42	7.42	49466011	444391616.00
2012/04/18	7.42	7.63	7.41	7.61	67117990	607091648.00
2012/04/19	7.59	7.65	7.55	7.61	48488000	441712576.00
2012/04/20	7.59	7.81	7.58	7.80	77240835	714085568.00
2012/04/23	7.76	7.82	7.70	7.73	41839068	387763904.00
2012/04/24	7.72	8.04	7.71	7.87	113165453	1065629952.00
2012/04/25	7.83	7.93	7.82	7.84	66489024	623235392.00
2012/04/26	7.91	7.95	7.79	7.86	53826936	503917248.00
2012/04/27	7.88	7.94	7.84	7.90	47114993	443152192.00
2012/05/02	7.97	8.08	7.90	8.05	107696972	1023491904.00
2012/05/03	8.00	8.04	7.91	7.95	60560075	574341312.00
2012/05/04	7.96	7.99	7.88	7.98	71659892	677231232.00
2012/05/07	7.92	7.97	7.83	7.91	82225733	773477056.00
2012/05/08	7.90	7.91	7.77	7.85	86721348	810233984.00
2012/05/09	7.79	7.80	7.67	7.69	65066893	600930048.00
2012/05/10	7.70	7.73	7.60	7.65	67576254	619397952.00
2012/05/11	7.65	7.72	7.61	7.65	35532729	325856896.00
2012/05/14	7.70	7.72	7.55	7.57	70896633	648414464.00
2012/05/15	7.49	7.54	7.47	7.53	60429994	544604544.00
2012/05/16	7.52	7.52	7.38	7.40	75535741	676147520.00
2012/05/17	7.42	7.51	7.39	7.46	43092663	386025728.00
2012/05/18	7.41	7.41	7.31	7.35	61950167	549225600.00
2012/05/21	7.35	7.40	7.32	7.36	46679612	413635872.00
2012/05/22	7.39	7.46	7.37	7.45	67549651	602839680.00
2012/05/23	7.44	7.45	7.34	7.38	61979794	552097472.00
2012/05/24	7.37	7.43	7.30	7.34	49757216	441704160.00
2012/05/25	7.34	7.35	7.26	7.28	45887776	404197696.00
2012/05/28	7.29	7.37	7.26	7.36	52347656	461949312.00
2012/05/29	7.35	7.47	7.31	7.44	93478648	831085312.00
2012/05/30	7.41	7.42	7.28	7.31	88036486	779244032.00
2012/05/31	7.28	7.29	7.24	7.26	67011196	587833152.00
2012/06/01	7.27	7.33	7.24	7.27	42401677	372673952.00
2012/06/04	7.20	7.20	7.07	7.08	69367973	599453504.00
2012/06/05	7.11	7.13	7.04	7.05	69666907	598110592.00
2012/06/06	7.08	7.17	7.04	7.11	49918846	429065888.00
2012/06/07	7.17	7.19	7.02	7.05	48026408	413324672.00
2012/06/08	7.00	7.02	6.80	6.83	140389731	1176530432.00
2012/06/11	6.85	6.87	6.80	6.83	71644862	597652544.00
2012/06/12	6.80	6.84	6.68	6.78	82431224	680814848.00
2012/06/14	6.79	6.83	6.74	6.76	80017463	664166656.00
2012/06/15	6.80	7.02	6.78	6.96	134216053	1129580288.00
2012/06/18	6.96	6.97	6.91	6.95	50212960	424346816.00
2012/06/19	6.96	7.03	6.92	6.98	47008304	398791968.00
2012/06/20	7.03	7.10	6.97	6.99	50000107	427039904.00
2012/06/21	7.00	7.00	6.89	6.93	39423884	332932096.00
2012/06/25	6.91	6.97	6.83	6.84	52706596	443526592.00
2012/06/26	6.86	6.91	6.82	6.85	39982538	323089664.00
2012/06/27	6.85	6.88	6.82	6.84	26966055	217422016.00
2012/06/28	6.84	6.86	6.80	6.80	28876449	232014032.00
2012/06/29	6.83	6.95	6.81	6.92	50974236	412653792.00
2012/07/02	6.94	6.94	6.84	6.88	43691987	353033248.00
2012/07/03	6.88	6.94	6.86	6.88	40080965	324895968.00
2012/07/04	6.89	6.97	6.87	6.91	39552477	321375936.00
