600009 上海机场 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.51	10.63	10.47	10.61	3718863	43926304.00
2011/10/11	10.81	10.90	10.63	10.68	4802981	57967128.00
2011/10/12	10.64	11.26	10.60	11.18	7791724	95846504.00
2011/10/13	11.08	11.48	11.08	11.28	6437147	80870856.00
2011/10/14	11.24	11.32	11.08	11.18	2301708	28629786.00
2011/10/17	11.23	11.48	11.23	11.33	3532687	44725320.00
2011/10/18	11.26	11.43	11.24	11.34	5914736	74550744.00
2011/10/19	11.34	11.53	11.25	11.45	4951507	62920556.00
2011/10/20	11.38	11.46	11.03	11.24	6698672	83811664.00
2011/10/21	11.30	11.36	11.10	11.25	2403399	30020116.00
2011/10/24	11.24	11.65	11.20	11.57	4599234	58909660.00
2011/10/25	11.50	11.78	11.49	11.76	5956790	77115264.00
2011/10/26	11.68	11.82	11.63	11.70	6410117	83405400.00
2011/10/27	11.83	12.13	11.70	11.72	8635966	113604584.00
2011/10/28	11.85	11.97	11.59	11.73	11040985	143030016.00
2011/10/31	11.72	11.75	11.37	11.51	7581495	96946872.00
2011/11/01	11.44	11.76	11.41	11.60	4247637	54821308.00
2011/11/02	11.43	11.89	11.42	11.84	5629543	73018128.00
2011/11/03	11.90	12.17	11.74	11.87	7838804	103329384.00
2011/11/04	11.98	11.98	11.74	11.77	4533438	59410772.00
2011/11/07	11.74	11.93	11.57	11.71	3466181	45177176.00
2011/11/08	11.80	11.89	11.64	11.85	4296712	56236580.00
2011/11/09	11.89	11.99	11.82	11.88	5855343	77055712.00
2011/11/10	11.78	11.84	11.50	11.51	5226750	67547728.00
2011/11/11	11.62	11.71	11.54	11.59	2254427	29039446.00
2011/11/14	11.64	11.87	11.61	11.84	5414283	70853200.00
2011/11/15	11.83	12.06	11.80	11.95	5860782	77609272.00
2011/11/16	11.93	12.02	11.63	11.70	4605612	60120920.00
2011/11/17	11.70	11.84	11.68	11.71	2990690	38905000.00
2011/11/18	11.68	11.78	11.51	11.55	2629145	33880944.00
2011/11/21	11.62	11.65	11.24	11.36	6255416	79182296.00
2011/11/22	11.29	11.46	11.20	11.40	5254137	66484320.00
2011/11/23	11.40	11.64	11.31	11.60	3658521	46883768.00
2011/11/24	11.54	11.73	11.41	11.68	3182563	41112752.00
2011/11/25	11.63	11.79	11.55	11.65	2680156	34732856.00
2011/11/28	11.65	11.96	11.65	11.88	5844539	76722800.00
2011/11/29	11.99	12.01	11.78	11.90	3522054	46267476.00
2011/11/30	11.76	11.96	11.56	11.69	5386545	70261528.00
2011/12/01	11.88	12.25	11.78	11.99	10772169	143480688.00
2011/12/02	11.91	11.99	11.78	11.84	2517228	33067770.00
2011/12/05	11.85	11.89	11.50	11.51	4714423	61015488.00
2011/12/06	11.49	11.60	11.38	11.47	3010634	38353312.00
2011/12/07	11.48	11.58	11.40	11.58	2457260	31415694.00
2011/12/08	11.57	11.72	11.42	11.51	1489050	19104336.00
2011/12/09	11.44	11.51	11.00	11.13	6288332	78520840.00
2011/12/12	11.12	11.20	10.91	10.97	4671941	57561680.00
2011/12/13	11.02	11.10	10.83	10.87	3767906	46065496.00
2011/12/14	10.86	11.02	10.86	10.98	2336322	28574962.00
2011/12/15	10.94	11.00	10.51	10.70	5640766	67397232.00
2011/12/16	10.71	11.23	10.63	11.21	5039266	61500208.00
2011/12/19	11.13	11.28	10.85	11.24	5126461	63292368.00
2011/12/20	11.17	11.34	10.95	11.09	3377340	41951660.00
2011/12/21	11.16	11.28	10.92	10.93	2332940	29005886.00
2011/12/22	10.93	11.13	10.78	10.90	3959561	48312304.00
2011/12/23	10.90	11.18	10.85	11.04	3030138	37364748.00
2011/12/26	10.95	10.98	10.78	10.88	3142485	38141092.00
2011/12/27	10.89	10.93	10.62	10.68	4058908	48668336.00
2011/12/28	10.66	10.83	10.61	10.73	2257258	26969416.00
2011/12/29	10.68	10.73	10.52	10.65	2970261	35346808.00
2011/12/30	10.70	11.03	10.66	10.97	4720170	57255440.00
2012/01/04	11.07	11.09	10.77	10.82	2775887	33939500.00
2012/01/05	10.82	11.00	10.75	10.86	5879222	71658472.00
2012/01/06	10.81	11.01	10.78	10.98	4210668	51134860.00
2012/01/09	10.98	11.18	10.83	11.03	6029647	74245760.00
2012/01/10	11.14	11.35	11.02	11.35	13764870	171123840.00
2012/01/11	11.29	11.46	11.18	11.20	8064297	101329056.00
2012/01/12	11.19	11.29	11.07	11.14	5954006	74130464.00
2012/01/13	11.13	11.15	10.98	11.05	4190995	51633640.00
2012/01/16	11.00	11.08	10.85	11.05	5402584	66209756.00
2012/01/17	11.03	11.46	10.88	11.39	8537541	106683328.00
2012/01/18	11.42	11.46	11.29	11.35	7766792	98109952.00
2012/01/19	11.35	11.62	11.28	11.54	8222034	105301136.00
2012/01/20	11.57	11.74	11.45	11.63	6467418	83475800.00
2012/01/30	11.61	11.73	11.28	11.29	5324157	67707192.00
2012/01/31	11.33	11.43	11.18	11.23	3400408	42576336.00
2012/02/01	11.24	11.48	11.15	11.22	2632636	33087976.00
2012/02/02	11.23	11.55	11.20	11.54	7007675	88886536.00
2012/02/03	11.51	11.74	11.39	11.71	11014621	141381792.00
2012/02/06	11.68	11.83	11.53	11.74	7463321	96846952.00
2012/02/07	11.64	11.72	11.44	11.63	7658275	98480192.00
2012/02/08	11.56	11.91	11.56	11.87	7229463	94349632.00
2012/02/09	11.88	11.94	11.73	11.80	4729883	61954568.00
2012/02/10	11.75	11.81	11.62	11.73	7360152	95521968.00
2012/02/13	11.63	11.91	11.62	11.74	4601003	59971276.00
2012/02/14	11.80	11.80	11.64	11.71	2658352	34509016.00
2012/02/15	11.71	11.91	11.61	11.80	5476899	71623112.00
2012/02/16	11.78	11.80	11.49	11.57	7020785	90412808.00
2012/02/17	11.65	11.69	11.44	11.52	4724013	60391720.00
2012/02/20	11.64	11.72	11.56	11.67	7213376	92955320.00
2012/02/21	11.71	11.71	11.54	11.67	2598214	33524966.00
2012/02/22	11.67	11.76	11.52	11.69	9035687	116462576.00
2012/02/23	11.66	11.80	11.54	11.80	10973526	141793984.00
2012/02/24	11.79	11.95	11.71	11.94	18632714	244362624.00
2012/02/27	11.95	12.10	11.84	11.94	16429937	217570128.00
2012/02/28	11.94	11.94	11.76	11.85	8914421	116926768.00
2012/02/29	11.85	12.02	11.85	11.85	13178712	173939040.00
2012/03/01	11.76	12.04	11.76	11.98	8169791	107931080.00
2012/03/02	12.03	12.17	11.96	12.12	8391863	111991768.00
2012/03/05	12.18	12.18	11.87	11.92	15673084	207785056.00
2012/03/06	11.87	12.19	11.84	12.07	11197054	149045648.00
2012/03/07	11.98	12.13	11.82	11.94	7779889	103057256.00
2012/03/08	11.95	12.17	11.87	12.02	8769142	116817088.00
2012/03/09	12.04	12.30	12.00	12.29	14298021	191662768.00
2012/03/12	12.22	12.38	12.14	12.20	6802951	91699472.00
2012/03/13	12.18	12.23	12.09	12.22	5826348	78156968.00
2012/03/14	12.25	12.35	11.91	12.00	12364602	166143344.00
2012/03/15	12.00	12.09	11.92	11.92	6775913	89873152.00
2012/03/16	11.93	12.02	11.64	11.93	6992870	91838784.00
2012/03/19	11.90	11.97	11.85	11.93	5064117	66688480.00
2012/03/20	11.93	11.95	11.74	11.85	3636451	47598400.00
2012/03/21	11.88	11.91	11.61	11.76	6693599	87100920.00
2012/03/22	11.76	11.84	11.70	11.76	2085803	27199330.00
2012/03/23	11.77	11.78	11.63	11.74	2766949	35930652.00
2012/03/26	11.72	11.80	11.66	11.78	1588458	20666384.00
2012/03/27	11.83	11.89	11.77	11.79	2264607	29660346.00
2012/03/28	11.76	11.90	11.59	11.63	3632695	47252204.00
2012/03/29	11.58	11.63	11.43	11.55	4197786	53665804.00
2012/03/30	11.53	11.67	11.48	11.65	2509155	32306666.00
2012/04/05	11.64	11.79	11.55	11.74	5554550	71812848.00
2012/04/06	11.71	11.76	11.65	11.73	2711606	35163340.00
2012/04/09	11.73	11.73	11.58	11.65	2230898	28881456.00
2012/04/10	11.65	11.69	11.49	11.68	2271925	29201742.00
2012/04/11	11.61	11.78	11.58	11.76	2500900	32463792.00
2012/04/12	11.74	11.94	11.74	11.92	4912858	64595664.00
2012/04/13	11.94	12.00	11.90	11.99	5707283	75477264.00
2012/04/16	11.94	11.99	11.88	11.93	2170868	28646484.00
2012/04/17	11.93	12.03	11.86	11.92	5674633	74936864.00
2012/04/18	11.95	12.03	11.89	12.01	4455507	59079208.00
2012/04/19	12.01	12.04	11.94	12.02	3653673	48508760.00
2012/04/20	12.00	12.12	11.97	12.09	6574404	87611584.00
2012/04/23	12.07	12.09	11.92	11.94	4231858	56118680.00
2012/04/24	11.89	12.06	11.57	11.78	9133084	118734160.00
2012/04/25	11.71	11.78	11.62	11.74	11270139	145993760.00
2012/04/26	11.75	11.77	11.57	11.62	10974712	141483856.00
2012/04/27	11.66	11.70	11.54	11.69	11181162	144061760.00
2012/05/02	11.74	12.02	11.70	11.95	9706130	127490664.00
2012/05/03	11.93	12.03	11.88	11.99	6462876	85568992.00
2012/05/04	11.97	12.15	11.93	12.10	8927770	118760944.00
2012/05/07	12.05	12.22	12.00	12.12	9142205	122243728.00
2012/05/08	12.13	12.30	12.05	12.21	10117646	136091072.00
2012/05/09	12.09	12.20	11.95	12.04	5094374	67827912.00
2012/05/10	12.03	12.06	11.92	12.02	5317371	70456504.00
2012/05/11	12.02	12.18	11.99	12.06	5055102	67505632.00
2012/05/14	12.07	12.09	11.86	11.98	4472743	59121864.00
2012/05/15	11.85	12.08	11.83	12.06	4411528	58445904.00
2012/05/16	12.02	12.10	11.92	11.95	3345373	44358512.00
2012/05/17	11.96	12.32	11.86	12.18	7339857	98181672.00
2012/05/18	12.13	12.28	12.02	12.03	6830633	91511272.00
2012/05/21	12.05	12.08	11.87	11.98	3162883	41852888.00
2012/05/22	11.98	12.05	11.91	12.02	3660267	48467544.00
2012/05/23	12.01	12.02	11.68	11.85	5441626	71248344.00
2012/05/24	11.73	11.86	11.73	11.76	1894390	24746004.00
2012/05/25	11.76	11.82	11.55	11.58	5242279	67844648.00
2012/05/28	11.56	11.73	11.56	11.70	4299905	55607900.00
2012/05/29	11.68	11.88	11.66	11.82	5172704	67455048.00
2012/05/30	11.79	11.80	11.62	11.69	6111342	79224624.00
2012/05/31	11.69	11.80	11.59	11.79	4678849	60677404.00
2012/06/01	11.79	11.81	11.61	11.62	3991954	51695104.00
2012/06/04	11.54	11.67	11.36	11.38	5569494	70939456.00
2012/06/05	11.42	11.47	11.21	11.34	6165763	77705888.00
2012/06/06	11.33	11.39	11.24	11.33	2687597	33816052.00
2012/06/07	11.42	11.43	11.23	11.33	5998587	75400080.00
2012/06/08	11.34	11.41	11.18	11.20	6253462	78615280.00
2012/06/11	11.28	11.34	11.20	11.33	4065980	51017700.00
2012/06/12	11.28	11.38	11.17	11.20	3511690	43999600.00
2012/06/13	11.26	11.39	11.23	11.36	5545123	69836088.00
2012/06/14	11.38	11.49	11.33	11.43	6313175	80138992.00
2012/06/15	11.47	11.50	11.31	11.43	3632085	46056740.00
2012/06/18	11.49	11.49	11.39	11.45	2014791	25626116.00
2012/06/19	11.45	11.47	11.30	11.33	2967504	37466968.00
2012/06/20	11.40	11.42	11.23	11.33	3068546	38562608.00
2012/06/21	11.28	11.38	11.21	11.33	4189850	52577808.00
2012/06/25	11.31	11.44	11.26	11.28	4100691	51890688.00
2012/06/26	11.33	11.58	11.33	11.50	7589943	96664024.00
2012/06/28	11.43	11.55	11.24	11.43	5897195	74921552.00
2012/06/29	11.33	11.52	11.23	11.47	5163364	65246508.00
2012/07/02	11.43	11.45	11.26	11.35	3974956	50191096.00
2012/07/03	11.34	11.38	11.26	11.26	4709669	59183788.00
2012/07/04	11.29	11.39	11.26	11.39	2615548	32920044.00
2012/07/05	11.33	11.34	11.24	11.30	2939399	36864732.00
2012/07/06	11.33	11.46	11.29	11.43	2622025	33138612.00
2012/07/09	11.41	11.45	11.18	11.24	4420123	55640096.00
2012/07/10	11.30	11.38	11.24	11.36	3664027	46083552.00
2012/07/11	11.35	11.38	11.30	11.36	1903561	24022616.00
2012/07/12	11.34	11.36	11.18	11.31	5306484	66445288.00
2012/07/13	11.30	11.36	11.26	11.31	3025132	38059356.00
2012/07/16	11.32	11.32	11.13	11.16	3745942	46661432.00
2012/07/17	11.16	11.21	10.87	10.99	4789592	58799964.00
2012/07/18	11.01	11.15	10.90	11.12	7646270	94453088.00
2012/07/19	11.12	11.36	11.10	11.33	6460305	80901048.00
2012/07/20	11.28	11.38	11.19	11.27	3110074	39076304.00
2012/07/23	11.19	11.50	11.12	11.26	5080300	63792228.00
2012/07/24	11.25	11.35	11.19	11.26	2137991	26810306.00
2012/07/25	11.26	11.26	11.06	11.13	3575860	44391440.00
2012/07/26	11.13	11.19	10.98	11.17	3850916	47534460.00
2012/07/27	11.12	11.25	10.93	11.08	4623996	57724760.00
2012/07/30	11.11	11.28	11.11	11.19	2539293	31685490.00
2012/07/31	11.21	11.31	11.20	11.27	3233351	40526356.00
2012/08/01	11.29	11.32	11.22	11.29	2065100	25942436.00
2012/08/02	11.30	11.43	11.27	11.41	3555742	44949996.00
2012/08/03	11.41	11.61	11.38	11.55	4893384	62566028.00
2012/08/06	11.53	11.58	11.42	11.53	3498768	44658080.00
2012/08/07	11.59	11.63	11.51	11.58	3719106	47804876.00
2012/08/08	11.59	11.62	11.50	11.56	1889776	24250800.00
2012/08/09	11.55	11.62	11.53	11.61	2444161	31405928.00
2012/08/10	11.64	11.66	11.57	11.62	5346736	68920560.00
2012/08/13	11.61	11.67	11.46	11.58	4168332	51184536.00
2012/08/14	11.56	11.73	11.56	11.65	3548225	43675988.00
2012/08/15	11.60	11.65	11.49	11.63	1913587	23432432.00
2012/08/16	11.66	11.66	11.58	11.59	1424657	17503240.00
2012/08/17	11.62	11.63	11.44	11.49	2392909	29150584.00
2012/08/20	11.46	11.55	11.43	11.51	1660212	20207616.00
2012/08/21	11.52	11.55	11.46	11.47	1332194	16207539.00
2012/08/22	11.51	11.51	11.34	11.37	1727308	20860526.00
2012/08/23	11.37	11.43	11.27	11.39	1415436	17066112.00
2012/08/24	11.36	11.42	11.26	11.29	1107715	13319530.00
2012/08/27	11.29	11.35	11.16	11.23	1326183	15789988.00
2012/08/28	11.23	11.39	11.16	11.26	1775283	21271208.00
2012/08/29	11.21	11.31	11.21	11.24	813436	9717297.00
2012/08/30	11.28	11.39	11.26	11.38	2824873	33902464.00
2012/08/31	11.33	11.38	11.30	11.32	1350989	16209635.00
2012/09/03	11.34	11.34	11.13	11.25	2325831	27646036.00
2012/09/04	11.23	11.28	11.13	11.25	1652297	19593692.00
2012/09/05	11.24	11.25	11.15	11.18	1137432	13498922.00
2012/09/06	11.21	11.24	11.15	11.22	1022326	12146607.00
2012/09/07	11.27	11.68	11.22	11.52	6202622	75439504.00
2012/09/10	11.59	11.62	11.49	11.53	2622762	32047940.00
2012/09/11	11.52	11.52	11.38	11.50	1862270	22561098.00
2012/09/12	11.50	11.60	11.33	11.43	6646112	80303104.00
2012/09/13	11.36	11.37	11.21	11.23	3929174	46976568.00
2012/09/14	11.30	11.32	11.23	11.25	3208100	38318364.00
2012/09/17	11.28	11.35	11.11	11.12	4585396	54594672.00
2012/09/18	11.12	11.14	10.94	10.96	2079889	24329822.00
2012/09/19	10.98	11.00	10.89	10.96	3109684	36074864.00
2012/09/20	10.97	10.98	10.79	10.82	4303422	49564696.00
2012/09/21	10.79	10.88	10.78	10.81	2711402	31157618.00
2012/09/24	10.82	10.83	10.68	10.81	3037765	34724416.00
2012/09/25	10.81	10.87	10.77	10.82	1384452	15913621.00
2012/09/26	10.82	10.89	10.78	10.87	1941381	22316380.00
2012/09/27	10.87	11.11	10.81	10.95	3422480	39772080.00
2012/09/28	10.95	11.18	10.91	11.14	6708052	78426544.00
2012/10/08	11.12	11.29	11.08	11.19	4785336	56829208.00
2012/10/09	11.20	11.33	11.19	11.25	4651339	55538540.00
2012/10/10	11.23	11.25	11.14	11.19	1545547	18326224.00
2012/10/11	11.16	11.20	11.08	11.15	1563914	18459368.00
2012/10/12	11.14	11.25	11.08	11.14	1798383	21271670.00
2012/10/15	11.13	11.16	11.04	11.12	792386	9319347.00
2012/10/16	11.12	11.16	11.05	11.09	1238878	14609941.00
2012/10/17	11.18	11.21	11.07	11.14	1141355	13474972.00
2012/10/18	11.21	11.30	11.15	11.25	2343526	27905570.00
2012/10/19	11.26	11.26	11.04	11.17	2438120	28812164.00
2012/10/22	11.09	11.16	11.06	11.15	868050	10227431.00
2012/10/23	11.15	11.19	11.09	11.13	1160218	13690696.00
2012/10/24	11.15	11.22	11.11	11.16	1687754	20017806.00
2012/10/25	11.16	11.26	11.12	11.17	1525230	18076848.00
2012/10/26	11.11	11.19	10.93	10.99	3090189	36184548.00
2012/10/29	10.98	10.98	10.83	10.91	2199434	25466416.00
2012/10/30	10.91	11.01	10.77	10.83	2276087	26212484.00
2012/10/31	10.83	10.85	10.72	10.77	2962230	33873280.00
2012/11/01	10.77	10.99	10.77	10.92	2871203	33093684.00
2012/11/02	10.91	11.06	10.84	10.99	3169208	36651336.00
2012/11/05	10.94	10.98	10.74	10.75	6020628	69096768.00
2012/11/06	10.75	10.75	10.43	10.51	7720773	86628984.00
2012/11/07	10.50	10.60	10.48	10.54	2371442	26572944.00
2012/11/08	10.53	10.57	10.43	10.45	2172703	24230384.00
2012/11/09	10.45	10.49	10.43	10.44	1325168	14741528.00
2012/11/12	10.48	10.53	10.45	10.51	1655539	18480234.00
2012/11/13	10.52	10.52	10.33	10.34	2807950	31074834.00
2012/11/14	10.33	10.39	10.25	10.37	1673099	18411536.00
2012/11/15	10.35	10.39	10.14	10.30	2471001	27129784.00
2012/11/16	10.23	10.31	10.17	10.23	3187700	34751716.00
2012/11/19	10.21	10.40	10.19	10.39	3354249	36895776.00
2012/11/20	10.39	10.42	10.25	10.32	2006620	22091100.00
2012/11/21	10.32	10.44	10.28	10.42	1917554	21167680.00
2012/11/22	10.38	10.43	10.36	10.42	1304828	14441138.00
2012/11/23	10.42	10.47	10.36	10.39	1708558	18928448.00
2012/11/26	10.36	10.42	10.27	10.37	2044214	22525828.00
2012/11/27	10.35	10.40	10.28	10.32	2317728	25522308.00
2012/11/28	10.31	10.33	10.09	10.25	3394311	36886048.00
