600012 皖通高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.69	3.69	3.64	3.66	1017115	4370387.00
2011/10/11	3.72	3.75	3.63	3.66	1456058	6282769.00
2011/10/12	3.64	3.79	3.62	3.78	3130370	13661458.00
2011/10/13	3.77	3.83	3.74	3.82	2167921	9596826.00
2011/10/14	3.82	3.82	3.76	3.78	1856726	8183845.00
2011/10/17	3.78	3.83	3.77	3.79	1241711	5493380.00
2011/10/18	3.77	3.78	3.69	3.70	1065105	4637305.00
2011/10/19	3.70	3.73	3.68	3.72	1295395	5612120.00
2011/10/20	3.71	3.71	3.61	3.66	1999133	8575103.00
2011/10/21	3.68	3.68	3.62	3.66	770888	3294349.00
2011/10/24	3.66	3.73	3.63	3.73	1680648	7260389.00
2011/10/25	3.73	3.83	3.70	3.82	3224938	14207809.00
2011/10/26	3.79	3.87	3.78	3.82	2904240	12957865.00
2011/10/27	3.82	3.90	3.82	3.83	2414709	10833666.00
2011/10/28	3.87	3.92	3.85	3.92	3656369	16510222.00
2011/10/31	3.92	3.93	3.86	3.88	1980826	8959071.00
2011/11/01	3.86	3.91	3.83	3.88	2297040	10337715.00
2011/11/02	3.81	3.93	3.80	3.92	2772026	12471505.00
2011/11/03	3.93	3.98	3.91	3.94	3676853	16842012.00
2011/11/04	3.95	3.99	3.91	3.94	2427701	11088677.00
2011/11/07	3.93	3.97	3.90	3.93	2200406	10052416.00
2011/11/08	3.92	3.98	3.92	3.95	2689170	12313972.00
2011/11/09	3.95	3.96	3.88	3.94	2655981	12094607.00
2011/11/10	3.91	3.92	3.77	3.89	4181133	18858326.00
2011/11/11	3.87	3.89	3.82	3.83	2249693	10100428.00
2011/11/14	3.86	3.92	3.85	3.92	2479608	11196827.00
2011/11/15	3.90	3.94	3.88	3.91	1840685	8344153.00
2011/11/16	3.92	3.95	3.82	3.89	3731193	16828288.00
2011/11/17	3.87	3.92	3.85	3.91	2585599	11673901.00
2011/11/18	3.88	3.89	3.81	3.83	1825354	8153625.00
2011/11/21	3.82	3.86	3.80	3.86	1858991	8302176.00
2011/11/22	3.82	4.00	3.82	3.95	6789803	31031008.00
2011/11/23	3.97	3.97	3.85	3.87	3597960	16263354.00
2011/11/24	3.84	3.89	3.83	3.86	2094451	9387582.00
2011/11/25	3.85	3.90	3.82	3.84	1363954	6110883.00
2011/11/28	3.82	3.85	3.78	3.79	1560373	6906709.00
2011/11/29	3.82	3.83	3.79	3.82	1798234	7979036.00
2011/11/30	3.80	3.82	3.66	3.68	2212455	9648728.00
2011/12/01	3.77	3.82	3.74	3.76	1927922	8500557.00
2011/12/02	3.75	3.75	3.69	3.73	938222	4076369.00
2011/12/05	3.72	3.74	3.68	3.70	991548	4298598.00
2011/12/06	3.69	3.71	3.65	3.69	1214604	5245077.00
2011/12/07	3.69	3.82	3.67	3.75	1494255	6511790.00
2011/12/08	3.73	3.74	3.68	3.73	1012012	4404952.00
2011/12/09	3.69	3.74	3.69	3.71	660749	2868455.00
2011/12/12	3.70	3.83	3.69	3.78	3917731	17324086.00
2011/12/13	3.75	3.82	3.75	3.78	2879464	12695898.00
2011/12/14	3.78	3.89	3.76	3.83	4912332	21994650.00
2011/12/15	3.81	3.89	3.73	3.74	3726227	16620537.00
2011/12/16	3.72	3.80	3.65	3.79	2511530	10870049.00
2011/12/19	3.76	3.80	3.67	3.80	1922166	8382076.00
2011/12/20	3.78	3.84	3.76	3.76	1107470	4907110.00
2011/12/21	3.78	3.82	3.75	3.76	1568754	6928618.00
2011/12/22	3.71	3.76	3.62	3.68	1930768	8311414.00
2011/12/23	3.68	3.72	3.65	3.70	1075109	4652381.00
2011/12/26	3.69	3.75	3.69	3.74	1308125	5705816.00
2011/12/27	3.72	3.73	3.68	3.69	570761	2471157.00
2011/12/28	3.68	3.68	3.54	3.58	1992652	8422649.00
2011/12/29	3.59	3.59	3.52	3.54	1226687	5135157.00
2011/12/30	3.55	3.58	3.53	3.56	1788844	7475138.00
2012/01/04	3.59	3.60	3.46	3.46	2258679	9374075.00
2012/01/05	3.46	3.51	3.42	3.44	2526974	10361230.00
2012/01/06	3.42	3.48	3.41	3.45	1276801	5188440.00
2012/01/09	3.46	3.57	3.43	3.56	2263539	9382114.00
2012/01/10	3.57	3.68	3.55	3.67	2920073	12410520.00
2012/01/11	3.66	3.67	3.59	3.64	2883383	12271236.00
2012/01/12	3.63	3.66	3.59	3.62	1587204	6753521.00
2012/01/13	3.62	3.62	3.53	3.57	2464551	10352746.00
2012/01/16	3.57	3.60	3.53	3.55	918564	3856622.00
2012/01/17	3.55	3.70	3.52	3.66	3393225	14480737.00
2012/01/18	3.66	3.68	3.59	3.60	2187605	9332288.00
2012/01/19	3.60	3.69	3.59	3.67	3497311	14990346.00
2012/01/20	3.68	3.70	3.64	3.69	2024539	8709985.00
2012/01/30	3.71	3.74	3.65	3.65	2598790	11234478.00
2012/01/31	3.65	3.68	3.64	3.67	1753481	7519371.00
2012/02/01	3.69	3.70	3.65	3.69	2684885	11594966.00
2012/02/02	3.69	3.72	3.66	3.72	1353554	5853636.00
2012/02/03	3.72	3.77	3.71	3.73	3544596	15495665.00
2012/02/06	3.74	3.75	3.70	3.72	2106487	9191881.00
2012/02/07	3.72	3.72	3.65	3.66	1838578	7902654.00
2012/02/08	3.65	3.73	3.65	3.73	6560212	28341276.00
2012/02/09	3.73	3.74	3.69	3.71	3569328	15518997.00
2012/02/10	3.71	3.76	3.70	3.74	3672157	16016188.00
2012/02/13	3.71	3.75	3.70	3.73	2676226	11649694.00
2012/02/14	3.72	3.72	3.68	3.71	2050595	8881367.00
2012/02/15	3.70	3.76	3.69	3.76	3663120	15992820.00
2012/02/16	3.75	3.76	3.71	3.74	2901809	12680750.00
2012/02/17	3.75	3.76	3.71	3.73	2029672	8842765.00
2012/02/20	3.76	3.77	3.73	3.74	2907011	12737238.00
2012/02/21	3.72	3.75	3.70	3.75	1883730	8200746.00
2012/02/22	3.75	3.84	3.75	3.83	5226401	23151312.00
2012/02/23	3.80	3.88	3.80	3.84	3911734	17503732.00
2012/02/24	3.84	3.91	3.82	3.90	4216906	18964670.00
2012/02/27	3.90	4.02	3.89	3.94	8874661	40712036.00
2012/02/28	3.92	3.96	3.85	3.95	6279290	28495500.00
2012/02/29	3.94	3.96	3.90	3.95	4818035	22007220.00
2012/03/01	3.96	3.96	3.92	3.95	2426722	11086490.00
2012/03/02	3.95	4.00	3.93	3.98	4343506	19987078.00
2012/03/05	3.99	4.00	3.94	3.96	3198191	14682642.00
2012/03/06	3.94	3.99	3.88	3.99	5272048	24035350.00
2012/03/07	3.97	4.06	3.92	4.03	6297524	29201476.00
2012/03/08	4.03	4.15	3.98	4.00	10132916	47349628.00
2012/03/09	3.98	4.01	3.96	3.99	2835265	13084103.00
2012/03/12	3.99	4.00	3.93	4.00	4500403	20640116.00
2012/03/13	3.99	4.06	3.97	4.01	3345975	15491962.00
