600015 华夏银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.77	6.79	6.63	6.72	15375282	153393648.00
2011/10/11	7.03	7.07	6.70	6.85	36942994	378831168.00
2011/10/12	6.78	7.37	6.73	7.30	54964100	584015296.00
2011/10/13	7.24	7.32	7.15	7.30	29772817	318628992.00
2011/10/14	7.28	7.41	7.20	7.36	33165559	358813184.00
2011/10/17	7.36	7.57	7.32	7.52	43135506	475318368.00
2011/10/18	7.43	7.50	7.23	7.27	30273122	329187328.00
2011/10/19	7.29	7.48	7.21	7.42	38058039	413496160.00
2011/10/20	7.37	7.43	7.21	7.37	21784450	235664864.00
2011/10/21	7.32	7.63	7.30	7.54	35451737	393309568.00
2011/10/24	7.60	7.86	7.51	7.70	42513029	479895744.00
2011/10/25	7.72	7.82	7.60	7.69	38449502	434120288.00
2011/10/26	7.65	7.86	7.62	7.70	34489219	391170752.00
2011/10/27	7.70	7.84	7.53	7.82	25589814	288466400.00
2011/10/28	7.91	8.01	7.70	7.83	31007598	357555680.00
2011/10/31	7.76	7.79	7.52	7.55	36898353	411929312.00
2011/11/01	7.50	7.74	7.47	7.66	31681891	354900480.00
2011/11/02	7.53	7.93	7.50	7.89	26670769	302344768.00
2011/11/03	7.90	7.93	7.64	7.68	45164657	513979744.00
2011/11/04	7.76	7.78	7.60	7.70	26024545	292937696.00
2011/11/07	7.61	7.67	7.47	7.49	26949743	298999072.00
2011/11/08	7.53	7.60	7.48	7.56	16166697	179425696.00
2011/11/09	7.60	7.65	7.49	7.59	14900219	165938752.00
2011/11/10	7.53	7.60	7.44	7.45	29736264	329260416.00
2011/11/11	7.47	7.57	7.31	7.37	27161876	296874592.00
2011/11/14	7.43	7.52	7.37	7.50	27700656	304245312.00
2011/11/15	7.49	7.50	7.34	7.40	18865072	205654528.00
2011/11/16	7.39	7.40	7.07	7.19	30986793	330354624.00
2011/11/17	7.19	7.21	7.10	7.12	15082224	159763648.00
2011/11/18	7.07	7.21	7.05	7.08	14402609	151698592.00
2011/11/21	7.10	7.13	6.94	7.07	11717839	122121112.00
2011/11/22	7.04	7.23	7.01	7.20	19093438	201587568.00
2011/11/23	7.19	7.20	6.96	7.05	17681974	184901600.00
2011/11/24	7.01	7.18	6.99	7.13	16010105	168347776.00
2011/11/25	7.09	7.17	7.01	7.17	11160087	117419704.00
2011/11/28	7.17	7.23	7.09	7.10	11590704	122781872.00
2011/11/29	7.19	7.22	7.05	7.20	15922371	168233808.00
2011/11/30	7.15	7.16	6.88	7.00	20172256	209961888.00
2011/12/01	7.28	7.55	7.23	7.30	54698368	594474688.00
2011/12/02	7.26	7.45	7.24	7.39	20714566	224818080.00
2011/12/05	7.40	7.55	7.32	7.46	23629403	260115824.00
2011/12/06	7.40	7.56	7.38	7.42	20537650	226310976.00
2011/12/07	7.42	7.65	7.37	7.58	25030243	277534144.00
2011/12/08	7.56	7.63	7.53	7.57	20308999	226389776.00
2011/12/09	7.48	7.54	7.38	7.42	12477166	136673552.00
2011/12/12	7.39	7.53	7.28	7.38	15260670	166632704.00
2011/12/13	7.36	7.48	7.28	7.29	19247301	209422208.00
2011/12/14	7.27	7.40	7.27	7.33	14804258	160159952.00
2011/12/15	7.31	7.37	7.23	7.27	16082891	173518752.00
2011/12/16	7.33	7.72	7.23	7.67	52307379	577467648.00
2011/12/19	7.60	7.70	7.43	7.64	21128488	235305056.00
2011/12/20	7.59	8.00	7.57	7.74	27269891	312465120.00
2011/12/21	7.82	7.89	7.59	7.70	17709181	201234016.00
2011/12/22	7.56	7.84	7.56	7.70	18230758	206192144.00
2011/12/23	7.69	7.82	7.56	7.64	15825140	178436432.00
2011/12/26	7.57	7.67	7.55	7.61	12466082	139263984.00
2011/12/27	7.65	7.67	7.50	7.55	8480646	94490784.00
2011/12/28	7.51	7.62	7.36	7.56	13201859	145339072.00
2011/12/29	7.50	7.53	7.37	7.42	13538832	148327424.00
2011/12/30	7.43	7.69	7.43	7.65	22447162	249300336.00
2012/01/04	7.67	7.80	7.56	7.57	18122685	204549216.00
2012/01/05	7.63	7.89	7.58	7.73	26723053	304018336.00
2012/01/06	7.70	7.84	7.66	7.77	19617137	222349840.00
2012/01/09	7.77	8.02	7.71	8.00	41732586	483532928.00
2012/01/10	8.01	8.11	7.91	8.08	23773681	278288160.00
2012/01/11	8.10	8.10	7.96	7.97	13406018	156954752.00
2012/01/12	7.94	8.15	7.93	8.05	25422253	299982304.00
2012/01/13	8.07	8.12	7.90	7.91	19017874	222176160.00
2012/01/16	7.86	8.02	7.78	7.85	17057328	198167376.00
2012/01/17	7.90	8.13	7.74	8.13	25793048	301439712.00
2012/01/18	8.09	8.11	7.93	8.00	16074203	188245936.00
2012/01/19	7.98	8.17	7.91	8.07	21836441	256529040.00
2012/01/20	8.13	8.35	8.04	8.33	45304354	541252352.00
2012/01/30	8.32	8.33	8.17	8.20	22604375	271512608.00
2012/01/31	8.24	8.29	8.08	8.17	9723875	115678368.00
2012/02/01	8.09	8.18	7.90	7.94	22569957	264108320.00
2012/02/02	7.97	8.24	7.93	8.20	24185663	285388896.00
2012/02/03	8.17	8.33	8.14	8.25	37145863	445058368.00
2012/02/06	8.27	8.28	8.00	8.09	31523295	372926912.00
2012/02/07	8.04	8.05	7.85	7.90	21793480	252330528.00
2012/02/08	7.92	8.14	7.88	8.10	33865792	396307136.00
2012/02/09	8.07	8.10	7.97	8.07	30837484	361574464.00
2012/02/10	8.01	8.12	7.93	7.99	30577375	357875648.00
2012/02/13	7.82	8.00	7.78	7.86	39393031	452591616.00
2012/02/14	7.85	7.85	7.70	7.83	28462331	323699360.00
2012/02/15	7.81	7.90	7.75	7.83	35155804	402258176.00
2012/02/16	7.83	7.85	7.73	7.79	26058391	297196800.00
2012/02/17	7.84	7.87	7.70	7.75	31759159	361491360.00
2012/02/20	7.91	7.91	7.72	7.77	48636850	556099520.00
2012/02/21	7.79	7.80	7.71	7.79	31530628	358557056.00
2012/02/22	7.80	7.87	7.73	7.87	51117585	583661952.00
2012/02/23	7.85	7.89	7.80	7.83	40856230	469165312.00
2012/02/24	7.83	8.04	7.78	8.02	69530274	804111488.00
2012/02/27	8.02	8.09	7.94	7.96	68123872	796574208.00
2012/02/28	7.96	8.10	7.95	8.03	59402161	696563840.00
2012/02/29	8.02	8.02	7.90	7.91	27048027	314519360.00
2012/03/01	7.87	7.95	7.84	7.88	19210467	221937200.00
2012/03/02	7.88	8.00	7.87	8.00	30462974	354220256.00
2012/03/05	8.04	8.05	7.87	7.88	35321858	409736384.00
2012/03/06	7.86	7.90	7.63	7.65	33103407	374433312.00
2012/03/07	7.59	7.63	7.51	7.53	32854146	366220064.00
2012/03/08	7.57	7.67	7.53	7.58	36350099	405026112.00
2012/03/09	7.60	7.67	7.54	7.64	31966703	357222144.00
2012/03/12	7.63	7.63	7.48	7.54	35665467	395084512.00
2012/03/13	7.54	7.70	7.53	7.67	40496298	454858048.00
2012/03/14	7.72	7.75	7.47	7.51	45467217	509545696.00
2012/03/15	7.50	7.57	7.43	7.43	26163137	288925280.00
2012/03/16	7.50	7.53	7.38	7.49	21434735	235268288.00
2012/03/19	7.47	7.49	7.39	7.46	21599873	236556320.00
2012/03/20	7.43	7.47	7.33	7.35	17911086	195377344.00
2012/03/21	7.40	7.42	7.30	7.36	14989073	162749920.00
2012/03/22	7.36	7.51	7.23	7.43	37206319	405295264.00
2012/03/23	7.36	7.43	7.28	7.32	20181342	218750512.00
2012/03/26	7.32	7.45	7.32	7.43	16129407	175787152.00
2012/03/27	7.44	7.52	7.40	7.47	26882760	295371648.00
2012/03/28	7.45	7.53	7.23	7.26	44998097	491639232.00
2012/03/29	7.24	7.36	7.10	7.14	31734808	339421312.00
2012/03/30	7.22	7.27	7.17	7.27	14440840	154046896.00
2012/04/05	7.20	7.37	7.12	7.30	31132172	332669824.00
2012/04/06	7.27	7.38	7.22	7.37	20175386	217624400.00
2012/04/09	7.33	7.33	7.14	7.16	16098658	172070832.00
2012/04/10	7.16	7.43	7.15	7.42	28316291	304371360.00
2012/04/11	7.37	7.52	7.33	7.43	23053960	252101312.00
2012/04/12	7.40	7.60	7.33	7.54	29224269	322109120.00
2012/04/13	7.53	7.56	7.47	7.51	16587300	183199872.00
2012/04/16	7.47	7.50	7.38	7.43	11960639	130825912.00
2012/04/18	7.39	7.53	7.28	7.47	32717456	357314240.00
2012/04/19	7.44	7.50	7.40	7.45	22171620	243048288.00
2012/04/20	7.44	7.62	7.40	7.60	38479658	427445152.00
2012/04/23	7.57	7.63	7.50	7.53	22836169	253910912.00
2012/04/24	7.55	7.92	7.53	7.73	69450402	784362816.00
2012/04/25	7.67	7.73	7.60	7.66	36503565	410466464.00
2012/04/26	7.70	7.72	7.63	7.67	20677545	232417456.00
2012/04/27	7.67	7.73	7.63	7.63	23440050	264229456.00
2012/05/02	7.66	7.67	7.48	7.53	85772906	953203904.00
2012/05/03	7.49	7.54	7.33	7.35	65358454	712717184.00
2012/05/04	7.37	7.42	7.34	7.41	38376451	417739456.00
2012/05/07	7.36	7.44	7.36	7.43	32946531	359097472.00
2012/05/08	7.41	7.44	7.35	7.38	33970568	369737280.00
2012/05/09	7.35	7.37	7.22	7.24	30057646	323508224.00
2012/05/10	7.27	7.29	7.20	7.24	18656720	199816448.00
2012/05/11	7.26	7.30	7.22	7.26	15489528	166122976.00
2012/05/14	7.33	7.33	7.13	7.14	44422927	474636384.00
2012/05/15	7.11	7.15	7.07	7.14	25455335	268092448.00
2012/05/16	7.13	7.13	6.97	6.98	29389293	306908864.00
2012/05/17	7.00	7.08	6.99	7.07	26338533	274938528.00
2012/05/18	7.05	7.05	6.85	6.87	26766333	268940608.00
2012/05/21	6.88	6.92	6.70	6.73	40200242	397038368.00
2012/05/22	6.77	6.87	6.75	6.85	30180433	298731744.00
2012/05/23	6.83	6.85	6.76	6.78	26238890	259163040.00
2012/05/24	6.78	6.85	6.74	6.79	24355179	240647952.00
2012/05/25	6.81	6.83	6.75	6.78	15578064	153550096.00
2012/05/28	6.80	6.85	6.76	6.84	28642771	282946080.00
2012/05/29	6.85	6.98	6.82	6.96	42191728	422206016.00
2012/05/30	6.93	6.95	6.84	6.87	32500842	324325152.00
2012/05/31	6.86	6.86	6.77	6.79	29058825	286502720.00
2012/06/01	6.79	6.83	6.73	6.75	36725917	361095136.00
2012/06/04	6.67	6.67	6.53	6.54	32115669	309492864.00
2012/06/05	6.57	6.60	6.52	6.57	34956927	334438944.00
2012/06/06	6.58	6.70	6.56	6.67	38394195	370662144.00
2012/06/07	6.74	6.76	6.58	6.60	28378150	274774336.00
2012/06/08	6.59	6.59	6.39	6.42	42495315	400125248.00
2012/06/11	6.42	6.45	6.37	6.41	26057305	244030336.00
2012/06/12	6.40	6.40	6.24	6.31	42616886	393785472.00
2012/06/13	6.33	6.43	6.27	6.37	42790210	397678720.00
2012/06/14	6.33	6.36	6.24	6.26	30866997	284954944.00
2012/06/15	6.29	6.57	6.28	6.51	69985470	656322368.00
2012/06/18	6.50	6.50	6.43	6.46	27982976	263961920.00
2012/06/19	6.46	6.57	6.41	6.47	23290654	220130128.00
2012/06/20	6.48	6.60	6.47	6.51	36736028	350472704.00
2012/06/21	6.51	6.51	6.39	6.40	16810867	158095856.00
2012/06/25	6.40	6.46	6.33	6.34	16491032	154275872.00
2012/06/26	6.35	6.47	6.33	6.43	27810659	260928592.00
2012/06/27	6.43	6.47	6.39	6.42	15869322	149065840.00
2012/06/28	6.43	6.47	6.26	6.31	19615940	183160240.00
2012/06/29	6.31	6.52	6.30	6.49	30479213	286501536.00
2012/07/02	6.50	6.51	6.40	6.44	21607287	202938704.00
2012/07/03	6.44	6.50	6.40	6.47	16578925	156357904.00
2012/07/04	6.47	6.57	6.43	6.53	27250904	258976560.00
2012/07/05	6.49	6.51	6.40	6.44	15767157	148485968.00
2012/07/06	6.33	6.35	6.18	6.30	38313289	351524256.00
2012/07/09	6.27	6.29	6.01	6.02	32715866	294864704.00
2012/07/10	6.02	6.09	5.99	6.04	13189614	117343480.00
2012/07/11	6.03	6.07	6.00	6.02	14343739	127470616.00
2012/07/12	6.03	6.03	5.89	5.97	35390541	310928928.00
2012/07/13	5.97	6.07	5.93	6.00	15145613	134024400.00
2012/07/16	6.02	6.02	5.79	5.82	26722851	231482832.00
2012/07/17	5.80	5.92	5.80	5.87	14251568	123460424.00
2012/07/18	5.87	5.93	5.78	5.91	21613019	186671600.00
2012/07/19	5.89	6.01	5.87	5.95	24241435	212826288.00
2012/07/20	5.93	5.94	5.85	5.88	13350751	116068368.00
2012/07/23	5.83	5.83	5.63	5.68	26496428	224186848.00
2012/07/24	5.64	5.70	5.61	5.64	20558885	172201840.00
2012/07/25	5.63	5.71	5.62	5.66	15154807	127069776.00
2012/07/26	5.65	5.70	5.63	5.64	14958882	125525096.00
2012/07/27	5.67	5.79	5.65	5.71	21539788	182724176.00
2012/07/30	5.73	5.87	5.72	5.76	24317381	207945696.00
2012/07/31	5.77	6.01	5.77	5.97	57124782	497777888.00
2012/08/01	5.97	6.01	5.93	6.00	33471927	294368640.00
2012/08/02	5.99	6.07	5.94	6.03	27068040	239341840.00
2012/08/03	6.03	6.04	5.97	6.02	17683919	156199984.00
2012/08/06	6.00	6.03	5.94	6.02	18676695	164784112.00
2012/08/07	5.99	6.01	5.96	6.00	12836719	113157000.00
2012/08/08	5.99	6.10	5.99	6.10	21521086	191915888.00
2012/08/09	6.10	6.16	6.03	6.15	19455126	174212400.00
2012/08/10	6.25	6.28	6.15	6.16	35062279	319329280.00
2012/08/13	6.16	6.18	6.10	6.11	17183286	155108912.00
