600019 宝钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.66	4.71	4.64	4.66	17382083	88990608.00
2011/10/11	4.75	4.78	4.65	4.70	33802701	174095776.00
2011/10/12	4.67	4.83	4.65	4.82	52395993	273208160.00
2011/10/13	4.79	4.96	4.76	4.88	56204942	297590496.00
2011/10/14	4.83	4.87	4.78	4.83	23665904	124391872.00
2011/10/17	4.84	4.90	4.79	4.81	19250756	101525168.00
2011/10/18	4.78	4.79	4.61	4.66	36210754	186164128.00
2011/10/19	4.67	4.72	4.67	4.69	14991605	76895528.00
2011/10/20	4.66	4.69	4.58	4.62	22960372	116406928.00
2011/10/21	4.63	4.66	4.62	4.63	15711103	79770904.00
2011/10/24	4.64	4.77	4.62	4.76	29669291	152828320.00
2011/10/25	4.76	4.82	4.70	4.80	30704803	160105648.00
2011/10/26	4.77	4.92	4.76	4.85	54288010	287148512.00
2011/10/27	4.85	4.93	4.84	4.85	30159462	160574320.00
2011/10/28	4.91	4.94	4.86	4.92	46508661	248564320.00
2011/10/31	4.87	4.88	4.82	4.83	42875062	226427216.00
2011/11/01	4.80	4.87	4.78	4.81	33390246	175815200.00
2011/11/02	4.76	4.86	4.73	4.85	42976591	224527424.00
2011/11/03	4.86	4.94	4.83	4.92	82260025	439261440.00
2011/11/04	4.93	4.98	4.88	4.94	40265010	216187360.00
2011/11/07	4.94	5.00	4.91	4.92	40055208	216390624.00
2011/11/08	4.95	4.97	4.83	4.87	45818215	244135792.00
2011/11/09	4.86	4.90	4.83	4.88	28789784	152610352.00
2011/11/10	4.84	4.93	4.78	4.81	53200113	281164224.00
2011/11/11	4.82	4.83	4.77	4.79	19447300	101861600.00
2011/11/14	4.82	4.87	4.80	4.84	35942079	189577376.00
2011/11/15	4.84	4.84	4.79	4.81	35093520	184004848.00
2011/11/16	4.80	4.81	4.67	4.69	35465294	183457312.00
2011/11/17	4.71	4.71	4.65	4.68	20697553	105957072.00
2011/11/18	4.65	4.67	4.60	4.62	33460175	169460816.00
2011/11/21	4.62	4.66	4.60	4.66	14689980	74398544.00
2011/11/22	4.63	4.67	4.59	4.63	20189032	102230448.00
2011/11/23	4.62	4.64	4.58	4.59	16984502	85587872.00
2011/11/24	4.56	4.60	4.55	4.58	15489148	77654120.00
2011/11/25	4.58	4.62	4.56	4.57	15331757	76974040.00
2011/11/28	4.60	4.60	4.50	4.54	30019312	149598416.00
2011/11/29	4.56	4.58	4.53	4.57	21791719	108814232.00
2011/11/30	4.56	4.56	4.37	4.40	38990778	190554192.00
2011/12/01	4.48	4.54	4.44	4.47	42904976	211513792.00
2011/12/02	4.45	4.46	4.41	4.41	16589435	80887536.00
2011/12/05	4.42	4.44	4.37	4.44	18986558	91801904.00
2011/12/12	4.44	4.49	4.39	4.41	20483435	100034664.00
2011/12/13	4.39	4.42	4.31	4.33	24025650	115550408.00
2011/12/14	4.33	4.37	4.29	4.31	13504572	64418040.00
2011/12/15	4.29	4.33	4.21	4.22	19925317	93516480.00
2011/12/16	4.22	4.30	4.20	4.28	20748569	97188136.00
2011/12/19	4.26	4.28	4.12	4.27	25523815	118634776.00
2011/12/20	4.26	4.35	4.23	4.32	47451790	225138064.00
2011/12/21	4.34	4.40	4.32	4.37	57496035	276053664.00
2011/12/22	4.34	4.40	4.29	4.36	44475320	212747312.00
2011/12/23	4.35	4.44	4.32	4.42	33559436	162487664.00
2011/12/26	4.40	4.54	4.38	4.53	47557495	233722752.00
2011/12/27	4.48	4.54	4.44	4.44	22915512	112770376.00
2011/12/28	4.44	4.49	4.42	4.47	19295574	94438544.00
2011/12/29	4.46	4.49	4.40	4.41	13143630	64154192.00
2011/12/30	4.43	4.44	4.39	4.41	16929145	82059856.00
2012/01/04	4.42	4.44	4.38	4.42	29754936	144351328.00
2012/01/05	4.40	4.45	4.38	4.40	18198618	88479944.00
2012/01/06	4.40	4.48	4.38	4.46	22830120	111453720.00
2012/01/09	4.46	4.53	4.41	4.52	35994080	177429104.00
2012/01/10	4.53	4.66	4.52	4.65	51972467	262220800.00
2012/01/11	4.66	4.75	4.62	4.62	50031918	255622240.00
2012/01/12	4.62	4.67	4.61	4.63	15806384	80162328.00
2012/01/13	4.64	4.66	4.55	4.56	23865926	120494032.00
2012/01/16	4.54	4.67	4.52	4.63	37786712	191558592.00
2012/01/17	4.63	4.76	4.57	4.75	43066413	220889120.00
2012/01/18	4.76	4.77	4.64	4.66	31263531	161021984.00
2012/01/19	4.68	4.78	4.65	4.74	40065400	207726016.00
2012/01/20	4.74	4.78	4.70	4.76	19769301	102518000.00
2012/01/30	4.76	4.77	4.68	4.69	26605181	137582496.00
2012/01/31	4.68	4.71	4.61	4.65	21775198	110729536.00
2012/02/01	4.65	4.68	4.56	4.58	22200525	112188480.00
2012/02/02	4.60	4.64	4.56	4.64	20098412	101172528.00
2012/02/03	4.61	4.64	4.58	4.64	25596078	129292400.00
2012/02/06	4.64	4.66	4.60	4.64	28714422	145603712.00
2012/02/07	4.62	4.64	4.54	4.55	25277444	126739488.00
2012/02/08	4.55	4.66	4.54	4.64	22089653	111666512.00
2012/02/09	4.65	4.67	4.62	4.65	20327779	103320496.00
2012/02/10	4.63	4.73	4.63	4.67	30099827	154307456.00
2012/02/13	4.64	4.72	4.63	4.67	23292961	119054248.00
2012/02/14	4.67	4.70	4.63	4.64	10959092	55799068.00
2012/02/15	4.64	4.71	4.63	4.69	19320086	98936320.00
2012/02/16	4.68	4.69	4.62	4.64	21625248	110141616.00
2012/02/17	4.66	4.68	4.64	4.65	12001796	61242176.00
2012/02/20	4.69	4.71	4.64	4.65	15787812	80656824.00
2012/02/21	4.66	4.68	4.63	4.65	18196814	92561504.00
2012/02/22	4.65	4.68	4.61	4.68	40745335	207208560.00
2012/02/23	4.67	4.76	4.65	4.70	48418242	248927456.00
2012/02/24	4.70	4.73	4.65	4.73	59953138	307600512.00
2012/02/27	4.73	4.78	4.73	4.75	86083588	447171936.00
2012/02/28	4.74	4.89	4.70	4.86	91599811	479841824.00
2012/02/29	4.84	4.92	4.82	4.83	54041553	286528672.00
2012/03/01	4.84	4.85	4.77	4.79	26100259	137072080.00
2012/03/02	4.79	4.82	4.74	4.81	79716831	416013760.00
2012/03/05	4.80	4.81	4.74	4.74	36558721	190396112.00
2012/03/06	4.73	4.74	4.68	4.69	30911214	159261728.00
2012/03/07	4.67	4.71	4.64	4.66	30051635	153500864.00
2012/03/08	4.66	4.70	4.65	4.69	22650118	115938144.00
2012/03/09	4.69	4.72	4.66	4.70	22770146	116815864.00
2012/03/12	4.69	4.71	4.66	4.67	18361965	94039320.00
2012/03/13	4.67	4.70	4.65	4.70	24978490	127822896.00
2012/03/14	4.71	4.78	4.62	4.64	78640730	405038432.00
2012/03/16	4.63	4.63	4.52	4.61	60968521	305971328.00
2012/03/19	4.59	4.60	4.53	4.56	26984806	135137616.00
2012/03/20	4.56	4.58	4.53	4.54	21659401	108092064.00
2012/03/21	4.56	4.58	4.54	4.56	23911955	119542904.00
2012/03/22	4.56	4.58	4.52	4.54	10808379	53874600.00
