600020 中原高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.53	2.64	2.53	2.60	18072070	52527088.00
2011/10/11	2.64	2.65	2.57	2.58	7105377	20601692.00
2011/10/12	2.57	2.64	2.53	2.64	7368349	21436768.00
2011/10/13	2.65	2.65	2.60	2.64	7510297	22002728.00
2011/10/14	2.63	2.64	2.58	2.62	3439680	10009906.00
2011/10/17	2.61	2.63	2.58	2.61	2924031	8487962.00
2011/10/18	2.60	2.60	2.57	2.58	3077083	8857196.00
2011/10/19	2.58	2.58	2.54	2.57	2917667	8333356.00
2011/10/20	2.56	2.56	2.49	2.52	2807483	7906253.00
2011/10/21	2.50	2.53	2.49	2.51	1759760	4936488.00
2011/10/24	2.52	2.54	2.47	2.54	2546848	7151334.00
2011/10/25	2.54	2.61	2.50	2.58	4142942	11862874.00
2011/10/26	2.57	2.61	2.55	2.59	4244438	12271081.00
2011/10/27	2.57	2.62	2.57	2.59	3543510	10291897.00
2011/10/28	2.62	2.63	2.60	2.62	4832975	14074570.00
2011/10/31	2.62	2.62	2.59	2.60	2913350	8453144.00
2011/11/01	2.59	2.62	2.58	2.61	2199897	6391619.00
2011/11/02	2.58	2.64	2.56	2.64	4708355	13687418.00
2011/11/03	2.64	2.66	2.63	2.64	6954560	20539300.00
2011/11/04	2.64	2.65	2.63	2.65	4131292	12178688.00
2011/11/07	2.65	2.67	2.63	2.64	4650125	13755146.00
2011/11/08	2.63	2.76	2.61	2.72	17724588	53226720.00
2011/11/09	2.70	2.73	2.67	2.73	12099935	36415980.00
2011/11/10	2.69	2.81	2.68	2.75	19518029	59922608.00
2011/11/11	2.73	2.75	2.62	2.64	15502132	46144032.00
2011/11/14	2.66	2.68	2.64	2.68	6110328	18174768.00
2011/11/15	2.68	2.68	2.65	2.67	3668279	10886182.00
2011/11/16	2.68	2.71	2.63	2.65	4891246	14554466.00
2011/11/17	2.64	2.65	2.63	2.63	2332963	6864009.00
2011/11/18	2.63	2.63	2.56	2.56	4463805	12879557.00
2011/11/21	2.54	2.59	2.54	2.58	1988216	5684940.00
2011/11/22	2.57	2.60	2.56	2.60	2170097	6251262.00
2011/11/23	2.60	2.61	2.58	2.58	2120073	6131556.00
2011/11/24	2.57	2.58	2.53	2.56	2116533	6046374.00
2011/11/25	2.58	2.58	2.46	2.53	3787412	10708322.00
2011/11/28	2.52	2.54	2.51	2.53	1210400	3416047.00
2011/11/29	2.54	2.56	2.52	2.56	1598032	4538036.00
2011/11/30	2.56	2.56	2.46	2.49	3701903	10317761.00
2011/12/02	2.53	2.53	2.45	2.47	1746177	4858202.00
2011/12/05	2.48	2.48	2.44	2.45	1679380	4609319.00
2011/12/06	2.45	2.46	2.41	2.44	1498684	4088120.00
2011/12/07	2.45	2.46	2.43	2.45	939412	2578472.00
2011/12/08	2.45	2.46	2.42	2.46	1316828	3613279.00
2011/12/09	2.45	2.46	2.43	2.45	881929	2416891.00
2011/12/12	2.45	2.46	2.43	2.45	1453667	3992208.00
2011/12/13	2.44	2.45	2.38	2.41	3129110	8477926.00
2011/12/14	2.39	2.43	2.38	2.40	1462235	3942595.00
2011/12/15	2.40	2.41	2.31	2.32	3017984	7949674.00
2011/12/16	2.32	2.38	2.27	2.37	2478290	6468220.00
2011/12/19	2.35	2.36	2.31	2.35	1936863	5069891.00
2011/12/20	2.34	2.37	2.33	2.34	678561	1790624.00
2011/12/21	2.36	2.37	2.30	2.30	1305862	3433575.00
2011/12/22	2.29	2.29	2.24	2.26	1798983	4592576.00
2011/12/23	2.26	2.32	2.25	2.30	1225573	3163190.00
2011/12/26	2.30	2.33	2.28	2.30	1219690	3173878.00
2011/12/27	2.30	2.31	2.27	2.28	940202	2423560.00
2011/12/28	2.28	2.28	2.24	2.26	1444261	3668851.00
2011/12/29	2.26	2.28	2.26	2.27	966617	2471710.00
2011/12/30	2.28	2.30	2.27	2.29	1187579	3056450.00
2012/01/04	2.30	2.31	2.28	2.28	1286500	3326598.00
2012/01/05	2.26	2.31	2.26	2.26	1770719	4551848.00
2012/01/06	2.25	2.28	2.23	2.28	1686574	4278029.00
2012/01/09	2.28	2.37	2.26	2.37	3591947	9407344.00
2012/01/10	2.37	2.43	2.33	2.42	4887893	13114290.00
2012/01/11	2.42	2.42	2.37	2.38	3887458	10418529.00
2012/01/12	2.38	2.41	2.37	2.38	1992620	5338766.00
2012/01/13	2.39	2.40	2.32	2.33	2062205	5422446.00
2012/01/16	2.32	2.36	2.30	2.32	2720540	7148630.00
2012/01/17	2.33	2.42	2.29	2.41	4306143	11473803.00
2012/01/18	2.40	2.44	2.36	2.37	2664653	7166100.00
2012/01/19	2.37	2.41	2.36	2.40	2034711	5451903.00
2012/01/20	2.40	2.43	2.39	2.42	2411525	6522025.00
2012/01/30	2.42	2.42	2.38	2.38	1685968	4535605.00
2012/01/31	2.37	2.40	2.36	2.39	1693887	4517509.00
2012/02/01	2.39	2.41	2.36	2.36	1141801	3046802.00
2012/02/02	2.37	2.40	2.35	2.40	1102449	2940627.00
2012/02/03	2.40	2.43	2.38	2.41	2386704	6440891.00
2012/02/06	2.40	2.42	2.40	2.41	1976502	5335594.00
2012/02/07	2.41	2.41	2.36	2.37	1678245	4472735.00
2012/02/08	2.37	2.41	2.36	2.41	3649654	9803644.00
2012/02/09	2.41	2.43	2.40	2.41	3526336	9534086.00
2012/02/10	2.41	2.45	2.41	2.43	4092345	11117288.00
2012/02/13	2.42	2.45	2.41	2.43	2501866	6804181.00
2012/02/14	2.44	2.45	2.41	2.43	1881784	5101294.00
2012/02/15	2.42	2.46	2.41	2.45	3923148	10755728.00
2012/02/16	2.45	2.46	2.44	2.45	3310862	9086719.00
2012/02/17	2.45	2.47	2.43	2.45	1689503	4628289.00
2012/02/20	2.47	2.48	2.45	2.45	2087923	5763543.00
2012/02/21	2.45	2.46	2.43	2.45	1855368	5083153.00
2012/02/22	2.45	2.49	2.45	2.49	3719674	10305311.00
2012/02/23	2.49	2.50	2.47	2.49	3362120	9366635.00
2012/02/24	2.50	2.54	2.47	2.53	5308200	14945584.00
2012/02/27	2.54	2.60	2.53	2.55	7163740	20551640.00
2012/02/28	2.56	2.57	2.52	2.54	4833959	13759791.00
2012/02/29	2.55	2.55	2.49	2.49	3017858	8508448.00
2012/03/01	2.49	2.51	2.48	2.50	3355741	9376716.00
2012/03/02	2.50	2.55	2.49	2.54	3623073	10226073.00
2012/03/05	2.54	2.57	2.52	2.53	4060337	11562291.00
2012/03/06	2.52	2.53	2.48	2.50	2783600	7770448.00
2012/03/07	2.48	2.52	2.45	2.49	2675722	7448231.00
