600022 山东钢铁 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.59	3.59	3.53	3.54	4564874	16196817.00
2011/10/11	3.59	3.61	3.49	3.53	6336663	22536168.00
2011/10/12	3.52	3.70	3.50	3.67	15931332	57828704.00
2011/10/13	3.67	3.90	3.64	3.73	29250470	109977032.00
2011/10/14	3.68	3.71	3.63	3.68	10920264	40035124.00
2011/10/17	3.65	3.71	3.65	3.68	6346072	23305254.00
2011/10/18	3.67	3.67	3.59	3.61	9516077	34409712.00
2011/10/19	3.61	3.64	3.57	3.59	4502189	16208763.00
2011/10/20	3.60	3.60	3.50	3.55	10412410	36744396.00
2011/10/21	3.55	3.56	3.52	3.53	3475861	12288925.00
2011/10/24	3.55	3.60	3.51	3.59	6199965	22099060.00
2011/10/25	3.59	3.70	3.56	3.66	13042427	47461104.00
2011/10/26	3.64	3.74	3.62	3.64	16264872	59749416.00
2011/10/27	3.65	3.75	3.63	3.70	19145284	70940240.00
2011/10/28	3.73	3.78	3.69	3.78	27765718	103895920.00
2011/10/31	3.82	3.87	3.73	3.76	28422693	107764640.00
2011/11/01	3.72	3.81	3.69	3.75	14849435	55676280.00
2011/11/02	3.70	3.78	3.66	3.77	15689859	58187116.00
2011/11/03	3.79	3.85	3.77	3.78	25328692	96573008.00
2011/11/10	3.98	4.16	3.86	4.16	51950015	212836400.00
2011/11/11	4.49	4.49	4.06	4.08	134334775	579485952.00
2011/11/14	4.02	4.04	3.88	4.03	59074892	234177184.00
2011/11/15	3.98	3.98	3.91	3.96	34591887	136495488.00
2011/11/16	3.96	3.97	3.78	3.82	30975356	119423944.00
2011/11/17	3.81	3.83	3.76	3.77	17442748	66080300.00
2011/11/18	3.76	3.80	3.66	3.67	21798462	81258736.00
2011/11/21	3.65	3.67	3.61	3.66	12376733	44971604.00
2011/11/22	3.62	3.64	3.57	3.61	14202812	51196936.00
2011/11/23	3.60	3.65	3.58	3.59	9106147	32846740.00
2011/11/24	3.58	3.65	3.55	3.63	11276445	40633016.00
2011/11/25	3.62	3.63	3.56	3.58	8187544	29388828.00
2011/11/28	3.58	3.60	3.51	3.54	10782930	38199576.00
2011/11/29	3.57	3.58	3.53	3.56	9192936	32638536.00
2011/11/30	3.56	3.56	3.46	3.47	20763274	72426832.00
2011/12/01	3.52	3.56	3.49	3.51	13259739	46748556.00
2011/12/02	3.50	3.50	3.46	3.47	8282436	28766872.00
2011/12/05	3.47	3.48	3.43	3.46	8635542	29836436.00
2011/12/06	3.46	3.48	3.44	3.48	4955840	17178618.00
2011/12/07	3.47	3.49	3.46	3.46	4202545	14587678.00
2011/12/08	3.48	3.59	3.46	3.51	13289791	46977636.00
2011/12/09	3.48	3.49	3.46	3.47	7831467	27159216.00
2011/12/12	3.47	3.48	3.45	3.45	5981107	20696944.00
2011/12/13	3.45	3.46	3.43	3.44	10251569	35276488.00
2011/12/14	3.43	3.46	3.43	3.45	5267747	18164796.00
2011/12/15	3.45	3.45	3.29	3.30	16105194	54792504.00
2011/12/16	3.32	3.39	3.32	3.38	10405351	34839508.00
2011/12/19	3.38	3.40	3.34	3.37	7468933	25093756.00
2011/12/20	3.37	3.40	3.35	3.36	6145126	20731020.00
2011/12/21	3.39	3.39	3.35	3.36	8329739	28093908.00
2011/12/22	3.36	3.39	3.25	3.34	7292383	24234820.00
2011/12/23	3.34	3.42	3.34	3.37	5906314	19911884.00
2011/12/26	3.36	3.52	3.34	3.42	13952213	47955568.00
2011/12/27	3.37	3.41	3.35	3.36	6263011	21123600.00
2011/12/28	3.39	3.43	3.35	3.41	8124564	27515278.00
2011/12/29	3.40	3.44	3.38	3.39	5681953	19403210.00
2011/12/30	3.41	3.45	3.39	3.45	8064053	27632468.00
2012/01/04	3.46	3.47	3.41	3.41	9067673	31258288.00
2012/01/05	3.46	3.52	3.41	3.44	11961501	41278596.00
2012/01/06	3.42	3.45	3.37	3.44	8494394	28901652.00
2012/01/09	3.43	3.50	3.38	3.50	15505497	53537540.00
2012/01/10	3.47	3.62	3.45	3.58	29782711	105201208.00
2012/01/11	3.56	3.66	3.52	3.59	29108370	104902736.00
2012/01/12	3.57	3.57	3.47	3.50	19823106	69749344.00
2012/01/13	3.48	3.50	3.43	3.45	12747470	44057172.00
2012/01/16	3.43	3.45	3.38	3.39	9708505	33125470.00
2012/01/17	3.39	3.56	3.38	3.54	18376466	63668224.00
2012/01/18	3.52	3.53	3.44	3.45	14969653	52168840.00
2012/01/19	3.44	3.50	3.42	3.46	9619633	33259100.00
2012/01/20	3.46	3.48	3.43	3.46	7872151	27210324.00
2012/01/30	3.48	3.48	3.42	3.42	6125907	21130488.00
2012/01/31	3.43	3.44	3.40	3.42	7489832	25571736.00
2012/02/01	3.43	3.44	3.40	3.40	6713243	22903112.00
2012/02/02	3.41	3.45	3.40	3.45	8394259	28727548.00
2012/02/03	3.44	3.47	3.42	3.46	8909503	30738728.00
2012/02/06	3.46	3.47	3.43	3.47	7345881	25378858.00
2012/02/07	3.47	3.47	3.42	3.43	21857337	75166160.00
2012/02/08	3.43	3.46	3.42	3.45	52480916	180518848.00
2012/02/15	3.52	3.80	3.48	3.68	73174580	268491968.00
2012/02/16	3.63	3.66	3.55	3.59	37034011	133058368.00
2012/02/17	3.59	3.62	3.50	3.55	22597769	79878928.00
2012/02/20	3.58	3.60	3.52	3.53	17728192	62990816.00
2012/02/21	3.52	3.55	3.51	3.55	14186610	50112516.00
2012/02/22	3.53	3.57	3.51	3.57	22179252	78544936.00
2012/02/23	3.58	3.67	3.56	3.64	34321225	124235000.00
2012/02/24	3.67	3.67	3.58	3.65	30056759	108962088.00
2012/02/27	3.65	3.73	3.65	3.68	33637615	124021632.00
2012/02/28	3.70	3.79	3.65	3.74	37293383	138868992.00
2012/02/29	3.74	3.74	3.61	3.63	21272409	78092120.00
2012/03/01	3.63	3.65	3.60	3.62	10349798	37473660.00
2012/03/02	3.62	3.66	3.62	3.66	14824962	53938960.00
2012/03/05	3.67	3.68	3.59	3.60	20529043	74354472.00
2012/03/06	3.57	3.57	3.51	3.52	15485749	54725992.00
2012/03/07	3.50	3.60	3.48	3.53	15223227	53745600.00
2012/03/08	3.34	3.46	3.34	3.45	123105643	419529696.00
2012/03/09	3.43	3.43	3.36	3.41	57227694	194142480.00
2012/03/12	3.41	3.41	3.35	3.38	44443644	150108704.00
2012/03/13	3.38	3.42	3.38	3.40	35536650	120546648.00
2012/03/14	3.42	3.59	3.38	3.41	114659756	397452224.00
2012/03/15	3.39	3.40	3.28	3.32	53727722	178928528.00
2012/03/16	3.31	3.35	3.30	3.35	31142509	103437488.00
2012/03/19	3.33	3.35	3.29	3.35	31461638	104518184.00
2012/03/20	3.33	3.43	3.30	3.41	60798363	205166240.00
