600026 中海发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.72	6.78	6.69	6.75	1810138	12377775.00
2011/10/11	6.97	6.97	6.74	6.88	3105832	21640190.00
2011/10/12	6.85	7.19	6.80	7.12	8556842	61512848.00
2011/10/13	7.08	7.32	7.07	7.31	10227102	74895424.00
2011/10/14	7.26	7.26	7.09	7.16	6451926	46809368.00
2011/10/17	7.15	7.22	7.05	7.11	5011128	36191884.00
2011/10/18	7.05	7.07	6.89	6.90	4740326	33542308.00
2011/10/19	6.91	7.01	6.85	6.90	2999063	21093204.00
2011/10/20	6.87	6.92	6.68	6.74	3868778	26537656.00
2011/10/21	6.73	6.84	6.70	6.77	2645988	18162250.00
2011/10/24	6.79	7.04	6.74	7.02	4936012	34559288.00
2011/10/25	7.02	7.17	6.90	7.10	6734234	48287912.00
2011/10/26	7.08	7.20	7.02	7.10	6816059	49195564.00
2011/10/27	7.12	7.23	7.08	7.10	5199532	37693300.00
2011/10/28	7.17	7.35	7.17	7.26	11430925	84231328.00
2011/10/31	7.26	7.30	7.11	7.23	6115275	44644016.00
2011/11/01	7.15	7.30	7.07	7.19	8801800	63710204.00
2011/11/02	7.07	7.25	6.98	7.23	6509134	46810996.00
2011/11/03	7.24	7.42	7.18	7.32	13762435	101835648.00
2011/11/04	7.32	7.36	7.24	7.30	8953309	66294024.00
2011/11/07	7.25	7.32	7.19	7.21	4385720	32187328.00
2011/11/08	7.21	7.26	7.13	7.15	3378089	24652362.00
2011/11/09	7.15	7.29	7.13	7.29	5596606	41005020.00
2011/11/10	7.20	7.22	7.07	7.08	6040143	43762332.00
2011/11/11	7.08	7.13	7.04	7.07	2472979	17780184.00
2011/11/14	7.12	7.21	7.09	7.18	3730501	27101384.00
2011/11/15	7.16	7.19	7.12	7.18	3863197	28060644.00
2011/11/16	7.18	7.18	6.91	6.97	4347856	31058932.00
2011/11/17	6.97	7.00	6.87	6.88	3546396	24941218.00
2011/11/18	6.87	6.97	6.76	6.84	4254259	29588092.00
2011/11/21	6.88	6.89	6.81	6.88	1471717	10228061.00
2011/11/22	6.83	6.94	6.81	6.90	2053617	14329540.00
2011/11/23	6.92	6.94	6.72	6.75	2396288	16570799.00
2011/11/24	6.70	6.83	6.68	6.81	1686235	11521480.00
2011/11/25	6.77	6.81	6.71	6.77	1424957	9763608.00
2011/11/28	6.77	6.77	6.66	6.74	2817317	19173254.00
2011/11/29	6.76	6.84	6.72	6.81	2399009	16522676.00
2011/11/30	6.78	6.82	6.41	6.43	4897878	32650052.00
2011/12/01	6.58	6.65	6.49	6.57	4218523	28197560.00
2011/12/02	6.57	6.58	6.45	6.46	2357328	15545251.00
2011/12/05	6.46	6.46	6.34	6.39	3174550	20602820.00
2011/12/06	6.40	6.43	6.35	6.41	2164389	14057286.00
2011/12/07	6.43	6.47	6.37	6.46	1721877	11255181.00
2011/12/08	6.45	6.57	6.39	6.49	1823378	11974666.00
2011/12/09	6.44	6.49	6.39	6.44	1314674	8571772.00
2011/12/12	6.41	6.48	6.37	6.45	1236612	8067069.00
2011/12/13	6.44	6.49	6.30	6.42	2749672	17860132.00
2011/12/14	6.41	6.41	6.27	6.30	1574919	10152800.00
2011/12/15	6.24	6.29	6.00	6.02	2669011	16685380.00
2011/12/16	6.03	6.11	5.90	6.09	3035401	18516768.00
2011/12/19	6.01	6.06	5.90	6.03	1968885	11936215.00
2011/12/20	6.00	6.08	5.99	6.01	1758775	10788647.00
2011/12/21	6.08	6.10	5.92	5.93	1899400	11660412.00
