600033 福建高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.40	2.45	2.38	2.41	6396694	17434638.00
2011/10/11	2.46	2.47	2.39	2.41	4979648	13582787.00
2011/10/12	2.40	2.47	2.39	2.47	6101672	16782256.00
2011/10/13	2.47	2.51	2.45	2.50	6824075	19030612.00
2011/10/14	2.49	2.51	2.46	2.50	5438693	15128674.00
2011/10/17	2.50	2.51	2.46	2.49	3437925	9576628.00
2011/10/18	2.47	2.48	2.42	2.43	4680679	12822111.00
2011/10/19	2.42	2.46	2.42	2.43	3065492	8383310.00
2011/10/20	2.43	2.43	2.36	2.39	4764810	12791875.00
2011/10/21	2.38	2.40	2.34	2.37	3465133	9247742.00
2011/10/24	2.37	2.41	2.34	2.41	6648605	17799416.00
2011/10/25	2.41	2.45	2.38	2.44	6610895	17989548.00
2011/10/26	2.43	2.47	2.41	2.44	8147805	22338620.00
2011/10/27	2.48	2.49	2.46	2.47	9831678	27297904.00
2011/10/28	2.49	2.50	2.46	2.48	9971731	27765368.00
2011/10/31	2.49	2.49	2.46	2.49	5441376	15097441.00
2011/11/01	2.47	2.50	2.46	2.48	7297073	20299888.00
2011/11/02	2.45	2.50	2.42	2.50	8731572	24098016.00
2011/11/03	2.50	2.54	2.48	2.51	10994354	30939168.00
2011/11/04	2.52	2.53	2.49	2.53	8795238	24719902.00
2011/11/07	2.52	2.54	2.49	2.50	6849346	19284412.00
2011/11/08	2.50	2.53	2.48	2.51	9696610	27179580.00
2011/11/09	2.51	2.52	2.47	2.51	7106233	19863304.00
2011/11/10	2.49	2.50	2.46	2.47	7388938	20560032.00
2011/11/11	2.47	2.49	2.45	2.46	4808097	13325633.00
2011/11/14	2.47	2.51	2.47	2.51	8364507	23351400.00
2011/11/15	2.50	2.51	2.49	2.50	6018892	16837962.00
2011/11/16	2.50	2.51	2.45	2.46	9076773	25245164.00
2011/11/18	2.44	2.45	2.38	2.40	7958081	21568684.00
2011/11/21	2.40	2.42	2.39	2.41	3275215	8852998.00
2011/11/22	2.40	2.42	2.38	2.42	4215013	11398615.00
2011/11/23	2.42	2.42	2.38	2.39	3708519	9995898.00
2011/11/24	2.39	2.40	2.36	2.38	3924889	10515719.00
2011/11/25	2.38	2.39	2.36	2.37	3242454	8659213.00
2011/11/28	2.37	2.38	2.36	2.37	2030820	5418936.00
2011/11/29	2.38	2.40	2.36	2.39	3535993	9475650.00
2011/11/30	2.39	2.39	2.28	2.30	6013664	15774126.00
2011/12/01	2.34	2.38	2.33	2.34	5544253	14712096.00
2011/12/02	2.33	2.34	2.29	2.31	3170293	8267828.00
2011/12/05	2.31	2.32	2.24	2.25	4342950	11145785.00
2011/12/06	2.25	2.27	2.22	2.24	3498712	8905092.00
2011/12/07	2.25	2.26	2.23	2.25	2137264	5453695.00
2011/12/08	2.26	2.26	2.22	2.25	3585676	9126100.00
2011/12/09	2.24	2.25	2.23	2.23	2198907	5575626.00
2011/12/12	2.23	2.25	2.23	2.24	2356307	5992370.00
2011/12/13	2.23	2.24	2.16	2.18	5816864	14527738.00
2011/12/14	2.17	2.19	2.14	2.15	3381648	8336755.00
2011/12/15	2.14	2.15	2.09	2.10	5086729	12282593.00
2011/12/16	2.10	2.16	2.06	2.15	4730955	11403224.00
2011/12/19	2.13	2.15	2.09	2.13	3605625	8692952.00
2011/12/20	2.13	2.16	2.11	2.11	2334014	5686618.00
2011/12/21	2.13	2.14	2.10	2.10	2975407	7209755.00
2011/12/22	2.09	2.10	2.04	2.07	4656932	11042637.00
2011/12/23	2.07	2.12	2.06	2.11	3145330	7545638.00
2011/12/26	2.10	2.13	2.08	2.11	3306114	7965945.00
2011/12/27	2.11	2.12	2.05	2.07	2438064	5825826.00
