600039 四川路桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.04	2.07	2.01	2.04	1801675	14081040.00
2011/10/11	2.08	2.11	2.03	2.06	2000451	15762784.00
2011/10/12	2.04	2.12	2.03	2.12	3126159	25001434.00
2011/10/13	2.12	2.16	2.10	2.14	2381695	19437960.00
2011/10/14	2.18	2.18	2.13	2.15	2834270	23220756.00
2011/10/17	2.16	2.23	2.16	2.21	4910467	41282036.00
2011/10/20	2.26	2.28	2.11	2.14	6192826	52204860.00
2011/10/21	2.12	2.13	1.98	2.03	2943269	22999748.00
2011/10/24	2.01	2.08	2.01	2.07	2174095	17019886.00
2011/10/25	2.06	2.11	2.02	2.11	3686912	29218738.00
2011/10/26	2.10	2.13	2.07	2.11	2813000	22658914.00
2011/10/27	2.10	2.19	2.10	2.17	5135629	42128460.00
2011/10/28	2.19	2.19	2.15	2.18	3448413	28571430.00
2011/10/31	2.21	2.23	2.17	2.19	3074064	25665844.00
2011/11/01	2.19	2.20	2.14	2.14	3923447	32338476.00
2011/11/02	2.11	2.18	2.08	2.18	3466301	28059980.00
2011/11/03	2.19	2.22	2.17	2.18	3685197	30752152.00
2011/11/04	2.17	2.23	2.16	2.19	3146121	26376700.00
2011/11/07	2.21	2.21	2.15	2.17	2197621	18273124.00
2011/11/08	2.16	2.18	2.13	2.13	1913287	15699128.00
2011/11/09	2.15	2.17	2.11	2.16	1546999	12646399.00
2011/11/10	2.12	2.14	2.10	2.10	2559385	20652758.00
2011/11/11	2.10	2.14	2.09	2.13	1473064	11891166.00
2011/11/14	2.14	2.17	2.13	2.16	1929190	15835598.00
2011/11/15	2.16	2.19	2.15	2.19	2451306	20309670.00
2011/11/16	2.19	2.19	2.11	2.14	2616531	21347642.00
2011/11/17	2.14	2.16	2.13	2.14	1853017	15159173.00
2011/11/18	2.13	2.14	2.09	2.10	1907235	15341738.00
2011/11/21	2.10	2.13	2.09	2.13	930163	7473822.00
2011/11/22	2.12	2.12	2.08	2.10	944977	7579385.00
2011/11/23	2.11	2.19	2.10	2.15	4989795	41224904.00
2011/11/24	2.12	2.15	2.11	2.12	1608525	13039640.00
2011/11/25	2.12	2.14	2.09	2.11	1396000	11286438.00
2011/11/28	2.11	2.14	2.10	2.11	988281	7971077.00
2011/11/29	2.12	2.15	2.11	2.14	1995989	16221455.00
2011/11/30	2.15	2.15	1.96	1.98	3758246	29257036.00
2011/12/01	2.07	2.10	2.01	2.04	4495613	35211904.00
2011/12/02	2.03	2.05	1.94	1.98	2758429	20899552.00
2011/12/05	1.98	1.98	1.90	1.90	1485899	10961459.00
2011/12/06	1.90	1.93	1.88	1.89	829499	6053171.00
