600054 黄山旅游 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	15.89	15.89	14.89	15.37	2169939	33880080.00
2011/10/11	15.74	15.74	15.04	15.41	1740406	27165104.00
2011/10/12	15.41	16.09	15.19	15.83	1619850	25859448.00
2011/10/13	15.97	16.23	15.71	16.03	1501058	24459618.00
2011/10/14	16.03	16.07	15.68	15.95	616833	9900858.00
2011/10/17	16.01	16.05	15.82	15.91	615490	9953182.00
2011/10/18	15.85	15.85	15.57	15.57	594847	9466939.00
2011/10/19	15.60	15.90	15.58	15.67	714702	11403202.00
2011/10/20	15.59	15.67	15.15	15.53	428321	6646004.00
2011/10/21	15.48	15.77	15.20	15.38	494865	7771836.00
2011/10/24	15.44	15.71	15.36	15.61	508288	8009885.00
2011/10/25	15.69	16.18	15.59	16.12	1047799	16887756.00
2011/10/26	15.99	16.46	15.92	16.36	1408639	23100064.00
2011/10/27	16.32	16.59	16.29	16.51	1131697	18878756.00
2011/10/28	16.69	16.89	16.09	16.62	3451721	57672616.00
2011/10/31	16.62	16.62	16.27	16.38	1558712	25892002.00
2011/11/01	16.25	16.69	16.13	16.43	1703372	28330904.00
2011/11/02	16.19	17.00	16.18	16.87	2345592	39652580.00
2011/11/03	16.88	17.09	16.73	16.76	1708345	29215264.00
2011/11/04	16.87	17.14	16.64	16.95	2008573	34394144.00
2011/11/07	17.00	17.00	16.69	16.70	427805	7261810.00
2011/11/08	16.74	16.77	16.29	16.41	963107	16074855.00
2011/11/09	16.50	17.07	16.33	17.00	1612423	27189496.00
2011/11/10	16.79	17.29	16.70	17.08	2146522	37049708.00
2011/11/11	17.07	17.65	16.89	17.19	2218445	38899432.00
2011/11/14	17.16	17.34	17.10	17.33	1420941	24796132.00
2011/11/15	17.27	17.59	17.10	17.38	1135919	19943624.00
2011/11/16	17.38	17.58	16.67	16.77	1002817	17320264.00
2011/11/17	16.74	17.06	16.74	16.79	493736	8424335.00
2011/11/18	16.72	16.75	16.30	16.49	525070	8761441.00
2011/11/21	16.43	16.66	16.43	16.61	272136	4561600.00
2011/11/22	16.44	17.11	16.44	17.11	1537765	26266852.00
2011/11/23	17.24	17.56	17.21	17.41	2459578	43357380.00
2011/11/24	17.34	17.56	17.12	17.46	942159	16559599.00
2011/11/25	17.45	17.46	16.99	17.04	613157	10669653.00
2011/11/28	17.17	17.17	16.79	16.93	471869	8096221.00
2011/11/29	17.08	17.18	16.93	17.07	1389298	23961298.00
2011/11/30	16.97	17.12	15.96	16.12	1125668	18786286.00
2011/12/01	16.50	16.74	16.09	16.17	2310571	38319820.00
2011/12/02	16.19	16.27	15.46	15.52	1715878	27503888.00
2011/12/05	15.45	15.64	15.29	15.30	2242785	35067144.00
2011/12/06	15.39	15.44	14.88	15.24	2998400	45831932.00
2011/12/07	15.18	15.39	15.13	15.29	1333164	20653368.00
2011/12/08	15.19	15.35	14.89	15.29	1916140	29471556.00
2011/12/09	15.14	15.35	14.97	15.06	990614	15175629.00
2011/12/12	15.04	15.17	14.59	14.63	1941743	29243032.00
2011/12/13	14.49	14.50	14.20	14.46	1194923	17464428.00
2011/12/14	14.39	14.59	14.37	14.49	1237453	18187100.00
2011/12/15	14.48	14.77	14.22	14.64	934902	13776521.00
2011/12/16	14.52	14.96	14.50	14.93	1029478	15395739.00
2011/12/19	14.89	15.08	14.65	14.95	1064173	16024266.00
2011/12/20	14.89	15.06	14.61	14.64	1011100	15216512.00
2011/12/21	14.70	14.81	14.35	14.36	784972	11657471.00
