600055 华润万东 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.80	13.80	12.91	13.06	648789	8782793.00
2011/10/11	13.34	13.55	13.02	13.26	754002	10112816.00
2011/10/12	13.06	13.50	12.86	13.48	3494881	45977268.00
2011/10/13	13.15	13.40	13.14	13.20	2642534	35231452.00
2011/10/14	13.20	13.20	12.53	12.76	2217142	28657088.00
2011/10/17	13.00	13.00	12.70	12.83	1014637	13103781.00
2011/10/18	12.71	12.85	12.52	12.56	920833	11805634.00
2011/10/19	12.68	12.71	12.46	12.69	655317	8330354.00
2011/10/20	12.69	12.89	12.46	12.78	1012841	12950053.00
2011/10/21	12.86	12.94	12.60	12.85	679271	8757055.00
2011/10/24	12.85	12.85	11.92	12.50	1023746	12852573.00
2011/10/25	12.50	12.70	12.31	12.61	1304117	16526313.00
2011/10/26	12.61	12.84	12.55	12.75	2030637	25968572.00
2011/10/27	12.75	13.05	12.70	12.80	1064951	13803494.00
2011/10/28	12.97	13.40	12.85	13.39	2133210	28320118.00
2011/10/31	13.34	14.08	13.25	13.62	2241695	30921248.00
2011/11/01	13.50	14.27	13.43	14.08	2643061	36963316.00
2011/11/02	13.90	14.28	13.70	14.20	2309412	32800434.00
2011/11/03	14.30	14.35	13.91	13.93	2320683	32949592.00
2011/11/04	14.02	14.08	13.78	13.93	1278968	17908276.00
2011/11/07	13.86	14.25	13.86	13.91	860429	12135282.00
2011/11/08	13.98	14.14	13.82	13.91	1379202	19437530.00
2011/11/09	13.97	14.24	13.82	14.22	1013534	14342911.00
2011/11/10	14.06	14.75	14.02	14.49	2720311	39674648.00
2011/11/11	14.69	14.88	14.12	14.20	2242553	32738344.00
2011/11/14	14.35	14.80	14.20	14.76	2433287	35728480.00
2011/11/15	14.77	15.08	14.57	14.79	2340636	34968908.00
2011/11/17	14.52	14.80	14.47	14.54	1878138	27579616.00
2011/11/18	14.50	14.69	14.15	14.20	1820639	26502492.00
2011/11/21	14.12	14.37	13.87	14.24	1121358	15920420.00
2011/11/22	14.28	14.36	13.93	14.35	691309	9889415.00
2011/11/23	14.35	14.48	14.21	14.30	860902	12446286.00
2011/11/24	14.18	14.72	14.11	14.67	1683137	24588820.00
