600062 华润双鹤 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	18.55	18.55	18.08	18.20	1175923	22667980.00
2011/10/11	18.63	18.70	17.91	18.05	1715906	33171670.00
2011/10/12	18.00	18.52	17.90	18.47	2729121	52716292.00
2011/10/13	18.42	18.93	18.41	18.68	3274381	64725184.00
2011/10/14	18.70	18.75	17.93	17.95	7759461	148880992.00
2011/10/17	18.10	18.26	17.95	18.17	2273286	43623592.00
2011/10/18	18.18	18.20	17.36	17.41	3301743	61839904.00
2011/10/19	17.39	17.50	16.72	17.18	4034836	72957952.00
2011/10/20	16.94	17.11	16.56	16.92	1663581	29666794.00
2011/10/21	17.00	17.09	16.13	16.32	2932841	51281684.00
2011/10/24	16.35	16.45	15.83	16.34	2275326	39243416.00
2011/10/25	16.40	17.03	16.34	16.76	4531156	80746456.00
2011/10/26	16.88	17.32	16.76	17.15	3753113	67965808.00
2011/10/27	17.19	17.44	17.06	17.13	2444559	44652336.00
2011/10/28	17.25	17.58	17.09	17.48	2982106	54840044.00
2011/10/31	17.68	17.68	16.92	17.00	5099292	92913128.00
2011/11/01	16.94	17.43	16.83	17.37	4378160	80209448.00
2011/11/02	17.15	18.10	17.06	18.03	4973507	92876184.00
2011/11/03	18.02	18.45	17.95	18.04	4530597	87229784.00
2011/11/04	18.06	18.25	17.55	18.14	5911035	111369584.00
2011/11/07	18.10	18.10	17.74	17.79	3270023	61959084.00
2011/11/08	17.83	17.90	17.56	17.75	2529978	47475280.00
2011/11/09	17.73	17.81	17.35	17.65	3844075	71376880.00
2011/11/10	17.45	17.45	17.13	17.13	3733211	68443992.00
2011/11/11	17.34	17.34	17.04	17.08	2272361	41390516.00
2011/11/14	17.24	17.60	17.16	17.56	4914460	90603880.00
2011/11/15	17.58	18.09	17.51	18.08	8766210	165822688.00
2011/11/16	18.17	18.34	17.65	17.81	6888018	131404824.00
2011/11/17	17.80	17.93	17.45	17.77	2720817	50892472.00
2011/11/18	17.56	17.65	16.70	16.85	4352980	78723376.00
2011/11/21	16.85	16.85	15.75	16.08	6907461	118276000.00
2011/11/22	15.88	16.03	15.25	15.86	10253995	170614288.00
2011/11/24	15.37	15.95	15.37	15.82	4962707	83045808.00
2011/11/25	15.72	15.87	15.41	15.70	3322641	55433312.00
2011/11/28	15.79	15.90	15.50	15.68	2529899	42154016.00
2011/11/29	15.81	16.63	15.76	16.59	11322876	197186608.00
2011/11/30	16.60	16.61	16.04	16.28	7600447	132285632.00
2011/12/01	16.77	16.90	16.43	16.57	6489598	115077336.00
2011/12/02	16.45	16.67	15.84	16.63	4916996	84865968.00
2011/12/05	16.52	16.52	16.05	16.21	3145209	54485308.00
2011/12/06	16.24	16.34	15.46	15.66	4417364	74611280.00
2011/12/07	15.63	15.67	15.33	15.56	5866944	97173968.00
2011/12/08	15.46	15.49	14.88	15.19	5464012	88502832.00
2011/12/09	15.01	15.20	14.57	15.10	4319922	68742792.00
2011/12/12	15.05	15.05	14.60	14.62	4065061	64296916.00
2011/12/13	14.58	14.61	14.16	14.38	3787666	58180096.00
2011/12/14	14.39	14.39	14.18	14.30	1891421	29025656.00
2011/12/15	14.07	14.23	13.76	13.84	2347363	35188872.00
2011/12/16	13.83	14.47	13.77	14.38	3011712	45584268.00
2011/12/19	14.31	14.63	13.91	14.55	2270629	34682376.00
2011/12/20	14.56	14.62	14.27	14.29	2214743	34336252.00
2011/12/21	14.50	14.54	13.95	14.01	2682059	40735228.00
2011/12/22	13.91	13.91	13.30	13.65	4119609	60326680.00
2011/12/23	13.80	14.09	13.55	13.97	2362243	35220248.00
2011/12/26	13.76	14.09	13.65	13.97	3227449	48098132.00
2011/12/27	13.88	13.88	13.41	13.78	3033229	44584584.00
2011/12/28	13.62	14.08	13.53	14.05	3134705	46594468.00
2011/12/29	13.96	14.25	13.85	14.16	2585507	38945440.00
2011/12/30	14.08	14.60	14.08	14.55	3431230	52684712.00
2012/01/04	14.55	14.55	13.60	13.65	2113279	32097056.00
2012/01/05	13.59	13.64	12.18	12.21	9916952	134815872.00
2012/01/06	11.96	12.15	11.23	11.63	8698103	109496840.00
2012/01/09	11.55	12.17	11.37	12.14	7180305	92559888.00
2012/01/10	12.06	12.85	11.98	12.81	6275265	85091568.00
2012/01/11	12.83	12.88	12.36	12.49	8398805	115002720.00
2012/01/12	12.49	12.73	12.41	12.59	5429385	73939320.00
2012/01/13	12.62	12.65	11.85	12.07	5716832	75215392.00
2012/01/16	11.81	11.92	11.40	11.45	2318173	29513864.00
2012/01/17	11.50	12.25	11.37	12.20	4945598	64328128.00
2012/01/18	12.21	12.64	11.55	11.87	6473432	85946536.00
2012/01/19	11.76	12.28	11.76	12.23	4496542	59115300.00
2012/01/20	12.31	12.73	12.17	12.67	6257056	84807272.00
2012/01/30	12.73	12.73	12.27	12.43	4025847	54318228.00
2012/01/31	12.45	12.48	12.21	12.44	2040608	27359680.00
2012/02/01	12.45	12.54	12.23	12.30	2554002	34222844.00
2012/02/02	12.30	12.53	12.24	12.49	3109919	41790844.00
2012/02/03	12.46	13.03	12.40	12.89	6669671	92104752.00
2012/02/06	12.90	13.18	12.85	13.10	7310136	102752872.00
2012/02/07	13.04	13.04	12.57	12.67	4600403	63386056.00
2012/02/08	12.65	13.15	12.55	13.08	4986744	69484560.00
2012/02/09	13.08	13.34	12.98	13.20	5400206	76912504.00
2012/02/10	13.15	13.35	13.03	13.20	5818078	83000296.00
2012/02/13	13.10	13.55	12.97	13.40	6826650	98282016.00
2012/02/14	13.42	13.46	13.19	13.31	5087675	72943928.00
2012/02/15	13.28	13.65	13.20	13.61	7390748	106933512.00
2012/02/16	13.55	13.70	13.27	13.46	7148134	103874728.00
2012/02/17	13.48	13.59	13.21	13.36	3677983	53072336.00
2012/02/20	13.48	13.65	13.33	13.33	6378504	92690184.00
2012/02/21	13.32	13.42	13.03	13.41	5262424	75254112.00
2012/02/22	13.42	13.89	13.36	13.85	11966690	176220848.00
2012/02/23	13.89	14.05	13.70	13.94	8530758	127327904.00
2012/02/24	13.96	14.70	13.90	14.52	15306826	236010288.00
2012/02/27	14.55	15.15	14.49	14.70	16212106	257979792.00
2012/02/28	14.64	14.93	14.51	14.76	9481726	149457104.00
2012/02/29	14.77	14.92	14.58	14.70	5211691	82285424.00
2012/03/01	14.63	14.82	14.30	14.46	9078796	141588096.00
2012/03/02	14.45	14.82	14.35	14.80	6192616	96853024.00
2012/03/05	14.86	15.15	14.62	14.66	6658956	105959376.00
2012/03/06	14.61	14.61	14.15	14.28	6754733	103813840.00
2012/03/07	14.13	14.39	14.06	14.16	5077162	77452912.00
2012/03/08	14.30	14.95	14.23	14.91	7379690	115469440.00
2012/03/12	15.13	15.63	14.81	15.61	16814344	274054816.00
2012/03/13	15.24	15.40	15.06	15.32	17381523	283166144.00
2012/03/14	15.45	15.60	14.47	14.57	15923785	258423344.00
2012/03/15	14.55	15.02	14.15	14.65	10688183	167242704.00
2012/03/16	14.73	15.54	14.70	15.36	17955886	290603008.00
2012/03/19	15.38	15.95	15.38	15.93	21501568	361391776.00
2012/03/20	15.94	15.94	15.44	15.46	11346436	188999728.00
2012/03/21	15.55	15.77	15.18	15.69	9195022	152571536.00
2012/03/22	15.60	15.67	15.26	15.34	6299341	103853472.00
2012/03/23	15.25	15.30	14.58	14.82	8049203	128834704.00
2012/03/26	14.78	14.93	14.63	14.85	3987718	63090336.00
2012/03/27	14.91	15.35	14.70	14.85	6409516	103569960.00
2012/03/28	14.84	14.85	13.95	14.03	6787949	103917128.00
2012/03/29	13.95	14.00	13.13	13.39	5693379	83545712.00
2012/03/30	13.37	13.60	12.79	13.00	5594148	79349840.00
2012/04/05	13.06	13.61	12.93	13.53	8746026	125037288.00
2012/04/06	13.45	13.70	13.35	13.53	5258917	76665856.00
2012/04/09	13.44	13.50	13.15	13.18	4386650	63058992.00
2012/04/10	13.14	13.69	12.92	13.67	4267417	61121240.00
2012/04/11	13.50	13.75	13.38	13.69	4149995	60794596.00
2012/04/12	13.70	14.18	13.66	14.13	5687384	85171344.00
2012/04/13	14.14	14.31	14.02	14.16	4797926	72929816.00
2012/04/16	14.03	14.16	13.87	14.05	3609653	54313496.00
2012/04/17	14.05	14.14	13.83	14.02	3560810	53598352.00
2012/04/18	14.12	14.44	13.90	14.43	4698226	71623216.00
2012/04/19	14.44	14.52	14.13	14.28	4174331	64165680.00
2012/04/20	14.24	14.42	14.15	14.35	4466304	68624968.00
2012/04/23	14.34	14.39	13.96	14.10	5402733	82009424.00
2012/04/24	14.04	14.23	13.36	13.72	6004510	88879560.00
2012/04/25	13.70	13.80	13.43	13.72	5634698	82793744.00
2012/04/26	13.79	14.06	13.65	13.80	6397605	95376264.00
2012/04/27	13.76	14.19	13.75	14.07	5731823	86444368.00
2012/05/02	14.55	15.58	14.50	15.58	17591407	284792000.00
2012/05/03	15.77	16.41	15.61	16.22	31225251	537072064.00
2012/05/04	16.10	16.70	16.07	16.45	20461011	356316480.00
2012/05/07	16.38	17.65	16.33	17.16	26786518	482571648.00
2012/05/08	17.15	17.25	16.86	17.13	15999999	288942016.00
2012/05/09	16.87	17.40	16.70	16.80	17248065	310975136.00
2012/05/10	16.65	17.20	16.45	16.61	19444420	347074304.00
2012/05/11	16.65	17.13	16.28	16.75	19321261	344809792.00
2012/05/14	16.76	17.65	16.51	16.95	21451779	389284928.00
2012/05/15	16.67	16.83	16.20	16.52	13300311	232804032.00
2012/05/16	16.50	17.02	16.30	16.58	11967248	212523024.00
2012/05/17	16.45	17.00	16.45	16.56	9868017	175104464.00
2012/05/18	16.36	16.58	16.11	16.33	8419259	146287968.00
2012/05/21	16.28	17.00	16.06	16.95	12695058	225907664.00
2012/05/22	17.00	17.32	16.84	16.95	13810356	250040576.00
2012/05/23	16.90	17.71	16.73	17.60	16199543	295676800.00
2012/05/24	17.53	17.92	17.25	17.31	15209793	283104160.00
2012/05/25	17.32	17.39	16.58	16.63	9088462	162941232.00
2012/05/28	16.50	16.88	15.77	16.86	9448061	164206128.00
2012/05/29	16.73	16.92	16.50	16.85	7909583	140611200.00
2012/05/30	16.81	17.02	16.56	16.62	6996013	124784840.00
2012/06/01	16.66	17.86	16.64	17.72	18129625	334529184.00
2012/06/04	17.40	18.42	17.30	17.74	19757332	376072576.00
2012/06/05	17.67	19.44	17.67	18.79	21440376	422701728.00
2012/06/06	18.80	19.06	18.40	18.76	12655600	249267504.00
2012/06/07	18.83	19.13	18.24	18.26	10229456	201467312.00
2012/06/08	18.36	18.45	17.83	18.29	7436527	143002896.00
2012/06/11	18.43	18.75	18.24	18.57	7621892	149151888.00
2012/06/12	18.42	19.09	18.33	18.36	7664135	151529984.00
2012/06/13	18.35	19.35	18.35	19.24	11269145	225654976.00
2012/06/14	19.24	19.50	18.83	19.06	7915496	159095440.00
2012/06/15	18.97	19.70	18.85	18.98	7526141	152697776.00
2012/06/18	18.89	19.27	18.75	19.16	5327802	107105352.00
2012/06/19	19.05	19.22	18.75	18.90	6291134	125637472.00
2012/06/20	18.97	19.02	18.03	18.06	8667924	168024992.00
2012/06/21	17.97	17.97	17.40	17.62	6858044	128500232.00
2012/06/25	17.65	17.92	17.07	17.17	6031416	112628128.00
2012/06/26	17.15	17.45	16.78	17.28	4864102	88428232.00
2012/06/27	17.28	18.08	17.21	17.76	7484035	140930960.00
2012/06/28	17.93	18.18	17.52	17.58	5056682	95669512.00
2012/06/29	17.63	18.09	17.45	18.03	4935914	93090968.00
2012/07/02	18.25	18.81	18.02	18.60	7416957	144952704.00
2012/07/03	18.59	18.62	18.03	18.30	6247657	121251016.00
2012/07/04	18.30	18.38	16.42	16.56	17634467	319697792.00
2012/07/05	16.55	16.92	16.25	16.58	5895761	104533936.00
2012/07/06	16.75	17.30	16.40	17.15	7036107	126022704.00
2012/07/09	17.05	17.45	16.85	16.85	7121475	129613840.00
2012/07/10	16.73	16.77	16.31	16.33	5633930	99168960.00
2012/07/11	16.25	16.80	16.16	16.76	5376734	94335608.00
2012/07/12	16.67	17.35	16.62	17.01	7709282	140288608.00
2012/07/13	17.13	17.20	16.80	16.91	3315740	59727912.00
2012/07/16	17.14	17.42	16.83	16.94	8965046	163814976.00
2012/07/17	16.75	17.14	16.26	17.09	4055467	72584696.00
2012/07/18	17.14	17.45	16.99	17.44	6583665	120353368.00
2012/07/19	17.49	17.49	17.20	17.31	5579269	102711576.00
2012/07/20	17.44	17.66	17.11	17.25	3571934	64459256.00
2012/07/23	17.04	18.25	16.90	18.03	8799298	162612592.00
2012/07/24	17.98	18.71	17.84	18.57	7140412	135783744.00
2012/07/25	18.57	18.67	18.25	18.43	4361972	83042832.00
2012/07/26	18.44	18.52	17.82	17.92	6259764	117816808.00
2012/07/27	17.84	18.00	17.24	17.68	6063575	110037136.00
2012/07/30	17.59	17.68	16.96	17.09	5330155	94955800.00
2012/07/31	17.12	17.46	16.84	17.41	3069061	54906588.00
2012/08/01	17.39	18.19	17.16	18.02	4682071	86849936.00
2012/08/02	17.99	18.72	17.93	18.32	8199164	156851568.00
2012/08/03	18.32	19.25	18.25	19.18	11297034	221094768.00
2012/08/06	19.14	20.44	18.87	20.07	13429613	274396128.00
2012/08/07	20.03	20.39	19.66	19.88	8152352	168213552.00
2012/08/08	19.84	20.00	19.39	19.60	4421079	89693784.00
2012/08/09	19.58	20.34	19.48	20.24	5779685	120006744.00
2012/08/10	20.34	20.79	20.01	20.14	5037467	106270376.00
2012/08/13	20.06	20.44	20.00	20.12	3513764	73291112.00
2012/08/14	20.16	20.34	19.25	19.66	4390656	89169848.00
2012/08/15	19.68	20.31	19.36	20.02	3208021	66366612.00
2012/08/16	19.87	20.44	19.20	19.31	3521510	71587688.00
2012/08/17	19.31	19.43	18.99	19.33	1810479	35963648.00
2012/08/20	19.00	19.90	18.62	19.82	3608630	72856440.00
2012/08/21	19.77	20.69	19.64	20.33	5493396	114832920.00
