600072 *ST钢构 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	20.63	21.03	20.51	20.79	6323243	131511640.00
2011/10/11	21.20	21.52	19.86	20.09	6705621	138979456.00
2011/10/12	19.88	21.10	19.38	20.85	9787904	201985664.00
2011/10/13	20.65	21.11	20.59	21.04	7325889	153268544.00
2011/10/14	21.03	21.06	20.50	20.70	4838919	100333424.00
2011/10/17	20.71	21.45	20.56	21.23	8511413	179910816.00
2011/10/18	21.00	22.50	20.60	21.59	17643539	380664384.00
2011/10/19	21.48	22.22	21.28	21.59	14476285	314733824.00
2011/10/20	21.28	21.28	19.71	19.98	11805761	240020384.00
2011/10/21	19.97	20.20	19.46	19.50	6052687	120161408.00
2011/10/24	19.70	20.92	19.20	20.80	10273768	206650896.00
2011/10/25	20.57	21.20	20.48	20.92	9274521	193290992.00
2011/10/26	20.78	21.16	20.59	20.69	7432725	155315584.00
2011/10/27	20.70	21.31	20.70	20.95	7550995	158900624.00
2011/10/28	21.25	21.30	20.76	21.18	9648579	203597056.00
2011/10/31	21.18	21.85	21.13	21.37	10217876	219707104.00
2011/11/01	21.10	21.70	21.02	21.20	6574109	140263152.00
2011/11/02	20.83	21.36	20.08	21.23	12305567	254140640.00
2011/11/03	21.18	21.85	21.05	21.41	12767633	274494816.00
2011/11/04	21.58	22.86	21.20	22.36	24006701	527458656.00
2011/11/07	22.15	22.15	21.70	21.71	11549656	252955024.00
2011/11/08	21.72	22.50	21.60	21.72	11903873	262767728.00
2011/11/09	21.94	22.20	21.70	22.11	9087478	199705440.00
2011/11/10	21.80	22.08	21.63	21.65	8788641	191835040.00
2011/11/11	21.68	21.87	21.25	21.35	5625634	121118576.00
2011/11/14	21.40	21.98	21.40	21.83	6732370	146492064.00
2011/11/15	21.73	21.97	21.46	21.86	7156460	155375648.00
2011/11/16	21.84	21.84	21.05	21.19	6995250	149789552.00
2011/11/17	21.11	21.58	21.11	21.15	4626630	98586056.00
2011/11/18	20.98	21.39	20.00	21.14	11561681	238621600.00
2011/11/21	20.94	21.02	20.24	20.53	4550479	93643744.00
2011/11/22	20.20	20.39	19.89	20.14	4251437	85507456.00
2011/11/23	20.21	20.35	19.90	20.01	3364167	67744096.00
2011/11/24	19.60	19.99	19.51	19.67	4057562	80080272.00
2011/11/25	19.79	19.81	19.28	19.30	4062344	79377136.00
2011/11/28	19.30	19.47	19.01	19.09	3258877	62723408.00
2011/11/29	19.33	21.00	19.12	21.00	13534778	275828704.00
2011/11/30	21.20	21.36	20.00	20.53	17632870	365599744.00
2011/12/01	21.16	21.90	20.68	21.05	18831874	401173056.00
2011/12/02	20.68	21.50	20.51	20.87	17296930	363363296.00
2011/12/05	20.58	20.80	19.21	19.46	9717258	193017520.00
2011/12/06	19.20	19.86	19.17	19.59	6180869	120415896.00
2011/12/07	20.00	21.39	19.82	20.48	16528484	342290208.00
2011/12/08	20.01	20.52	19.50	20.12	10716046	213623872.00
2011/12/09	19.85	20.00	19.51	19.75	5955643	117467000.00
2011/12/12	19.88	20.19	19.71	19.73	5940453	118578480.00
