600073 上海梅林 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.42	5.47	5.36	5.39	783706	7171345.00
2011/10/11	5.47	5.57	5.26	5.34	927812	8551468.00
2011/10/12	5.36	5.49	5.30	5.49	1178157	10861618.00
2011/10/13	5.48	5.62	5.43	5.56	1827771	17246036.00
2011/10/14	5.56	5.66	5.49	5.65	2425862	22950908.00
2011/10/17	5.66	5.66	5.59	5.63	1426598	13645567.00
2011/10/18	5.63	5.95	5.60	5.75	6369064	62426212.00
2011/10/19	5.82	5.89	5.42	5.49	4091262	38943764.00
2011/10/20	5.49	5.65	5.41	5.55	3861572	36294160.00
2011/10/21	5.54	5.56	5.36	5.37	1335498	12365689.00
2011/10/24	5.45	5.60	5.27	5.53	2449784	22692184.00
2011/10/25	5.53	5.78	5.49	5.70	3222860	30971172.00
2011/10/26	5.68	5.83	5.66	5.80	3270195	31921936.00
2011/10/27	5.80	5.87	5.72	5.72	2556159	25104984.00
2011/10/28	5.79	5.86	5.72	5.83	2470285	24332018.00
2011/10/31	5.77	5.88	5.77	5.83	1715191	16942232.00
2011/11/01	5.79	5.94	5.79	5.86	1438525	14275109.00
2011/11/02	5.80	5.88	5.66	5.87	2458497	23996396.00
2011/11/03	5.91	6.01	5.86	5.88	4924603	49489364.00
2011/11/04	5.89	5.95	5.86	5.91	1849777	18470124.00
2011/11/07	5.91	6.00	5.85	6.00	2802333	28275652.00
2011/11/08	5.99	6.04	5.94	5.94	1747020	17676904.00
2011/11/09	5.95	6.03	5.81	6.02	2488140	25030104.00
2011/11/10	5.99	5.99	5.89	5.92	1523091	15338642.00
2011/11/11	5.89	5.94	5.85	5.89	1181516	11809929.00
2011/11/14	5.93	6.03	5.89	6.02	2191219	22173492.00
2011/11/15	6.01	6.08	5.99	6.05	1528275	15632888.00
2011/11/16	6.03	6.05	5.87	5.90	2510459	25261494.00
2011/11/17	5.89	5.95	5.84	5.86	1047537	10436427.00
2011/11/18	5.86	5.88	5.67	5.72	1813465	17654080.00
2011/11/21	5.72	5.77	5.66	5.72	1272172	12307138.00
2011/11/22	5.66	5.72	5.52	5.71	1988754	18938488.00
2011/11/23	5.70	5.72	5.64	5.65	779356	7494242.00
2011/11/24	5.63	5.74	5.57	5.68	1311030	12629676.00
2011/11/25	5.71	5.77	5.69	5.72	1170832	11376680.00
2011/11/28	5.72	5.83	5.69	5.83	1458532	14308699.00
2011/11/29	5.85	6.00	5.82	5.95	2325223	23339136.00
2011/11/30	5.91	6.02	5.70	5.86	3351133	33418688.00
2011/12/01	5.94	6.16	5.92	6.06	5882382	60178380.00
2011/12/02	6.02	6.06	5.93	6.00	1955916	19808750.00
2011/12/05	6.03	6.06	5.57	5.63	3860586	37933748.00
2011/12/06	5.65	5.85	5.47	5.85	3126470	29936528.00
2011/12/07	5.80	6.02	5.80	5.98	4380127	43720100.00
2011/12/08	5.91	6.02	5.77	5.94	7123428	70976160.00
2011/12/09	5.83	5.85	5.56	5.60	3570354	34494704.00
2011/12/12	5.60	5.62	5.29	5.35	2795837	25903064.00
2011/12/13	5.35	5.37	5.02	5.08	2554515	22372480.00
2011/12/14	5.06	5.14	4.77	4.79	1997054	16827834.00
2011/12/15	4.78	4.84	4.68	4.74	1826445	14775962.00
2011/12/16	4.76	4.92	4.71	4.91	1556509	12733189.00
2011/12/19	4.99	5.18	4.89	5.09	3358868	28873128.00
2011/12/20	5.04	5.17	5.00	5.15	2697833	23466922.00
2011/12/21	5.18	5.29	5.03	5.05	2252372	19886642.00
2011/12/22	5.00	5.01	4.76	4.91	1413475	11744563.00
2011/12/23	4.91	4.99	4.88	4.94	1800453	15136734.00
2011/12/26	4.97	5.01	4.91	4.93	906642	7643214.00
2011/12/27	4.91	4.93	4.71	4.71	1155411	9435119.00
2011/12/28	4.71	4.82	4.69	4.79	1181420	9566221.00
2011/12/29	4.85	4.88	4.80	4.82	802227	6599520.00
2011/12/30	4.82	4.99	4.82	4.97	1109708	9269603.00
2012/01/04	4.99	5.02	4.85	4.85	900474	7558048.00
2012/01/05	4.82	4.88	4.68	4.70	1148056	9381340.00
2012/01/06	4.56	4.70	4.22	4.24	6433388	46801120.00
2012/01/09	4.16	4.31	4.08	4.31	4896270	35505932.00
2012/01/10	4.28	4.53	4.27	4.51	4915519	37067928.00
2012/01/11	4.49	4.58	4.47	4.51	2577264	19866100.00
2012/01/12	4.50	4.57	4.45	4.52	1792604	13821950.00
2012/01/13	4.77	4.99	4.76	4.99	16397021	138385504.00
2012/01/16	4.83	4.90	4.47	4.47	9780784	78403488.00
2012/01/17	4.51	4.79	4.48	4.75	6692034	53014888.00
2012/01/18	4.69	4.77	4.52	4.60	4696930	37333380.00
2012/01/19	4.60	4.67	4.51	4.60	2685990	21121774.00
2012/01/20	4.72	4.83	4.63	4.79	3515413	28442280.00
2012/01/30	4.81	4.89	4.76	4.82	3019516	24778518.00
2012/01/31	4.82	4.82	4.70	4.79	1678880	13583607.00
2012/02/01	4.79	4.82	4.59	4.62	2617522	21000972.00
2012/02/02	4.60	4.74	4.60	4.73	1695538	13473132.00
2012/02/03	4.73	4.90	4.70	4.88	4600705	37800688.00
2012/02/06	4.85	4.89	4.80	4.86	2398179	19789880.00
2012/02/07	4.82	4.83	4.68	4.72	2412546	19454612.00
2012/02/08	4.71	4.85	4.70	4.85	2004557	16373449.00
2012/02/09	4.86	4.94	4.84	4.85	2999077	24921560.00
2012/02/10	4.85	4.94	4.82	4.88	2115870	17577696.00
2012/02/13	4.85	5.04	4.83	4.98	3207590	27075744.00
2012/02/14	4.98	5.00	4.91	4.94	2375801	19959420.00
2012/02/15	4.92	5.08	4.91	5.05	3085681	26359292.00
2012/02/16	5.05	5.11	4.96	5.02	2755262	23604940.00
2012/02/17	5.06	5.06	4.94	4.99	1915311	16272467.00
2012/02/20	5.04	5.12	4.99	5.00	2489986	21373000.00
2012/02/21	4.99	5.05	4.89	5.05	1825806	15487918.00
2012/02/22	5.03	5.15	5.01	5.13	3280191	28440584.00
2012/02/23	5.11	5.28	5.11	5.14	4335172	38162024.00
2012/02/24	5.15	5.34	5.08	5.28	4544334	40313800.00
2012/02/27	5.30	5.40	5.22	5.23	4946149	44469016.00
2012/02/28	5.19	5.26	5.15	5.23	2811555	24842962.00
2012/02/29	5.23	5.23	5.11	5.18	2295226	20130604.00
2012/03/01	5.17	5.22	5.13	5.18	1366926	12050635.00
2012/03/02	5.21	5.28	5.18	5.26	1820073	16212501.00
2012/03/05	5.26	5.36	5.23	5.28	3335796	30037388.00
