600080 金花股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.66	6.66	6.49	6.53	1234085	8179159.00
2011/10/11	6.62	6.76	6.47	6.62	1206016	8056296.00
2011/10/12	6.60	6.95	6.49	6.91	2041376	14019950.00
2011/10/13	6.92	6.97	6.85	6.92	1351505	9421638.00
2011/10/14	6.92	6.92	6.80	6.90	1237524	8553646.00
2011/10/17	6.93	6.96	6.73	6.74	2599300	17879312.00
2011/10/18	6.69	6.70	6.58	6.61	1525203	10215663.00
2011/10/19	6.66	6.68	6.60	6.65	900431	6033724.00
2011/10/20	6.65	6.67	6.31	6.44	1807890	11782280.00
2011/10/21	6.34	6.44	6.24	6.26	1124820	7196145.00
2011/10/24	6.33	6.42	6.26	6.42	955898	6132696.00
2011/10/25	6.42	6.74	6.42	6.69	3142716	21175970.00
2011/10/26	6.62	6.83	6.57	6.79	2084469	14207327.00
2011/10/27	6.99	6.99	6.75	6.79	2425898	16809476.00
2011/10/28	6.85	6.98	6.75	6.93	3201988	22284392.00
2011/10/31	6.95	7.24	6.87	7.14	4801878	34469720.00
2011/11/01	7.11	7.24	7.05	7.20	3372606	24285464.00
2011/11/02	7.12	7.46	7.07	7.44	6811611	50279524.00
2011/11/03	7.44	7.51	7.34	7.40	5257433	39316944.00
2011/11/04	7.41	7.49	7.33	7.46	4059025	30338970.00
2011/11/07	7.46	7.62	7.42	7.45	3859265	29174452.00
2011/11/08	7.44	7.48	7.24	7.31	2641792	19560484.00
2011/11/09	7.38	7.49	7.30	7.48	2542130	18945148.00
2011/11/10	7.40	7.69	7.39	7.66	5577575	42512336.00
2011/11/14	7.79	8.01	7.70	7.95	8147712	64265812.00
2011/11/15	7.94	8.35	7.89	8.34	12766253	105743232.00
2011/11/16	8.31	8.34	7.94	8.07	7932103	64871344.00
2011/11/17	8.24	8.48	8.17	8.45	19871666	169229232.00
2011/11/18	8.33	8.58	8.21	8.25	11741824	98769448.00
2011/11/21	8.24	8.67	7.95	8.60	13384230	112597632.00
2011/11/22	8.48	8.98	8.46	8.59	11085129	97617104.00
2011/11/25	8.64	8.83	8.35	8.36	6525174	55990036.00
2011/11/28	8.28	8.45	8.11	8.20	6468095	53591816.00
2011/11/29	8.29	8.57	8.19	8.56	7063402	60166600.00
2011/11/30	8.57	8.84	8.26	8.32	11282058	97077424.00
2011/12/01	8.63	8.73	8.33	8.35	12395046	106494880.00
2011/12/02	8.24	8.27	7.93	7.93	10837302	87571408.00
2011/12/05	7.74	8.01	7.68	7.75	5807629	45981516.00
2011/12/06	7.75	7.85	7.36	7.37	18525365	138508640.00
2011/12/07	7.39	7.39	7.11	7.26	10337874	75363632.00
2011/12/08	7.18	7.22	6.89	7.00	12215768	85874512.00
2011/12/09	6.90	7.18	6.84	7.01	6618157	46892108.00
2011/12/12	7.09	7.09	6.84	6.92	3559845	25014804.00
2011/12/13	6.83	6.87	6.61	6.63	5102968	34385312.00
2011/12/14	6.60	6.88	6.59	6.79	4354202	29657868.00
2011/12/15	6.73	6.99	6.65	6.94	4443342	30746576.00
2011/12/16	6.93	7.03	6.70	6.99	5069661	35139796.00
2011/12/19	6.91	7.01	6.79	6.94	3809740	26491896.00
2011/12/20	6.95	7.03	6.85	6.90	3323255	23336080.00
2011/12/21	7.04	7.11	6.86	6.90	3666616	25913580.00
2011/12/22	6.89	7.02	6.73	6.98	3584363	24949884.00
2011/12/23	6.98	7.15	6.89	7.14	4779037	34114340.00
2011/12/26	7.13	7.16	7.00	7.03	3201227	22807492.00
2011/12/27	6.98	7.07	6.88	6.88	1776067	12489679.00
2011/12/28	6.82	6.82	6.53	6.53	4167200	27536104.00
2011/12/29	6.37	6.54	6.37	6.49	2068546	13512571.00
