600083 博信股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.21	7.24	7.10	7.18	712960	5096194.00
2011/10/11	7.30	7.34	7.07	7.16	714002	5137366.00
2011/10/12	7.08	7.34	7.05	7.34	1125568	8178247.00
2011/10/13	7.34	7.48	7.26	7.44	1051208	7806366.00
2011/10/14	7.41	7.47	7.30	7.36	703808	5189850.00
2011/10/17	7.32	7.55	7.32	7.46	897250	6699617.00
2011/10/18	7.48	7.64	7.35	7.40	1825151	13692709.00
2011/10/19	7.33	7.52	7.33	7.40	465051	3446411.00
2011/10/20	7.40	7.44	7.03	7.03	1466862	10427670.00
2011/10/21	7.04	7.08	6.92	6.99	579261	4048981.00
2011/10/24	7.00	7.08	6.68	6.99	1212412	8356859.00
2011/10/25	6.99	7.15	6.98	7.14	1105705	7827629.00
2011/10/26	7.11	7.21	7.00	7.13	878400	6262442.00
2011/10/27	7.17	7.21	7.09	7.14	585193	4175119.00
2011/10/28	7.18	7.25	7.00	7.21	805863	5776255.00
2011/10/31	7.13	7.22	7.10	7.16	970446	6937489.00
2011/11/01	7.16	7.19	7.06	7.15	826247	5895891.00
2011/11/02	7.07	7.20	7.01	7.20	1365604	9706520.00
2011/11/03	7.20	7.34	7.15	7.21	1527530	11059778.00
2011/11/04	7.22	7.36	7.21	7.32	1384042	10057304.00
2011/11/07	7.32	7.42	7.25	7.31	1193132	8743174.00
2011/11/08	7.35	7.35	7.18	7.23	840380	6077593.00
2011/11/09	7.22	7.28	7.16	7.27	1227270	8849364.00
2011/11/10	7.20	7.28	7.10	7.16	1159463	8293781.00
2011/11/11	7.18	7.26	7.10	7.16	918094	6558201.00
2011/11/14	7.18	7.27	7.15	7.26	1251477	9045877.00
2011/11/15	7.29	7.58	7.18	7.51	5857673	43365980.00
2011/11/16	7.47	7.50	7.33	7.37	2075201	15346845.00
2011/11/17	7.40	7.47	7.33	7.39	1017308	7540620.00
2011/11/18	7.39	7.76	7.39	7.59	6736777	51559120.00
2011/11/21	7.51	7.59	7.21	7.21	2881360	20895332.00
2011/11/22	7.05	7.27	6.87	7.25	4153541	29445282.00
2011/11/23	7.23	7.26	7.10	7.10	1121499	8019192.00
2011/11/24	7.06	7.08	6.88	7.04	1465089	10244198.00
2011/11/25	7.03	7.05	6.95	7.04	894320	6251727.00
2011/11/28	7.08	7.08	6.95	6.98	566069	3953424.00
2011/11/29	7.02	7.05	6.98	7.02	574172	4020736.00
2011/11/30	7.02	7.07	6.67	6.71	1494399	10127691.00
2011/12/01	6.86	6.93	6.78	6.79	1134534	7775099.00
2011/12/02	6.84	6.84	6.45	6.45	1721100	11249141.00
2011/12/05	6.46	6.46	6.19	6.27	1049208	6633651.00
2011/12/06	6.28	6.32	5.96	5.96	2045970	12282797.00
2011/12/07	5.95	5.95	5.66	5.66	4713159	26814006.00
2011/12/08	5.64	5.64	5.38	5.48	4832278	26204796.00
2011/12/09	5.40	5.45	5.27	5.30	2013686	10764946.00
2011/12/12	5.26	5.42	5.26	5.34	1353386	7238288.00
2011/12/13	5.29	5.34	5.07	5.07	1691701	8625124.00
2011/12/14	5.07	5.07	4.82	4.82	2657747	12873272.00
2011/12/15	4.63	4.70	4.58	4.58	1751312	8056152.00
2011/12/16	4.40	4.45	4.35	4.40	3205780	14007240.00
2011/12/19	4.40	4.40	4.18	4.33	2915900	12360624.00
2011/12/20	4.31	4.55	4.25	4.54	3432396	15494071.00
2011/12/21	4.52	4.65	4.31	4.31	2754007	12309375.00
2011/12/22	4.20	4.20	4.09	4.09	2789470	11463299.00
2011/12/23	4.01	4.24	4.00	4.13	1456567	6024413.00
2011/12/26	4.13	4.29	4.06	4.20	1047565	4388284.00
2011/12/27	4.19	4.19	4.01	4.08	866016	3532799.00
2011/12/28	4.00	4.10	3.94	4.09	1499443	6023898.00
2011/12/29	4.09	4.22	4.04	4.18	989470	4113140.00
2011/12/30	4.18	4.37	4.14	4.36	2164949	9276049.00
2012/01/04	4.37	4.40	4.25	4.32	1889929	8135855.00
2012/01/05	4.30	4.30	4.10	4.10	1199810	4963367.00
2012/01/06	3.93	4.25	3.93	4.20	2172324	8939146.00
