600088 中视传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.17	12.80	12.17	12.41	2497858	31615268.00
2011/10/11	13.31	13.51	12.77	13.01	11363818	152317312.00
2011/10/12	12.81	14.33	12.66	14.33	11161660	155548320.00
2011/10/13	14.69	15.78	14.51	15.78	24892128	386844032.00
2011/10/14	16.21	16.31	15.41	15.87	24613586	392317984.00
2011/10/17	15.83	16.28	15.61	16.02	25628785	413331648.00
2011/10/18	15.71	16.21	15.54	16.00	20898846	335653888.00
2011/10/19	16.01	16.11	14.59	14.92	21459284	331608448.00
2011/10/20	14.87	15.21	14.53	14.76	16505795	249268352.00
2011/10/21	14.51	14.92	14.31	14.41	12056294	177480560.00
2011/10/24	14.46	15.87	14.13	15.87	27197299	417225504.00
2011/10/25	15.88	17.31	15.66	16.30	38865018	639167616.00
2011/10/26	15.99	17.72	15.88	16.81	36306104	613131584.00
2011/10/27	16.51	16.78	16.16	16.38	17571265	291673504.00
2011/10/28	16.71	17.79	16.46	16.77	28810091	494944384.00
2011/10/31	16.64	17.46	16.41	17.13	22401953	386287040.00
2011/11/01	16.70	17.21	16.63	16.91	16392996	280212384.00
2011/11/02	16.50	18.62	16.42	18.62	33098239	595469376.00
2011/11/03	19.01	19.11	18.03	18.17	33433931	623045824.00
2011/11/04	17.86	18.50	17.42	17.96	19075718	344779456.00
2011/11/07	17.67	18.11	17.49	18.08	12629173	228238128.00
2011/11/08	18.09	18.22	17.52	17.65	11349708	204871104.00
2011/11/09	17.71	19.08	17.05	18.69	24646010	451571808.00
2011/11/10	18.06	18.49	16.94	17.14	19351281	348364288.00
2011/11/11	17.14	18.01	16.84	17.14	12816069	224947520.00
2011/11/14	17.31	17.65	16.81	17.34	9646383	169317040.00
2011/11/15	17.29	17.75	17.03	17.69	13698437	242414464.00
2011/11/16	17.64	17.64	16.89	17.13	10516099	182895216.00
2011/11/17	17.11	17.32	16.72	16.83	7466608	128268400.00
2011/11/18	16.71	17.01	16.22	16.41	10351090	174104400.00
2011/11/21	16.38	16.66	16.20	16.60	6212419	103384096.00
2011/11/22	16.42	17.07	16.41	16.87	10552970	178670928.00
2011/11/23	16.87	17.07	16.42	16.69	7837147	133031800.00
2011/11/24	16.41	17.01	16.31	16.61	5651102	95174336.00
2011/11/25	16.45	16.90	16.32	16.58	6242640	105066992.00
2011/11/29	16.58	16.61	15.91	16.20	9793438	160380816.00
2011/11/30	16.16	16.16	14.59	14.91	11651592	183223536.00
2011/12/01	15.61	15.66	14.81	14.97	8080919	125574328.00
2011/12/02	14.71	15.79	14.43	15.21	8163363	125071720.00
2011/12/05	15.06	15.48	14.62	14.75	5024298	76938528.00
2011/12/06	14.68	15.68	14.44	15.49	8688712	133519784.00
2011/12/07	15.46	16.16	15.32	15.91	12739572	204326144.00
2011/12/08	15.80	16.80	15.66	16.27	15807553	260242512.00
2011/12/09	16.08	16.16	15.26	15.28	9085416	144025584.00
2011/12/12	15.22	15.50	14.26	14.48	9611126	144287904.00
2011/12/13	14.30	15.20	13.71	14.80	14931415	216938736.00
2011/12/14	14.38	14.91	13.93	14.06	10524254	153142320.00
2011/12/15	13.76	14.42	13.51	13.63	8239516	116680712.00
2011/12/16	13.66	14.27	13.28	14.25	9912593	138947664.00
2011/12/19	13.93	15.69	13.81	15.69	23322457	350986048.00
2011/12/20	15.50	15.79	15.00	15.02	19506616	302774048.00
2011/12/21	15.10	15.64	14.81	14.87	11826801	182445456.00
2011/12/22	14.56	15.32	13.76	14.94	12053775	177575328.00
2011/12/23	14.65	15.49	14.45	14.96	10424172	158416032.00
2011/12/26	14.84	15.52	14.76	14.86	9211993	141534656.00
2011/12/27	14.59	14.74	13.51	13.77	11290596	161939328.00
2011/12/28	13.47	13.66	13.12	13.54	8927569	121347040.00
2011/12/29	13.41	13.70	13.32	13.47	5460414	74834752.00
2011/12/30	13.48	14.11	13.48	13.81	7403443	104148312.00
2012/01/04	13.99	14.30	13.30	13.32	7557196	106101272.00
2012/01/05	13.10	13.59	12.58	12.97	10230684	134883824.00
2012/01/06	12.88	13.21	12.72	13.17	5233882	68877952.00
2012/01/09	13.03	13.74	12.98	13.70	9460069	128847216.00
2012/01/10	13.61	14.31	13.53	14.25	12140861	172335312.00
2012/01/11	14.21	15.00	13.99	14.47	14259336	209900192.00
2012/01/12	14.31	14.66	14.21	14.27	6255035	91092904.00
2012/01/13	14.33	14.46	12.91	13.08	10864334	150052432.00
2012/01/16	12.77	13.01	12.51	12.53	5313330	68856680.00
2012/01/17	12.56	13.46	12.25	13.33	6777300	88891808.00
2012/01/18	13.32	13.69	12.49	12.65	10356862	138129120.00
2012/01/19	12.61	12.70	11.84	12.11	12849717	158137120.00
