600091 *ST明科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.30	5.30	5.18	5.24	1220626	6360259.00
2011/10/11	5.35	5.38	5.11	5.16	1478339	7781607.00
2011/10/12	5.17	5.34	5.12	5.33	1874409	9876193.00
2011/10/13	5.33	5.36	5.30	5.34	1410022	7515851.00
2011/10/14	5.28	5.35	5.28	5.34	1146252	6093384.00
2011/10/17	5.38	5.43	5.28	5.33	1448577	7748556.00
2011/10/18	5.28	5.29	5.10	5.14	1627650	8468069.00
2011/10/19	5.14	5.20	5.12	5.18	1483765	7655004.00
2011/10/20	5.13	5.18	4.92	4.99	2011659	10088065.00
2011/10/21	4.96	5.00	4.89	4.96	948108	4688965.00
2011/10/24	4.97	5.06	4.89	5.03	894424	4471102.00
2011/10/25	5.04	5.20	5.03	5.16	1545425	7911573.00
2011/10/26	5.16	5.23	5.10	5.11	1779604	9204772.00
2011/10/27	5.15	5.19	5.10	5.15	1006282	5189745.00
2011/10/28	5.17	5.27	5.17	5.23	1834067	9559704.00
2011/10/31	5.23	5.28	5.19	5.21	1457225	7605486.00
2011/11/01	5.21	5.25	5.17	5.21	1234099	6417991.00
2011/11/02	5.14	5.27	5.13	5.26	2070632	10802150.00
2011/11/03	5.27	5.36	5.24	5.26	2920223	15467400.00
2011/11/04	5.28	5.33	5.23	5.31	2451616	12963399.00
2011/11/07	5.27	5.35	5.24	5.31	1596958	8460661.00
2011/11/08	5.31	5.42	5.30	5.35	2816445	15098739.00
2011/11/09	5.38	5.39	5.26	5.35	1832216	9732800.00
2011/11/10	5.30	5.30	5.22	5.22	1379902	7255259.00
2011/11/11	5.25	5.27	5.20	5.24	1223688	6407329.00
2011/11/14	5.26	5.34	5.25	5.33	2094909	11103700.00
2011/11/15	5.33	5.41	5.29	5.41	2361609	12646557.00
2011/11/16	5.40	5.41	5.20	5.23	1701510	9010209.00
2011/11/17	5.23	5.36	5.21	5.30	1131862	5991720.00
2011/11/18	5.29	5.29	5.13	5.16	1463160	7621054.00
2011/11/21	5.13	5.16	4.94	4.99	2195083	10978066.00
2011/11/22	4.95	5.00	4.88	4.99	1549480	7662685.00
2011/11/23	4.99	5.05	4.91	4.93	811000	4024970.00
2011/11/24	4.93	4.93	4.76	4.86	1736246	8380919.00
2011/11/25	4.81	4.89	4.80	4.83	1296530	6272730.00
2011/11/28	4.84	4.88	4.82	4.83	1573388	7629409.00
