600098 广州发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.49	5.55	5.42	5.43	1423113	8349443.00
2011/10/11	5.53	5.58	5.29	5.35	2149760	12643043.00
2011/10/12	5.35	5.50	5.31	5.49	4676490	27331616.00
2011/10/13	5.48	5.55	5.43	5.52	3021844	17895704.00
2011/10/14	5.50	5.53	5.44	5.47	1461271	8601519.00
2011/10/17	5.49	5.53	5.45	5.48	1709414	10085270.00
2011/10/18	5.45	5.51	5.34	5.34	1930850	11226879.00
2011/10/19	5.39	5.43	5.27	5.27	1587862	9120374.00
2011/10/20	5.25	5.35	5.03	5.29	3530111	19705208.00
2011/10/21	5.34	5.50	5.15	5.35	4980930	28683782.00
2011/10/24	5.34	5.43	5.20	5.42	4464681	25612684.00
2011/10/25	5.40	5.55	5.34	5.50	4405891	25881716.00
2011/10/26	5.47	5.54	5.44	5.47	4395450	25985930.00
2011/10/27	5.46	5.71	5.45	5.53	6228687	37480176.00
2011/10/28	5.60	5.72	5.52	5.58	6164577	36883540.00
2011/10/31	5.58	5.75	5.44	5.72	8035629	48296776.00
2011/11/01	5.62	5.91	5.60	5.88	8655857	53588064.00
2011/11/02	5.78	5.92	5.71	5.91	4492150	28009568.00
2011/11/03	5.89	6.02	5.71	5.79	6619430	41622108.00
2011/11/04	5.78	5.90	5.77	5.82	4112340	25678172.00
2011/11/07	5.79	6.07	5.79	5.91	8492672	54058916.00
2011/11/08	5.94	6.26	5.94	6.16	9983998	65395872.00
2011/11/09	6.12	6.22	6.00	6.15	4946047	32304762.00
2011/11/10	6.09	6.19	6.02	6.09	5464238	35696568.00
2011/11/11	6.08	6.11	6.01	6.07	1917929	12388496.00
2011/11/14	6.12	6.30	6.09	6.22	3739892	24800178.00
2011/11/15	6.20	6.37	6.20	6.30	3614646	24300600.00
2011/11/16	6.29	6.29	6.01	6.02	4610303	30137916.00
2011/11/17	6.02	6.16	6.00	6.08	1733281	11245874.00
2011/11/18	6.07	6.07	5.91	5.93	2139022	13617883.00
2011/11/21	5.93	5.97	5.79	5.86	1134685	7121036.00
2011/11/22	5.81	5.92	5.81	5.86	1434209	9009040.00
2011/11/23	5.89	5.94	5.77	5.81	1912826	11965306.00
2011/11/24	5.77	5.88	5.65	5.81	2483022	15371665.00
2011/11/25	5.81	5.90	5.74	5.87	1730131	10833012.00
2011/11/28	5.94	6.11	5.89	6.04	3412740	21956508.00
2011/11/29	6.14	6.17	5.97	5.98	2732754	17646700.00
2011/11/30	5.99	6.13	5.76	5.79	3155017	20106686.00
2011/12/01	5.94	6.10	5.85	6.00	3009192	19257660.00
2011/12/02	5.98	6.00	5.71	5.86	3018715	18983946.00
2011/12/05	5.86	5.95	5.73	5.75	1252155	7813530.00
2011/12/06	5.75	5.85	5.69	5.79	1012065	6255575.00
2011/12/07	5.75	6.04	5.75	5.99	4064267	25929764.00
2011/12/08	5.97	6.12	5.90	5.93	3924856	25223042.00
2011/12/09	5.79	6.02	5.79	5.93	2386639	15205699.00
2011/12/12	5.94	6.11	5.88	6.10	5522198	35469968.00
2011/12/13	6.11	6.18	5.93	6.01	10130677	65947408.00
2011/12/14	6.00	6.34	5.92	6.27	10597721	70527352.00
2011/12/15	6.23	6.54	6.17	6.50	12216415	83417168.00
2011/12/16	6.49	6.55	6.40	6.54	8239160	56794892.00
2011/12/19	6.42	6.64	6.41	6.46	11150919	77519160.00
2011/12/20	6.46	6.60	6.35	6.36	5066152	34814008.00
2011/12/21	6.36	6.54	6.26	6.27	4326365	29729112.00
2011/12/22	6.23	6.51	6.19	6.50	4951514	33713940.00
2011/12/23	6.50	6.59	6.39	6.44	5999741	41492696.00
2011/12/26	6.43	6.57	6.33	6.48	5874898	40305900.00
2011/12/27	6.49	6.57	6.27	6.28	4841918	33083250.00
2011/12/28	6.23	6.47	6.17	6.46	5825844	38918388.00
2011/12/29	6.41	6.51	6.31	6.40	2371310	16271692.00
2011/12/30	6.37	6.55	6.34	6.50	3025806	20856388.00
2012/01/04	6.49	6.76	6.49	6.66	8071202	57218448.00
2012/01/06	6.56	6.56	6.10	6.34	7007324	47091800.00
2012/01/09	6.22	6.42	6.15	6.41	5503127	36793336.00
2012/01/10	6.44	6.58	6.34	6.56	9928161	68442128.00
2012/01/11	6.52	6.85	6.45	6.68	13600593	96465968.00
