600103 青山纸业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.67	3.69	3.61	3.66	5098619	18600314.00
2011/10/11	3.73	3.78	3.58	3.63	5296544	19510392.00
2011/10/12	3.63	3.76	3.60	3.75	8393703	31173872.00
2011/10/13	3.72	3.84	3.72	3.79	8249671	31237264.00
2011/10/14	3.79	3.79	3.71	3.75	5786598	21630126.00
2011/10/17	3.77	3.78	3.71	3.74	3275330	12258811.00
2011/10/18	3.72	3.73	3.61	3.62	4858208	17803600.00
2011/10/19	3.62	3.66	3.58	3.61	3384129	12236439.00
2011/10/20	3.59	3.61	3.48	3.50	6169492	21732238.00
2011/10/21	3.52	3.56	3.43	3.51	4401226	15412265.00
2011/10/24	3.50	3.55	3.44	3.53	6516318	22885276.00
2011/10/25	3.53	3.63	3.51	3.60	9258749	33103220.00
2011/10/26	3.59	3.65	3.56	3.62	11756989	42527792.00
2011/10/27	3.60	3.69	3.60	3.62	9428859	34384560.00
2011/10/28	3.65	3.69	3.61	3.68	12668676	46230112.00
2011/10/31	3.66	3.82	3.64	3.77	16953834	63664680.00
2011/11/01	3.73	3.82	3.68	3.73	13001521	48822928.00
2011/11/02	3.68	3.75	3.62	3.75	10077423	37066820.00
2011/11/03	3.75	3.81	3.71	3.78	16230899	61302600.00
2011/11/04	3.78	3.87	3.74	3.86	16903687	64335588.00
2011/11/07	3.84	3.97	3.74	3.87	27027428	104441912.00
2011/11/08	3.85	3.91	3.76	3.77	13308489	50822720.00
2011/11/09	3.77	3.80	3.70	3.78	9073420	34036104.00
2011/11/10	3.74	3.77	3.70	3.72	7373564	27487444.00
2011/11/11	3.72	3.74	3.68	3.70	5226994	19380924.00
2011/11/14	3.73	3.79	3.72	3.77	7841651	29538784.00
2011/11/15	3.77	3.80	3.75	3.78	6175336	23293050.00
2011/11/16	3.78	3.78	3.70	3.70	8236326	30690576.00
2011/11/17	3.70	3.72	3.65	3.65	5590557	20552448.00
2011/11/18	3.64	3.70	3.60	3.61	7024945	25510798.00
2011/11/21	3.62	3.63	3.58	3.61	3981010	14362514.00
2011/11/22	3.60	3.64	3.56	3.62	3171828	11395074.00
2011/11/23	3.61	3.71	3.61	3.65	7328388	26901896.00
2011/11/24	3.62	3.68	3.62	3.64	3692814	13472827.00
2011/11/25	3.70	3.75	3.64	3.65	8604221	31759872.00
2011/11/28	3.65	3.66	3.56	3.59	5444123	19542504.00
2011/11/29	3.60	3.62	3.58	3.61	4012618	14448407.00
2011/11/30	3.60	3.62	3.44	3.47	5772091	20312350.00
2011/12/01	3.55	3.58	3.50	3.53	4801963	17008416.00
2011/12/02	3.51	3.53	3.46	3.49	3753120	13101547.00
2011/12/05	3.50	3.50	3.38	3.42	6575041	22481158.00
2011/12/06	3.40	3.42	3.35	3.37	2432424	8222458.00
2011/12/07	3.50	3.69	3.48	3.52	13737873	48950112.00
2011/12/08	3.46	3.52	3.41	3.46	6489315	22434340.00
2011/12/09	3.43	3.45	3.35	3.38	6525164	22139952.00
2011/12/12	3.37	3.43	3.36	3.42	5801964	19709880.00
2011/12/13	3.40	3.41	3.34	3.36	4175654	14003987.00
2011/12/14	3.32	3.39	3.32	3.36	3616986	12143032.00
2011/12/15	3.33	3.36	3.19	3.20	9148076	29889872.00
2011/12/16	3.20	3.32	3.19	3.31	6001088	19439100.00
2011/12/19	3.30	3.34	3.21	3.30	3914537	12830807.00
2011/12/20	3.30	3.33	3.26	3.28	9354338	30798272.00
2011/12/21	3.30	3.30	3.21	3.23	6951000	22658156.00
2011/12/22	3.19	3.23	3.10	3.17	5677442	17907196.00
2011/12/23	3.16	3.21	3.15	3.18	6190440	19639202.00
2011/12/26	3.17	3.20	3.15	3.18	2503690	7961541.00
2011/12/27	3.18	3.18	3.11	3.13	3255003	10206196.00
2011/12/28	3.10	3.14	3.08	3.11	5344829	16585377.00
2011/12/29	3.10	3.12	3.07	3.08	3830047	11818877.00
2011/12/30	3.09	3.15	3.08	3.14	4381669	13659319.00
2012/01/04	3.14	3.17	3.08	3.08	2755373	8622485.00
2012/01/05	3.04	3.06	2.89	2.89	5053663	15115861.00
2012/01/06	2.90	2.92	2.78	2.89	4690510	13316537.00
2012/01/09	2.90	3.05	2.82	3.02	9742344	28700848.00
2012/01/10	2.99	3.12	2.98	3.12	12346729	37877144.00
2012/01/11	3.12	3.15	3.06	3.09	8880964	27471096.00
2012/01/12	3.07	3.12	3.05	3.07	5733274	17655878.00
2012/01/13	3.06	3.08	2.97	2.99	6371072	19180150.00
2012/01/16	2.96	3.00	2.94	2.95	3734700	11135991.00
2012/01/17	2.97	3.08	2.95	3.08	4901987	14866848.00
2012/01/18	3.08	3.10	3.00	3.01	6206984	18992442.00
2012/01/19	3.00	3.06	3.00	3.02	3878213	11713807.00
2012/01/20	3.03	3.06	3.01	3.04	3239235	9837325.00
2012/01/30	3.06	3.08	3.03	3.07	3964270	12129551.00
2012/01/31	3.05	3.06	3.00	3.04	2304443	6971677.00
2012/02/01	3.03	3.06	2.99	3.00	3389807	10209181.00
2012/02/02	3.01	3.04	2.99	3.04	4203683	12666536.00
2012/02/03	3.03	3.09	3.00	3.06	7608202	23221236.00
2012/02/06	3.06	3.11	3.05	3.09	7746970	23858492.00
2012/02/07	3.08	3.08	3.02	3.05	4791302	14558704.00
2012/02/08	3.04	3.10	3.02	3.10	6897544	21240888.00
2012/02/09	3.10	3.15	3.08	3.12	10041170	31371782.00
2012/02/10	3.11	3.25	3.10	3.19	19248403	61088952.00
2012/02/13	3.14	3.20	3.10	3.15	11026434	34732928.00
2012/02/14	3.13	3.34	3.13	3.27	25230663	81943600.00
2012/02/15	3.26	3.30	3.20	3.29	14528830	47325388.00
2012/02/16	3.28	3.37	3.24	3.29	13510624	44640448.00
2012/02/17	3.28	3.32	3.22	3.23	8035322	26122578.00
2012/02/20	3.26	3.29	3.22	3.24	8274278	26834084.00
2012/02/21	3.23	3.25	3.17	3.24	5365786	17227468.00
2012/02/22	3.25	3.28	3.22	3.27	8547091	27863744.00
2012/02/23	3.26	3.60	3.24	3.60	51720199	177612192.00
2012/02/24	3.77	3.77	3.56	3.74	61996136	228044256.00
2012/02/27	3.70	4.11	3.67	4.11	114805160	455357824.00
2012/02/28	4.08	4.15	3.97	4.05	92216648	373021888.00
2012/02/29	4.02	4.12	3.99	4.08	85990959	348689056.00
2012/03/01	4.05	4.26	4.02	4.20	109450133	453057760.00
2012/03/02	4.22	4.32	4.01	4.16	90439143	373892736.00
2012/03/05	4.16	4.21	4.05	4.07	66096930	270327072.00
2012/03/06	4.05	4.08	3.99	4.04	39891223	161103888.00
2012/03/07	4.00	4.04	3.91	3.96	36256678	144561552.00
2012/03/08	3.96	4.01	3.92	3.97	33154545	131427600.00
2012/03/09	4.00	4.01	3.93	3.97	25491759	100856184.00
2012/03/12	3.96	3.99	3.91	3.94	19478991	76767688.00
2012/03/13	3.94	3.96	3.85	3.96	31456485	122950656.00
2012/03/14	3.96	4.03	3.60	3.67	51587909	200655104.00
2012/03/15	3.65	3.69	3.46	3.55	28775381	102502376.00
2012/03/16	3.54	3.72	3.51	3.69	22545437	81546304.00
2012/03/19	3.66	3.69	3.59	3.66	13511940	49283756.00
2012/03/20	3.63	3.64	3.55	3.56	13527635	48573148.00
2012/03/21	3.58	3.62	3.51	3.60	11165154	39963868.00
2012/03/22	3.60	3.63	3.52	3.59	11648834	41879820.00
2012/03/23	3.59	3.59	3.49	3.51	10870204	38320116.00
2012/03/26	3.51	3.59	3.49	3.54	10370944	36830060.00
2012/03/27	3.56	3.62	3.52	3.57	12108661	43406008.00
2012/03/28	3.55	3.58	3.36	3.37	14421772	49559724.00
2012/03/29	3.35	3.41	3.25	3.34	13299907	44300680.00
2012/03/30	3.38	3.38	3.28	3.34	7632501	25408496.00
2012/04/05	3.37	3.43	3.33	3.41	9115589	30922288.00
2012/04/06	3.42	3.48	3.37	3.45	13827733	47478624.00
2012/04/09	3.43	3.48	3.38	3.42	9935896	34155736.00
2012/04/10	3.41	3.44	3.25	3.41	12817605	42889960.00
2012/04/11	3.37	3.43	3.34	3.41	10178433	34556280.00
2012/04/12	3.42	3.58	3.40	3.55	24635959	86589192.00
2012/04/13	3.56	3.66	3.53	3.55	21364672	76365992.00
2012/04/16	3.51	3.63	3.50	3.58	12089877	43224468.00
2012/04/17	3.56	3.63	3.48	3.50	12039572	42698792.00
2012/04/18	3.50	3.58	3.45	3.57	15063577	53053364.00
2012/04/19	3.55	3.58	3.51	3.56	11093476	39314480.00
2012/04/20	3.57	3.70	3.54	3.67	27468525	100224632.00
2012/04/23	3.65	3.65	3.50	3.55	18438852	66079744.00
2012/04/24	3.50	3.57	3.35	3.47	16847039	57701504.00
2012/04/25	3.44	3.53	3.40	3.50	11860638	41105372.00
2012/04/26	3.50	3.60	3.47	3.51	13270766	46783796.00
2012/04/27	3.51	3.51	3.41	3.41	10420709	35856600.00
2012/05/02	3.45	3.48	3.39	3.40	11706965	39957828.00
2012/05/03	3.40	3.40	3.31	3.34	11595267	38735088.00
2012/05/04	3.34	3.46	3.33	3.41	10649826	36232108.00
2012/05/07	3.37	3.40	3.33	3.38	8316113	27967832.00
2012/05/09	3.37	3.37	3.32	3.32	6604514	22034408.00
2012/05/10	3.32	3.37	3.31	3.35	6311282	21126832.00
2012/05/11	3.35	3.37	3.31	3.33	4948157	16512241.00
2012/05/14	3.35	3.43	3.31	3.36	9531395	32143720.00
2012/05/15	3.32	3.59	3.32	3.53	29517083	102614656.00
2012/05/16	3.73	3.88	3.60	3.62	49570935	184427072.00
2012/05/17	3.60	3.71	3.46	3.53	31586818	111601528.00
2012/05/18	3.46	3.48	3.35	3.38	21173924	72241256.00
2012/05/21	3.38	3.40	3.31	3.36	10119699	33931944.00
2012/05/22	3.36	3.39	3.36	3.38	7049936	23787990.00
2012/05/23	3.38	3.38	3.32	3.35	8223744	27510452.00
2012/05/24	3.36	3.45	3.32	3.37	11713475	39615440.00
2012/05/25	3.35	3.62	3.35	3.52	37917459	133520536.00
2012/05/28	3.48	3.53	3.37	3.47	21282476	73536744.00
2012/05/29	3.43	3.49	3.42	3.46	19356736	67035652.00
2012/05/30	3.47	3.81	3.43	3.70	69986683	256763936.00
2012/05/31	3.59	3.80	3.55	3.76	44484994	164338512.00
2012/06/01	3.75	3.75	3.62	3.72	18716102	68841488.00
2012/06/04	3.62	3.67	3.56	3.57	12523274	45161064.00
2012/06/05	3.55	3.62	3.50	3.58	10653223	37901340.00
2012/06/06	3.59	3.65	3.56	3.61	9284890	33530540.00
2012/06/07	3.62	3.66	3.54	3.61	10332602	37104600.00
2012/06/08	3.61	3.68	3.55	3.62	12409154	44924184.00
2012/06/11	3.63	3.65	3.58	3.64	9310236	33700784.00
2012/06/12	3.62	3.73	3.58	3.73	19280445	70473680.00
2012/06/13	3.70	3.83	3.67	3.71	18892517	70168200.00
2012/06/14	3.70	3.72	3.61	3.65	9934941	36191676.00
2012/06/15	3.63	3.67	3.57	3.61	7381347	26692900.00
2012/06/18	3.61	3.62	3.56	3.57	8175070	29293696.00
2012/06/19	3.55	3.56	3.46	3.48	11445885	40112188.00
2012/06/20	3.48	3.50	3.41	3.41	9262905	31943338.00
2012/06/21	3.38	3.43	3.38	3.40	7661041	26117088.00
2012/06/25	3.41	3.48	3.31	3.33	14295398	48218948.00
2012/06/26	3.34	3.37	3.31	3.33	12112101	40339716.00
2012/06/27	3.33	3.35	3.29	3.29	7153698	23720996.00
