600106 重庆路桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/11	3.74	3.76	3.49	3.57	8116635	62463500.00
2011/10/12	3.56	3.67	3.47	3.66	5602044	42597748.00
2011/10/13	3.64	3.72	3.62	3.68	4767495	37113716.00
2011/10/14	3.68	3.68	3.59	3.62	3253575	24905854.00
2011/10/17	3.61	3.67	3.59	3.63	3311572	25431036.00
2011/10/18	3.62	3.62	3.43	3.43	4082539	30485212.00
2011/10/19	3.44	3.48	3.34	3.35	4454444	32133314.00
2011/10/20	3.33	3.39	3.29	3.30	4485870	31767888.00
2011/10/21	3.27	3.31	3.05	3.07	7727674	51733684.00
2011/10/24	3.08	3.13	3.01	3.10	4643605	30570264.00
2011/10/25	3.10	3.23	3.08	3.19	6281179	42278720.00
2011/10/26	3.18	3.24	3.15	3.20	7290130	49919828.00
2011/10/27	3.21	3.29	3.20	3.27	6614205	45696608.00
2011/10/28	3.35	3.43	3.23	3.39	13206836	93096800.00
2011/10/31	3.41	3.60	3.40	3.57	15921210	118201784.00
2011/11/01	3.53	3.54	3.42	3.48	11477430	84723128.00
2011/11/02	3.39	3.52	3.38	3.52	7345199	53745212.00
2011/11/03	3.52	3.61	3.49	3.53	10699816	80367952.00
2011/11/04	3.55	3.58	3.49	3.55	7259323	54448984.00
2011/11/07	3.56	3.63	3.52	3.58	6572537	49881712.00
2011/11/08	3.58	3.60	3.50	3.50	5129717	38392512.00
2011/11/09	3.50	3.58	3.44	3.57	6147359	45658312.00
2011/11/10	3.52	3.54	3.47	3.48	3831801	28427768.00
2011/11/11	3.48	3.72	3.48	3.64	11547021	88378576.00
2011/11/14	3.66	3.78	3.62	3.69	8082853	63165500.00
2011/11/15	3.68	3.73	3.64	3.69	4692230	36473612.00
2011/11/16	3.69	3.70	3.55	3.56	5702003	43611328.00
2011/11/17	3.58	3.70	3.56	3.66	6567234	50491752.00
2011/11/18	3.65	3.68	3.44	3.50	8761296	65670464.00
2011/11/21	3.50	3.75	3.44	3.74	10450492	79711568.00
2011/11/22	3.70	3.78	3.65	3.74	8222514	64706248.00
2011/11/23	3.74	3.77	3.67	3.72	5142621	40378584.00
2011/11/24	3.68	3.82	3.60	3.72	7169695	56551856.00
2011/11/25	3.73	3.74	3.66	3.71	3648020	28479666.00
2011/11/28	3.70	3.82	3.68	3.76	5813613	46351108.00
2011/11/29	3.80	3.92	3.79	3.88	10405863	84808416.00
2011/11/30	3.88	3.95	3.67	3.73	9668304	77831936.00
2011/12/01	3.86	3.92	3.71	3.72	15732687	127053792.00
2011/12/02	3.73	3.81	3.59	3.66	8289841	64761496.00
2011/12/05	3.66	3.69	3.41	3.42	8528471	63151664.00
2011/12/06	3.39	3.43	3.28	3.40	5883294	41698492.00
2011/12/08	3.36	3.43	3.20	3.37	6063803	42832084.00
2011/12/09	3.34	3.39	3.30	3.38	2696118	19181334.00
2011/12/12	3.39	3.39	3.25	3.31	2361924	16699191.00
2011/12/13	3.29	3.29	3.13	3.15	2681432	18224584.00
2011/12/14	3.14	3.24	3.13	3.20	2149242	14664420.00
2011/12/15	3.19	3.32	3.15	3.24	4572851	31585940.00
2011/12/16	3.26	3.35	3.21	3.35	2046340	14261943.00
2011/12/19	3.34	3.39	3.25	3.38	2274404	16057288.00
2011/12/20	3.36	3.42	3.33	3.38	2094714	15074416.00
2011/12/21	3.43	3.44	3.25	3.26	1913835	13667860.00
2011/12/22	3.25	3.41	3.15	3.35	3088375	21526058.00
2011/12/23	3.33	3.40	3.33	3.35	2036071	14553580.00
2011/12/26	3.35	3.42	3.35	3.36	2726019	19598526.00
2011/12/27	3.35	3.39	3.24	3.24	1522638	10698087.00
2011/12/28	3.23	3.28	3.16	3.26	1838891	12564373.00
2011/12/29	3.24	3.29	3.22	3.26	1986972	13769910.00
2011/12/30	3.28	3.29	3.25	3.27	1725157	12008805.00
2012/01/04	3.30	3.49	3.30	3.40	6993065	50790244.00
2012/01/05	3.42	3.72	3.42	3.53	10764410	80520464.00
2012/01/06	3.44	3.51	3.15	3.36	9249853	65106460.00
2012/01/09	3.37	3.59	3.30	3.58	8076386	59216536.00
2012/01/10	3.58	3.73	3.51	3.69	12023309	92819744.00
2012/01/11	3.68	3.68	3.60	3.65	8244634	63362144.00
2012/01/12	3.64	3.73	3.58	3.59	5955788	45900748.00
2012/01/13	3.59	3.61	3.45	3.48	4606305	34347876.00
2012/01/16	3.45	3.54	3.41	3.49	4170455	30782904.00
2012/01/17	3.48	3.67	3.40	3.67	5634799	42708488.00
2012/01/18	3.68	3.70	3.55	3.57	4797948	36846920.00
2012/01/19	3.57	3.67	3.54	3.62	3652720	27910268.00
2012/01/20	3.64	3.82	3.61	3.76	8348855	65827008.00
2012/01/30	3.79	3.82	3.72	3.73	4492414	35729996.00
2012/01/31	3.71	3.75	3.68	3.73	2348552	18432366.00
2012/02/01	3.73	3.77	3.67	3.68	2767266	21710656.00
2012/02/02	3.66	3.79	3.66	3.78	3567412	28022180.00
2012/02/06	3.84	3.93	3.82	3.86	10576477	86694792.00
2012/02/07	3.85	3.95	3.81	3.93	6288020	51209268.00
2012/02/08	3.93	4.07	3.90	4.06	10111814	85494616.00
2012/02/09	4.04	4.27	3.99	4.21	15281594	133233928.00
2012/02/10	4.65	4.65	4.65	4.65	23457657	227773856.00
2012/02/13	4.71	4.94	4.69	4.79	71709197	716399808.00
2012/02/14	4.75	4.94	4.74	4.86	36807776	371905664.00
2012/02/15	4.85	4.88	4.79	4.86	27878657	281267680.00
2012/02/16	4.87	4.88	4.73	4.82	26131723	261136016.00
2012/02/17	4.85	4.87	4.80	4.83	18131343	182884976.00
2012/02/20	4.86	4.90	4.76	4.83	22914924	230760672.00
2012/02/21	4.80	4.88	4.75	4.84	20315620	204196960.00
2012/02/22	4.85	5.02	4.80	4.89	41947074	429551680.00
2012/02/23	4.87	4.94	4.77	4.92	30197567	305047456.00
2012/02/24	4.89	5.22	4.88	5.14	48474647	512063584.00
2012/02/27	5.09	5.28	5.02	5.04	34525576	369399840.00
2012/02/28	5.01	5.10	4.95	5.00	18823909	196770208.00
2012/02/29	4.97	5.13	4.94	5.03	16948238	178249632.00
2012/03/01	5.02	5.09	4.94	5.07	14653336	153077632.00
2012/03/02	5.07	5.13	4.99	5.13	22773821	240237040.00
2012/03/05	5.11	5.23	5.05	5.15	26932404	287961280.00
2012/03/06	5.15	5.32	5.06	5.07	24783173	268020032.00
2012/03/07	4.99	5.08	4.95	4.98	17922623	186694192.00
2012/03/08	4.99	5.13	4.98	5.06	18032384	190568064.00
2012/03/12	5.18	5.27	5.07	5.24	28178839	303032160.00
2012/03/13	5.28	5.29	5.14	5.25	19398714	210535376.00
2012/03/14	5.24	5.80	5.20	5.50	76510171	886940160.00
2012/03/15	5.49	5.74	5.23	5.52	53047506	607762560.00
2012/03/16	5.44	5.93	5.31	5.87	42803560	496980832.00
2012/03/19	5.77	5.97	5.52	5.61	48057249	563160960.00
2012/03/20	5.55	5.57	5.30	5.37	25240768	284306976.00
2012/03/21	5.40	5.52	5.29	5.47	26216689	294918016.00
2012/03/22	5.41	5.46	5.30	5.42	19056464	212891824.00
2012/03/23	5.34	5.49	5.03	5.06	28190193	308846336.00
2012/03/26	5.00	5.02	4.81	4.91	19152709	196074736.00
2012/03/27	4.95	5.00	4.86	4.89	10877757	111750592.00
2012/03/28	4.84	4.92	4.75	4.81	13153337	132061592.00
2012/03/29	4.80	4.94	4.74	4.88	14684736	147970176.00
2012/03/30	4.87	4.90	4.67	4.75	13238325	131607808.00
2012/04/05	4.77	4.93	4.74	4.92	11203653	113765472.00
2012/04/06	4.92	5.09	4.85	4.97	18295387	189041744.00
2012/04/09	5.00	5.13	4.93	4.94	23170434	242259888.00
2012/04/10	4.87	4.89	4.64	4.83	17189923	171012752.00
2012/04/11	4.74	4.84	4.70	4.81	9008154	89839840.00
2012/04/12	4.82	4.92	4.75	4.90	12546820	126615176.00
2012/04/13	4.94	4.95	4.83	4.88	11880734	121025488.00
2012/04/16	4.84	5.07	4.79	5.02	20533735	213142992.00
2012/04/17	5.06	5.06	4.88	4.97	16944652	175784208.00
2012/04/18	5.03	5.14	4.93	5.04	23358377	245032912.00
2012/04/19	4.99	5.04	4.95	4.96	13105256	136148464.00
2012/04/20	4.95	5.06	4.93	5.03	14958977	156175392.00
2012/04/23	5.03	5.07	4.84	4.87	17267070	176972752.00
2012/04/24	4.90	5.05	4.76	4.83	20674485	104840880.00
2012/04/25	4.71	4.83	4.55	4.75	33672207	163951104.00
2012/04/26	4.78	4.92	4.69	4.79	27634424	138178448.00
