600107 美尔雅 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.78	8.87	8.69	8.74	6916912	60677712.00
2011/10/11	8.99	9.07	8.67	8.79	10842714	96544808.00
2011/10/12	8.75	9.37	8.50	9.29	16315534	148047344.00
2011/10/13	9.21	9.46	9.17	9.43	14810981	138001552.00
2011/10/14	9.38	9.41	9.13	9.24	8939049	82659360.00
2011/10/17	9.33	9.47	9.20	9.29	6608015	61418576.00
2011/10/18	9.20	9.28	8.80	8.91	8658064	77877312.00
2011/10/19	8.97	9.18	8.69	9.03	9946034	89278384.00
2011/10/20	9.02	9.07	8.66	8.84	5754305	50716392.00
2011/10/21	8.88	8.91	8.67	8.72	3701646	32535188.00
2011/10/24	8.80	8.94	8.31	8.88	10485690	91269856.00
2011/10/25	8.92	9.28	8.72	9.16	15006317	135680688.00
2011/10/26	9.14	9.25	8.99	9.14	13779447	125741408.00
2011/10/27	9.11	9.35	9.06	9.24	12710044	117110160.00
2011/10/28	9.46	9.49	9.20	9.40	18211524	169732112.00
2011/10/31	9.40	9.45	9.24	9.39	12426189	116237592.00
2011/11/01	9.30	9.45	9.20	9.34	14439360	134781760.00
2011/11/02	9.20	9.40	9.01	9.39	14454117	133086832.00
2011/11/03	9.45	9.87	9.40	9.62	24658611	238780816.00
2011/11/04	9.65	10.09	9.52	9.98	24314878	238966352.00
2011/11/07	9.95	10.15	9.74	10.01	17416258	173620320.00
2011/11/08	9.98	10.04	9.62	9.69	12203602	120200344.00
2011/11/09	9.68	10.09	9.68	10.06	11786820	116198968.00
2011/11/10	9.91	9.98	9.75	9.81	10836473	106849520.00
2011/11/11	9.76	9.85	9.66	9.73	5610551	54727976.00
2011/11/14	9.79	9.98	9.79	9.93	6836765	67667904.00
2011/11/15	9.94	10.43	9.86	10.31	18570661	189465472.00
2011/11/16	10.25	10.37	9.88	9.94	13996689	141881840.00
