600116 三峡水利 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.70	11.93	11.51	11.88	4443631	53996972.00
2011/10/11	12.38	12.43	11.96	12.24	10897111	137489232.00
2011/10/12	11.94	12.72	11.59	12.70	13395014	171674912.00
2011/10/13	12.97	13.43	12.83	13.01	15811512	214331184.00
2011/10/14	12.69	13.23	12.68	12.97	7825081	104644952.00
2011/10/17	13.03	13.03	12.79	12.98	5810430	77286784.00
2011/10/18	12.92	12.92	12.04	12.11	6967666	90109432.00
2011/10/19	12.13	12.43	11.83	11.99	4653850	58161344.00
2011/10/20	11.75	11.84	11.53	11.60	4085852	49207660.00
2011/10/21	11.53	11.66	11.38	11.48	2897589	34594068.00
2011/10/24	11.58	11.72	11.08	11.71	3763183	44737068.00
2011/10/25	11.68	12.23	11.46	12.03	5967585	73285088.00
2011/10/26	11.88	12.36	11.78	12.04	7229617	90874920.00
2011/10/27	12.05	12.48	11.95	12.18	7176339	90698696.00
2011/10/28	12.38	12.46	12.14	12.44	8914104	113741888.00
2011/10/31	12.42	12.64	12.19	12.59	8337012	107301048.00
2011/11/01	12.38	13.37	12.28	13.10	21370144	284170528.00
2011/11/02	12.78	13.13	12.40	13.04	16130163	213099280.00
2011/11/03	13.48	13.88	13.04	13.05	19584222	271676800.00
2011/11/04	12.88	13.14	12.85	12.97	7172534	96058368.00
2011/11/07	12.96	13.06	12.67	12.89	5088081	67815912.00
2011/11/08	12.97	12.99	12.63	12.68	4626528	61312096.00
2011/11/09	12.83	12.86	12.48	12.86	4632286	60814452.00
2011/11/10	12.74	12.83	12.54	12.61	4583646	59924300.00
2011/11/11	12.63	12.73	12.38	12.48	4119362	53373464.00
2011/11/14	12.66	12.85	12.58	12.82	5254786	69234576.00
2011/11/15	12.82	13.18	12.76	13.17	9696281	130673632.00
2011/11/16	13.08	13.25	12.61	12.67	7074849	94286488.00
2011/11/17	12.66	12.76	12.38	12.48	4786619	62164584.00
2011/11/18	12.57	12.72	12.23	12.50	6098570	78415008.00
2011/11/21	12.49	13.40	12.16	13.37	18784734	251659472.00
2011/11/22	13.22	13.22	12.83	13.07	11580661	155940928.00
2011/11/23	13.15	13.39	12.96	13.00	15699084	213837360.00
2011/11/24	12.68	13.37	12.14	13.23	16756680	220717200.00
2011/11/25	13.06	14.16	12.96	13.88	31432588	439290144.00
2011/11/28	13.88	15.08	13.79	14.85	42957853	647839360.00
2011/11/29	14.82	14.82	14.34	14.65	26548734	397810144.00
2011/11/30	14.56	14.98	14.27	14.78	34564373	520032576.00
2011/12/01	15.23	15.23	14.58	14.70	33191607	506439744.00
2011/12/02	14.29	14.43	13.48	13.63	20267980	288702592.00
2011/12/05	13.33	13.53	12.60	12.69	12025490	162340608.00
2011/12/06	12.58	13.00	12.38	12.91	9603523	125621752.00
2011/12/07	12.77	12.97	12.62	12.96	8244966	109106288.00
2011/12/08	13.08	13.72	12.96	13.38	19004500	260968576.00
2011/12/09	13.11	13.37	12.89	13.01	9252665	124821496.00
2011/12/12	12.99	13.29	12.89	12.94	8403081	113449792.00
2011/12/13	12.78	13.19	12.60	12.66	12935619	172919040.00
2011/12/14	12.38	12.43	11.56	11.84	11671354	144908112.00
2011/12/15	11.58	11.74	10.89	10.90	10723433	125731648.00
2011/12/16	10.62	11.28	10.62	11.27	9008894	102786912.00
2011/12/19	11.28	11.39	10.78	11.27	8078964	93066536.00
2011/12/20	11.23	11.43	10.93	11.21	6262025	73205104.00
2011/12/21	11.30	11.37	10.72	10.73	7624103	87927864.00
2011/12/22	10.48	11.06	10.20	10.90	9597949	105686256.00
2011/12/23	10.78	11.85	10.65	11.59	16145476	189416336.00
2011/12/26	11.48	12.28	11.40	12.11	17601744	215637520.00
2011/12/27	12.11	12.33	11.81	12.06	18152939	226464016.00
2011/12/28	12.06	12.27	11.68	11.95	16550375	206321888.00
2011/12/30	11.95	12.83	11.78	12.51	21626083	275382816.00
2012/01/04	12.68	12.68	12.09	12.15	11056977	140829200.00
2012/01/05	11.98	12.15	11.41	12.13	11561520	142639744.00
2012/01/06	12.13	12.44	11.88	12.43	25719122	325711616.00
2012/01/09	12.28	12.78	12.16	12.57	22040814	284756352.00
2012/01/10	12.48	12.99	12.27	12.76	22558610	294291232.00
2012/01/11	12.63	13.06	12.43	12.75	17837955	234544624.00
2012/01/12	12.76	13.13	12.46	12.48	14200541	186792736.00
2012/01/13	12.33	12.47	11.48	11.53	12337342	152430512.00
2012/01/16	11.29	11.55	11.03	11.04	6095419	71293552.00
2012/01/17	11.03	11.68	10.93	11.60	7956157	93983600.00
2012/01/18	11.62	11.76	11.22	11.27	8014956	95710016.00
2012/01/19	11.32	11.42	11.16	11.24	5143017	60173756.00
2012/01/20	11.31	11.72	11.31	11.70	7677970	92443272.00
2012/01/30	11.73	11.78	11.52	11.63	5139084	62010536.00
2012/01/31	11.64	11.77	11.42	11.76	5092034	61130752.00
2012/02/01	11.68	12.10	11.61	11.93	9143083	112407624.00
2012/02/02	12.03	12.06	11.79	11.98	7291766	90087064.00
2012/02/03	11.96	12.07	11.89	11.97	6142105	76099552.00
2012/02/06	12.00	12.06	11.84	11.90	5965354	73560832.00
2012/02/07	11.84	11.84	11.36	11.41	6953885	83205104.00
2012/02/08	11.41	11.72	11.31	11.68	6335785	75843448.00
2012/02/09	11.69	12.16	11.68	12.07	13740139	169789744.00
2012/02/10	12.04	12.28	11.92	12.07	12110477	151518976.00
2012/02/13	12.08	12.38	12.04	12.11	12887847	162520480.00
2012/02/14	12.13	12.32	11.95	12.03	7225490	90415736.00
2012/02/15	11.98	12.26	11.83	12.21	10853277	135984608.00
2012/02/16	12.18	12.67	12.00	12.63	20180309	257966592.00
2012/02/17	12.63	12.91	12.48	12.51	17623170	230444320.00
2012/02/20	12.64	12.70	12.39	12.41	9771134	126480168.00
2012/02/21	12.29	12.53	12.18	12.51	7512619	96296824.00
2012/02/22	12.53	12.73	12.48	12.64	11061581	143945040.00
2012/02/23	12.63	12.73	12.50	12.55	9302892	121128448.00
2012/02/24	12.52	12.86	12.46	12.70	12536788	164101152.00
2012/02/27	12.74	13.12	12.69	12.75	16585546	220690192.00
2012/02/28	12.75	14.07	12.75	14.07	30933203	429449568.00
2012/02/29	14.47	14.72	13.89	14.01	31361788	458575360.00
2012/03/01	13.83	14.24	13.73	14.06	15330399	221137648.00
2012/03/02	14.43	14.67	13.89	14.25	26071108	380412928.00
2012/03/05	14.10	14.38	13.94	13.97	17154887	248803488.00
2012/03/06	14.00	14.03	13.56	13.65	13062423	184000448.00
2012/03/07	13.52	13.74	13.28	13.43	11472673	159697728.00
2012/03/08	13.54	13.78	13.47	13.65	10734051	150950880.00
2012/03/09	13.58	14.03	13.48	13.90	15655484	222345904.00
2012/03/12	13.83	13.83	13.59	13.76	10380664	146678240.00
2012/03/13	13.75	14.03	13.74	13.85	10943324	156577776.00
2012/03/14	13.85	13.93	12.88	12.90	16331789	226167600.00
2012/03/15	12.93	13.06	12.33	12.52	10695141	139354000.00
2012/03/16	12.50	13.13	12.40	13.12	11986449	158890176.00
2012/03/19	13.12	14.47	12.90	14.47	37196460	535916160.00
2012/03/20	14.38	14.78	14.04	14.44	43398648	646608384.00
2012/03/21	14.33	14.94	13.79	14.22	31933965	475893280.00
2012/03/22	13.88	15.68	13.81	15.68	50311144	786208064.00
2012/03/23	16.08	16.10	15.22	15.65	47132088	754920000.00
2012/03/26	15.46	15.68	14.67	15.39	45807339	711740800.00
2012/03/27	15.23	15.41	14.81	14.91	28979099	449284832.00
2012/03/28	14.64	14.87	13.54	13.70	24786615	359844800.00
2012/03/29	13.48	14.08	13.29	13.60	20320523	287422144.00
2012/03/30	13.52	13.71	12.87	13.11	16683247	227337392.00
2012/04/06	13.49	14.14	13.46	13.68	23947605	339751200.00
2012/04/09	13.37	13.85	13.29	13.39	11497203	160629312.00
2012/04/10	13.26	14.35	13.14	14.20	20837879	297284224.00
2012/04/11	13.91	14.07	13.74	13.97	14008462	200806832.00
2012/04/12	13.86	14.20	13.78	14.19	16110508	233212816.00
2012/04/13	14.22	14.42	14.07	14.22	15978896	234139152.00
2012/04/16	14.43	15.07	14.42	14.49	20976842	317016480.00
2012/04/17	14.33	14.49	13.82	13.88	13858961	201290832.00
2012/04/18	13.93	14.23	13.67	14.18	13665452	197219568.00
2012/04/19	14.11	14.89	14.11	14.37	18429413	275355008.00
2012/04/20	14.33	14.34	14.00	14.33	12208765	178304512.00
2012/04/23	14.29	14.67	14.18	14.26	13908062	206404320.00
2012/04/24	14.03	14.14	13.38	13.85	13749395	194791184.00
2012/04/25	13.68	14.58	13.59	14.34	17284643	252530144.00
2012/04/26	14.43	14.57	14.14	14.19	14488831	213830624.00
2012/04/27	14.34	14.37	13.78	13.93	8017622	116060952.00
2012/05/02	14.16	14.24	13.88	14.17	8447031	122386560.00
2012/05/03	14.12	14.86	14.06	14.50	16507936	245908576.00
2012/05/04	14.37	14.57	14.24	14.37	10434624	154302640.00
2012/05/07	14.28	14.63	14.13	14.54	11274695	167378944.00
2012/05/08	14.59	14.63	14.25	14.40	9752336	144616352.00
2012/05/09	14.36	14.52	13.93	13.96	9114342	132174048.00
2012/05/10	13.88	14.10	13.88	13.98	6019679	86124400.00
2012/05/11	13.98	14.22	13.90	13.92	5315750	76264568.00
2012/05/14	14.11	14.47	14.01	14.07	9087826	132469664.00
2012/05/15	13.96	13.96	13.66	13.84	5994877	84458584.00
2012/05/16	13.82	13.93	13.47	13.48	5439012	76396112.00
2012/05/17	13.52	13.75	13.26	13.67	7204186	99594784.00
2012/05/18	13.48	13.57	13.10	13.14	6750751	92109080.00
2012/05/21	13.26	13.38	12.88	13.22	5363625	72230256.00
2012/05/22	13.33	13.46	13.23	13.45	5579205	76351576.00
2012/05/23	13.45	13.73	13.36	13.72	9806163	136287184.00
2012/05/24	13.67	13.80	13.39	13.50	6289739	87429552.00
2012/05/25	13.50	13.80	13.41	13.74	10000073	139578592.00
2012/05/28	13.72	14.48	13.55	14.34	21325647	307585920.00
2012/05/29	14.33	14.42	14.15	14.28	16239394	237020240.00
2012/05/30	14.27	14.51	14.13	14.27	12316261	180187440.00
2012/05/31	14.16	14.25	13.93	14.02	9214623	132815320.00
2012/06/01	13.97	14.37	13.92	14.04	7579935	109423280.00
2012/06/04	13.68	13.70	13.21	13.23	9616681	132708896.00
2012/06/05	13.28	13.40	13.13	13.30	4787259	65014128.00
2012/06/06	13.31	13.40	13.16	13.22	3787966	51407264.00
2012/06/07	13.39	13.39	12.93	12.96	4786606	64467640.00
2012/06/08	13.08	13.13	12.78	12.80	4974634	65808680.00
2012/06/11	12.76	13.24	12.76	13.15	4928991	65972384.00
2012/06/12	13.06	13.13	12.86	13.05	3785236	50310272.00
2012/06/13	13.24	13.24	13.03	13.19	5058179	68178160.00
2012/06/14	13.13	13.25	13.00	13.03	4303668	57876060.00
2012/06/15	13.10	13.32	12.86	13.21	5785694	77967808.00
2012/06/18	13.23	13.43	13.15	13.31	6148045	83946208.00
2012/06/19	13.26	13.38	13.16	13.20	4121547	55900456.00
2012/06/20	13.32	13.38	13.00	13.21	4284703	57773588.00
2012/06/21	13.33	13.67	13.17	13.33	10527424	144663344.00
2012/06/25	13.44	13.75	12.93	12.97	12745191	175507120.00
2012/06/26	12.70	12.70	11.68	12.34	8464249	106088856.00
2012/06/27	12.34	12.41	12.06	12.07	4075682	50998304.00
2012/06/28	12.11	12.24	11.68	11.72	4565050	55714772.00
2012/06/29	11.68	11.87	11.46	11.86	3974730	47729432.00
2012/07/02	11.96	12.02	11.84	11.92	3040344	37249224.00
2012/07/03	11.92	12.03	11.75	11.85	3012179	36771016.00
2012/07/04	11.94	12.05	11.80	11.84	3062766	37384304.00
