600119 长江投资 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.39	6.40	6.30	6.35	770506	5045557.00
2011/10/11	6.52	6.54	6.30	6.37	1152056	7636368.00
2011/10/12	6.32	6.59	6.32	6.58	1494666	10029386.00
2011/10/13	6.57	6.68	6.54	6.65	1677004	11434612.00
2011/10/14	6.66	6.66	6.55	6.61	879111	5987535.00
2011/10/17	6.61	6.68	6.57	6.58	710063	4835325.00
2011/10/19	6.53	6.53	6.34	6.34	1532503	10144862.00
2011/10/20	6.31	6.44	5.95	6.04	1514421	9481743.00
2011/10/21	5.91	6.10	5.91	5.96	773685	4774747.00
2011/10/24	5.98	6.10	5.82	6.05	1008735	6228891.00
2011/10/25	6.02	6.28	5.96	6.21	1665781	10603811.00
2011/10/26	6.28	6.28	6.19	6.24	1714646	11048338.00
2011/10/27	6.88	6.88	6.88	6.88	3237216	22919488.00
2011/10/28	7.47	7.47	6.89	7.25	16647634	123919568.00
2011/10/31	7.12	7.27	7.03	7.13	9462727	69457904.00
2011/11/01	7.02	7.36	7.02	7.35	8558958	63508312.00
2011/11/02	7.19	7.60	6.92	7.30	14273738	106063832.00
2011/11/03	7.15	7.30	7.08	7.09	8222999	60482684.00
2011/11/04	7.07	7.16	6.96	7.13	4068896	29502912.00
2011/11/07	7.10	7.25	7.05	7.21	4354572	32046796.00
2011/11/08	7.20	7.24	7.02	7.15	3283221	24075876.00
2011/11/09	7.16	7.56	7.13	7.54	12466786	93904920.00
2011/11/10	7.32	7.43	7.13	7.14	6448233	48449200.00
2011/11/11	7.17	7.21	7.05	7.10	3107858	22768422.00
2011/11/14	7.10	7.23	7.10	7.21	3097838	22886160.00
2011/11/15	7.20	7.46	7.15	7.44	5102240	38483160.00
2011/11/16	7.44	7.49	7.12	7.23	4531393	33705752.00
2011/11/17	7.24	7.51	7.23	7.49	8468540	64541560.00
2011/11/18	7.57	7.90	7.14	7.20	11786053	91382328.00
2011/11/21	6.95	6.95	6.50	6.73	5890169	40751140.00
2011/11/22	6.51	6.80	6.51	6.65	2116412	14439071.00
2011/11/23	6.65	6.69	6.55	6.56	1979325	13462631.00
2011/11/24	6.57	6.57	6.38	6.50	1771905	11839016.00
2011/11/25	6.57	6.57	6.35	6.46	1322957	8840199.00
2011/11/28	6.43	6.52	6.37	6.48	825742	5492396.00
2011/11/29	6.53	6.66	6.51	6.63	1249929	8497463.00
2011/11/30	6.62	6.62	6.24	6.30	1951871	12848519.00
2011/12/01	6.41	6.56	6.41	6.45	1614152	10795726.00
2011/12/02	6.45	6.48	6.10	6.25	2296560	14825380.00
2011/12/05	6.22	6.24	6.11	6.15	931552	5939341.00
2011/12/06	6.24	6.24	6.00	6.13	1016018	6405711.00
2011/12/07	6.15	6.20	6.09	6.11	590247	3741026.00
2011/12/08	6.08	6.14	5.85	6.07	1881956	11609968.00
2011/12/09	5.99	6.08	5.93	6.02	884280	5468657.00
2011/12/12	6.04	6.04	5.90	5.91	764201	4711500.00
2011/12/13	5.90	5.90	5.56	5.59	2024362	11930267.00
2011/12/15	5.55	5.55	5.19	5.20	1646172	9069026.00
2011/12/16	5.30	5.45	5.23	5.42	1334246	7396399.00
2011/12/19	5.40	5.41	5.24	5.40	1052537	5827240.00
2011/12/20	5.40	5.46	5.35	5.38	1267909	7118805.00
2011/12/21	5.45	5.58	5.27	5.32	1441599	8122961.00
2011/12/22	5.27	5.27	4.88	5.10	1832821	9546491.00
2011/12/23	5.10	5.20	5.03	5.13	1152415	6133750.00
2011/12/26	5.14	5.17	5.05	5.07	750600	3989806.00
2011/12/27	5.13	5.13	4.89	4.95	719050	3745630.00
2011/12/28	4.90	4.96	4.79	4.95	930251	4704609.00
