600120 浙江东方 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.85	6.97	6.74	6.76	985289	7435329.00
2011/10/12	6.92	7.32	6.77	7.25	3472645	27125064.00
2011/10/13	7.17	7.48	7.17	7.37	3636191	29342688.00
2011/10/14	7.33	7.40	7.25	7.36	2137940	17229820.00
2011/10/17	7.43	7.57	7.34	7.43	1824290	14949371.00
2011/10/18	7.34	7.35	7.11	7.15	2165959	17212844.00
2011/10/19	7.21	7.30	7.07	7.21	721111	5729382.00
2011/10/20	7.13	7.20	6.95	7.06	963369	7490899.00
2011/10/21	7.00	7.12	6.72	6.83	2152210	16352439.00
2011/10/24	6.86	6.95	6.67	6.94	1610782	12209077.00
2011/10/25	6.93	7.16	6.93	7.15	1941035	15096923.00
2011/10/26	7.08	7.45	7.08	7.29	3008875	24158856.00
2011/10/27	7.25	7.43	7.25	7.36	1785388	14417128.00
2011/10/31	7.47	7.67	7.40	7.46	2832730	23373330.00
2011/11/01	7.44	7.83	7.40	7.79	6582682	55644920.00
2011/11/02	7.67	7.92	7.66	7.90	5024198	42932072.00
2011/11/03	7.91	7.94	7.75	7.79	5054533	43284008.00
2011/11/04	7.83	7.96	7.75	7.87	2987547	25640484.00
2011/11/07	7.80	7.92	7.75	7.80	2098686	17951432.00
2011/11/08	7.77	7.86	7.59	7.62	2557847	21682348.00
2011/11/09	7.65	7.76	7.63	7.73	1891205	15930515.00
2011/11/10	7.57	7.73	7.55	7.65	1802285	15105327.00
2011/11/11	7.67	7.84	7.62	7.78	1395229	11843391.00
2011/11/14	7.83	7.94	7.82	7.92	3256593	28047546.00
2011/11/15	7.92	7.99	7.86	7.93	1751708	15155742.00
2011/11/16	7.93	7.96	7.71	7.75	2791073	23794268.00
2011/11/17	7.73	7.86	7.69	7.78	1317666	11196922.00
2011/11/18	7.78	7.81	7.61	7.64	1172865	9886111.00
2011/11/21	7.64	7.69	7.57	7.67	530047	4425486.00
2011/11/22	7.66	7.69	7.42	7.50	1306737	10767405.00
2011/11/23	7.49	7.53	7.43	7.45	833555	6842980.00
2011/11/24	7.43	7.47	7.28	7.41	703343	5713341.00
2011/11/25	7.33	7.44	7.30	7.36	818456	6630354.00
2011/11/28	7.38	7.45	7.31	7.41	967564	7829536.00
2011/11/29	7.45	7.96	6.75	7.86	5427505	46199496.00
2011/11/30	7.70	7.84	7.35	7.49	3138831	26261612.00
2011/12/01	7.73	7.83	7.65	7.71	2792635	23656030.00
2011/12/02	7.72	7.73	7.43	7.63	1481930	12312063.00
2011/12/05	7.68	7.70	7.27	7.57	1535862	12724191.00
2011/12/06	7.57	7.59	7.34	7.46	1093300	8927453.00
2011/12/07	7.41	7.47	7.37	7.43	757434	6169355.00
2011/12/08	7.43	7.49	7.25	7.40	1036387	8416515.00
2011/12/09	7.39	7.45	7.28	7.38	694163	5644522.00
2011/12/12	7.30	7.37	7.03	7.21	1375405	10901965.00
2011/12/13	7.08	7.12	6.84	6.90	1321077	10141386.00
2011/12/14	6.90	6.93	6.79	6.81	544520	4126655.00
2011/12/15	6.81	6.89	6.69	6.74	1596260	12040694.00
2011/12/16	6.74	6.92	6.72	6.86	868049	6556365.00
2011/12/19	6.85	6.93	6.77	6.93	878547	6663158.00
2011/12/20	6.93	6.99	6.86	6.89	868209	6662656.00
2011/12/21	6.91	6.97	6.69	6.79	991559	7540575.00
2011/12/22	6.78	6.78	6.17	6.56	1972140	14157339.00
2011/12/23	6.47	6.68	6.47	6.64	1186414	8718325.00
2011/12/26	6.62	6.66	6.54	6.56	336575	2467176.00
2011/12/27	6.55	6.66	6.37	6.38	415004	2985706.00
2011/12/28	6.38	6.57	6.23	6.49	1379108	9733542.00
2011/12/29	6.45	6.55	6.36	6.36	700019	5010226.00
2011/12/30	6.36	6.51	6.35	6.40	1543167	11023841.00
2012/01/04	6.47	6.47	6.03	6.07	1541810	10855812.00
2012/01/05	6.08	6.13	5.70	5.75	1761206	11664504.00
2012/01/06	5.68	5.77	5.42	5.68	1239976	7784986.00
2012/01/09	5.72	5.91	5.49	5.90	1689858	10996455.00
2012/01/10	5.90	6.25	5.78	6.23	2536377	17279268.00
2012/01/11	6.17	6.34	6.09	6.24	1560492	10787200.00
2012/01/12	6.22	6.37	6.07	6.11	1192494	8269435.00
2012/01/13	6.19	6.20	5.77	5.86	1406522	9374695.00
2012/01/16	5.86	5.86	5.69	5.69	926923	6013516.00
2012/01/17	5.73	6.15	5.69	6.07	2071593	13861304.00
2012/01/18	6.07	6.23	5.95	5.98	1438203	9750855.00
2012/01/19	5.97	6.07	5.97	6.01	930216	6274149.00
2012/01/20	6.02	6.15	5.99	6.11	1109770	7549885.00
2012/01/30	6.11	6.13	6.02	6.02	814562	5520717.00
2012/01/31	6.06	6.08	5.94	6.05	374491	2532106.00
2012/02/01	5.99	6.10	5.97	6.02	710977	4803951.00
2012/02/02	6.09	6.17	6.02	6.14	1008510	6885259.00
2012/02/03	6.14	6.29	6.08	6.26	1642094	11409723.00
2012/02/06	6.26	6.30	6.18	6.22	1129559	7870409.00
2012/02/07	6.21	6.21	5.97	6.06	1130079	7674383.00
2012/02/08	6.05	6.22	6.03	6.22	1299105	8940186.00
2012/02/09	6.23	6.36	6.17	6.29	2132985	14981871.00
2012/02/10	6.25	6.41	6.22	6.29	1624202	11459391.00
2012/02/13	6.23	6.37	6.21	6.35	1466811	10346570.00
2012/02/14	6.35	6.56	6.30	6.42	1895055	13555313.00
2012/02/15	6.40	6.57	6.27	6.52	3663460	26233968.00
2012/02/16	6.49	6.58	6.39	6.51	2519345	18166054.00
2012/02/17	6.52	6.62	6.39	6.52	3312584	23964288.00
2012/02/20	6.62	6.65	6.43	6.52	2472787	17944158.00
2012/02/21	6.52	6.55	6.43	6.54	1953106	14102076.00
2012/02/22	6.56	6.63	6.52	6.62	3938512	28803018.00
2012/02/23	6.64	6.72	6.55	6.61	3099183	22811284.00
2012/02/24	6.56	6.83	6.56	6.81	4272543	31881924.00
2012/02/27	6.80	6.88	6.72	6.77	4010915	30214012.00
2012/02/28	6.77	6.83	6.70	6.80	3473092	26044242.00
2012/02/29	6.75	6.95	6.73	6.83	3893206	29526874.00
2012/03/01	6.83	7.59	6.83	7.47	15055893	121163784.00
2012/03/02	7.37	7.59	7.37	7.51	6995020	57537632.00
2012/03/05	7.58	7.72	7.48	7.56	4594555	38192440.00
2012/03/06	7.54	7.89	7.48	7.77	7962629	67337616.00
2012/03/07	7.63	7.89	7.57	7.87	6797805	57826664.00
2012/03/08	7.88	8.13	7.81	7.88	5994421	51949240.00
2012/03/09	7.88	7.98	7.79	7.96	7892546	68000664.00
2012/03/12	7.97	8.03	7.88	7.93	3209151	27833772.00
2012/03/13	7.96	8.02	7.77	7.96	3520303	30420184.00
2012/03/14	7.95	8.12	7.55	7.98	8801550	75533768.00
2012/03/15	7.87	7.99	7.77	7.94	6394759	54963464.00
2012/03/16	7.94	8.17	7.85	8.15	5033937	44010284.00
2012/03/19	8.15	8.23	7.65	7.73	11644972	100344328.00
