600121 郑州煤电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/01/13	11.24	11.24	11.24	11.24	15775518	180945184.00
2012/01/16	11.22	11.22	10.09	10.09	20907379	223697568.00
2012/01/17	9.37	10.78	9.08	10.40	27142130	275591136.00
2012/01/18	10.17	10.25	9.57	9.63	17578245	179086368.00
2012/01/19	9.63	9.74	9.27	9.67	12275352	120111080.00
2012/01/20	9.57	9.64	9.30	9.41	8803711	85220208.00
2012/01/30	9.43	9.53	9.32	9.42	5006064	48413276.00
2012/01/31	9.42	9.67	9.39	9.62	6441131	62932744.00
2012/02/01	9.57	9.61	9.27	9.36	5232094	50622064.00
2012/02/02	9.37	9.75	9.25	9.59	8208929	80419264.00
2012/02/03	9.54	10.27	9.38	9.86	12428414	125380632.00
2012/02/06	9.85	10.07	9.73	9.83	8881796	89803048.00
2012/02/07	9.75	10.02	9.50	9.92	9872349	98316920.00
2012/02/08	9.87	10.70	9.81	10.45	21806367	230102880.00
2012/02/09	10.31	10.51	10.18	10.31	15260137	160738848.00
2012/02/10	10.22	10.34	10.14	10.21	8133397	85102024.00
2012/02/13	10.14	10.46	10.09	10.26	7469404	78433760.00
2012/02/14	10.19	10.31	10.04	10.17	5944601	61756740.00
2012/02/15	10.17	10.44	10.10	10.29	9932616	104652712.00
2012/02/16	10.30	10.30	10.04	10.18	7858109	81597176.00
2012/02/17	10.18	10.25	10.04	10.08	4585904	47399768.00
2012/02/20	10.25	10.26	10.04	10.04	6002273	62110224.00
2012/02/21	10.00	10.19	9.93	10.15	5873558	60492156.00
2012/02/22	10.17	10.29	10.07	10.25	8297250	86506408.00
2012/02/23	10.19	10.57	10.18	10.39	15723345	166455936.00
2012/02/24	10.33	10.57	10.30	10.42	14836453	158305952.00
2012/02/27	10.50	10.52	10.32	10.33	13916959	148211296.00
2012/02/28	10.26	10.27	9.97	10.13	8495846	87980096.00
2012/02/29	10.05	10.30	10.01	10.11	5407591	56245256.00
2012/03/01	10.10	10.20	10.04	10.08	4778054	49328024.00
2012/03/05	10.28	10.34	10.10	10.17	7908363	82726616.00
2012/03/06	10.13	10.16	9.87	9.92	6399560	65146296.00
2012/03/07	9.82	10.07	9.77	9.89	5983341	60742960.00
2012/03/08	9.97	10.01	9.89	9.95	4633359	47165784.00
