600122 宏图高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	4.98	5.03	4.92	4.95	3645674	18331676.00
2011/10/11	5.08	5.10	4.93	4.98	4146735	21005164.00
2011/10/12	4.98	5.18	4.92	5.16	10164065	52298944.00
2011/10/13	5.13	5.31	5.11	5.21	10082830	53151740.00
2011/10/14	5.20	5.22	5.12	5.17	5784300	30149832.00
2011/10/17	5.21	5.23	5.12	5.18	3992074	20850470.00
2011/10/18	5.13	5.15	4.98	4.99	5862700	29988656.00
2011/10/19	5.01	5.04	4.96	4.98	4251627	21437634.00
2011/10/20	4.95	4.97	4.75	4.83	7215667	35363124.00
2011/10/21	4.81	4.89	4.77	4.81	2986128	14531712.00
2011/10/24	4.85	4.91	4.79	4.91	6986967	34299320.00
2011/10/25	4.89	5.09	4.86	5.06	9289914	46936540.00
2011/10/26	5.02	5.16	4.97	5.09	10623153	54610440.00
2011/10/27	5.06	5.14	5.06	5.08	7268383	37448128.00
2011/10/28	5.17	5.19	5.10	5.18	10557154	54909484.00
2011/10/31	5.19	5.21	5.10	5.13	8957890	46509444.00
2011/11/01	5.10	5.29	5.07	5.20	11429798	59897180.00
2011/11/02	5.12	5.63	5.08	5.46	26147697	141163712.00
2011/11/03	5.55	5.61	5.40	5.50	28851103	160853232.00
2011/11/04	5.50	5.59	5.45	5.54	15619459	87174960.00
2011/11/07	5.55	5.83	5.51	5.76	27829517	160328352.00
2011/11/08	5.75	5.78	5.64	5.68	17727988	101884544.00
2011/11/09	5.68	5.83	5.57	5.74	14830601	85312128.00
2011/11/10	5.67	5.86	5.61	5.74	23121419	134531808.00
2011/11/11	5.73	5.79	5.66	5.71	11004456	63508580.00
2011/11/14	5.76	5.83	5.70	5.80	14676525	85340432.00
2011/11/15	5.80	5.97	5.76	5.94	19669517	116734896.00
2011/11/16	5.97	6.01	5.66	5.75	18760552	110396144.00
2011/11/17	5.71	5.89	5.63	5.85	17340618	100691240.00
2011/11/18	5.77	5.80	5.51	5.58	14117364	80140240.00
2011/11/21	5.56	5.62	5.46	5.57	6737234	37497936.00
2011/11/22	5.49	5.52	5.34	5.44	7772628	42549628.00
2011/11/23	5.45	5.56	5.41	5.46	7735643	42919000.00
2011/11/24	5.42	5.51	5.29	5.50	9574120	52119152.00
2011/11/25	5.45	5.71	5.42	5.56	18339513	103224784.00
2011/11/28	5.54	5.64	5.44	5.54	10292068	57474260.00
2011/11/29	5.57	5.59	5.44	5.50	10486498	58195432.00
2011/11/30	5.47	5.49	4.95	4.95	32849457	169499536.00
2011/12/01	5.08	5.18	5.01	5.08	24514026	126228960.00
2011/12/02	5.04	5.06	4.90	4.99	11198852	56280812.00
