600128 弘业股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	11.52	11.62	11.36	11.41	836106	9829810.00
2011/10/11	11.73	11.87	11.28	11.43	2152298	25480032.00
2011/10/12	11.42	12.16	11.23	12.09	3220398	39092824.00
2011/10/13	12.15	12.31	12.01	12.17	2410219	29975218.00
2011/10/14	12.13	12.19	11.89	12.00	1674703	20552238.00
2011/10/17	12.05	12.12	11.88	11.97	1760458	21555248.00
2011/10/18	11.97	12.08	11.75	11.77	2043323	24888844.00
2011/10/19	11.80	12.15	11.79	12.03	3374778	41413372.00
2011/10/20	12.09	12.10	11.39	11.53	2282018	27089844.00
2011/10/21	11.48	11.57	11.14	11.17	1661614	19260546.00
2011/10/24	11.23	11.48	10.88	11.46	2059216	23617624.00
2011/10/25	11.49	12.63	11.34	12.38	9533538	119574512.00
2011/10/26	12.13	12.78	12.04	12.57	8340059	106004928.00
2011/10/27	12.85	13.50	12.71	12.76	11029923	145996272.00
2011/10/28	12.75	13.47	12.64	13.05	9271686	123341536.00
2011/10/31	12.85	13.22	12.79	13.01	5124644	68094152.00
2011/11/01	12.83	13.36	12.79	13.28	7532625	100969088.00
2011/11/02	13.03	13.83	12.97	13.80	9798661	134040528.00
2011/11/03	13.79	13.89	13.39	13.43	8476236	117872496.00
2011/11/04	13.43	13.97	13.41	13.59	7357972	102871808.00
2011/11/07	13.60	14.98	13.44	14.85	26262056	393761600.00
2011/11/08	14.54	14.70	13.85	13.97	14052413	203935600.00
2011/11/09	13.99	14.38	13.65	14.22	12147180	173356992.00
2011/11/10	13.96	14.33	13.85	14.15	7005863	100402952.00
2011/11/11	14.21	14.41	13.95	14.13	5522345	79967016.00
2011/11/14	14.13	14.63	13.70	13.74	19140804	275034880.00
2011/11/15	13.76	14.03	13.61	13.90	8908284	125608712.00
2011/11/16	13.90	13.96	13.48	13.58	6556390	91259744.00
2011/11/17	13.59	13.85	13.23	13.81	7300482	101160056.00
2011/11/18	13.71	13.71	13.41	13.56	4198151	58154196.00
2011/11/21	13.62	13.74	13.42	13.67	2835972	39297096.00
2011/11/22	13.54	14.10	13.48	14.03	7659520	108051968.00
2011/11/23	13.98	14.05	13.76	13.90	4150130	58869768.00
2011/11/24	13.75	14.10	13.53	13.96	4440461	62801684.00
2011/11/25	13.95	14.01	13.60	13.63	4156017	58352872.00
2011/11/28	13.73	13.83	12.86	12.94	5013468	67891128.00
2011/11/29	13.03	13.53	12.63	13.39	6445063	85458008.00
2011/11/30	13.13	13.29	12.02	12.02	7800401	98469952.00
2011/12/01	12.33	12.48	12.09	12.12	5521653	69601360.00
2011/12/02	12.02	12.05	11.43	11.89	2462997	29846566.00
2011/12/05	11.89	11.91	11.57	11.62	1369839	16442004.00
2011/12/06	11.67	11.93	11.57	11.85	1842613	22139370.00
2011/12/07	11.85	12.03	11.80	11.99	1849206	22566756.00
2011/12/08	12.00	12.61	11.74	12.33	4791728	59949516.00
2011/12/09	12.18	12.27	11.83	12.03	2002102	24650144.00
