600130 波导股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.74	3.76	3.67	3.68	1551199	5759898.00
2011/10/11	3.77	3.80	3.68	3.71	1704696	6359704.00
2011/10/12	3.72	3.84	3.69	3.83	3734208	14194016.00
2011/10/13	3.82	3.88	3.80	3.85	2524499	9710521.00
2011/10/14	3.83	3.84	3.78	3.81	1863846	7098062.00
2011/10/17	3.82	3.84	3.78	3.80	2238737	8511329.00
2011/10/18	3.76	3.79	3.66	3.67	1941400	7226639.00
2011/10/19	3.71	3.71	3.60	3.61	2306140	8430167.00
2011/10/20	3.63	3.64	3.43	3.46	4341866	15069106.00
2011/10/21	3.47	3.47	3.30	3.38	2073536	7054983.00
2011/10/24	3.39	3.46	3.33	3.45	1802608	6127491.00
2011/10/25	3.45	3.55	3.43	3.52	3466864	12128311.00
2011/10/26	3.50	3.58	3.48	3.53	3807999	13482625.00
2011/10/27	3.55	3.57	3.51	3.54	2853975	10105441.00
2011/10/28	3.56	3.63	3.54	3.60	3061369	10965057.00
2011/10/31	3.64	3.72	3.61	3.70	5235912	19252652.00
2011/11/01	3.66	3.71	3.66	3.67	2764840	10184677.00
2011/11/02	3.62	3.75	3.57	3.74	4354544	15960732.00
2011/11/03	3.74	3.81	3.71	3.73	5075866	19070370.00
2011/11/04	3.77	3.82	3.73	3.80	4441675	16792112.00
2011/11/07	3.80	3.99	3.77	3.99	8943426	34983284.00
2011/11/08	3.99	4.15	3.94	4.02	13314877	53903104.00
2011/11/09	4.02	4.06	3.92	4.02	6671055	26653336.00
2011/11/10	3.98	4.01	3.91	3.94	4300943	17036400.00
2011/11/11	3.93	3.98	3.87	3.89	3594527	14078795.00
2011/11/14	3.92	3.98	3.89	3.96	3473277	13704267.00
2011/11/15	3.97	4.04	3.93	4.02	3561980	14240196.00
2011/11/16	4.02	4.02	3.87	3.89	3862267	15248403.00
2011/11/17	3.90	3.98	3.87	3.91	3783173	14908327.00
2011/11/18	3.90	3.93	3.78	3.80	3219689	12316745.00
2011/11/21	3.76	3.89	3.76	3.87	5062296	19418852.00
2011/11/22	3.80	3.85	3.78	3.84	1993788	7601863.00
2011/11/23	3.86	3.86	3.78	3.79	1674300	6393162.00
2011/11/24	3.72	3.78	3.69	3.71	2034158	7581514.00
2011/11/25	3.72	3.74	3.57	3.59	2765395	10065367.00
2011/11/28	3.59	3.64	3.58	3.60	1767316	6366037.00
2011/11/29	3.61	3.66	3.60	3.66	1844660	6701139.00
2011/11/30	3.66	3.66	3.48	3.48	2726300	9621497.00
2011/12/01	3.55	3.60	3.50	3.51	3271700	11601077.00
2011/12/02	3.47	3.51	3.39	3.40	2379990	8168123.00
2011/12/05	3.40	3.42	3.25	3.27	2726609	8972727.00
2011/12/06	3.28	3.43	3.26	3.40	3419062	11370006.00
2011/12/07	3.45	3.45	3.31	3.34	2719914	9175779.00
2011/12/08	3.34	3.35	3.26	3.30	2100600	6932063.00
2011/12/09	3.30	3.32	3.14	3.16	3949459	12695597.00
2011/12/12	3.16	3.19	3.08	3.12	3408177	10680423.00
2011/12/13	3.10	3.12	2.96	2.96	4553654	13651117.00
2011/12/14	2.92	2.99	2.85	2.93	3305039	9702721.00
2011/12/15	2.90	2.92	2.78	2.78	5028329	14074252.00
2011/12/16	2.77	2.86	2.64	2.85	5071997	13931123.00
2011/12/19	2.84	2.84	2.71	2.81	4533414	12526671.00
2011/12/20	2.85	2.94	2.80	2.82	4349203	12503299.00
2011/12/21	2.85	2.88	2.72	2.74	3480850	9852633.00
2011/12/22	2.70	2.72	2.60	2.63	4243743	11161028.00
2011/12/23	2.64	2.76	2.62	2.74	4059425	11056272.00
2011/12/26	2.71	2.84	2.70	2.75	3350171	9294046.00
2011/12/27	2.74	2.80	2.70	2.71	3184674	8741017.00
2011/12/28	2.70	2.73	2.58	2.68	4561794	12004051.00
2011/12/29	2.67	2.74	2.65	2.69	2180905	5896636.00
2011/12/30	2.70	2.80	2.70	2.77	2957854	8097843.00
2012/01/04	2.79	2.82	2.70	2.70	1954889	5399614.00
2012/01/05	2.67	2.70	2.62	2.62	1902101	5068199.00
2012/01/06	2.61	2.69	2.54	2.67	2301936	6001697.00
2012/01/09	2.69	2.78	2.63	2.78	3122798	8536048.00
2012/01/10	2.77	2.88	2.75	2.87	5032291	14301537.00
2012/01/11	2.86	2.90	2.82	2.87	3947000	11324834.00
2012/01/12	2.86	2.93	2.85	2.87	3730522	10762181.00
2012/01/13	2.87	2.88	2.73	2.74	3763953	10480481.00
2012/01/16	2.71	2.74	2.66	2.68	1802390	4875331.00
2012/01/17	2.68	2.80	2.65	2.80	4593832	12683305.00
2012/01/18	2.88	2.88	2.75	2.76	4590057	12849691.00
2012/01/19	2.76	2.82	2.74	2.78	2076895	5794917.00
2012/01/20	2.78	2.84	2.76	2.82	3589214	10059395.00
2012/01/30	2.84	2.90	2.80	2.85	4033539	11513996.00
2012/01/31	2.84	2.99	2.82	2.99	11526137	33965996.00
2012/02/01	2.99	3.02	2.90	2.91	9381500	27804732.00
2012/02/02	2.93	2.96	2.88	2.96	4686585	13701573.00
2012/02/03	2.97	3.11	2.94	3.11	13861943	42454192.00
2012/02/06	3.11	3.12	3.05	3.09	9874273	30481840.00
2012/02/07	3.08	3.08	2.94	2.97	6953176	20738704.00
2012/02/08	2.97	3.04	2.93	3.02	3940858	11786872.00
2012/02/09	3.02	3.08	3.00	3.03	4515120	13717987.00
2012/02/10	3.03	3.08	3.00	3.07	5303359	16188423.00
2012/02/13	3.06	3.12	3.02	3.09	5007747	15479069.00
2012/02/14	3.09	3.16	3.06	3.13	5266146	16425092.00
2012/02/15	3.13	3.23	3.12	3.20	9870678	31508246.00
2012/02/16	3.23	3.23	3.10	3.16	6339753	20086048.00
2012/02/17	3.15	3.18	3.11	3.15	3237252	10184493.00
2012/02/20	3.17	3.20	3.13	3.15	5077758	16047661.00
2012/02/21	3.14	3.26	3.08	3.24	10463201	33123226.00
2012/02/22	3.20	3.26	3.18	3.23	9699611	31242462.00
2012/02/23	3.23	3.24	3.19	3.21	6940397	22301268.00
2012/02/24	3.20	3.27	3.20	3.25	6307506	20422418.00
2012/02/27	3.25	3.33	3.24	3.25	7851180	25755854.00
2012/02/28	3.24	3.26	3.15	3.19	6088412	19523808.00
2012/02/29	3.19	3.22	3.15	3.18	4023828	12813735.00
2012/03/01	3.18	3.21	3.16	3.19	3579072	11410368.00
2012/03/02	3.19	3.26	3.19	3.25	7028320	22796604.00
2012/03/05	3.25	3.28	3.24	3.25	4354924	14184083.00
2012/03/06	3.24	3.34	3.23	3.29	6911168	22658370.00
2012/03/07	3.27	3.30	3.23	3.24	6014168	19669230.00
2012/03/08	3.25	3.28	3.24	3.27	3953759	12866829.00
2012/03/09	3.27	3.29	3.24	3.28	5974607	19491038.00
2012/03/12	3.28	3.33	3.26	3.30	5250416	17319700.00
