600136 道博股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.40	8.48	8.31	8.41	353505	2965767.00
2011/10/11	8.51	8.80	8.35	8.42	476730	4069180.00
2011/10/12	8.51	8.74	8.35	8.69	591460	5108127.00
2011/10/13	8.62	8.89	8.62	8.81	777215	6829045.00
2011/10/14	8.77	8.89	8.61	8.77	642889	5607890.00
2011/10/17	8.72	8.97	8.69	8.92	1109930	9818131.00
2011/10/18	8.87	8.92	8.68	8.70	1075271	9505568.00
2011/10/19	8.67	8.95	8.67	8.89	1118204	9884262.00
2011/10/20	8.90	8.97	8.73	8.87	1465568	12926918.00
2011/10/21	8.89	8.95	8.80	8.87	883465	7839893.00
2011/10/24	8.80	9.15	8.77	9.06	1182119	10561344.00
2011/10/25	9.07	9.72	8.91	9.56	6153239	58626764.00
2011/10/26	9.41	9.90	9.19	9.66	4772127	46127988.00
2011/10/27	9.55	9.80	9.50	9.60	2819422	27056862.00
2011/10/28	9.65	10.00	9.45	9.73	5151219	50187376.00
2011/10/31	9.63	9.79	9.49	9.54	4575232	43914148.00
2011/11/01	9.30	9.47	9.21	9.39	2519345	23536068.00
2011/11/02	9.22	9.75	9.18	9.54	3038242	28870480.00
2011/11/03	9.58	10.47	9.54	9.97	7419771	74182088.00
2011/11/04	9.95	10.00	9.82	9.90	3446619	34214232.00
2011/11/07	9.89	10.00	9.73	9.80	1528846	15064506.00
2011/11/08	9.75	10.00	9.75	9.80	2858358	28323372.00
2011/11/09	9.80	9.85	9.40	9.71	2377719	22816080.00
2011/11/10	9.55	9.60	9.38	9.40	1077751	10236850.00
2011/11/11	9.45	9.50	9.30	9.34	758152	7120608.00
2011/11/14	9.40	9.59	9.37	9.54	980259	9309147.00
2011/11/15	9.50	9.71	9.50	9.69	1091370	10488254.00
2011/11/16	9.68	9.70	9.30	9.33	1087169	10275325.00
2011/11/17	9.31	9.42	9.20	9.23	693416	6468965.00
2011/11/18	9.14	9.20	8.92	8.96	994656	8995729.00
2011/11/21	8.97	9.02	8.88	8.96	694693	6213790.00
2011/11/22	8.92	9.00	8.75	8.90	553975	4907821.00
2011/11/23	8.87	8.97	8.82	8.96	443912	3960925.00
2011/11/24	8.95	8.96	8.71	8.89	338604	2993346.00
2011/11/25	8.80	8.97	8.68	8.73	457500	4037996.00
2011/11/28	8.80	8.89	8.75	8.85	418699	3693596.00
2011/11/29	8.92	9.06	8.87	9.03	557925	5012408.00
2011/11/30	9.00	9.09	8.30	8.55	788199	6948150.00
2011/12/01	9.41	9.41	9.41	9.41	1353839	12739625.00
2011/12/02	9.79	10.28	9.61	9.99	10215288	101379960.00
2011/12/05	9.78	9.78	9.08	9.16	5067770	47953072.00
2011/12/06	8.73	9.00	8.57	8.91	3158923	27880112.00
2011/12/07	8.80	8.95	8.50	8.90	2897390	25337582.00
2011/12/08	8.71	8.95	8.41	8.64	2483845	21604110.00
2011/12/09	8.46	8.64	8.30	8.31	2175015	18352958.00
2011/12/12	8.36	8.55	8.21	8.25	1486861	12460301.00
2011/12/13	8.20	8.22	7.60	7.80	1915473	15008919.00
2011/12/14	7.71	7.86	7.40	7.53	1007389	7744575.00
2011/12/15	7.50	7.50	6.96	7.05	1456174	10590562.00
2011/12/19	7.29	7.76	7.27	7.76	4064205	30808578.00
2011/12/20	7.60	8.34	7.59	7.90	4489027	36037420.00
