600143 金发科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.93	9.26	8.84	9.16	3264280	49993556.00
2011/10/11	9.28	9.34	8.99	9.18	5444541	83981056.00
2011/10/12	9.04	9.53	8.94	9.40	11144404	174822752.00
2011/10/13	9.36	9.71	9.33	9.63	14988782	241760352.00
2011/10/14	9.61	9.89	9.52	9.75	21104754	343886176.00
2011/10/17	9.73	9.89	9.67	9.71	25972558	426772768.00
2011/10/18	9.63	9.63	8.69	8.78	17384398	265027184.00
2011/10/19	8.76	8.88	8.19	8.53	12975635	186465824.00
2011/10/20	8.51	8.56	8.17	8.42	9503098	133882000.00
2011/10/21	8.41	8.41	8.11	8.28	8156057	113433376.00
2011/10/24	8.26	8.34	7.94	8.23	9113891	126062640.00
2011/10/25	8.28	8.55	8.21	8.46	6186744	88145848.00
2011/10/26	8.41	8.69	8.31	8.64	8677370	125192416.00
2011/10/27	8.62	8.67	8.48	8.51	5395597	77870496.00
2011/10/28	8.72	8.76	8.47	8.51	8312952	120097096.00
2011/10/31	8.51	8.61	8.40	8.57	8664081	124791920.00
2011/11/01	8.49	8.80	8.48	8.76	7116243	104449112.00
2011/11/02	8.58	8.79	8.48	8.76	11037850	160522944.00
2011/11/03	8.81	9.03	8.77	8.87	6734354	101141712.00
2011/11/04	8.98	9.01	8.84	8.88	4426281	66489300.00
2011/11/07	8.84	9.03	8.84	8.90	3843066	58049236.00
2011/11/08	8.89	9.01	8.84	8.88	3940130	59295040.00
2011/11/09	8.94	9.00	8.83	8.97	3224223	48492664.00
2011/11/10	8.89	8.98	8.81	8.89	4482023	67086320.00
2011/11/11	8.94	9.20	8.85	9.12	5924985	90605576.00
2011/11/14	9.16	9.46	9.12	9.39	13153124	207253920.00
2011/11/15	9.36	9.48	9.33	9.41	5345195	84898104.00
2011/11/16	9.38	9.47	9.16	9.20	6269996	97646888.00
2011/11/17	9.26	9.41	9.19	9.20	3926377	61371156.00
2011/11/18	9.14	9.23	8.89	9.01	5042869	76656400.00
2011/11/21	9.03	9.04	8.91	9.00	1855679	28154586.00
2011/11/22	8.95	9.08	8.78	9.08	3434744	51922560.00
2011/11/23	9.10	9.28	9.00	9.22	4777397	73875800.00
2011/11/24	9.19	9.19	9.01	9.11	1692525	25984418.00
2011/11/25	9.09	9.18	8.93	9.06	2056066	31355320.00
2011/11/28	9.11	9.14	8.96	9.02	2787330	42443384.00
2011/11/29	9.11	9.39	9.06	9.31	4507156	70113896.00
2011/11/30	9.29	9.32	8.70	8.86	6510320	97790552.00
2011/12/01	9.08	9.25	8.97	9.11	6179773	95081568.00
2011/12/02	9.01	9.09	8.86	8.94	2374568	35844480.00
2011/12/05	9.03	9.03	8.26	8.48	4818689	69761952.00
2011/12/06	8.43	8.50	8.21	8.49	1738240	24628120.00
2011/12/07	8.49	8.54	8.36	8.50	951887	13644686.00
2011/12/08	8.49	8.64	8.31	8.53	2066163	29671232.00
2011/12/09	8.45	8.63	8.33	8.57	2434307	35080368.00
2011/12/12	8.51	8.53	8.26	8.32	1434285	20401110.00
2011/12/13	8.20	8.40	8.06	8.13	2658808	36930304.00
2011/12/14	8.05	8.20	7.80	7.98	2698630	36590940.00
2011/12/15	7.83	7.96	7.51	7.63	3143004	41049392.00
2011/12/16	7.58	7.82	7.43	7.75	4039895	52571836.00
2011/12/19	7.58	7.61	7.13	7.41	6510776	81569280.00
