600151 航天机电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.28	9.37	9.09	9.10	3984321	36694068.00
2011/10/11	9.36	9.37	8.97	9.14	4220826	38900668.00
2011/10/12	9.09	9.36	9.00	9.35	6144158	57111368.00
2011/10/13	9.35	9.49	9.28	9.46	5955493	56308864.00
2011/10/14	9.45	9.47	9.27	9.34	3880481	36363964.00
2011/10/17	9.27	9.34	9.12	9.17	6279403	58011360.00
2011/10/18	9.18	9.32	9.07	9.10	5478746	50513932.00
2011/10/19	9.16	9.19	8.76	8.81	5819939	51902576.00
2011/10/20	8.82	8.85	8.43	8.51	5531208	47487328.00
2011/10/21	8.47	8.57	8.44	8.48	2227399	18984670.00
2011/10/24	8.52	8.56	8.13	8.51	4471724	37698248.00
2011/10/25	8.52	8.79	8.47	8.73	5101044	44325944.00
2011/10/26	8.72	8.87	8.60	8.74	6133243	53829720.00
2011/10/27	8.74	8.87	8.71	8.81	4917001	43368588.00
2011/10/28	8.96	9.01	8.82	9.00	7536682	67461808.00
2011/10/31	9.13	9.17	8.90	8.96	7533435	68201384.00
2011/11/01	8.96	8.99	8.80	8.85	6822469	60738044.00
2011/11/02	8.63	8.93	8.58	8.92	7517907	65877776.00
2011/11/03	9.02	9.26	9.02	9.06	10590489	97011920.00
2011/11/04	9.16	9.37	9.08	9.22	10529921	97560096.00
2011/11/07	9.17	9.38	9.08	9.21	8220148	76416464.00
2011/11/08	9.22	9.23	8.98	9.01	5608270	51092752.00
2011/11/09	9.02	9.28	9.01	9.18	9062974	83243192.00
2011/11/10	9.10	9.23	9.03	9.06	7079677	64825568.00
2011/11/11	9.07	9.11	8.85	8.98	6762999	60856752.00
2011/11/14	9.06	9.22	8.99	9.17	6469464	59386392.00
2011/11/15	9.21	9.33	9.13	9.32	9317181	86445776.00
2011/11/16	9.40	9.54	9.05	9.12	10575446	98704512.00
2011/11/17	9.07	9.27	9.07	9.10	5206372	47912168.00
2011/11/18	9.02	9.07	8.74	8.77	6232151	55436604.00
2011/11/21	8.73	8.84	8.66	8.82	2788284	24440992.00
2011/11/22	8.72	8.81	8.60	8.70	2586056	22577556.00
2011/11/23	8.72	8.80	8.63	8.64	2773471	24239738.00
2011/11/24	8.59	8.65	8.48	8.57	2427809	20855622.00
2011/11/25	8.57	8.61	8.32	8.36	3597242	30468692.00
2011/11/28	8.36	8.42	8.27	8.32	2547419	21281004.00
2011/11/29	8.41	8.54	8.30	8.52	3645635	30810460.00
2011/11/30	8.52	8.60	8.12	8.38	5616433	47096004.00
2011/12/01	8.49	8.71	8.42	8.50	8120362	69719328.00
2011/12/02	8.46	8.46	8.15	8.21	3592252	29732276.00
2011/12/05	8.17	8.19	7.79	7.81	3676958	29308880.00
2011/12/06	7.77	8.02	7.72	7.84	2181882	17118270.00
2011/12/07	7.85	7.99	7.68	7.88	1960962	15511689.00
2011/12/08	7.88	8.10	7.64	8.05	5368990	42675732.00
2011/12/09	7.95	8.16	7.75	7.90	4353951	34490000.00
2011/12/12	7.77	7.90	7.68	7.70	1834122	14305641.00
2011/12/13	7.69	7.69	7.25	7.30	3563850	26393758.00
2011/12/14	7.31	7.32	6.96	6.98	3266796	23304144.00
2011/12/15	6.95	6.95	6.59	6.59	3725147	25101756.00
2011/12/16	6.69	6.88	6.60	6.87	4978506	33619488.00
2011/12/19	6.78	7.09	6.74	7.09	7158137	50013008.00
2011/12/20	6.99	7.11	6.90	6.92	4605905	32365944.00
2011/12/21	6.96	7.02	6.61	6.66	3544461	24371200.00
2011/12/22	6.62	7.33	6.57	7.33	12335080	87032984.00
2011/12/23	7.44	7.47	7.22	7.40	14035397	103681096.00
2011/12/26	7.28	7.38	7.21	7.27	6342396	46459228.00
2011/12/27	7.17	7.27	6.93	6.96	7026935	50193452.00
2011/12/28	6.84	7.25	6.64	7.24	9885481	68528248.00
2011/12/29	7.12	7.37	7.04	7.06	9130422	66103512.00
2011/12/30	7.07	7.22	7.05	7.17	5345226	38362744.00
2012/01/04	7.24	7.28	6.77	6.81	4984887	35306008.00
2012/01/05	6.76	6.92	6.58	6.63	5387653	36461924.00
2012/01/06	6.57	6.88	6.39	6.85	5222173	35067536.00
2012/01/09	6.92	7.19	6.79	7.16	6996516	49598996.00
2012/01/10	7.15	7.47	7.11	7.41	11817750	86884112.00
2012/01/11	7.37	7.54	7.28	7.39	8140842	60485056.00
2012/01/12	7.36	7.64	7.32	7.38	9023631	67703808.00
2012/01/13	7.30	7.42	6.96	7.11	7833538	56432624.00
2012/01/17	6.89	7.45	6.77	7.41	8385301	60483444.00
2012/01/18	7.41	7.61	7.22	7.34	9019069	66946124.00
2012/01/19	7.35	7.43	7.20	7.32	5578740	40966032.00
2012/01/20	7.38	7.43	7.28	7.34	3788992	27921096.00
2012/01/30	7.39	7.42	7.22	7.24	3117385	22918050.00
2012/01/31	7.17	7.22	6.77	6.93	7887825	54745488.00
2012/02/01	6.93	6.94	6.81	6.86	3882142	26806844.00
2012/02/02	6.86	6.98	6.82	6.97	4150590	28792472.00
2012/02/03	6.96	7.26	6.89	7.20	8210680	58351792.00
2012/02/06	7.20	7.37	7.13	7.31	9519001	69471824.00
2012/02/07	7.23	7.27	7.06	7.14	5425051	38961508.00
2012/02/08	7.14	7.37	7.10	7.35	8330909	60993460.00
2012/02/09	7.34	7.55	7.32	7.39	12583450	94187424.00
2012/02/10	7.37	7.97	7.35	7.60	18572894	141960896.00
2012/02/13	7.53	7.80	7.48	7.71	10471719	80748016.00
2012/02/14	7.70	7.92	7.57	7.79	10411301	81060600.00
2012/02/15	7.86	7.86	7.68	7.83	6841446	53429944.00
2012/02/16	7.85	7.98	7.77	7.95	11285147	89281968.00
2012/02/17	7.92	7.96	7.67	7.77	8131487	63671144.00
2012/02/22	7.86	8.25	7.72	8.10	19622433	157651904.00
2012/02/23	8.05	8.15	7.95	8.12	12609521	102043728.00
2012/02/24	8.13	8.33	8.05	8.15	21380005	175791968.00
2012/02/27	8.22	8.37	8.12	8.24	18186543	150671008.00
2012/02/28	8.27	8.55	8.08	8.33	19538396	162151648.00
2012/02/29	8.47	8.48	8.20	8.25	18824545	157838928.00
2012/03/01	8.18	8.42	8.17	8.31	7989211	66479564.00
2012/03/02	8.32	8.43	8.28	8.40	11128851	93504080.00
2012/03/05	8.43	8.74	8.22	8.26	25494227	216054368.00
2012/03/06	8.20	8.21	7.97	8.07	10764448	87208696.00
2012/03/07	7.97	8.14	7.94	8.02	7736468	62408464.00
2012/03/08	8.03	8.12	8.02	8.09	5441342	44114368.00
2012/03/09	8.15	8.19	8.05	8.18	6722502	54863480.00
2012/03/12	8.19	8.31	8.17	8.26	7892536	65368732.00
2012/03/13	8.27	8.31	8.22	8.29	6714724	55679572.00
2012/03/14	8.31	8.34	7.72	7.77	14353594	116682176.00
2012/03/15	7.74	7.84	7.51	7.59	8300272	63757952.00
2012/03/16	7.68	7.79	7.57	7.76	6537873	50498980.00
