600155 宝硕股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.17	5.25	5.14	5.15	1063395	5508907.00
2011/10/11	5.30	5.30	5.12	5.21	1450734	7578053.00
2011/10/12	5.17	5.35	5.15	5.33	1250327	6587436.00
2011/10/13	5.34	5.35	5.27	5.34	1290235	6850837.00
2011/10/14	5.33	5.34	5.25	5.30	862210	4560524.00
2011/10/17	5.30	5.34	5.21	5.24	1418842	7479589.00
2011/10/18	5.18	5.24	4.98	5.05	3122735	15854990.00
2011/10/19	5.05	5.12	5.00	5.00	1190640	6003640.00
2011/10/20	4.99	5.08	4.85	4.98	1726460	8597926.00
2011/10/21	5.00	5.00	4.85	4.86	829152	4081776.00
2011/10/24	4.88	4.98	4.77	4.96	1303404	6360459.00
2011/10/25	4.95	5.01	4.87	5.00	1868013	9261361.00
2011/10/26	4.95	5.04	4.95	4.99	1861717	9328720.00
2011/10/27	4.97	5.01	4.94	4.97	2200544	10940108.00
2011/10/28	5.01	5.04	4.98	5.04	2189726	10977852.00
2011/10/31	5.03	5.13	5.02	5.07	1718131	8721548.00
2011/11/01	5.03	5.06	4.98	5.04	1377450	6916058.00
2011/11/02	4.89	5.05	4.86	5.05	2423051	11973494.00
2011/11/03	5.05	5.30	5.01	5.26	6983199	36434824.00
2011/11/04	5.24	5.38	5.20	5.29	6614910	35107580.00
2011/11/07	5.34	5.34	5.20	5.29	2579600	13571793.00
2011/11/08	5.24	5.43	5.24	5.30	6302837	33749796.00
2011/11/09	5.28	5.35	5.22	5.30	2017739	10663398.00
2011/11/10	5.26	5.32	5.21	5.22	1294080	6809449.00
2011/11/11	5.28	5.29	5.19	5.20	1012500	5297464.00
2011/11/14	5.25	5.32	5.19	5.29	2282987	11978324.00
2011/11/15	5.29	5.35	5.25	5.33	1865003	9911231.00
2011/11/16	5.35	5.35	5.25	5.28	2737699	14455593.00
2011/11/17	5.28	5.39	5.26	5.38	3115618	16649904.00
2011/11/18	5.39	5.41	5.23	5.25	2685901	14310349.00
2011/11/21	5.22	5.39	5.03	5.35	3159369	16440897.00
2011/11/22	5.23	5.35	5.18	5.30	1683026	8886720.00
2011/11/23	5.30	5.34	5.20	5.20	2215434	11690828.00
2011/11/24	5.18	5.33	5.16	5.20	1254129	6556064.00
2011/11/25	5.20	5.28	5.14	5.20	1458700	7564777.00
2011/11/28	5.19	5.27	5.10	5.14	1178500	6091026.00
2011/11/29	5.22	5.22	5.07	5.10	2042625	10442591.00
2011/11/30	5.11	5.11	4.85	4.85	2128398	10442290.00
2011/12/01	4.95	5.08	4.88	4.91	1907205	9486078.00
2011/12/02	4.92	4.92	4.82	4.85	824170	4013715.00
2011/12/05	4.85	4.86	4.61	4.61	2484857	11513312.00
2011/12/06	4.57	4.60	4.38	4.46	2386765	10628587.00
2011/12/07	4.46	4.48	4.29	4.33	1207094	5247247.00
