600157 永泰能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/11	3.55	3.56	3.09	3.20	5523894	78785408.00
2011/10/12	3.20	3.33	3.10	3.32	2417944	33433124.00
2011/10/13	3.29	3.40	3.29	3.40	2218386	31746424.00
2011/10/14	3.48	3.56	3.41	3.46	5931950	88215288.00
2011/10/17	3.45	3.50	3.36	3.42	4132246	60176464.00
2011/10/18	3.36	3.40	3.28	3.29	2281226	32530656.00
2011/10/19	3.36	3.38	3.29	3.36	1040275	14782575.00
2011/10/20	3.34	3.35	3.20	3.34	2177557	30463868.00
2011/10/21	3.31	3.34	3.23	3.23	1261228	17621544.00
2011/10/24	3.23	3.30	3.16	3.29	1724945	23860822.00
2011/10/25	3.28	3.44	3.25	3.42	4481233	64450968.00
2011/10/26	3.38	3.51	3.37	3.46	4913825	72330176.00
2011/10/27	3.46	3.50	3.43	3.45	1934641	28514028.00
2011/10/28	3.50	3.59	3.48	3.53	4226076	63544528.00
2011/10/31	3.53	3.65	3.53	3.64	5888571	89738216.00
2011/11/01	3.62	3.76	3.58	3.67	4435512	69304608.00
2011/11/02	3.56	3.69	3.55	3.65	3029749	46426052.00
2011/11/03	3.68	3.72	3.63	3.64	3478417	54322396.00
2011/11/04	3.64	3.72	3.63	3.66	2641113	41100128.00
2011/11/07	3.66	3.71	3.58	3.59	3954194	61401608.00
2011/11/08	3.63	3.69	3.59	3.62	3745932	58050680.00
2011/11/09	3.63	3.80	3.59	3.79	8057319	126733808.00
2011/11/10	3.72	3.83	3.70	3.75	5626906	90100056.00
2011/11/11	3.79	3.82	3.71	3.72	3368167	53763072.00
2011/11/14	3.75	3.91	3.75	3.85	5428208	88328800.00
2011/11/15	3.84	3.88	3.81	3.85	3926261	63617056.00
2011/11/16	3.87	3.88	3.70	3.72	3217636	51369880.00
2011/11/17	3.75	3.79	3.70	3.73	2404846	38200796.00
2011/11/18	3.70	3.72	3.63	3.68	3744328	58125996.00
2011/11/21	3.68	3.72	3.56	3.65	2519750	38808696.00
2011/11/22	3.60	3.71	3.58	3.71	2773211	43267520.00
2011/11/23	3.68	3.75	3.68	3.71	1259738	19889320.00
2011/11/24	3.69	3.73	3.66	3.71	1961329	30744606.00
2011/11/25	3.69	3.73	3.65	3.65	1698508	26592330.00
2011/11/28	3.66	3.82	3.63	3.82	6559909	103817776.00
2011/11/29	3.82	3.97	3.82	3.88	8576010	141616528.00
2011/11/30	3.86	3.90	3.70	3.77	4497474	72182744.00
2011/12/01	3.90	3.99	3.84	3.85	4356919	72114368.00
2011/12/02	3.82	3.88	3.76	3.81	1526189	24717328.00
2011/12/05	3.85	3.85	3.66	3.67	2358476	37208888.00
2011/12/06	3.67	3.70	3.64	3.66	1231905	19116236.00
2011/12/07	3.66	3.73	3.65	3.73	1535712	24092876.00
2011/12/08	3.72	3.72	3.65	3.68	1657687	25939360.00
2011/12/12	3.64	3.68	3.55	3.59	2008673	30857062.00
2011/12/13	3.59	3.67	3.35	3.48	3735337	56273748.00
2011/12/14	3.40	3.48	3.40	3.43	2244898	32885704.00
2011/12/15	3.41	3.41	3.10	3.18	4326739	59031892.00
2011/12/16	3.16	3.37	3.13	3.34	3012458	42053208.00
2011/12/19	3.32	3.46	3.23	3.45	2669804	38115092.00
2011/12/20	3.36	3.49	3.36	3.45	1601741	23378816.00
2011/12/21	3.45	3.50	3.28	3.32	1599607	23058018.00
2011/12/22	3.26	3.39	3.24	3.32	1711301	24044180.00
2011/12/23	3.31	3.40	3.29	3.35	736031	10554078.00
2011/12/26	3.32	3.46	3.32	3.42	2100349	30640638.00
2011/12/27	3.40	3.40	3.28	3.32	827876	11876853.00
2011/12/28	3.26	3.37	3.25	3.36	788716	11076217.00
2011/12/29	3.36	3.36	3.28	3.33	876726	12458704.00
2011/12/30	3.36	3.42	3.34	3.40	967032	13967596.00
2012/01/04	3.41	3.47	3.39	3.39	1631580	23886328.00
2012/01/05	3.30	3.42	3.22	3.23	1967883	27664416.00
2012/01/06	3.17	3.35	3.17	3.28	1319319	18289852.00
2012/01/09	3.28	3.51	3.23	3.47	3140598	45791708.00
2012/01/10	3.45	3.63	3.45	3.58	4555454	68838696.00
2012/01/11	3.62	3.68	3.52	3.61	2929010	44704768.00
2012/01/12	3.54	3.65	3.53	3.56	2295980	35189024.00
2012/01/13	3.57	3.68	3.50	3.57	4605447	69980608.00
2012/01/16	3.60	3.70	3.57	3.61	4906966	76040056.00
2012/01/17	3.58	3.84	3.55	3.82	6255260	98280584.00
2012/01/18	3.81	3.83	3.63	3.64	5304864	83396096.00
2012/01/19	3.64	3.76	3.60	3.68	1920654	30018718.00
2012/01/20	3.75	3.75	3.62	3.63	2423857	37828812.00
2012/01/30	3.65	3.77	3.65	3.70	2446908	38602916.00
2012/01/31	3.68	3.76	3.67	3.72	1624432	25516174.00
2012/02/01	3.71	3.73	3.63	3.63	1252089	19502216.00
2012/02/02	3.63	3.72	3.60	3.68	2528534	39281904.00
2012/02/03	3.64	3.76	3.64	3.73	2454896	38570036.00
2012/02/06	3.75	3.83	3.70	3.74	3242677	51866560.00
2012/02/07	3.74	3.75	3.68	3.72	2147541	33826048.00
2012/02/08	3.72	3.89	3.70	3.87	7399993	119774032.00
2012/02/09	3.85	3.89	3.80	3.85	3602136	58716128.00
2012/02/10	3.86	3.89	3.81	3.85	2899216	47258668.00
2012/02/13	3.91	4.06	3.88	3.99	8711325	146603184.00
2012/02/14	4.01	4.05	3.92	4.02	8395324	142511184.00
2012/02/15	4.03	4.09	3.95	3.99	8255820	140477072.00
2012/02/16	3.99	3.99	3.89	3.94	7444413	123694448.00
2012/02/17	3.93	3.98	3.92	3.93	7774306	129739408.00
2012/02/20	3.96	4.14	3.94	4.11	12834456	220894720.00
2012/02/21	4.12	4.15	4.08	4.11	5629933	97876624.00
2012/02/22	4.15	4.33	4.14	4.27	10333319	185143408.00
2012/02/23	4.23	4.40	4.19	4.34	8025765	145984240.00
2012/02/24	4.34	4.42	4.32	4.35	6135699	112655112.00
2012/02/27	4.36	4.48	4.27	4.28	6266188	116154768.00
2012/02/28	4.28	4.39	4.16	4.29	6222449	111650584.00
2012/02/29	4.27	4.34	4.23	4.31	2769024	50036776.00
2012/03/01	4.25	4.43	4.23	4.40	5831135	107413664.00
2012/03/02	4.42	4.52	4.39	4.50	5150402	96681144.00
2012/03/05	4.50	4.70	4.47	4.64	9444372	182257664.00
2012/03/06	4.70	4.99	4.58	4.88	12095889	241717328.00
2012/03/07	4.80	4.94	4.76	4.77	7455937	150376272.00
2012/03/08	4.80	4.85	4.64	4.72	9683771	191366032.00
2012/03/09	4.73	4.88	4.70	4.83	8346429	168094720.00
2012/03/12	4.83	5.10	4.83	4.99	8584269	179136224.00
2012/03/13	4.97	4.97	4.72	4.81	13576251	272717504.00
2012/03/14	4.78	4.82	4.53	4.57	16901786	332123520.00
2012/03/15	4.55	4.55	4.09	4.28	26293948	473011968.00
2012/03/16	4.23	4.38	4.16	4.28	14966705	268268960.00
2012/03/19	4.35	4.47	4.30	4.38	16921206	311273184.00
2012/03/20	4.40	4.44	4.20	4.23	10233245	185580832.00
2012/03/22	4.29	4.35	4.09	4.33	13715015	246538880.00
2012/03/23	4.38	4.49	4.23	4.32	28378375	521012288.00
2012/03/26	4.28	4.34	4.15	4.26	8493554	152422496.00
2012/03/27	4.31	4.32	4.19	4.23	9619272	171532272.00
2012/03/28	4.18	4.20	3.97	3.97	10445599	180026784.00
2012/03/29	3.97	4.00	3.83	3.87	13311016	220161248.00
2012/04/05	3.86	4.17	3.84	4.16	14009153	239058976.00
2012/04/06	4.14	4.28	4.10	4.23	9655266	171198192.00
2012/04/09	4.24	4.32	4.15	4.23	8382427	150165632.00
2012/04/10	4.20	4.29	4.16	4.28	8186929	146021728.00
2012/04/11	4.22	4.31	4.20	4.30	5364887	96649872.00
2012/04/13	4.45	4.59	4.38	4.55	16095911	303005440.00
2012/04/16	4.50	4.57	4.46	4.49	6001600	113749240.00
2012/04/17	4.48	4.56	4.43	4.45	5396468	101903128.00
2012/04/18	4.52	4.64	4.45	4.62	8865075	169388976.00
2012/04/19	4.65	4.69	4.58	4.63	8155964	158610864.00
2012/04/20	4.63	4.74	4.60	4.70	6244060	122143960.00
2012/04/23	4.71	4.78	4.63	4.65	8610805	169360256.00
2012/04/24	4.70	4.80	4.50	4.68	9259035	90347264.00
2012/04/25	4.58	4.70	4.50	4.61	18698722	178874704.00
2012/04/26	4.60	4.82	4.52	4.75	19908136	194787584.00
2012/04/27	4.75	4.75	4.63	4.66	10174601	99125840.00
2012/05/02	4.76	5.00	4.66	4.87	25704738	259571888.00
2012/05/03	4.86	5.13	4.83	5.05	25613136	266321952.00
2012/05/04	5.05	5.20	5.02	5.14	21507582	227668160.00
2012/05/08	5.16	5.18	4.83	4.92	37785127	389070656.00
2012/05/09	4.83	4.88	4.75	4.82	17267594	173572080.00
2012/05/10	4.80	4.91	4.74	4.81	15321158	153582512.00
2012/05/11	4.82	4.88	4.75	4.80	11155834	111872944.00
2012/05/14	4.85	4.87	4.73	4.77	14113210	141046928.00
2012/05/15	4.69	4.73	4.56	4.67	15028341	145196464.00
2012/05/16	4.64	4.69	4.55	4.56	10013757	96599520.00
2012/05/17	4.58	4.79	4.56	4.73	18558329	182249216.00
2012/05/18	4.68	4.75	4.60	4.63	10995830	106955392.00
2012/05/21	4.78	5.11	4.69	5.03	50162514	519205184.00
2012/05/22	5.00	5.13	4.89	5.13	40297508	419727936.00
2012/05/23	5.05	5.27	5.01	5.17	32303668	346482880.00
2012/05/24	5.13	5.23	5.08	5.12	20825847	222561664.00
2012/05/25	5.13	5.14	4.95	5.01	15928335	166814784.00
2012/05/28	4.97	5.25	4.84	5.24	25765372	272645376.00
2012/05/29	5.23	5.78	5.20	5.64	45174444	515635808.00
2012/05/30	5.54	5.70	5.48	5.57	37306678	430308352.00
2012/05/31	5.50	5.65	5.38	5.61	30081651	343296832.00
2012/06/01	5.56	5.66	5.45	5.49	19163447	220465520.00
2012/06/04	5.31	5.45	5.09	5.15	32288900	350593888.00
2012/06/05	5.16	5.20	4.96	5.05	22535235	236390992.00
2012/06/06	5.07	5.14	4.96	5.02	18059544	189656960.00
2012/06/07	5.14	5.16	4.95	4.98	15835233	166420848.00
2012/06/08	5.04	5.05	4.78	4.87	22523466	229132976.00
2012/06/11	4.86	5.19	4.83	5.16	27552775	289078912.00
2012/06/12	5.08	5.17	5.01	5.03	16715178	176444000.00
2012/06/13	5.08	5.16	4.98	5.14	18008041	190391552.00
2012/06/14	5.08	5.14	4.93	4.95	18725996	196381888.00
2012/06/15	4.99	5.03	4.85	4.97	14477299	148658288.00
2012/06/18	5.04	5.20	4.99	5.11	19025429	201624576.00
2012/06/19	5.06	5.09	4.92	4.96	12952337	133882760.00
2012/06/20	5.00	5.01	4.90	4.93	10714813	110469288.00
2012/06/21	4.85	4.85	4.44	4.55	40476343	388276544.00
2012/06/25	4.46	4.46	4.15	4.19	27558806	246544336.00
2012/06/26	4.15	4.29	4.13	4.26	12759585	113023856.00
2012/06/28	4.27	4.29	4.11	4.15	11819643	104140800.00
2012/06/29	4.06	4.35	4.05	4.34	14817184	131568800.00
2012/07/02	4.49	4.64	4.33	4.38	25642887	240725072.00
2012/07/03	4.36	4.50	4.28	4.44	14491498	133853056.00
2012/07/04	4.53	4.59	4.35	4.41	17238417	160978592.00
2012/07/05	4.35	4.35	4.05	4.20	28025799	244246784.00
2012/07/06	4.24	4.36	4.11	4.33	19880441	176118672.00
2012/07/09	4.33	4.33	4.08	4.09	20474612	178710064.00
2012/07/10	4.05	4.12	3.91	3.96	15654575	131300448.00
2012/07/11	3.94	4.11	3.94	4.05	15780318	133531192.00
2012/07/12	4.00	4.47	4.00	4.47	52887070	483237600.00
2012/07/13	4.38	4.56	4.36	4.47	40722956	381180736.00
2012/07/16	4.48	4.55	4.31	4.43	26896276	248807376.00
2012/07/17	4.41	4.60	4.37	4.56	23724264	224122064.00
2012/07/18	4.54	4.62	4.34	4.57	22269825	209660672.00
2012/07/19	4.53	4.78	4.46	4.60	25360112	245304240.00
2012/07/20	4.59	4.65	4.33	4.41	26171484	243759232.00
2012/07/23	4.33	4.46	4.22	4.33	12396807	112635256.00
2012/07/24	4.26	4.43	4.24	4.34	12175899	110167408.00
2012/07/25	4.27	4.34	4.20	4.22	10603122	94512912.00
2012/07/26	4.22	4.32	4.17	4.20	12545597	111741136.00
2012/07/27	4.25	4.46	4.23	4.31	17129577	155277664.00
2012/07/30	4.31	4.44	4.28	4.35	14567655	132912752.00
2012/07/31	4.36	4.37	4.11	4.34	12526646	111733280.00
2012/08/01	4.25	4.50	4.24	4.42	18758315	173653600.00
2012/08/02	4.39	4.44	4.30	4.31	14641300	132902424.00
2012/08/03	4.35	4.43	4.28	4.41	16345643	149002640.00
2012/08/06	4.40	4.59	4.38	4.56	22912786	215833056.00
2012/08/07	4.55	4.59	4.48	4.55	13361480	126492736.00
2012/08/08	4.57	4.70	4.51	4.54	23011862	220315408.00
2012/08/09	4.51	4.55	4.43	4.54	16957100	158966400.00
2012/08/10	4.54	4.54	4.40	4.42	15591044	144829600.00
2012/08/13	4.41	4.41	4.23	4.24	16813077	150882336.00
2012/08/14	4.23	4.28	4.09	4.21	16741585	146163600.00
2012/08/15	4.18	4.28	4.14	4.21	13137066	116076424.00
2012/08/16	4.19	4.25	4.14	4.14	10112303	88849640.00
2012/08/17	4.14	4.19	4.06	4.12	10812609	92957704.00
2012/08/20	4.09	4.15	4.01	4.14	9114373	77894840.00
2012/08/21	4.18	4.29	4.13	4.20	16648701	147326288.00
2012/08/22	4.22	4.25	4.06	4.13	13989521	121603368.00
2012/08/23	4.14	4.20	4.08	4.14	12065672	104366312.00
2012/08/24	4.11	4.12	3.85	3.87	26892264	223509072.00
2012/08/27	3.85	3.87	3.59	3.60	24459581	188748800.00
2012/08/28	3.59	3.67	3.53	3.63	15237113	115755232.00
2012/08/29	3.58	3.58	3.36	3.41	17247981	127559776.00
2012/08/30	3.44	3.55	3.37	3.49	17426743	127576472.00
2012/08/31	3.46	3.51	3.41	3.44	8252775	60321160.00
2012/09/03	3.37	3.50	3.37	3.47	14832935	108068280.00
2012/09/04	3.48	3.53	3.35	3.40	24338563	177928368.00
2012/09/05	3.36	3.37	3.26	3.30	20562505	144106224.00
2012/09/06	3.65	3.65	3.63	3.65	46819083	360014080.00
2012/09/07	3.80	4.03	3.70	4.03	80046736	659148416.00
2012/09/10	4.15	4.17	3.91	4.16	82136760	698943552.00
2012/09/11	4.06	4.10	3.99	4.02	46539575	394370464.00
2012/09/12	4.06	4.17	4.01	4.10	48160368	413595968.00
2012/09/13	4.10	4.10	3.92	3.92	29577629	249720208.00
2012/09/14	4.05	4.13	3.93	3.98	39061803	329005568.00
2012/09/17	3.98	3.98	3.72	3.73	29977285	242278480.00
2012/09/18	3.69	3.75	3.63	3.68	19955741	154730448.00
2012/09/19	3.67	3.76	3.64	3.74	22183618	172357472.00
2012/09/20	3.70	3.70	3.52	3.53	20877631	159098912.00
2012/09/21	3.49	3.78	3.49	3.61	31638466	244428624.00
2012/09/24	3.53	3.83	3.48	3.79	33593357	261990016.00
2012/09/25	3.73	3.80	3.67	3.75	19398957	152603568.00
2012/09/26	3.75	3.93	3.71	3.79	38541398	311562368.00
2012/09/27	3.83	4.18	3.80	4.08	55573219	467582560.00
2012/09/28	4.00	4.24	3.98	4.17	49370027	429076832.00
2012/10/08	4.15	4.26	4.08	4.17	36536947	319250752.00
2012/10/09	4.17	4.34	4.16	4.28	36026996	321330208.00
2012/10/10	4.25	4.33	4.17	4.25	28863110	255660064.00
2012/10/11	4.21	4.21	4.05	4.07	32165111	277416576.00
2012/10/12	4.08	4.16	3.88	4.02	30992113	260876240.00
2012/10/15	3.99	4.03	3.90	3.95	22304909	184680800.00
2012/10/16	3.97	4.18	3.95	4.09	38319437	329244896.00
2012/10/17	4.12	4.13	3.96	4.03	28250889	239411200.00
2012/10/18	4.08	4.18	4.07	4.17	37407692	324713024.00
2012/10/19	4.19	4.33	4.18	4.25	47130503	421644064.00
2012/10/22	4.21	4.39	4.18	4.38	37966926	340708992.00
2012/10/23	4.34	4.37	4.18	4.19	35572439	317942656.00
2012/10/24	4.13	4.17	4.06	4.15	23982238	207006416.00
2012/10/25	4.15	4.24	4.00	4.01	33038360	283559456.00
2012/10/26	4.01	4.03	3.85	3.95	23566933	194153600.00
2012/10/29	4.03	4.09	3.96	4.04	20735467	175499200.00
2012/10/30	4.04	4.10	3.90	3.91	25309750	211561488.00
2012/10/31	3.94	3.98	3.85	3.98	20147658	165643744.00
2012/11/01	3.98	4.13	3.93	4.11	38504466	326827424.00
2012/11/02	4.10	4.12	4.03	4.10	22744761	194628896.00
2012/11/05	4.11	4.29	4.11	4.17	41144426	362281216.00
2012/11/06	4.22	4.23	4.05	4.12	27388985	236745744.00
2012/11/07	4.12	4.15	4.03	4.07	18629612	159689104.00
2012/11/08	3.98	3.99	3.80	3.81	25471057	208747632.00
2012/11/09	3.79	3.84	3.71	3.79	18153546	144387856.00
