600165 新日恒力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.94	8.00	7.86	7.88	1086860	8619933.00
2011/10/11	8.03	8.10	7.69	7.86	1059296	8377402.00
2011/10/12	7.83	8.10	7.69	8.08	1819567	14448149.00
2011/10/13	8.08	8.26	8.01	8.15	1742971	14179191.00
2011/10/14	8.14	8.20	8.02	8.04	720946	5832600.00
2011/10/17	8.15	8.18	8.04	8.16	801516	6488266.00
2011/10/18	8.12	8.12	7.86	7.87	1446686	11507707.00
2011/10/19	7.89	7.95	7.72	7.74	798938	6235580.00
2011/10/20	7.75	7.83	7.35	7.43	1838096	13874352.00
2011/10/21	7.33	7.55	7.27	7.53	1365405	10124199.00
2011/10/24	7.50	7.61	7.35	7.53	841968	6318597.00
2011/10/25	7.50	7.67	7.46	7.66	1011727	7671428.00
2011/10/26	7.53	7.72	7.53	7.61	1521245	11609387.00
2011/10/27	7.62	7.74	7.50	7.56	998601	7616870.00
2011/10/28	7.73	7.78	7.65	7.76	1701688	13128203.00
2011/10/31	7.77	7.91	7.72	7.83	1135822	8865669.00
2011/11/01	7.78	7.90	7.77	7.83	929979	7287103.00
2011/11/02	7.75	7.86	7.60	7.86	1558538	12009816.00
2011/11/03	7.88	7.97	7.80	7.81	1801092	14193073.00
2011/11/04	7.85	7.93	7.80	7.88	1375349	10808269.00
2011/11/07	7.96	7.96	7.79	7.84	1005769	7882567.00
2011/11/08	7.84	7.95	7.75	7.78	1779874	14002861.00
2011/11/09	7.84	7.84	7.57	7.76	1831423	14093887.00
2011/11/10	7.70	8.33	7.60	8.20	8130602	65096312.00
2011/11/11	8.16	8.99	8.11	8.98	22489005	195733808.00
2011/11/14	8.88	9.01	8.74	8.88	12948761	114776792.00
2011/11/15	8.83	8.91	8.69	8.84	15454500	135950576.00
2011/11/16	8.79	8.92	8.61	8.69	16516486	145226848.00
2011/11/17	8.63	8.76	8.47	8.74	7684086	66356372.00
2011/11/18	8.61	8.79	8.53	8.67	7038063	61259716.00
2011/11/21	8.61	9.11	8.60	8.83	14429567	128553632.00
2011/11/22	8.73	8.94	8.67	8.84	3581015	31553756.00
2011/11/23	8.89	9.14	8.59	8.92	9595899	85317832.00
2011/11/24	8.78	9.70	8.73	9.58	32486159	306630016.00
2011/11/25	9.55	9.55	9.23	9.42	8483115	79509256.00
2011/11/28	9.36	9.50	9.20	9.32	13224190	124064216.00
2011/11/29	9.35	9.38	9.05	9.27	10010704	91997832.00
2011/11/30	9.27	9.50	9.07	9.40	21895900	203205760.00
2011/12/01	9.54	9.58	9.25	9.32	24472715	229876144.00
2011/12/02	9.09	9.28	8.39	9.24	24256867	216687376.00
2011/12/05	9.15	9.20	8.74	8.90	15978985	142393680.00
2011/12/06	8.68	9.04	8.45	9.02	8960656	78646560.00
2011/12/07	8.90	9.11	8.85	8.96	14166135	126936752.00
2011/12/08	8.96	9.01	8.72	8.83	5982452	52954648.00
2011/12/09	8.70	8.88	8.68	8.83	6097050	53585228.00
2011/12/12	8.80	8.94	8.70	8.87	10354075	91435296.00
2011/12/13	8.80	8.87	8.52	8.78	8866957	77728000.00
2011/12/14	8.65	8.77	8.39	8.55	6947424	59066260.00
2011/12/15	8.47	8.58	7.80	8.28	8523011	71079704.00
2011/12/16	8.21	8.30	7.89	8.12	14473357	116279224.00
2011/12/19	8.00	8.23	7.86	8.12	8626862	69894240.00
2011/12/20	8.08	8.19	7.97	8.00	10615312	86243960.00
2011/12/21	7.92	8.06	7.62	7.70	12427921	96859832.00
2011/12/22	7.66	7.96	7.33	7.80	16107453	124244104.00
2011/12/23	7.80	7.88	7.65	7.77	6479483	50495656.00
2011/12/26	7.77	7.93	7.70	7.84	13451817	105232000.00
2011/12/27	7.77	7.78	7.46	7.75	7142189	54646728.00
2011/12/28	7.67	7.88	7.57	7.75	7770114	60238984.00
2011/12/29	7.81	7.81	7.55	7.60	10058186	77715256.00
2012/01/04	7.70	7.76	6.84	6.84	12230896	87069720.00
2012/01/05	6.44	6.44	6.16	6.16	6818186	42176920.00
2012/01/06	6.16	6.44	5.77	6.39	8377529	51030872.00
2012/01/09	6.18	6.58	6.18	6.55	4644580	30040972.00
2012/01/10	6.55	7.12	6.48	6.84	5605328	38201520.00
2012/01/11	6.80	6.96	6.72	6.85	2909599	19899240.00
2012/01/12	6.80	6.97	6.71	6.72	2660602	18198440.00
2012/01/13	6.72	6.76	6.35	6.36	3105667	20206020.00
2012/01/16	6.30	6.53	6.26	6.40	2025013	12944156.00
2012/01/17	6.40	6.72	6.32	6.71	2724227	17842328.00
2012/01/18	6.60	6.82	6.58	6.60	2124823	14221325.00
2012/01/19	6.70	6.70	6.51	6.56	1652588	10892697.00
2012/01/20	6.58	6.75	6.55	6.69	1689565	11264759.00
2012/01/30	6.74	6.75	6.63	6.64	1020421	6835323.00
2012/01/31	6.64	6.85	6.60	6.71	1480766	9995879.00
2012/02/01	6.70	6.73	6.60	6.61	928662	6186683.00
2012/02/02	6.61	6.70	6.58	6.69	1074735	7142359.00
2012/02/03	6.70	6.97	6.70	6.89	2700279	18505546.00
2012/02/06	6.89	6.99	6.82	6.89	1918429	13223219.00
2012/02/07	6.89	6.89	6.65	6.71	1730726	11652255.00
2012/02/08	6.67	6.90	6.65	6.87	1895164	12875424.00
2012/02/09	6.87	7.00	6.84	6.90	3032680	20989110.00
2012/02/10	6.90	6.99	6.82	6.93	2360649	16347135.00
2012/02/13	6.91	7.07	6.83	7.02	3019957	21070340.00
2012/02/14	7.00	7.06	6.95	7.01	1677680	11742128.00
2012/02/15	7.01	7.27	6.99	7.20	4275110	30670874.00
2012/02/16	7.17	7.25	7.04	7.18	3209275	23010496.00
2012/02/17	7.18	7.26	7.10	7.16	1963370	14065322.00
2012/02/20	7.20	7.23	7.02	7.06	2669269	19138792.00
2012/02/21	7.07	7.18	6.98	7.10	2672821	18898036.00
2012/02/22	7.15	7.48	7.10	7.32	5551709	40438368.00
2012/02/23	7.30	7.34	7.21	7.28	4188097	30413916.00
2012/02/24	7.26	7.37	7.22	7.36	4176741	30486478.00
2012/02/27	7.35	7.47	7.30	7.34	4471537	33065624.00
2012/02/28	7.34	7.36	7.21	7.27	2854427	20760368.00
2012/02/29	7.24	7.45	7.21	7.28	2666411	19536336.00
2012/03/01	7.27	7.35	7.20	7.29	1892362	13798682.00
2012/03/02	7.28	7.42	7.28	7.40	3710191	27324232.00
2012/03/05	7.44	7.49	7.37	7.48	3541483	26319624.00
2012/03/06	7.48	7.52	7.29	7.30	2885293	21295810.00
2012/03/07	7.22	7.38	7.20	7.25	2819385	20525190.00
2012/03/08	7.26	7.39	7.26	7.39	2672441	19629404.00
2012/03/09	7.39	7.57	7.37	7.48	3400497	25453890.00
2012/03/12	7.48	7.52	7.38	7.49	2785032	20755408.00
2012/03/13	7.49	7.82	7.44	7.62	6849915	52419136.00
2012/03/14	7.60	8.11	7.45	7.91	16297158	126976920.00
2012/03/15	7.91	8.05	7.66	7.88	16400386	129758272.00
2012/03/16	7.77	7.90	7.69	7.83	7765400	60605800.00
2012/03/19	7.82	8.05	7.56	7.69	8191971	62988436.00
2012/03/20	7.60	7.65	7.28	7.29	6364785	47109328.00
2012/03/21	7.36	7.36	7.05	7.23	3947909	28453840.00
2012/03/22	7.25	7.31	7.17	7.29	2082926	15105809.00
2012/03/23	7.25	7.26	7.07	7.16	1607257	11543264.00
2012/03/26	7.16	7.26	7.08	7.13	1335678	9551647.00
2012/03/27	7.17	7.20	7.08	7.15	2250784	16061384.00
2012/03/28	7.11	7.19	6.81	6.88	2591165	18037872.00
2012/03/29	6.85	7.09	6.71	6.78	2629628	18053112.00
2012/03/30	6.80	6.93	6.70	6.88	2258386	15398240.00
2012/04/05	6.83	7.14	6.83	7.04	2991517	20958132.00
2012/04/06	7.06	7.08	6.97	7.02	2091018	14641823.00
2012/04/09	6.97	7.03	6.94	6.94	1631280	11397493.00
2012/04/10	6.90	6.96	6.64	6.88	1924417	13130195.00
2012/04/11	6.74	6.96	6.74	6.94	1760664	12098090.00
2012/04/12	7.00	7.16	6.94	7.13	3452363	24393764.00
2012/04/13	7.14	7.21	7.08	7.14	3064424	21905124.00
2012/04/16	7.11	7.25	7.05	7.20	2619034	18741228.00
2012/04/17	7.13	7.22	7.04	7.04	1812762	12894549.00
2012/04/18	7.07	7.24	7.02	7.21	3673899	26319644.00
2012/04/19	7.19	7.45	7.19	7.27	3771590	27513892.00
2012/04/20	7.23	7.33	7.14	7.28	3256566	23574490.00
2012/04/23	7.23	7.30	7.09	7.13	2625581	18890892.00
2012/04/24	7.19	7.19	6.70	6.88	3464020	24012608.00
2012/04/25	6.91	7.56	6.75	7.39	8628941	62932352.00
2012/04/26	7.32	7.43	7.14	7.23	3562502	25894222.00
2012/04/27	7.22	7.30	6.99	7.01	2942270	21062528.00
2012/05/02	7.08	7.15	6.93	7.09	2633297	18581404.00
2012/05/03	7.08	7.15	7.01	7.13	1676607	11909210.00
2012/05/04	7.12	7.23	7.12	7.19	1953774	14033899.00
2012/05/07	7.13	7.17	6.97	7.07	2375406	16737299.00
2012/05/09	7.07	7.09	6.85	6.96	1933374	13375659.00
2012/05/10	6.91	7.10	6.89	6.94	1339861	9340228.00
2012/05/11	6.97	6.97	6.71	6.75	2882471	19616846.00
2012/05/14	6.80	6.93	6.69	6.74	1654918	11260083.00
2012/05/15	6.74	7.20	6.74	6.92	2004311	13776752.00
2012/05/16	6.85	6.97	6.74	6.82	1310684	8958501.00
