600175 美都能源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.76	2.79	2.74	2.75	2769802	8939076.00
2011/10/11	2.81	2.84	2.74	2.76	2805272	9109467.00
2011/10/12	2.76	2.95	2.73	2.94	10273534	34240168.00
2011/10/13	2.92	3.09	2.88	3.05	14017643	48515144.00
2011/10/14	3.01	3.16	2.97	3.10	14208714	50664256.00
2011/10/17	3.10	3.22	3.05	3.07	23903339	87074736.00
2011/10/18	3.01	3.04	2.91	2.94	11999985	41434788.00
2011/10/19	2.92	2.98	2.92	2.94	4252463	14613057.00
2011/10/20	2.90	2.93	2.77	2.79	7545091	24850604.00
2011/10/21	2.81	2.83	2.75	2.78	3545983	11528297.00
2011/10/24	2.79	2.86	2.75	2.84	5668495	18681424.00
2011/10/25	2.84	3.03	2.83	3.02	13922755	47774248.00
2011/10/26	2.97	3.12	2.97	3.11	23057083	82003896.00
2011/10/27	3.09	3.30	3.04	3.28	45079057	168571872.00
2011/10/28	3.20	3.31	3.19	3.23	57560358	216765600.00
2011/10/31	3.17	3.17	3.05	3.12	25176190	91298776.00
2011/11/01	3.09	3.15	3.05	3.10	14831424	53622560.00
2011/11/02	3.04	3.14	3.03	3.13	15123984	54542524.00
2011/11/03	3.12	3.19	3.10	3.10	18056441	66191544.00
2011/11/04	3.10	3.14	3.08	3.11	12947486	46886316.00
2011/11/07	3.10	3.15	3.06	3.07	8887718	32134300.00
2011/11/08	3.07	3.09	3.00	3.01	10501262	37143360.00
2011/11/09	3.01	3.11	2.96	3.10	13100099	46279256.00
2011/11/10	3.05	3.08	3.01	3.01	8042205	28510332.00
2011/11/11	3.03	3.06	3.00	3.03	5248033	18541568.00
2011/11/14	3.04	3.09	3.04	3.08	7331377	26276192.00
2011/11/15	3.09	3.12	3.06	3.09	7802384	28061600.00
2011/11/16	3.09	3.10	2.97	2.97	10013699	35211352.00
2011/11/17	2.98	3.04	2.96	2.98	5959496	20842938.00
2011/11/18	2.91	2.96	2.88	2.90	6033260	20494952.00
2011/11/21	2.88	2.90	2.87	2.90	3410235	11486815.00
2011/11/22	2.87	2.93	2.87	2.90	3246165	10963577.00
2011/11/23	2.90	2.92	2.87	2.88	2868155	9673850.00
2011/11/24	2.87	2.90	2.81	2.88	4742230	15819731.00
2011/11/25	2.88	2.90	2.83	2.84	3311355	11050780.00
2011/11/28	2.84	2.86	2.79	2.82	3082350	10141825.00
2011/11/29	2.84	2.86	2.82	2.85	4152445	13775081.00
2011/11/30	2.84	2.85	2.69	2.73	7105805	22905016.00
2011/12/01	2.79	2.85	2.79	2.80	7010718	23072868.00
2011/12/02	2.79	2.79	2.73	2.75	3908128	12588860.00
2011/12/05	2.75	2.75	2.67	2.67	4062712	12816268.00
2011/12/06	2.68	2.71	2.67	2.71	2639656	8307418.00
2011/12/07	2.70	2.72	2.68	2.70	2499715	7878429.00
2011/12/08	2.70	2.71	2.64	2.66	4707980	14717826.00
2011/12/09	2.67	2.77	2.65	2.74	9390644	29927200.00
2011/12/12	2.74	2.77	2.70	2.71	6075065	19349172.00
2011/12/13	2.70	2.90	2.64	2.77	13220579	42303296.00
2011/12/14	2.77	2.82	2.64	2.65	16231519	51505688.00
2011/12/15	2.64	2.67	2.50	2.50	9525517	28629348.00
2011/12/16	2.52	2.55	2.42	2.55	6857596	19911564.00
2011/12/19	2.52	2.54	2.46	2.52	4350602	12744382.00
2011/12/20	2.51	2.58	2.49	2.52	4603986	13659392.00
2011/12/21	2.54	2.56	2.39	2.43	4871311	14155285.00
2011/12/22	2.43	2.43	2.27	2.35	6686735	18310392.00
2011/12/23	2.32	2.40	2.32	2.36	3927967	10881657.00
2011/12/26	2.36	2.40	2.33	2.34	3555320	9856592.00
2011/12/27	2.33	2.36	2.28	2.28	3537880	9587462.00
2011/12/28	2.28	2.31	2.23	2.30	3932120	10406152.00
2011/12/29	2.28	2.31	2.26	2.27	4070181	10869841.00
2011/12/30	2.29	2.32	2.26	2.32	4970123	13339398.00
2012/01/04	2.32	2.34	2.26	2.26	3822363	10282362.00
2012/01/05	2.26	2.28	2.19	2.19	4075477	10641645.00
2012/01/06	2.19	2.21	2.13	2.20	3986671	10116159.00
2012/01/09	2.19	2.30	2.18	2.29	6121867	16106314.00
2012/01/10	2.28	2.39	2.27	2.38	9172532	25213780.00
2012/01/11	2.39	2.41	2.34	2.37	7193899	19995976.00
2012/01/12	2.35	2.45	2.34	2.37	6148657	17225564.00
2012/01/13	2.36	2.40	2.27	2.29	5923697	16060156.00
2012/01/17	2.25	2.41	2.23	2.39	8168073	22226140.00
2012/01/18	2.39	2.43	2.34	2.35	6079990	16960914.00
2012/01/19	2.38	2.40	2.32	2.37	4333144	12030798.00
2012/01/20	2.37	2.39	2.36	2.39	3681912	10264792.00
2012/01/30	2.40	2.40	2.35	2.35	3443630	9560701.00
2012/01/31	2.35	2.37	2.32	2.35	2069283	5660011.00
2012/02/01	2.35	2.37	2.32	2.33	2284884	6262157.00
2012/02/02	2.32	2.38	2.32	2.38	3898188	10705261.00
2012/02/03	2.37	2.41	2.36	2.39	5473142	15291414.00
2012/02/06	2.39	2.42	2.39	2.41	5944348	16707209.00
2012/02/07	2.40	2.40	2.35	2.36	4119365	11394663.00
2012/02/08	2.37	2.43	2.34	2.42	6047827	16955038.00
2012/02/09	2.42	2.66	2.40	2.66	32307369	98312448.00
2012/02/10	2.70	2.79	2.63	2.66	48730193	154358080.00
2012/02/13	2.59	2.64	2.56	2.61	20452821	62051808.00
2012/02/14	2.59	2.64	2.53	2.61	18423901	55867584.00
2012/02/15	2.58	2.64	2.57	2.64	16732231	51007584.00
2012/02/16	2.63	2.64	2.57	2.61	12897784	39268760.00
2012/02/17	2.62	2.70	2.57	2.64	17623107	54337332.00
2012/02/20	2.69	2.75	2.64	2.68	23140920	72670424.00
2012/02/21	2.67	2.70	2.60	2.69	13694461	42329312.00
2012/02/22	2.71	2.77	2.68	2.73	21358187	68218696.00
2012/02/23	2.71	2.76	2.68	2.71	14491637	46002056.00
2012/02/24	2.71	2.86	2.69	2.82	33175951	108208152.00
2012/02/27	2.82	2.96	2.79	2.80	30308488	101123288.00
2012/02/28	2.77	2.81	2.72	2.76	17030057	54883592.00
2012/02/29	2.74	2.74	2.64	2.66	16094423	50543920.00
