600176 中国巨石 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.50	12.65	12.26	12.38	1393380	26827636.00
2011/10/11	12.73	12.99	12.38	12.96	5423358	107265464.00
2011/10/12	12.79	13.41	12.58	13.32	7695639	156004944.00
2011/10/13	13.18	13.69	13.04	13.38	7029764	146990464.00
2011/10/14	13.38	13.40	12.98	13.27	3404664	69603944.00
2011/10/17	13.24	13.32	13.06	13.10	2927513	59910620.00
2011/10/18	13.08	13.08	12.12	12.18	5654352	109672352.00
2011/10/19	12.29	12.29	11.62	11.68	4526737	83361376.00
2011/10/20	11.71	11.71	10.92	10.97	5886424	103073480.00
2011/10/21	11.00	11.04	10.80	10.90	3043252	52027872.00
2011/10/24	10.96	11.66	10.69	11.58	6754576	117738912.00
2011/10/25	11.52	11.85	11.42	11.69	5713830	103838712.00
2011/10/26	11.59	12.01	11.46	11.74	7999836	147670960.00
2011/10/27	11.62	11.89	11.52	11.61	3758590	68615816.00
2011/10/28	11.85	12.32	11.73	12.12	7958148	149732624.00
2011/10/31	12.11	12.18	11.94	12.01	3516386	65964580.00
2011/11/01	11.86	12.00	11.69	11.80	6594165	121571744.00
2011/11/02	11.48	11.86	10.98	11.84	17042069	299847776.00
2011/11/03	11.72	12.52	11.64	12.38	20561891	386095712.00
2011/11/04	12.38	12.72	12.29	12.51	15320374	297910432.00
2011/11/07	12.52	12.77	12.42	12.58	8330247	163201296.00
2011/11/08	12.62	12.65	11.86	11.98	11508287	219065120.00
2011/11/09	12.02	12.24	11.75	12.22	5674913	106137448.00
2011/11/10	11.94	12.07	11.86	11.87	6077634	113177080.00
2011/11/11	11.98	12.01	11.73	11.80	4103150	75844512.00
2011/11/14	11.98	12.29	11.90	12.20	6324238	119842480.00
2011/11/15	12.22	12.50	12.07	12.48	6787027	130474056.00
2011/11/16	12.42	12.62	12.00	12.04	7595799	145656032.00
2011/11/17	12.10	12.39	12.07	12.09	4510069	85729936.00
2011/11/18	11.99	11.99	11.26	11.34	5807355	104890912.00
2011/11/21	11.36	11.49	11.04	11.30	3393218	59578056.00
2011/11/22	11.13	11.20	10.84	11.10	4558006	78779448.00
2011/11/23	11.16	11.22	11.00	11.05	2226166	38602604.00
2011/11/24	10.85	11.11	10.85	11.04	2104627	36160492.00
2011/11/25	11.06	11.31	10.85	10.95	4332703	75022464.00
2011/11/28	10.97	11.06	10.78	10.88	2857708	48566016.00
2011/11/29	10.98	11.12	10.86	11.09	3074016	52881352.00
2011/11/30	11.06	11.06	10.18	10.39	5777444	95900056.00
2011/12/01	10.69	10.82	10.45	10.46	4932822	82224784.00
2011/12/02	10.44	10.46	9.82	9.91	5860142	92176432.00
2011/12/05	9.91	9.95	9.35	9.38	4166062	62762672.00
2011/12/06	9.36	9.50	9.23	9.46	2730720	40327236.00
2011/12/07	9.44	9.61	9.40	9.51	2197178	32906116.00
2011/12/08	9.53	9.62	9.20	9.40	3191417	47253296.00
2011/12/09	9.22	9.42	9.01	9.22	4783620	69242168.00
2011/12/12	9.16	9.26	9.02	9.03	2174313	31382884.00
2011/12/13	8.96	8.99	8.50	8.52	7993653	109828040.00
2011/12/14	8.52	8.61	8.13	8.22	10294943	135499184.00
2011/12/15	8.08	8.26	7.96	7.99	7351143	94899920.00
2011/12/16	8.00	8.28	7.91	8.27	6713649	86638920.00
2011/12/19	8.16	8.26	7.82	8.20	7390772	94389792.00
2011/12/20	8.13	8.50	8.12	8.20	8968913	118014488.00
2011/12/21	8.32	8.34	7.84	7.86	6582689	85503128.00
2011/12/22	7.71	8.05	7.43	7.85	7367594	90138456.00
2011/12/23	7.78	8.38	7.77	8.14	8353428	107561240.00
2011/12/26	8.16	8.48	8.08	8.27	8557649	112792328.00
2011/12/27	8.24	8.25	7.82	7.90	4754614	60794280.00
2011/12/28	7.86	8.10	7.66	8.08	4746539	59384024.00
2011/12/29	8.03	8.22	8.00	8.04	5167783	66392440.00
2011/12/30	8.09	8.25	8.04	8.18	8007686	103453176.00
2012/01/04	8.26	8.36	7.96	7.97	6998146	91254656.00
2012/01/05	7.84	7.90	7.40	7.42	6807332	83363168.00
2012/01/06	7.42	7.56	7.19	7.50	5129078	60188956.00
2012/01/09	7.51	8.09	7.40	8.07	7766888	96678624.00
2012/01/10	7.95	8.90	7.92	8.79	16822767	226090752.00
2012/01/11	8.72	8.96	8.60	8.85	11301548	157123520.00
2012/01/12	8.79	9.09	8.67	8.92	10758580	152058080.00
2012/01/13	8.94	8.95	8.46	8.50	10025139	137118272.00
2012/01/16	8.36	8.74	8.32	8.33	5978266	80750736.00
2012/01/17	8.37	9.16	8.27	9.13	11370348	157900864.00
2012/01/18	9.17	9.63	8.88	9.07	13766054	201858304.00
2012/01/19	9.02	9.32	8.92	9.22	9022899	130289656.00
2012/01/20	9.24	9.45	9.11	9.35	7000892	102601336.00
2012/01/30	9.32	9.35	8.92	8.96	6098781	87532976.00
2012/01/31	8.96	9.02	8.66	8.81	4721503	65587848.00
2012/02/01	8.80	8.96	8.56	8.64	4863267	67278808.00
2012/02/02	8.66	8.92	8.60	8.91	7219993	100046184.00
2012/02/03	8.85	9.22	8.74	9.10	9692743	137331792.00
2012/02/06	9.12	9.46	9.10	9.25	10454761	153093856.00
2012/02/07	9.18	9.20	8.88	8.92	6366148	90643848.00
2012/02/08	8.90	9.65	8.86	9.58	12269357	180754128.00
2012/02/09	9.56	10.42	9.49	9.98	19561086	308059040.00
2012/02/10	9.88	10.26	9.87	10.06	9815919	155238016.00
2012/02/13	9.86	10.36	9.83	10.10	7407939	117244720.00
2012/02/14	10.07	10.14	9.91	9.98	5363764	84325896.00
2012/02/15	9.91	10.12	9.79	10.12	8210588	128731504.00
2012/02/16	10.10	10.52	10.04	10.35	10936313	177498944.00
2012/02/17	10.29	10.48	9.96	10.09	8957866	142989712.00
2012/02/20	10.28	10.43	10.07	10.08	8006661	128988832.00
2012/02/21	10.06	10.16	9.72	10.15	6269140	98276552.00
2012/02/22	10.12	10.42	9.99	10.33	8284069	133210848.00
2012/02/23	10.38	10.89	10.32	10.61	10920435	182177440.00
2012/02/24	10.62	10.86	10.36	10.72	9105472	151905856.00
2012/02/27	10.72	10.92	10.62	10.76	9975827	168585648.00
2012/02/28	10.70	10.74	10.50	10.68	5058917	84133840.00
2012/02/29	10.67	10.67	10.34	10.40	5297634	87074648.00
2012/03/01	10.32	10.69	10.30	10.40	5716228	93666656.00
2012/03/02	10.41	10.82	10.41	10.80	7398103	123660136.00
2012/03/05	10.78	11.20	10.71	10.93	8457820	145801824.00
2012/03/06	10.86	11.20	10.55	11.09	9303846	159066304.00
2012/03/07	10.86	11.50	10.79	11.18	8425847	148188656.00
2012/03/08	11.24	11.75	11.22	11.72	8588661	155495712.00
2012/03/09	11.79	11.89	11.49	11.73	6136847	111970952.00
2012/03/12	11.70	11.94	11.54	11.92	5845344	106700680.00
2012/03/13	11.92	12.02	11.68	11.90	5026781	92706584.00
2012/03/14	11.94	11.95	11.10	11.32	10862157	194401968.00
2012/03/15	11.24	11.60	11.13	11.22	7232464	128080736.00
2012/03/16	11.18	11.44	10.76	11.40	7926996	138472128.00
2012/03/19	11.44	11.48	11.11	11.32	5627139	99345728.00
2012/03/20	11.38	11.38	10.77	10.78	4947171	84994496.00
2012/03/21	10.84	10.90	10.43	10.68	6197963	103050488.00
2012/03/22	10.64	10.64	10.32	10.40	3606013	59053964.00
2012/03/23	10.39	10.56	10.19	10.27	3831952	62232148.00
2012/03/26	10.26	10.38	10.20	10.32	2391114	38645432.00
2012/03/27	10.39	10.71	10.39	10.48	3877505	64134752.00
2012/03/28	10.44	10.44	9.83	9.86	3483474	55474272.00
2012/03/29	9.72	9.76	9.18	9.45	3672839	54810388.00
2012/03/30	9.40	9.58	9.32	9.36	2406420	35824424.00
2012/04/05	9.38	10.12	9.36	9.97	4474475	69181336.00
2012/04/06	9.88	10.19	9.88	10.08	3494268	55189988.00
2012/04/09	10.19	10.52	10.11	10.22	4087012	66261816.00
2012/04/10	10.12	10.52	10.06	10.52	4657706	75514304.00
2012/04/11	10.42	10.89	10.33	10.84	5914106	99210008.00
2012/04/12	10.84	11.16	10.81	10.95	5883067	101310816.00
2012/04/13	10.98	11.02	10.74	10.92	3104181	52899536.00
2012/04/16	10.85	11.36	10.79	11.27	4635241	81464912.00
2012/04/17	11.20	11.50	10.94	10.95	3957787	69620224.00
2012/04/18	11.00	11.48	10.94	11.32	3709693	65373036.00
2012/04/19	11.26	11.44	10.86	10.99	4684051	81019680.00
2012/04/20	10.92	11.08	10.82	11.02	2329210	39913040.00
2012/04/23	11.06	11.07	10.63	10.72	2286349	38896264.00
2012/04/24	10.56	10.88	10.18	10.27	4010291	65527808.00
2012/04/25	10.22	10.49	10.19	10.48	2801498	45791448.00
2012/04/26	10.38	10.80	10.19	10.74	4693401	78256856.00
