600183 生益科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.82	5.90	5.76	5.77	1891987	16340706.00
2011/10/11	5.93	5.97	5.74	5.78	1975553	17044216.00
2011/10/12	5.75	5.99	5.74	5.95	5470108	47541224.00
2011/10/13	5.93	6.01	5.89	5.99	3539307	31109252.00
2011/10/14	5.97	6.09	5.88	6.07	4614234	40702216.00
2011/10/17	6.05	6.10	5.97	6.01	2733293	24267942.00
2011/10/18	5.96	6.01	5.82	5.92	2850073	24838296.00
2011/10/19	5.92	5.96	5.74	5.87	3419767	29450928.00
2011/10/20	5.80	5.80	5.57	5.63	3058431	25655292.00
2011/10/21	5.70	5.70	5.43	5.53	2505491	20546786.00
2011/10/24	5.55	5.63	5.43	5.59	2949130	24281824.00
2011/10/25	5.55	5.73	5.48	5.73	5054527	42387500.00
2011/10/26	5.68	5.80	5.67	5.71	4822303	40996072.00
2011/10/27	5.73	5.77	5.68	5.69	2482852	21009852.00
2011/10/28	5.76	5.82	5.71	5.81	5346842	45631324.00
2011/10/31	5.80	5.80	5.70	5.74	4211282	35786592.00
2011/11/01	5.70	5.78	5.67	5.70	3947203	33416680.00
2011/11/02	5.63	5.97	5.50	5.90	6932936	58294328.00
2011/11/03	5.90	6.13	5.90	6.07	15333909	135726896.00
2011/11/04	6.13	6.13	5.98	6.09	10043005	89746344.00
2011/11/07	6.00	6.20	5.99	6.12	16660939	149932464.00
2011/11/08	6.20	6.20	6.03	6.09	8036011	72192848.00
2011/11/09	6.09	6.20	6.03	6.16	11862169	106946344.00
2011/11/10	6.09	6.12	6.00	6.09	5482600	48850796.00
2011/11/11	6.11	6.31	6.10	6.13	11879200	107923008.00
2011/11/14	6.18	6.20	6.11	6.16	11280530	101938400.00
2011/11/15	6.13	6.17	6.01	6.14	6019501	53897304.00
2011/11/16	6.13	6.14	5.90	5.93	5985631	52910440.00
2011/11/17	5.93	6.00	5.85	5.87	4330240	37820944.00
2011/11/18	5.83	5.85	5.63	5.67	4595856	38862684.00
2011/11/21	5.69	5.71	5.67	5.70	2046668	17243426.00
2011/11/22	5.63	5.73	5.60	5.71	2680822	22547056.00
2011/11/23	5.74	5.76	5.64	5.65	2150599	18117796.00
2011/11/24	5.62	5.67	5.57	5.65	3134563	26101366.00
