600186 莲花味精 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.92	3.97	3.90	3.92	3692234	14533961.00
2011/10/11	4.01	4.06	3.84	3.90	4400320	17316220.00
2011/10/12	3.89	4.04	3.82	4.02	6802726	27023456.00
2011/10/13	4.02	4.42	3.98	4.28	18840867	80105520.00
2011/10/14	4.22	4.26	4.08	4.14	15904127	65791192.00
2011/10/17	4.16	4.19	4.09	4.12	6203660	25610404.00
2011/10/18	4.10	4.11	3.97	3.98	6030096	24361632.00
2011/10/19	3.97	4.09	3.97	4.04	5418068	21809532.00
2011/10/20	3.98	4.02	3.90	3.93	4835238	19054386.00
2011/10/21	3.93	3.95	3.79	3.82	6632509	25488734.00
2011/10/24	3.82	3.92	3.80	3.92	4658071	17970832.00
2011/10/25	3.91	4.04	3.87	4.03	6777107	26901000.00
2011/10/26	3.98	4.14	3.98	4.04	8202889	33364364.00
2011/10/27	4.05	4.11	4.04	4.07	6564743	26785728.00
2011/10/28	4.12	4.15	4.07	4.12	6666919	27380348.00
2011/10/31	4.13	4.25	4.11	4.20	10171082	42616648.00
2011/11/01	4.15	4.23	4.13	4.16	6200499	25899032.00
2011/11/02	4.08	4.20	4.01	4.17	8169016	33520898.00
2011/11/03	4.17	4.27	4.17	4.22	13130933	55463304.00
2011/11/04	4.21	4.31	4.21	4.27	9015275	38476724.00
2011/11/07	4.23	4.35	4.21	4.24	8296052	35459124.00
2011/11/08	4.24	4.25	4.14	4.15	7821858	32788108.00
2011/11/09	4.15	4.22	4.13	4.22	6722880	28124446.00
2011/11/10	4.15	4.19	4.12	4.13	5752259	23893208.00
2011/11/11	4.14	4.17	4.10	4.12	4687753	19372176.00
2011/11/14	4.15	4.25	4.13	4.22	6508212	27298920.00
2011/11/15	4.21	4.38	4.18	4.27	14791803	63247968.00
2011/11/16	4.26	4.26	4.13	4.14	8643127	36170896.00
2011/11/17	4.15	4.18	4.12	4.13	5226161	21651164.00
2011/11/18	4.10	4.11	3.93	3.97	7074904	28366932.00
2011/11/21	3.99	3.99	3.87	3.95	6009766	23512250.00
2011/11/22	3.91	3.96	3.87	3.95	3293776	12912322.00
2011/11/23	3.95	3.97	3.88	3.88	4622048	18088724.00
2011/11/24	3.85	4.04	3.82	3.99	8568543	33925496.00
2011/11/25	3.97	3.99	3.88	3.90	3861289	15169489.00
2011/11/28	3.93	3.95	3.84	3.92	3834030	14950715.00
2011/11/29	3.93	3.96	3.92	3.96	3866424	15251145.00
2011/11/30	3.95	4.00	3.81	3.86	7012042	27407146.00
2011/12/01	3.95	3.98	3.91	3.93	6970262	27538988.00
2011/12/02	3.94	3.94	3.83	3.87	3941146	15211934.00
2011/12/05	3.87	3.87	3.73	3.75	4936780	18646308.00
2011/12/06	3.75	3.79	3.69	3.76	2332642	8706633.00
2011/12/07	3.77	3.79	3.72	3.79	2464155	9299123.00
2011/12/08	3.78	3.81	3.69	3.78	3232564	12135870.00
2011/12/09	3.76	3.88	3.74	3.86	4054925	15448430.00
2011/12/12	3.81	3.94	3.81	3.92	6903355	26881332.00
2011/12/13	3.89	3.95	3.79	3.84	11925133	46323456.00
2011/12/14	3.84	3.85	3.59	3.67	6913326	25713000.00
2011/12/15	3.64	3.64	3.33	3.41	9491519	32656744.00
2011/12/16	3.41	3.49	3.36	3.48	4386703	14978063.00
2011/12/19	3.49	3.49	3.34	3.46	3261491	11181092.00
2011/12/20	3.46	3.64	3.43	3.64	9020033	32225460.00
2011/12/21	3.64	3.78	3.59	3.73	12371523	45511232.00
2011/12/22	3.70	3.77	3.54	3.73	7131253	26019572.00
2011/12/23	3.70	3.78	3.62	3.65	16788235	61964500.00
2011/12/26	3.62	3.62	3.46	3.50	8275928	29085188.00
2011/12/27	3.45	3.50	3.41	3.42	3466847	11972329.00
2011/12/28	3.40	3.40	3.25	3.33	5040530	16688648.00
2011/12/29	3.32	3.39	3.30	3.34	3087348	10357855.00
2011/12/30	3.35	3.39	3.35	3.38	2929871	9876820.00
2012/01/04	3.39	3.42	3.06	3.19	7525448	24497284.00
2012/01/05	3.11	3.14	2.98	2.99	7541380	23058042.00
2012/01/06	2.99	3.03	2.87	3.01	4253056	12523086.00
2012/01/09	3.00	3.12	2.97	3.11	6507858	19870532.00
2012/01/10	3.12	3.29	3.09	3.24	12714496	40673188.00
2012/01/11	3.24	3.51	3.18	3.41	22794660	76153376.00
2012/01/12	3.33	3.62	3.33	3.49	22075528	77366864.00
2012/01/13	3.51	3.52	3.32	3.33	9044478	30770760.00
2012/01/16	3.28	3.41	3.23	3.29	10163422	33512450.00
2012/01/17	3.27	3.49	3.25	3.40	17272903	58609448.00
2012/01/18	3.41	3.69	3.33	3.64	27917992	97500688.00
2012/01/19	3.54	3.64	3.45	3.49	38200050	134862848.00
2012/01/20	3.48	3.55	3.42	3.51	27142195	94508688.00
2012/01/30	3.52	3.53	3.40	3.45	10890400	37605376.00
2012/01/31	3.41	3.58	3.39	3.54	44536953	154668672.00
2012/02/01	3.47	3.58	3.42	3.44	43171373	150003872.00
2012/02/02	3.40	3.46	3.36	3.43	13573835	46301636.00
2012/02/03	3.41	3.52	3.39	3.47	20134636	69563744.00
2012/02/06	3.45	3.81	3.45	3.78	46269983	168211280.00
2012/02/07	3.68	4.14	3.63	4.01	78968553	311833056.00
2012/02/08	3.90	4.00	3.87	3.97	61330811	240358736.00
2012/02/09	3.93	4.02	3.88	3.97	31195998	122528248.00
2012/02/10	3.95	3.97	3.88	3.89	19958378	78266168.00
2012/02/13	3.84	3.97	3.84	3.89	17112506	66691560.00
2012/02/14	3.89	3.95	3.87	3.90	13186226	51534760.00
2012/02/15	3.90	4.00	3.87	3.94	19064179	75235352.00
2012/02/16	3.95	4.05	3.93	3.97	21514260	85857232.00
2012/02/17	3.98	3.98	3.80	3.85	19079447	73797536.00
2012/02/20	3.90	3.91	3.80	3.81	13734156	52847432.00
2012/02/21	3.82	3.85	3.78	3.84	8490238	32402980.00
2012/02/22	3.86	3.93	3.85	3.93	16091095	62552312.00
2012/02/23	3.92	3.93	3.85	3.89	16104097	62601572.00
2012/02/24	3.88	3.92	3.85	3.92	16314671	63503276.00
2012/02/27	3.92	4.14	3.92	4.04	40950929	165405328.00
2012/02/28	4.02	4.06	3.92	3.96	19781574	78525104.00
2012/02/29	3.96	3.96	3.88	3.89	11195328	43871776.00
2012/03/01	3.87	3.93	3.85	3.88	7604486	29601832.00
2012/03/02	3.90	3.95	3.89	3.94	9659028	37922448.00
2012/03/05	3.94	4.03	3.91	3.97	17059437	67707920.00
2012/03/06	3.94	3.97	3.88	3.88	11467300	44819304.00
2012/03/07	3.86	3.88	3.81	3.82	11744606	45143176.00
2012/03/08	3.82	3.88	3.82	3.86	10630353	40923904.00
2012/03/09	3.88	3.90	3.85	3.90	10044025	38931012.00
2012/03/12	3.90	3.93	3.86	3.88	10959100	42586168.00
2012/03/13	3.88	4.10	3.88	4.07	45347992	182261920.00
2012/03/14	4.07	4.10	3.70	3.87	39646791	157150560.00
2012/03/15	3.86	4.26	3.85	4.14	72993977	301242464.00
2012/03/16	4.12	4.20	4.01	4.19	49049568	201675472.00
2012/03/19	4.16	4.23	4.10	4.17	26998220	112285344.00
2012/03/20	4.16	4.17	4.00	4.01	23101420	93659856.00
2012/03/21	4.03	4.05	3.88	3.98	18607775	73625640.00
2012/03/22	3.98	3.98	3.88	3.92	11368091	44554452.00
2012/03/23	3.92	3.95	3.85	3.90	9313012	36367124.00
2012/03/26	3.90	3.93	3.79	3.84	12017194	46061032.00
2012/03/27	3.85	3.90	3.83	3.84	6384196	24615958.00
2012/03/28	3.80	3.82	3.56	3.67	14983202	55226240.00
2012/03/29	3.65	3.65	3.39	3.41	11800656	41391684.00
2012/03/30	3.40	3.48	3.28	3.37	13815523	46273196.00
2012/04/05	3.37	3.52	3.34	3.48	10785297	37245944.00
2012/04/06	3.48	3.56	3.44	3.52	10323080	36132224.00
2012/04/09	3.51	3.51	3.42	3.43	7634811	26419852.00
2012/04/10	3.41	3.47	3.33	3.46	8442800	28634864.00
2012/04/11	3.42	3.47	3.36	3.46	6174710	21178916.00
2012/04/12	3.46	3.57	3.43	3.56	12773247	44926400.00
2012/04/13	3.57	3.63	3.52	3.58	11357696	40670524.00
2012/04/16	3.55	3.63	3.51	3.60	9129712	32615744.00
2012/04/17	3.59	3.72	3.56	3.60	14416552	52447176.00
2012/04/18	3.62	3.68	3.54	3.66	11720415	42536984.00
2012/04/19	3.65	3.70	3.58	3.63	10554068	38308492.00
2012/04/20	3.63	3.66	3.55	3.66	11687854	42337536.00
2012/04/23	3.66	3.66	3.56	3.58	10296246	37088540.00
2012/04/24	3.54	3.63	3.44	3.52	10361360	36585460.00
2012/04/25	3.53	3.60	3.49	3.60	11433738	40656368.00
2012/04/26	3.58	3.84	3.54	3.66	21039722	77322024.00
2012/04/27	3.64	3.66	3.55	3.56	11551933	41417048.00
2012/05/02	3.59	3.60	3.43	3.47	21250638	73951408.00
2012/05/03	3.47	3.64	3.44	3.52	16045840	56713668.00
2012/05/04	3.48	3.54	3.45	3.51	9668873	33802700.00
2012/05/07	3.49	3.52	3.47	3.51	6979484	24376112.00
2012/05/08	3.52	3.54	3.46	3.52	7544133	26410052.00
2012/05/09	3.49	3.51	3.45	3.46	6268602	21762884.00
2012/05/10	3.46	3.48	3.43	3.44	6029534	20839040.00
2012/05/11	3.44	3.47	3.41	3.43	5982315	20531468.00
2012/05/14	3.48	3.48	3.43	3.43	6385445	22006900.00
2012/05/15	3.42	3.43	3.36	3.41	5699190	19325576.00
2012/05/16	3.42	3.54	3.39	3.51	14927575	51876176.00
2012/05/17	3.51	3.59	3.44	3.50	10001816	34908624.00
2012/05/18	3.50	3.50	3.38	3.40	7010647	24091460.00
2012/05/21	3.37	3.42	3.33	3.36	4544567	15318904.00
2012/05/22	3.38	3.41	3.36	3.40	4150289	14052569.00
2012/05/23	3.40	3.42	3.33	3.36	5928387	19972706.00
2012/05/24	3.36	3.37	3.32	3.33	4652741	15563270.00
2012/05/25	3.32	3.37	3.29	3.30	5216602	17290760.00
2012/05/28	3.32	3.33	3.23	3.31	5389850	17673088.00
2012/05/29	3.32	3.39	3.29	3.38	6096475	20479576.00
2012/05/30	3.37	3.41	3.34	3.39	5894415	19931612.00
2012/05/31	3.37	3.38	3.35	3.37	5138932	17275568.00
2012/06/01	3.37	3.39	3.35	3.38	3500185	11794673.00
2012/06/04	3.34	3.34	3.22	3.23	6295517	20672978.00
2012/06/05	3.21	3.35	3.21	3.28	8475921	27748856.00
