600191 华资实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.94	6.01	5.90	5.96	873124	5218818.00
2011/10/11	6.10	6.16	5.94	6.01	1969978	11974905.00
2011/10/12	6.00	6.25	5.91	6.23	2234206	13722077.00
2011/10/13	6.23	6.30	6.18	6.27	3040669	19019748.00
2011/10/14	6.25	6.33	6.19	6.28	2361394	14785897.00
2011/10/17	6.29	6.33	6.23	6.26	1475675	9283414.00
2011/10/18	6.22	6.24	6.02	6.04	1692435	10375940.00
2011/10/19	6.06	6.11	6.00	6.02	891966	5400988.00
2011/10/20	5.98	6.07	5.76	5.83	2362226	13865607.00
2011/10/21	5.88	5.88	5.71	5.75	1332362	7710816.00
2011/10/24	5.79	5.88	5.71	5.86	1941243	11314060.00
2011/10/25	5.81	6.04	5.81	6.01	2422104	14394744.00
2011/10/26	5.90	6.15	5.85	6.09	4840255	29220468.00
2011/10/27	6.09	6.12	6.00	6.04	2425826	14766405.00
2011/10/28	6.10	6.15	6.08	6.14	2285523	13999833.00
2011/10/31	6.13	6.17	6.11	6.13	1609905	9901352.00
2011/11/01	6.10	6.22	6.08	6.18	2247722	13862804.00
2011/11/02	6.11	6.22	6.07	6.22	3250545	20009976.00
2011/11/03	6.29	6.29	6.20	6.22	4345362	27225156.00
2011/11/04	6.24	6.30	6.21	6.29	4250661	26619102.00
2011/11/07	6.25	6.29	6.22	6.24	2137084	13367674.00
2011/11/08	6.26	6.26	6.20	6.21	2074710	12950961.00
2011/11/09	6.24	6.32	6.20	6.32	2260556	14172607.00
2011/11/10	6.23	6.26	6.19	6.22	2469640	15374587.00
2011/11/11	6.24	6.27	6.19	6.25	1522075	9495367.00
2011/11/14	6.34	6.49	6.32	6.42	3653393	23409416.00
2011/11/15	6.41	6.47	6.34	6.45	2932559	18806804.00
2011/11/16	6.52	6.52	6.36	6.44	4612947	29758740.00
2011/11/17	6.45	6.57	6.39	6.52	2838516	18360404.00
2011/11/18	6.52	6.58	6.34	6.50	2806158	18090228.00
2011/11/21	6.49	6.65	6.49	6.64	2894014	19002864.00
2011/11/22	6.60	6.69	6.51	6.68	2032294	13429927.00
2011/11/23	6.68	6.75	6.59	6.65	2327382	15566008.00
2011/11/24	6.59	6.62	6.51	6.58	1638627	10759206.00
2011/11/25	6.60	6.63	6.51	6.59	1731612	11396318.00
2011/11/28	6.59	6.63	6.52	6.56	820892	5400190.00
2011/11/29	6.65	6.74	6.55	6.73	1893927	12588415.00
2011/11/30	6.72	6.72	6.38	6.56	3136498	20489774.00
2011/12/01	6.65	7.22	6.59	7.05	25110072	178757584.00
2011/12/02	7.01	7.17	6.95	7.02	6141996	43403348.00
2011/12/05	7.05	7.05	6.76	6.83	3178136	22031336.00
2011/12/06	6.87	6.90	6.73	6.82	1858566	12629616.00
2011/12/07	6.83	6.88	6.77	6.86	1908028	13035062.00
2011/12/08	6.89	6.93	6.73	6.86	1768267	12104920.00
2011/12/09	6.87	6.87	6.73	6.78	1370012	9300134.00
2011/12/12	6.79	6.79	6.57	6.62	1650810	10975506.00
2011/12/13	6.59	6.67	6.25	6.39	1809844	11617402.00
2011/12/14	6.30	6.49	6.30	6.39	2472720	15948313.00
2011/12/15	6.42	6.47	6.33	6.34	3314435	21216280.00
2011/12/16	6.35	6.47	6.30	6.47	913158	5834901.00
2011/12/19	6.41	6.47	6.28	6.38	744930	4728255.00
2011/12/20	6.34	6.43	6.34	6.38	466602	2981008.00
2011/12/21	6.41	6.47	6.35	6.36	1298785	8375392.00
2011/12/22	6.34	6.38	5.75	6.14	2587159	15937119.00
2011/12/23	6.05	6.27	6.05	6.16	897819	5576797.00
2011/12/26	6.16	6.21	6.06	6.15	465671	2869190.00
2011/12/27	6.09	6.17	5.89	5.91	912310	5470500.00
2011/12/28	5.91	5.91	5.57	5.79	957744	5479383.00
2011/12/29	5.71	5.92	5.70	5.77	359056	2073109.00
2011/12/30	5.80	5.84	5.73	5.79	689642	4000068.00
2012/01/04	5.79	5.86	5.47	5.50	1181028	6646729.00
2012/01/05	5.51	5.73	5.35	5.53	2108909	11709824.00
2012/01/06	5.38	5.42	4.98	5.24	4211587	21580820.00
2012/01/09	5.09	5.39	4.99	5.36	1940491	10219873.00
2012/01/10	5.32	5.89	5.29	5.86	7394882	42728696.00
2012/01/11	5.81	6.39	5.78	6.00	8810369	53152688.00
2012/01/12	5.92	6.04	5.84	5.87	2852121	17044420.00
2012/01/13	5.87	6.15	5.69	5.91	3826436	22725928.00
2012/01/16	5.81	5.97	5.40	5.41	1426666	8048264.00
2012/01/17	5.41	5.60	5.24	5.48	11636752	63802640.00
2012/01/18	5.47	5.52	5.18	5.23	6187210	33521244.00
2012/01/19	5.18	5.31	5.16	5.26	3222114	16949998.00
2012/01/20	5.27	5.34	5.11	5.24	3104685	16193480.00
2012/01/30	5.26	5.33	5.23	5.27	2485264	13164512.00
2012/01/31	5.27	5.34	5.24	5.34	1835289	9732573.00
2012/02/01	5.33	5.40	5.25	5.27	2576893	13732182.00
2012/02/02	5.26	5.39	5.26	5.38	2090051	11159075.00
2012/02/03	5.35	5.49	5.34	5.45	2837001	15447566.00
2012/02/06	5.46	5.50	5.41	5.46	2157179	11783030.00
2012/02/07	5.47	5.47	5.27	5.31	2051160	10989071.00
2012/02/08	5.34	5.44	5.30	5.44	2280751	12292235.00
2012/02/09	5.45	5.58	5.45	5.50	6177594	34132936.00
2012/02/10	5.48	5.56	5.44	5.54	3493180	19239160.00
2012/02/13	5.49	5.58	5.45	5.57	3072465	17042690.00
2012/02/14	5.58	5.59	5.51	5.57	2220960	12352902.00
2012/02/15	5.57	5.67	5.55	5.66	4119121	23171080.00
2012/02/16	5.65	5.77	5.59	5.65	4200534	23841466.00
2012/02/17	5.66	5.71	5.58	5.66	2589796	14634334.00
2012/02/20	5.73	5.74	5.60	5.63	2561025	14560514.00
2012/02/21	5.62	5.67	5.52	5.66	2601553	14589926.00
2012/02/22	5.66	5.75	5.64	5.73	5037990	28791252.00
2012/02/23	5.72	5.78	5.68	5.73	4897709	28075396.00
2012/02/24	5.74	5.89	5.69	5.86	8930024	51754420.00
2012/02/27	5.83	6.19	5.82	6.01	40501083	239946224.00
2012/02/28	5.93	6.61	5.88	6.61	43845442	274800864.00
2012/02/29	6.49	6.78	6.33	6.36	44794946	290686112.00
2012/03/01	6.27	6.47	6.20	6.28	17040446	108289280.00
2012/03/02	6.22	6.45	6.17	6.35	18252505	115235728.00
2012/03/05	6.35	6.35	6.21	6.23	11227152	70361664.00
2012/03/06	6.20	6.30	6.19	6.25	7306759	45662668.00
2012/03/07	6.19	6.25	6.07	6.15	10029014	61712932.00
2012/03/08	6.15	6.28	6.10	6.20	7943105	49404404.00
2012/03/09	6.23	6.26	6.11	6.22	7388328	45791448.00
2012/03/12	6.23	6.34	6.17	6.29	11394657	71538864.00
2012/03/13	6.27	6.29	6.17	6.23	9803314	61123808.00
2012/03/14	6.24	6.32	5.67	5.75	12377484	75613408.00
2012/03/15	5.76	5.84	5.50	5.69	7932581	45044964.00
2012/03/16	5.71	5.83	5.65	5.83	7040567	40512096.00
2012/03/19	5.81	5.90	5.75	5.90	5856678	34219128.00
2012/03/20	5.85	5.89	5.67	5.69	4897111	28217448.00
2012/03/21	5.74	5.77	5.63	5.74	3225107	18435204.00
2012/03/22	5.75	5.84	5.64	5.78	4574103	26302758.00
2012/03/23	5.79	5.79	5.60	5.61	2651228	15087137.00
2012/03/26	5.65	5.66	5.50	5.55	2966184	16535425.00
2012/03/27	5.59	5.62	5.52	5.54	2054512	11449593.00
2012/03/28	5.49	5.51	5.19	5.25	4424095	23636718.00
2012/03/29	5.21	5.28	5.09	5.17	2764470	14389697.00
2012/03/30	5.20	5.27	5.10	5.17	2069241	10745370.00
2012/04/05	5.19	5.36	5.19	5.31	3419609	18109728.00
2012/04/06	5.31	5.41	5.27	5.37	3046171	16347069.00
2012/04/09	5.37	5.47	5.32	5.35	3010893	16260533.00
2012/04/10	5.32	5.44	5.17	5.43	3258634	17224220.00
2012/04/11	5.34	5.54	5.30	5.50	3444860	18682332.00
2012/04/12	5.50	5.74	5.47	5.69	6706741	37728096.00
2012/04/13	5.65	5.77	5.61	5.71	6318095	35956792.00
2012/04/16	5.69	5.86	5.62	5.80	8014364	46387820.00
2012/04/17	5.79	5.88	5.57	5.58	6836965	39287176.00
2012/04/18	5.62	5.85	5.55	5.79	6305524	36134848.00
2012/04/19	5.75	5.81	5.68	5.75	4215574	24270312.00
2012/04/20	5.75	6.10	5.69	6.04	14029094	83506656.00
2012/04/23	6.02	6.22	5.91	5.98	13303259	81233984.00
2012/04/24	5.89	6.14	5.59	5.94	10808913	63383056.00
2012/04/25	5.91	6.33	5.89	6.17	15667024	96494000.00
2012/04/26	6.21	6.21	6.00	6.05	8706932	53228048.00
2012/04/27	6.02	6.04	5.82	5.84	6234168	36965120.00
2012/05/02	5.89	6.01	5.83	5.85	6369601	37560500.00
2012/05/03	5.84	5.95	5.80	5.89	4712049	27708600.00
2012/05/04	5.89	6.14	5.80	6.10	7629199	45802048.00
2012/05/07	6.03	6.29	5.91	6.26	9465393	58275424.00
2012/05/08	6.24	6.50	6.08	6.44	20403641	129619664.00
2012/05/09	6.35	6.48	6.26	6.36	8149710	52039576.00
2012/05/10	6.35	6.98	6.29	6.45	33341391	216732208.00
2012/05/11	6.47	6.66	6.31	6.52	27493304	177997456.00
2012/05/14	6.47	6.56	6.11	6.13	22346858	142797520.00
2012/05/15	5.99	6.27	5.95	6.16	6531693	40247216.00
2012/05/21	6.45	6.75	6.13	6.24	9155325	58341620.00
2012/05/22	6.35	6.87	6.14	6.87	22740509	150940464.00
2012/05/23	7.04	7.04	6.57	6.67	29942611	203184112.00
2012/05/24	6.57	6.83	6.52	6.66	9483686	63481904.00
2012/05/28	6.50	6.65	6.29	6.59	7363368	47653396.00
2012/05/29	6.52	6.81	6.47	6.65	11128996	73831776.00
2012/05/30	6.59	6.69	6.45	6.49	6269659	41144892.00
2012/05/31	6.48	6.56	6.36	6.52	5985368	38758472.00
2012/06/01	6.49	6.55	6.32	6.43	6739200	43216464.00
2012/06/04	6.29	6.59	6.19	6.20	7181011	45613096.00
2012/06/05	6.17	6.25	6.01	6.06	4882896	29866878.00
2012/06/06	6.12	6.12	5.99	6.05	3056244	18517646.00
2012/06/07	6.10	6.15	5.93	5.94	3330609	20152438.00
2012/06/08	6.00	6.03	5.78	5.79	3720431	22020392.00
2012/06/11	5.79	5.89	5.72	5.86	3296718	19219624.00
2012/06/12	5.80	5.88	5.76	5.79	2526810	14745841.00
2012/06/13	5.82	5.94	5.73	5.93	3915154	22954608.00
2012/06/14	5.89	6.07	5.85	5.95	4301762	25656840.00
2012/06/15	5.94	6.03	5.82	5.94	2644965	15730753.00
2012/06/18	5.95	6.01	5.91	5.95	1980191	11827999.00
2012/06/19	5.98	5.99	5.85	5.88	2292230	13625099.00
2012/06/20	5.93	5.96	5.85	5.86	1897806	11197965.00
2012/06/21	5.88	5.89	5.70	5.73	2648667	15316979.00
2012/06/25	5.72	5.73	5.50	5.54	2552525	14402597.00
2012/06/26	5.49	5.60	5.45	5.57	1607840	8927826.00
2012/06/27	5.55	5.64	5.52	5.53	2136014	11978002.00
2012/06/28	5.58	5.58	5.34	5.37	2187878	11966336.00
2012/06/29	5.37	5.50	5.29	5.48	1775193	9625059.00
2012/07/02	5.50	5.63	5.46	5.55	2070000	11479223.00
2012/07/03	5.56	5.60	5.49	5.53	2517300	13976012.00
2012/07/04	5.53	5.85	5.53	5.69	5200567	29896904.00
2012/07/05	5.61	5.69	5.47	5.50	2857682	15920276.00
2012/07/06	5.57	5.60	5.34	5.58	2807930	15422173.00
2012/07/09	5.49	5.59	5.42	5.43	1763524	9739471.00
2012/07/10	5.43	5.50	5.39	5.42	1715867	9354273.00
2012/07/11	5.41	5.46	5.37	5.45	1838195	9953055.00
2012/07/12	5.45	5.54	5.33	5.52	2555008	13931359.00
2012/07/13	5.49	5.55	5.41	5.43	1987550	10896442.00
2012/07/16	5.43	5.43	5.08	5.11	3017907	15804444.00
2012/07/17	5.06	5.22	5.04	5.20	1803013	9273829.00
2012/07/18	5.19	5.22	5.07	5.20	1655138	8537300.00
2012/07/19	5.19	5.33	5.16	5.26	2043505	10800350.00
