600192 长城电工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.64	8.72	8.51	8.64	11063053	96047712.00
2011/10/11	8.76	8.85	8.52	8.66	16886194	147353232.00
2011/10/12	8.62	9.09	8.42	8.93	31165466	274851072.00
2011/10/13	8.77	8.87	8.52	8.62	20062320	174829840.00
2011/10/14	8.53	8.53	7.77	7.85	19640964	160379424.00
2011/10/17	7.81	7.90	7.67	7.77	7752868	60595352.00
2011/10/19	7.57	7.65	7.38	7.45	8050148	60507568.00
2011/10/20	7.42	7.51	7.20	7.34	4724135	34920600.00
2011/10/21	7.36	7.39	7.18	7.25	2964409	21576624.00
2011/10/24	7.25	7.38	7.08	7.37	3702657	27059420.00
2011/10/25	7.38	7.53	7.31	7.49	5362877	40088028.00
2011/10/26	7.45	7.63	7.39	7.49	5778893	43526112.00
2011/10/27	7.47	7.51	7.32	7.33	4880943	36404264.00
2011/10/28	7.39	7.71	7.39	7.60	8535047	64938108.00
2011/10/31	7.60	7.74	7.52	7.59	5370574	40993580.00
2011/11/01	7.54	7.70	7.50	7.61	4968426	37910616.00
2011/11/02	7.52	7.64	7.36	7.62	5963921	44851136.00
2011/11/03	7.67	7.90	7.63	7.75	11033085	86139184.00
2011/11/04	7.75	7.87	7.68	7.79	6009824	46870376.00
2011/11/07	7.85	7.85	7.65	7.66	4803141	37291280.00
2011/11/08	7.63	7.76	7.50	7.56	3950228	30342764.00
2011/11/09	7.61	7.73	7.56	7.72	4900351	37573016.00
2011/11/10	7.67	7.67	7.37	7.39	4966867	37578796.00
2011/11/11	7.40	7.50	7.33	7.36	3029776	22594058.00
2011/11/14	7.40	7.67	7.40	7.64	5096661	38870880.00
2011/11/15	7.61	7.76	7.61	7.73	4927364	38088896.00
2011/11/16	7.72	7.77	7.45	7.47	4441238	33884216.00
2011/11/17	7.47	7.56	7.42	7.48	2829837	21272530.00
2011/11/18	7.40	7.66	7.32	7.57	5728329	43186544.00
2011/11/21	7.60	7.68	7.52	7.68	4766221	36363796.00
2011/11/22	7.66	7.66	7.42	7.59	3807806	28850808.00
2011/11/23	7.62	7.72	7.48	7.66	5475482	42052208.00
2011/11/24	7.59	7.69	7.44	7.68	3753511	28649052.00
2011/11/25	7.63	7.74	7.37	7.40	4492796	34065992.00
2011/11/28	7.39	7.44	7.26	7.37	2651134	19582036.00
2011/11/29	7.42	7.48	7.34	7.47	2638446	19663904.00
2011/11/30	7.47	7.53	6.95	7.28	3960026	28746198.00
2011/12/01	7.43	7.55	7.38	7.47	3882141	29128004.00
2011/12/02	7.45	7.46	7.27	7.41	1992418	14776588.00
2011/12/05	7.41	7.46	7.28	7.31	2580478	19132754.00
2011/12/06	7.25	7.56	7.07	7.53	4875806	36070504.00
2011/12/07	7.55	7.75	7.48	7.71	7203508	55509472.00
2011/12/08	7.67	7.80	7.61	7.72	4584730	35502904.00
2011/12/09	7.67	7.78	7.62	7.68	4625707	35749692.00
2011/12/12	7.74	7.74	7.47	7.60	4295283	32626776.00
2011/12/13	7.56	7.59	7.32	7.54	5099424	38117440.00
2011/12/14	7.47	7.79	7.44	7.74	12405826	95864208.00
2011/12/15	7.67	7.71	7.52	7.71	6414697	49179768.00
2011/12/16	7.63	8.37	7.61	8.02	22132834	174487440.00
2011/12/19	7.92	8.16	7.77	8.15	20417681	162468992.00
2011/12/20	8.06	8.21	8.00	8.14	18979291	154442832.00
2011/12/21	8.14	8.19	7.83	8.08	19678862	158330640.00
2011/12/22	8.07	8.08	7.27	7.91	19800992	155845184.00
2011/12/23	7.77	7.96	7.60	7.91	18700880	146394704.00
2011/12/26	7.86	8.57	7.74	8.12	23598429	190065104.00
2011/12/27	8.07	8.12	7.79	8.00	12164524	96881904.00
2011/12/28	7.95	7.95	7.73	7.84	13422165	104862368.00
2011/12/29	7.84	8.27	7.54	7.67	15114296	118359640.00
2011/12/30	7.63	7.90	6.90	7.03	17641562	127866640.00
2012/01/04	6.99	7.02	6.32	6.32	11604128	77533744.00
2012/01/05	6.14	6.32	5.69	5.69	6954188	40586084.00
2012/01/06	5.61	5.63	5.27	5.55	6876716	37600012.00
2012/01/09	5.54	5.73	5.44	5.72	6321091	35710268.00
2012/01/10	5.72	6.05	5.65	5.97	8309331	49093404.00
2012/01/11	5.97	6.05	5.86	5.94	6355230	37930096.00
2012/01/12	5.91	6.04	5.86	5.88	4424940	26388212.00
2012/01/13	5.87	5.92	5.52	5.61	5457087	31221184.00
2012/01/16	5.52	5.56	5.29	5.30	2589462	14139947.00
2012/01/17	5.35	5.64	5.33	5.63	4112458	22784456.00
2012/01/18	5.65	5.73	5.47	5.49	3653663	20547528.00
2012/01/19	5.49	5.60	5.42	5.58	2703920	15079913.00
2012/01/20	5.54	5.65	5.54	5.65	2802135	15813433.00
2012/01/30	5.66	5.74	5.62	5.68	2953302	16884870.00
2012/01/31	5.69	5.71	5.62	5.69	1687621	9617670.00
2012/02/01	5.69	5.73	5.64	5.68	1742417	9959180.00
2012/02/02	5.64	5.74	5.64	5.73	2327020	13327504.00
2012/02/03	5.72	5.86	5.70	5.84	4768165	27817918.00
2012/02/06	5.84	5.99	5.84	5.93	5320514	31712244.00
2012/02/07	5.92	5.92	5.77	5.80	3482612	20349608.00
2012/02/08	5.79	5.97	5.78	5.95	3710838	21975778.00
2012/02/09	5.93	6.07	5.93	5.97	5748229	34680564.00
2012/02/10	5.97	6.07	5.93	6.01	3987810	24070386.00
2012/02/13	5.98	6.09	5.95	6.08	4490171	27240526.00
2012/02/14	6.08	6.09	5.97	6.02	3716104	22477228.00
2012/02/16	6.29	6.54	6.11	6.17	11923857	75115280.00
2012/02/17	6.18	6.24	6.08	6.13	4163381	25691192.00
2012/02/20	6.19	6.22	6.10	6.10	3492413	21588638.00
2012/02/21	6.09	6.15	6.02	6.13	3347163	20490728.00
2012/02/22	6.14	6.24	6.13	6.23	5299595	32960064.00
2012/02/23	6.25	6.30	6.18	6.26	5153123	32369132.00
2012/02/24	6.27	6.35	6.23	6.34	4892823	30989556.00
2012/02/27	6.35	6.45	6.31	6.32	6131951	39291756.00
2012/02/28	6.27	6.32	6.17	6.25	4772532	29902304.00
2012/02/29	6.25	6.26	6.16	6.17	2872114	17914630.00
2012/03/01	6.12	6.26	6.12	6.22	2738544	17087048.00
2012/03/05	6.29	6.40	6.29	6.34	6246059	39868568.00
2012/03/06	6.32	6.35	6.20	6.22	3185012	20001852.00
2012/03/07	6.16	6.36	6.13	6.31	4927481	31042434.00
2012/03/08	6.32	6.62	6.30	6.50	11799618	76929568.00
2012/03/09	6.51	6.53	6.41	6.50	5639959	36668552.00
2012/03/12	6.50	6.56	6.41	6.53	7387180	48097700.00
2012/03/13	6.53	6.62	6.47	6.55	6794101	44691880.00
2012/03/14	6.59	6.62	6.12	6.16	8482905	54682800.00
2012/03/15	6.14	6.25	5.99	6.05	4179226	25578736.00
2012/03/16	6.04	6.25	6.04	6.20	5216050	32241112.00
2012/03/19	6.21	6.52	6.17	6.46	6561487	41833372.00
2012/03/20	6.42	6.47	6.33	6.38	4699207	30234376.00
2012/03/21	6.41	6.79	6.31	6.74	17649577	117246336.00
2012/03/22	6.64	6.69	6.41	6.44	9200316	60737416.00
2012/03/23	6.40	6.47	6.08	6.10	7379763	46130368.00
2012/03/26	6.07	6.21	6.00	6.16	4817775	29598982.00
2012/03/27	6.16	6.45	6.16	6.27	5942021	37576900.00
2012/03/28	6.23	6.27	5.93	6.05	5047275	30700348.00
2012/03/29	6.00	6.16	5.77	6.07	5671409	34070080.00
2012/04/05	6.02	6.39	6.00	6.38	5131490	32088540.00
2012/04/06	6.38	6.97	6.38	6.94	17680363	118530184.00
2012/04/09	6.89	6.95	6.73	6.94	10645222	73250416.00
2012/04/10	6.96	7.27	6.83	7.07	27372891	190798096.00
2012/04/11	6.95	7.16	6.87	7.03	24921349	173908688.00
2012/04/12	6.99	7.00	6.71	6.94	19711940	136505552.00
2012/04/13	6.91	7.10	6.70	6.90	15992245	109946648.00
2012/04/16	6.86	7.01	6.76	6.79	7804667	53394380.00
2012/04/17	6.80	6.81	6.58	6.60	5606114	37498160.00
2012/04/18	6.63	6.76	6.58	6.74	5276083	35416740.00
2012/04/19	6.77	6.84	6.68	6.69	5049608	34254848.00
2012/04/20	6.66	6.76	6.64	6.74	4611268	31082636.00
2012/04/23	6.72	6.80	6.62	6.63	4036287	27231184.00
2012/04/24	6.58	6.68	6.23	6.41	4899518	31728290.00
2012/04/25	6.38	6.55	6.35	6.53	4205437	27345816.00
2012/04/26	6.57	6.59	6.50	6.54	3176142	20885752.00
2012/04/27	6.54	6.54	6.36	6.40	2600266	16801780.00
2012/05/02	6.47	6.57	6.45	6.50	3035911	19859264.00
2012/05/03	6.50	6.69	6.42	6.65	4587504	30337680.00
2012/05/04	6.61	6.69	6.55	6.64	3085182	20515690.00
