600196 复星医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.83	8.99	8.75	8.87	4169633	39401924.00
2011/10/11	9.07	9.15	8.92	9.03	5657842	54529268.00
2011/10/12	9.00	9.32	8.93	9.32	7638181	74640064.00
2011/10/13	9.34	9.37	9.13	9.27	9220677	90525560.00
2011/10/14	9.25	9.27	9.13	9.20	3094997	30241040.00
2011/10/17	9.23	9.37	9.09	9.20	7463384	72983640.00
2011/10/18	9.13	9.13	8.80	8.84	6474784	61740512.00
2011/10/19	8.88	9.12	8.76	8.97	11212447	106875496.00
2011/10/20	8.90	9.03	8.67	8.81	7982609	75161384.00
2011/10/21	8.82	8.86	8.68	8.70	3192049	29764404.00
2011/10/24	8.72	8.87	8.58	8.82	4398529	41062696.00
2011/10/25	8.85	8.98	8.69	8.95	9073701	85765520.00
2011/10/26	8.92	9.06	8.86	8.97	8428360	80533568.00
2011/10/27	8.96	9.23	8.96	9.06	7989362	77532272.00
2011/10/28	9.17	9.22	9.08	9.18	6600917	64179036.00
2011/10/31	9.18	9.35	9.15	9.26	8965704	88145160.00
2011/11/01	9.19	9.33	9.12	9.19	8272381	81208128.00
2011/11/02	9.08	9.42	9.05	9.39	15650811	153167472.00
2011/11/03	9.42	9.60	9.38	9.39	14453424	145573872.00
2011/11/04	9.49	9.49	9.32	9.40	10049242	100144112.00
2011/11/07	9.40	9.58	9.35	9.41	8901258	89499288.00
2011/11/08	9.44	9.49	9.26	9.27	6016571	59862320.00
2011/11/09	9.32	9.42	9.23	9.41	5841203	57901424.00
2011/11/10	9.32	9.47	9.24	9.39	7549464	74967824.00
2011/11/11	9.41	9.62	9.40	9.53	10899020	110232456.00
2011/11/14	9.62	9.76	9.58	9.74	11306389	116386640.00
2011/11/15	9.75	9.77	9.63	9.74	6877829	70722424.00
2011/11/16	9.77	9.79	9.30	9.40	10621686	107234824.00
2011/11/17	9.42	9.53	9.37	9.40	4811164	48190048.00
2011/11/18	9.38	9.38	9.10	9.11	5815465	57034756.00
2011/11/21	9.08	9.17	9.01	9.15	2762303	26741046.00
2011/11/22	9.03	9.09	8.84	8.92	7163612	68268768.00
2011/11/23	8.95	9.04	8.84	8.91	3288412	31234500.00
2011/11/24	8.86	9.03	8.82	8.99	3765010	35891876.00
2011/11/25	9.00	9.07	8.92	8.94	2892404	27661072.00
2011/11/28	8.95	9.01	8.82	8.95	4513893	42790100.00
2011/11/29	9.02	9.10	8.91	9.07	10286624	98507920.00
