600201 金宇集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.16	12.31	12.06	12.14	1488756	19536552.00
2011/10/11	12.28	12.36	12.06	12.20	1182641	15491726.00
2011/10/12	12.11	12.55	12.06	12.47	2156611	28653906.00
2011/10/13	12.50	12.60	12.34	12.47	1740969	23308684.00
2011/10/14	12.31	12.51	12.21	12.29	1366772	18072432.00
2011/10/17	12.39	12.75	12.26	12.71	3338221	45181608.00
2011/10/18	12.57	12.84	12.49	12.66	2598815	35098644.00
2011/10/19	12.57	12.71	12.41	12.61	1417316	19083764.00
2011/10/20	12.46	12.68	12.39	12.42	2278063	30439230.00
2011/10/21	12.49	12.51	12.14	12.15	1565674	20680000.00
2011/10/24	12.13	12.20	11.63	11.98	2073273	26471220.00
2011/10/25	11.99	12.21	11.68	12.15	1546502	19832120.00
2011/10/26	12.14	12.36	11.87	12.33	1778448	23144788.00
2011/10/27	12.41	12.84	12.31	12.41	2542264	34266808.00
2011/10/28	12.51	12.69	12.42	12.62	1788652	24049492.00
2011/10/31	12.62	12.78	12.43	12.76	1498283	20281056.00
2011/11/01	12.69	12.91	12.58	12.88	3222694	44072900.00
2011/11/02	12.63	13.04	12.63	12.97	2992964	41178484.00
2011/11/03	13.04	13.24	12.91	13.01	5256815	73569280.00
2011/11/04	12.92	13.15	12.90	13.08	3194429	44459272.00
2011/11/07	13.09	13.79	13.04	13.43	5901546	85124640.00
2011/11/08	13.31	13.51	13.21	13.22	2507204	35789480.00
2011/11/09	13.22	13.43	13.10	13.41	2294968	32428004.00
2011/11/10	13.48	13.52	13.27	13.40	1896423	27157198.00
2011/11/11	13.33	13.51	13.31	13.33	1107394	15835547.00
2011/11/14	13.37	13.50	13.33	13.37	2239711	32016332.00
2011/11/15	13.33	13.46	13.30	13.44	1329824	18986644.00
2011/11/16	13.44	13.66	13.31	13.39	3127201	44908224.00
2011/11/17	13.39	13.58	13.38	13.46	1709442	24523388.00
2011/11/18	13.40	13.46	13.07	13.34	2825467	39854612.00
2011/11/21	13.13	13.41	13.13	13.34	1411676	20067100.00
2011/11/22	13.31	13.68	13.22	13.50	2165377	31133442.00
2011/11/23	13.51	13.81	13.49	13.56	2495551	36298024.00
2011/11/24	13.22	13.65	13.16	13.59	1204508	17372618.00
2011/11/25	13.64	13.66	13.51	13.65	1823875	26444688.00
2011/11/28	13.68	13.96	13.68	13.94	4180424	61702788.00
2011/11/29	14.08	14.11	13.88	13.94	3376316	50262736.00
2011/11/30	13.91	13.96	13.24	13.34	3141084	45279900.00
2011/12/01	13.58	13.95	13.46	13.67	2716573	39656312.00
2011/12/02	13.67	13.67	13.24	13.32	2563090	36454656.00
2011/12/05	13.28	13.41	12.71	13.05	1981100	27539178.00
2011/12/06	13.01	13.25	12.98	13.18	873666	12239435.00
2011/12/07	13.19	13.30	13.01	13.27	1183635	16636674.00
2011/12/08	13.21	13.35	12.96	13.09	780559	10917558.00
2011/12/09	13.09	13.27	12.92	13.06	786811	10946501.00
2011/12/12	12.97	13.08	12.70	12.71	1510544	20863680.00
2011/12/13	12.71	12.71	11.74	12.00	2975454	38842816.00
2011/12/14	12.02	12.26	11.09	11.18	2766100	34694824.00
