600207 安彩高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.00	7.15	6.89	6.94	3218675	22637116.00
2011/10/11	7.12	7.15	6.80	7.00	3221989	22513920.00
2011/10/12	6.95	7.15	6.89	7.14	3563736	25283480.00
2011/10/13	7.14	7.22	7.11	7.20	4793627	34291056.00
2011/10/14	7.18	7.18	7.00	7.11	3283130	23234010.00
2011/10/17	7.13	7.15	6.95	7.08	3497216	24618262.00
2011/10/18	6.99	7.07	6.82	6.84	2620144	18219476.00
2011/10/19	6.85	6.90	6.51	6.60	4608364	30787304.00
2011/10/20	6.68	6.68	6.30	6.32	4116591	26428000.00
2011/10/21	6.30	6.38	6.24	6.34	2333211	14724451.00
2011/10/24	6.38	6.40	6.02	6.39	5352982	33007866.00
2011/10/25	6.30	6.35	6.07	6.33	8746064	54089016.00
2011/10/26	6.25	6.60	6.20	6.57	7242782	46808524.00
2011/10/27	6.50	6.55	6.40	6.42	3473503	22430142.00
2011/10/28	6.47	6.52	6.39	6.50	4385949	28312708.00
2011/10/31	6.43	6.48	6.35	6.39	3256692	20859500.00
2011/11/01	6.36	6.55	6.32	6.48	4495668	29163592.00
2011/11/02	6.38	6.50	6.18	6.49	5390440	34171160.00
2011/11/03	6.47	6.65	6.46	6.55	6561505	42982968.00
2011/11/04	6.55	6.76	6.53	6.72	7617184	50610632.00
2011/11/07	6.66	6.73	6.58	6.69	5087310	33811568.00
2011/11/08	6.68	6.70	6.49	6.50	3461502	22828808.00
2011/11/09	6.53	6.58	6.41	6.51	3672861	23802396.00
2011/11/10	6.44	6.50	6.25	6.26	4871619	31105836.00
2011/11/11	6.34	6.42	6.18	6.39	4253257	26895964.00
2011/11/14	6.44	6.57	6.43	6.56	3813683	24822444.00
2011/11/15	6.56	6.65	6.51	6.62	3865803	25516512.00
2011/11/16	6.65	6.65	6.35	6.36	4543731	29541784.00
2011/11/17	6.37	6.68	6.37	6.68	12256782	81450512.00
2011/11/18	6.76	6.94	6.59	6.75	14164557	95404768.00
2011/11/21	6.70	6.70	6.41	6.46	8120583	52365984.00
2011/11/22	6.35	6.38	6.14	6.37	6129460	38379524.00
2011/11/23	6.29	6.47	6.26	6.42	3746053	23919800.00
2011/12/01	6.74	6.74	6.41	6.44	10855537	71746992.00
2011/12/02	6.25	6.25	6.12	6.12	5634000	34529336.00
2011/12/05	5.88	5.90	5.81	5.81	4137562	24084200.00
2011/12/06	5.58	5.70	5.52	5.58	3680405	20604096.00
2011/12/07	5.58	5.66	5.55	5.57	1877487	10489738.00
2011/12/08	5.57	5.58	5.29	5.29	6248965	33323388.00
2011/12/09	5.18	5.18	5.03	5.03	7625133	38564696.00
2011/12/12	4.92	4.96	4.78	4.87	6528880	31731188.00
2011/12/13	4.66	4.86	4.65	4.70	4376327	20732758.00
2011/12/14	4.69	4.79	4.57	4.70	2799029	13176043.00
2011/12/15	4.61	4.67	4.47	4.47	2670340	12110598.00
2011/12/16	4.46	4.46	4.25	4.34	6270304	26871362.00
2011/12/19	4.26	4.29	4.13	4.26	5372826	22514616.00
2011/12/20	4.26	4.44	4.25	4.33	4088198	17802996.00
2011/12/21	4.36	4.41	4.16	4.17	2982717	12881401.00
2011/12/22	4.10	4.10	3.96	3.98	3997096	15933997.00
2011/12/23	3.99	4.13	3.95	4.05	2631821	10676685.00
2011/12/26	4.00	4.16	4.00	4.11	3554885	14575690.00
2011/12/27	4.13	4.30	4.10	4.18	4397498	18405932.00
2011/12/28	4.10	4.18	3.98	4.16	5285853	21526062.00
2011/12/29	4.14	4.23	4.12	4.16	2423077	10136083.00
2011/12/30	4.18	4.30	4.18	4.29	2560224	10846831.00
2012/01/04	4.29	4.37	4.21	4.22	2339391	10038490.00
2012/01/05	4.18	4.23	4.01	4.13	3373595	13872210.00
2012/01/06	4.09	4.16	4.02	4.12	2136977	8762658.00
2012/01/09	4.14	4.27	4.08	4.27	2968003	12527168.00
2012/01/10	4.40	4.48	4.33	4.48	4761327	21179296.00
2012/01/11	4.49	4.66	4.41	4.59	6795832	30641660.00
2012/01/12	4.54	4.61	4.48	4.52	3778425	17183556.00
2012/01/13	4.55	4.58	4.29	4.33	3936660	17380828.00
2012/01/16	4.28	4.32	4.17	4.18	2221512	9445382.00
2012/01/17	4.22	4.38	4.19	4.35	2508481	10794947.00
2012/01/18	4.37	4.43	4.26	4.29	1996724	8680606.00
2012/01/19	4.29	4.37	4.22	4.32	2721251	11754855.00
2012/01/20	4.34	4.44	4.32	4.43	2095358	9215437.00
2012/01/30	4.41	4.52	4.37	4.44	2166563	9675733.00
2012/01/31	4.43	4.66	4.41	4.59	5213199	23891288.00
2012/02/01	4.59	4.68	4.48	4.52	3771399	17343952.00
2012/02/02	4.50	4.59	4.44	4.57	2440996	11006301.00
2012/02/03	4.57	4.75	4.55	4.67	4662124	21764714.00
2012/02/06	4.69	4.90	4.68	4.90	9513753	46061728.00
2012/02/14	5.15	5.15	5.12	5.15	9560983	49232088.00
2012/02/15	5.29	5.41	5.23	5.41	5681623	30308606.00
2012/02/16	5.60	5.68	5.15	5.25	21533576	116557464.00
2012/02/17	5.10	5.34	5.05	5.09	10025571	51757888.00
2012/02/20	5.13	5.33	5.01	5.22	10924989	56759168.00
2012/02/21	5.16	5.26	5.05	5.20	6675390	34397660.00
2012/02/22	5.20	5.27	5.11	5.27	6881549	35831412.00
2012/02/23	5.23	5.26	5.08	5.14	8450747	43629052.00
2012/02/24	5.11	5.40	5.08	5.30	12147523	64523988.00
2012/02/27	5.26	5.39	5.20	5.24	7778260	41081008.00
2012/02/28	5.20	5.24	5.07	5.13	5576856	28646736.00
2012/02/29	5.09	5.12	5.04	5.05	5050128	25596652.00
2012/03/01	5.06	5.12	5.03	5.08	3102532	15796505.00
