600208 新湖中宝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	3.72	3.75	3.51	3.52	9851635	36663164.00
2011/10/11	3.62	3.66	3.51	3.52	30806088	113996664.00
2011/10/12	3.51	3.67	3.49	3.67	16580181	61816568.00
2011/10/13	3.65	3.79	3.62	3.74	17004228	65517192.00
2011/10/14	3.76	3.78	3.68	3.74	5307720	20394776.00
2011/10/17	3.77	3.78	3.61	3.64	12107778	46005760.00
2011/10/18	3.61	3.65	3.53	3.55	8373230	30974742.00
2011/10/19	3.55	3.59	3.51	3.55	5995321	22045212.00
2011/10/20	3.50	3.55	3.29	3.36	13094592	45711580.00
2011/10/21	3.36	3.37	3.18	3.21	14960957	50956596.00
2011/10/24	3.24	3.37	3.17	3.34	14487813	49220268.00
2011/10/25	3.29	3.69	3.29	3.69	53770297	200033136.00
2011/10/26	3.70	3.87	3.65	3.77	59797076	230428400.00
2011/10/27	3.73	3.79	3.65	3.75	22862377	87527952.00
2011/10/28	3.78	4.13	3.77	3.79	52908800	212020288.00
2011/10/31	3.76	3.91	3.67	3.86	33578162	131740968.00
2011/11/01	3.78	3.95	3.74	3.82	20973574	83157352.00
2011/11/02	3.73	3.90	3.70	3.88	20989023	82682424.00
2011/11/03	3.93	3.93	3.81	3.83	26328859	104987336.00
2011/11/04	3.83	3.97	3.83	3.90	27259912	109713448.00
2011/11/07	3.83	3.89	3.72	3.75	23805056	93135136.00
2011/11/08	3.75	3.77	3.65	3.67	24176859	91862736.00
2011/11/09	3.69	3.71	3.55	3.66	18522276	69188672.00
2011/11/10	3.62	3.62	3.52	3.53	19327680	71291016.00
2011/11/11	3.54	3.60	3.53	3.58	11888914	43876872.00
2011/11/14	3.59	3.74	3.58	3.71	30148785	114680688.00
2011/11/15	3.71	3.77	3.67	3.75	24721763	95366144.00
2011/11/16	3.77	3.77	3.61	3.63	11974635	45393028.00
2011/11/17	3.66	3.70	3.60	3.61	10696224	40360860.00
2011/11/18	3.56	3.62	3.49	3.57	14808160	54476488.00
2011/11/21	3.55	3.59	3.50	3.54	4223052	15440204.00
