600213 亚星客车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.77	9.16	8.77	8.85	641798	5711199.00
2011/10/11	9.05	9.15	8.80	8.87	485579	4357434.00
2011/10/12	8.87	9.23	8.60	9.17	1412240	12779518.00
2011/10/13	9.16	9.56	9.01	9.44	3465205	31843628.00
2011/10/14	9.35	9.39	9.18	9.33	2151456	19930712.00
2011/10/17	9.37	9.39	9.15	9.23	1705409	15730519.00
2011/10/18	9.20	9.23	8.76	8.79	1170551	10485981.00
2011/10/19	8.85	8.90	8.60	8.73	706823	6162880.00
2011/10/20	8.70	8.79	8.39	8.45	706754	5992246.00
2011/10/21	8.53	8.53	8.32	8.41	315798	2655126.00
2011/10/24	8.48	8.55	8.21	8.54	721167	6057586.00
2011/10/25	8.54	8.83	8.45	8.73	991998	8572290.00
2011/10/26	8.66	8.89	8.62	8.81	1213852	10632329.00
2011/10/27	8.85	8.86	8.67	8.82	830009	7294048.00
2011/10/28	8.84	8.99	8.80	8.93	1176178	10456934.00
2011/10/31	8.93	8.99	8.82	8.92	662386	5896996.00
2011/11/01	8.85	9.40	8.80	9.24	2871064	26287852.00
2011/11/02	8.95	9.43	8.92	9.33	1731545	15878771.00
2011/11/03	9.33	9.65	9.25	9.40	1686658	15982662.00
2011/11/04	9.48	10.33	9.31	10.08	5448247	53617792.00
2011/11/07	10.16	10.95	9.93	10.65	10375328	108181072.00
2011/11/08	10.50	11.30	10.29	10.69	8780977	93757872.00
2011/11/09	10.60	10.65	10.18	10.47	4707490	48781316.00
2011/11/10	10.28	10.35	10.08	10.18	3032630	30900428.00
2011/11/11	10.18	10.27	10.10	10.15	1459398	14826265.00
2011/11/14	10.34	10.41	10.20	10.24	2454398	25270268.00
2011/11/15	10.18	10.69	10.18	10.59	3529821	37092184.00
2011/11/16	10.50	10.60	10.00	10.01	2640821	27029920.00
2011/11/17	10.01	10.13	9.79	9.83	1745799	17350980.00
2011/11/18	9.76	9.76	9.45	9.67	1346274	12898203.00
2011/11/21	9.76	10.64	9.76	10.28	4862511	50325568.00
2011/11/22	10.00	10.07	9.71	9.86	2495835	24692276.00
2011/11/23	9.75	9.92	9.62	9.64	1119494	10877297.00
2011/11/24	9.49	9.58	9.37	9.47	1071540	10136389.00
2011/11/25	9.41	9.55	9.18	9.18	782920	7342316.00
2011/11/28	9.70	10.00	9.46	9.49	2332834	22674860.00
2011/11/29	9.55	9.70	9.38	9.68	1782903	17109574.00
2011/11/30	9.50	9.68	9.00	9.13	1493972	13799952.00
2011/12/01	9.40	9.60	9.26	9.26	1024509	9641396.00
2011/12/02	9.23	9.29	9.04	9.12	589277	5375847.00
2011/12/05	9.10	9.12	8.75	8.86	692495	6159965.00
2011/12/06	8.79	8.97	8.75	8.87	370398	3281697.00
2011/12/07	8.88	8.98	8.85	8.91	335498	2988989.00
2011/12/08	8.94	8.95	8.61	8.88	540464	4776323.00
2011/12/09	8.70	8.79	8.60	8.63	584445	5077001.00
2011/12/12	8.79	9.27	8.65	8.77	997486	8940709.00
2011/12/13	8.90	9.08	8.73	8.75	2625382	23422012.00
2011/12/14	8.52	8.53	7.90	8.00	1618188	13203293.00
2011/12/15	8.00	8.00	7.46	7.49	1200884	9202817.00
2011/12/16	7.41	7.75	7.39	7.73	829681	6248264.00
2011/12/19	7.65	7.85	7.50	7.75	719390	5514368.00
