600221 海南航空 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	2.79	2.84	2.76	2.77	5768947	33387914.00
2011/10/11	2.84	2.87	2.74	2.78	6613386	38573404.00
2011/10/12	2.76	2.90	2.75	2.88	16766545	99675216.00
2011/10/13	2.88	2.91	2.85	2.89	11192977	66816280.00
2011/10/14	2.89	3.04	2.87	2.93	12768144	77801240.00
2011/10/17	2.94	2.98	2.93	2.95	9880570	60395432.00
2011/10/18	2.93	2.93	2.87	2.87	8440632	50733480.00
2011/10/19	2.88	2.90	2.83	2.87	3721862	22131336.00
2011/10/20	2.84	2.86	2.74	2.76	7918285	45735656.00
2011/10/21	2.77	2.78	2.74	2.74	3990153	22901204.00
2011/10/24	2.74	2.81	2.72	2.80	5780785	33312136.00
2011/10/25	2.79	2.87	2.77	2.86	7788768	45792636.00
2011/10/26	2.84	2.91	2.83	2.88	10476378	62621456.00
2011/10/27	2.92	3.01	2.91	2.99	29679813	182747024.00
2011/10/28	3.02	3.05	2.94	2.99	30091384	185456640.00
2011/10/31	3.00	3.01	2.94	2.96	14670623	90345432.00
2011/11/01	2.94	2.97	2.91	2.94	11669125	71091912.00
2011/11/02	2.90	2.98	2.88	2.97	14855392	90060800.00
2011/11/03	2.98	3.08	2.97	3.04	33443285	209715968.00
2011/11/04	3.05	3.07	3.00	3.04	16291173	102316952.00
2011/11/07	3.02	3.04	2.97	2.98	13194932	82109424.00
2011/11/08	3.08	3.11	3.01	3.02	30377182	192440176.00
2011/11/09	3.04	3.05	2.97	3.02	12231196	76111632.00
2011/11/10	2.97	2.99	2.94	2.94	13485526	82855152.00
2011/11/11	2.95	2.98	2.93	2.95	6601599	40351824.00
2011/11/14	2.97	3.00	2.95	2.99	12777078	79018952.00
2011/11/15	2.98	3.04	2.97	3.02	14790638	92241544.00
2011/11/16	3.03	3.04	2.93	2.94	12857704	79225088.00
2011/11/17	2.93	2.96	2.89	2.90	10508813	63598372.00
2011/11/18	2.90	2.90	2.80	2.82	9773170	57786392.00
2011/11/21	2.84	2.84	2.79	2.82	5683557	33194874.00
2011/11/22	2.80	2.82	2.77	2.80	6262268	36244760.00
2011/11/23	2.82	2.83	2.77	2.79	4663927	27034986.00
2011/11/24	2.74	2.78	2.74	2.76	7419689	42495184.00
2011/11/25	2.75	2.80	2.73	2.75	6342381	36500120.00
2011/11/28	2.79	2.79	2.74	2.75	3910268	22433294.00
2011/11/29	2.77	2.82	2.75	2.81	8593048	49672904.00
2011/11/30	2.79	2.82	2.68	2.69	11290962	64293672.00
2011/12/01	2.75	2.79	2.71	2.74	11888739	67966464.00
2011/12/02	2.72	2.73	2.60	2.65	10741603	59344804.00
2011/12/05	2.65	2.65	2.57	2.58	6624902	35814704.00
2011/12/06	2.58	2.59	2.52	2.54	5289866	28099906.00
2011/12/07	2.54	2.61	2.53	2.56	4207585	22531556.00
2011/12/08	2.56	2.59	2.51	2.56	4879791	25963722.00
2011/12/09	2.54	2.60	2.52	2.58	8788652	46938464.00
2011/12/13	2.54	2.54	2.40	2.41	10252212	52486012.00
2011/12/14	2.41	2.43	2.38	2.42	5237309	26301522.00
2011/12/15	2.40	2.41	2.33	2.33	5294747	26206154.00
2011/12/16	2.34	2.42	2.32	2.42	6480603	32070788.00
2011/12/19	2.41	2.41	2.33	2.41	5249270	26067564.00
2011/12/20	2.40	2.45	2.37	2.40	5968073	30143444.00
2011/12/21	2.43	2.46	2.38	2.39	7210204	36538380.00
2011/12/22	2.37	2.41	2.31	2.39	8697461	42849604.00
2011/12/23	2.37	2.47	2.36	2.44	8434664	42757176.00
2011/12/26	2.43	2.43	2.33	2.34	24101102	119418240.00
2011/12/27	2.34	2.35	2.18	2.19	28325600	132592512.00
2011/12/29	2.19	2.20	2.10	2.12	23781878	106622960.00
2011/12/30	2.13	2.15	2.12	2.13	20985107	93900680.00
2012/01/04	2.16	2.16	2.05	2.05	20622700	91220968.00
2012/01/05	2.04	2.07	2.01	2.03	14630181	62633800.00
2012/01/06	2.03	2.06	2.00	2.05	10370642	44503048.00
2012/01/09	2.04	2.14	2.02	2.14	17057431	75279576.00
2012/01/10	2.14	2.27	2.12	2.27	33188403	153962688.00
2012/01/11	2.27	2.27	2.22	2.23	19203579	90055416.00
2012/01/12	2.22	2.25	2.20	2.23	13917443	64936672.00
2012/01/13	2.23	2.24	2.14	2.16	14359140	65485096.00
2012/01/16	2.14	2.17	2.11	2.12	7968547	35808420.00
2012/01/17	2.15	2.26	2.13	2.25	20229855	93735816.00
2012/01/18	2.25	2.30	2.21	2.22	20460605	96531592.00
2012/01/19	2.23	2.36	2.20	2.31	31737879	152984576.00
2012/01/20	2.30	2.31	2.27	2.31	18897600	90842304.00
2012/01/30	2.29	2.29	2.20	2.20	22535253	105261920.00
2012/01/31	2.19	2.22	2.18	2.21	8372843	38700440.00
2012/02/01	2.20	2.21	2.13	2.15	13144446	59809108.00
2012/02/02	2.15	2.18	2.13	2.18	11730304	53036260.00
2012/02/03	2.18	2.22	2.14	2.21	17068038	78244448.00
2012/02/06	2.20	2.23	2.19	2.21	15824748	73383840.00
2012/02/07	2.20	2.20	2.13	2.14	13102985	59232668.00
2012/02/08	2.14	2.21	2.13	2.21	15825488	72383120.00
2012/02/09	2.20	2.25	2.19	2.24	24646309	114986672.00
2012/02/10	2.23	2.28	2.22	2.25	24232856	114355016.00
2012/02/13	2.23	2.30	2.22	2.27	23731616	112349936.00
2012/02/14	2.25	2.26	2.23	2.24	13931023	65400200.00
2012/02/16	2.28	2.29	2.24	2.27	26229092	124462928.00
2012/02/17	2.28	2.29	2.24	2.27	17425115	82769040.00
2012/02/20	2.30	2.31	2.27	2.27	23351914	112004544.00
2012/02/21	2.27	2.29	2.24	2.29	13441309	63817012.00
2012/02/22	2.28	2.35	2.27	2.34	31952058	154612432.00
2012/02/23	2.34	2.37	2.32	2.36	35673336	175101296.00
2012/02/24	2.35	2.42	2.33	2.42	38914891	193441392.00
2012/02/27	2.43	2.63	2.41	2.55	81539010	428422848.00
2012/02/28	2.52	2.54	2.47	2.51	37946083	198141696.00
2012/02/29	2.51	2.51	2.43	2.44	25419634	131198856.00
2012/03/01	2.44	2.48	2.43	2.44	16201718	83010728.00
2012/03/02	2.45	2.50	2.45	2.50	23167200	119567488.00
2012/03/05	2.51	2.52	2.45	2.46	22488962	116729400.00
2012/03/06	2.46	2.47	2.39	2.40	21794195	110096536.00
2012/03/07	2.37	2.44	2.36	2.41	15000240	75441408.00
2012/03/08	2.41	2.48	2.41	2.45	14433152	73732656.00
2012/03/09	2.46	2.48	2.44	2.48	14279971	73328632.00
2012/03/12	2.47	2.48	2.43	2.45	13742214	70297560.00
2012/03/13	2.45	2.47	2.43	2.47	14816984	75948984.00
2012/03/14	2.49	2.50	2.35	2.36	35817317	182932320.00
2012/03/15	2.36	2.38	2.28	2.30	18749030	90911864.00
2012/03/16	2.30	2.35	2.30	2.34	16429853	79934016.00
2012/03/19	2.33	2.34	2.29	2.34	12990871	63079592.00
2012/03/20	2.31	2.32	2.24	2.25	20405129	97050064.00
2012/03/21	2.26	2.28	2.22	2.25	11974738	56508812.00
2012/03/22	2.25	2.29	2.24	2.27	10527038	49885576.00
2012/03/23	2.25	2.27	2.22	2.23	8685678	40774092.00
2012/03/26	2.22	2.24	2.17	2.19	11859965	54653720.00
2012/03/27	2.20	2.20	2.15	2.16	12900989	59129640.00
2012/03/28	2.15	2.17	2.06	2.07	19778845	87591960.00
2012/03/29	2.07	2.09	2.04	2.06	12943955	56428128.00
2012/03/30	2.07	2.10	2.06	2.09	11344787	49721304.00
2012/04/05	2.10	2.15	2.08	2.15	16375016	73107584.00
2012/04/06	2.14	2.15	2.11	2.14	9569989	42797752.00
2012/04/09	2.12	2.21	2.09	2.16	22354049	101000240.00
2012/04/10	2.14	2.16	2.09	2.15	12871376	57459612.00
2012/04/11	2.12	2.16	2.11	2.14	9129025	40912252.00
2012/04/12	2.18	2.22	2.17	2.19	21016425	96615160.00
2012/04/13	2.18	2.21	2.18	2.20	14750099	67880992.00
2012/04/16	2.18	2.28	2.17	2.22	20117226	94111560.00
2012/04/17	2.22	2.23	2.16	2.17	14835648	67960496.00
2012/04/18	2.19	2.22	2.17	2.22	12646865	58436560.00
2012/04/19	2.21	2.24	2.20	2.21	11570683	53804840.00
2012/04/20	2.21	2.30	2.20	2.28	27995036	132584168.00
2012/04/23	2.27	2.33	2.25	2.29	24215394	116412400.00
2012/04/24	2.28	2.38	2.25	2.33	33672579	163663584.00
2012/04/25	2.33	2.35	2.28	2.35	28413057	137976288.00
2012/04/27	2.34	2.36	2.29	2.30	19498608	94434248.00
2012/05/02	2.33	2.36	2.26	2.33	30427163	147472208.00
2012/05/03	2.32	2.39	2.32	2.36	32730545	161992560.00
2012/05/04	2.36	2.37	2.33	2.35	13466048	66209556.00
2012/05/07	2.36	2.41	2.33	2.37	22881463	113352056.00
2012/05/08	2.36	2.37	2.31	2.35	17626656	85980552.00
2012/05/09	2.36	2.36	2.31	2.32	14336493	69815784.00
2012/05/10	2.34	2.36	2.30	2.32	9716737	47253048.00
2012/05/11	2.32	2.32	2.25	2.26	12682533	60485336.00
2012/05/14	2.27	2.29	2.21	2.21	12066849	56863596.00
2012/05/15	2.19	2.21	2.17	2.21	6819211	31327044.00
2012/05/16	2.19	2.20	2.17	2.17	7575698	34692220.00
2012/05/17	2.17	2.26	2.15	2.26	16508348	76929032.00
2012/05/18	2.23	2.26	2.20	2.21	12977287	60458196.00
2012/05/21	2.22	2.23	2.17	2.20	6101878	28151320.00
2012/05/22	2.21	2.25	2.20	2.24	9493503	44478816.00
2012/05/23	2.22	2.26	2.21	2.24	9368192	44054336.00
2012/05/24	2.23	2.31	2.23	2.31	18406693	88184792.00
2012/05/25	2.31	2.43	2.31	2.36	53270867	264924080.00
2012/05/28	2.37	2.41	2.34	2.39	27787534	138262576.00
2012/05/29	2.38	2.43	2.35	2.40	24137258	120918160.00
2012/05/30	2.39	2.41	2.36	2.38	12934307	64425432.00
2012/05/31	2.37	2.41	2.36	2.37	12157720	60534124.00
2012/06/01	2.38	2.42	2.35	2.36	14042713	70060984.00
2012/06/04	2.32	2.34	2.28	2.29	11511382	55779096.00
2012/06/05	2.31	2.53	2.29	2.44	31493700	160180288.00
2012/06/06	2.39	2.43	2.37	2.42	16793452	84127784.00
2012/06/07	2.44	2.44	2.37	2.41	12788670	64168264.00
2012/06/08	2.42	2.51	2.41	2.50	41664054	215235280.00
2012/06/11	2.48	2.49	2.37	2.45	29602329	150021168.00
2012/06/12	2.45	2.45	2.39	2.40	12716806	62621584.00
2012/06/13	2.42	2.49	2.40	2.47	18061787	90121464.00
2012/06/14	2.45	2.47	2.43	2.44	11130263	55587252.00
2012/06/15	2.44	2.46	2.40	2.43	9793061	48475616.00
2012/06/18	2.44	2.46	2.42	2.44	7305328	36415672.00
2012/06/19	2.44	2.47	2.43	2.44	7624670	38051692.00
2012/06/20	2.44	2.45	2.40	2.41	9978853	49313004.00
2012/06/21	2.41	2.44	2.36	2.36	9899213	48309696.00
2012/06/25	2.41	2.54	2.36	2.40	23722123	117380496.00
2012/06/26	2.40	2.54	2.32	2.52	56523595	283939936.00
2012/06/27	2.48	2.50	2.40	2.41	38892014	194447328.00
2012/06/28	2.38	2.41	2.34	2.34	18065988	87263928.00
2012/06/29	2.33	2.41	2.32	2.39	11275968	54291184.00
2012/07/02	2.39	2.41	2.37	2.38	9818818	47747544.00
2012/07/03	2.40	2.43	2.37	2.38	13363222	65432776.00
2012/07/04	2.38	2.40	2.33	2.35	8983968	43066416.00
2012/07/05	2.33	2.34	2.29	2.30	8630170	40640144.00
2012/07/06	2.33	2.38	2.30	2.36	8083706	38480352.00
2012/07/09	2.35	2.39	2.33	2.36	13150378	63537840.00
2012/07/10	2.37	2.40	2.36	2.40	15282432	74250424.00
2012/07/11	2.38	2.38	2.27	2.34	23459601	111213440.00
2012/07/12	2.30	2.39	2.29	2.37	11519677	55058892.00
2012/07/13	2.38	2.38	2.33	2.36	7194916	34560320.00
2012/07/16	2.36	2.39	2.31	2.33	7483607	35845492.00
2012/07/17	2.31	2.38	2.30	2.36	11451479	54859972.00
2012/07/18	2.33	2.40	2.28	2.38	36802491	177200624.00
2012/07/19	2.35	2.42	2.33	2.37	36328913	176889456.00
2012/07/20	2.36	2.36	2.23	2.31	33124463	154551312.00
2012/07/23	2.25	2.30	2.25	2.28	8210073	38149868.00
2012/07/24	2.26	2.28	2.20	2.28	16668433	76434168.00
2012/07/25	2.25	2.35	2.22	2.28	21924118	102624008.00
2012/07/26	2.25	2.27	2.20	2.20	13859147	63000280.00
2012/07/27	2.21	2.22	2.16	2.16	11111193	49632376.00
2012/07/30	2.16	2.18	2.11	2.11	7091034	31021706.00
2012/07/31	2.12	2.13	2.09	2.11	5040489	21766678.00
2012/08/01	2.11	2.15	2.11	2.14	4272573	18637504.00
2012/08/02	2.14	2.16	2.11	2.13	7676309	33421328.00
2012/08/03	2.12	2.14	2.10	2.14	7048435	30577308.00
2012/08/06	2.15	2.15	2.11	2.15	11486347	50140100.00
2012/08/07	2.15	2.17	2.13	2.16	12021486	52805056.00
2012/08/08	2.16	2.16	2.13	2.14	8850600	38833716.00
2012/08/09	2.14	2.19	2.13	2.18	13790543	61189252.00
2012/08/10	2.16	2.17	2.14	2.14	8662812	38109476.00
2012/08/13	2.14	2.16	2.12	2.13	7313347	31962418.00
2012/08/14	2.14	2.14	2.03	2.10	12001873	51042380.00
2012/08/15	2.09	2.09	2.06	2.07	4232765	17948876.00
2012/08/16	2.07	2.08	2.06	2.07	4816454	20419580.00
2012/08/17	2.07	2.07	2.03	2.07	6210651	26061382.00
2012/08/20	2.03	2.05	2.02	2.04	4813526	20022904.00
2012/08/21	2.04	2.06	2.03	2.05	4612505	19316696.00
2012/08/22	2.07	2.07	2.02	2.03	5202887	21692586.00
2012/08/23	2.03	2.05	2.01	2.03	3754441	15574444.00
2012/08/24	2.02	2.06	2.02	2.02	3990380	16592880.00
2012/08/27	2.01	2.01	1.96	1.98	4927343	20000356.00
2012/08/28	1.98	1.99	1.96	1.98	4132312	16733817.00
2012/08/29	1.97	1.99	1.90	1.90	8689115	34653632.00
2012/08/30	1.91	1.92	1.87	1.90	6704757	26057232.00
2012/08/31	1.90	1.93	1.89	1.90	3873683	15175901.00
2012/09/03	1.89	1.92	1.89	1.90	5194412	20297406.00
2012/09/04	1.91	1.91	1.86	1.87	5966278	22997382.00
2012/09/05	1.87	1.87	1.83	1.85	4858476	18455700.00
2012/09/06	1.85	1.89	1.85	1.89	3774723	14441134.00
2012/09/07	1.88	2.00	1.88	1.96	15198246	60865592.00
2012/09/10	1.96	1.97	1.95	1.96	7664473	30781054.00
2012/09/11	1.95	1.96	1.92	1.96	5097491	20311188.00
2012/09/12	1.98	2.02	1.96	1.98	8653106	35238120.00
2012/09/13	1.97	1.99	1.94	1.95	4900192	19730844.00
2012/09/14	1.96	1.98	1.94	1.95	7648226	30592826.00
2012/09/17	1.95	1.95	1.86	1.86	5727953	22388170.00
2012/09/18	1.86	1.88	1.84	1.86	4857325	18514758.00
2012/09/19	1.86	1.90	1.86	1.89	4928232	18976498.00
2012/09/20	1.90	1.93	1.86	1.87	6623566	25791898.00
2012/09/21	1.86	1.92	1.84	1.89	7504303	29188568.00
2012/09/24	1.86	1.88	1.83	1.87	8164674	31070728.00
2012/09/25	1.87	1.88	1.84	1.84	5362968	20445460.00
2012/09/26	1.85	1.86	1.78	1.79	6508272	24338304.00
2012/09/27	1.80	1.86	1.79	1.84	7261799	27272660.00
2012/09/28	1.83	1.88	1.82	1.87	9125822	34722716.00
2012/10/08	1.87	1.89	1.85	1.86	4525589	17311418.00
2012/10/09	1.87	1.91	1.86	1.91	9517738	37008448.00
2012/10/10	1.90	1.96	1.88	1.93	12245255	48295952.00
2012/10/11	1.92	1.92	1.89	1.89	5830985	22768656.00
2012/10/12	1.91	1.92	1.88	1.88	3695863	14352955.00
2012/10/15	1.88	1.89	1.86	1.87	3570587	13709431.00
2012/10/16	1.87	1.90	1.87	1.89	4621027	17882034.00
2012/10/17	1.91	1.91	1.88	1.90	4589183	17853060.00
2012/10/18	1.92	1.93	1.90	1.92	7019929	27625080.00
2012/10/19	1.93	1.98	1.92	1.95	13429075	53652760.00
2012/10/22	1.94	1.96	1.93	1.96	4721427	18845806.00
2012/10/23	1.97	1.97	1.92	1.93	6419064	25532980.00
2012/10/24	1.92	1.97	1.92	1.96	7908251	31682462.00
2012/10/25	1.96	2.11	1.95	2.01	26920439	111618592.00
2012/10/26	2.00	2.10	1.94	2.06	29930599	123860928.00
2012/10/29	2.04	2.18	1.99	2.10	33624395	143470080.00
2012/10/30	2.08	2.14	2.04	2.07	34304706	146478384.00
2012/10/31	2.07	2.13	2.00	2.03	23689744	99258472.00
2012/11/01	2.03	2.09	2.01	2.07	25219111	106165952.00
2012/11/02	2.06	2.11	2.02	2.10	24368399	102947464.00
2012/11/05	2.08	2.12	2.06	2.08	16541662	70683512.00
2012/11/06	2.09	2.09	2.01	2.02	13676791	56971724.00
2012/11/07	2.01	2.03	1.98	1.99	14371110	58878704.00
2012/11/08	1.98	2.01	1.96	1.96	10513664	42783616.00
2012/11/09	1.96	1.98	1.94	1.98	8139438	32646562.00
2012/11/12	1.98	2.00	1.96	1.99	7613423	30842004.00
2012/11/13	2.00	2.01	1.93	1.94	7578698	30543502.00
2012/11/14	1.96	1.98	1.94	1.98	8540254	34250320.00
2012/11/15	1.96	1.96	1.90	1.90	8590749	33979244.00
2012/11/16	1.92	1.92	1.86	1.87	8242344	31846464.00
2012/11/19	1.86	1.88	1.84	1.87	4297854	16404919.00
2012/11/20	1.87	1.89	1.83	1.83	6003812	22854466.00
2012/11/21	1.84	1.88	1.81	1.88	6994149	26464156.00
2012/11/22	1.86	1.87	1.84	1.85	3727050	14190746.00
2012/11/23	1.86	1.88	1.86	1.87	4852255	18600804.00
2012/11/26	1.86	1.86	1.84	1.85	3280802	12460771.00
2012/11/27	1.84	1.85	1.81	1.81	5280848	19741604.00
2012/11/28	1.81	1.82	1.80	1.81	4413941	16373882.00
2012/11/29	1.81	1.83	1.81	1.82	4349288	16250259.00
2012/11/30	1.82	1.85	1.81	1.84	5816604	21870698.00
2012/12/03	1.84	1.86	1.83	1.84	7095410	26905972.00
2012/12/04	1.85	1.86	1.82	1.86	6489170	24482052.00
2012/12/05	1.86	1.93	1.84	1.91	13787255	53787488.00
2012/12/06	1.91	1.92	1.89	1.90	11112242	43305228.00
2012/12/07	1.90	1.93	1.89	1.93	15395692	60404900.00
2012/12/10	1.93	1.94	1.92	1.94	14557484	57617048.00
2012/12/11	1.93	1.94	1.91	1.93	7831193	30883672.00
2012/12/12	1.93	1.94	1.92	1.93	6731714	26586442.00
2012/12/13	1.94	1.95	1.91	1.92	7657600	30330900.00
2012/12/14	1.92	2.02	1.92	2.00	31956192	129547968.00
2012/12/17	2.00	2.06	1.99	2.04	35944956	149488672.00
2012/12/18	2.03	2.08	2.00	2.02	20643362	86100280.00
2012/12/19	2.01	2.04	2.00	2.02	10069020	41558652.00
2012/12/20	2.00	2.06	2.00	2.03	16656702	69256072.00
2012/12/21	2.03	2.05	1.99	2.00	13968819	57632944.00
2012/12/24	2.00	2.02	1.99	2.00	8003822	32880432.00
2012/12/25	2.00	2.05	1.98	2.04	17204458	71612520.00
2012/12/26	2.04	2.05	2.02	2.04	14215524	59171472.00
2012/12/27	2.04	2.06	2.02	2.05	15449518	64502108.00
2012/12/28	2.05	2.05	2.03	2.05	11768415	49206476.00
2012/12/31	2.06	2.07	2.04	2.07	11775514	49622956.00
2013/01/04	2.07	2.08	2.02	2.05	16428903	69051904.00
2013/01/07	2.04	2.05	2.03	2.05	9694448	40517576.00
2013/01/08	2.04	2.07	2.03	2.05	13481744	56493080.00
2013/01/09	2.06	2.09	2.04	2.07	18936018	80204200.00
2013/01/10	2.07	2.13	2.07	2.10	26595154	114138880.00
2013/01/11	2.11	2.13	2.04	2.05	23591101	100782288.00
2013/01/14	2.04	2.10	2.02	2.09	17692998	74987128.00
2013/01/15	2.10	2.13	2.08	2.11	20766493	89739816.00
2013/01/16	2.11	2.14	2.08	2.12	16997155	73539448.00
2013/01/17	2.12	2.12	2.07	2.08	10093498	43103296.00
2013/01/18	2.09	2.12	2.08	2.11	13320568	57122376.00
2013/01/21	2.11	2.16	2.10	2.15	24744495	108387936.00
2013/01/22	2.17	2.17	2.09	2.11	21781997	94813232.00
2013/01/23	2.10	2.13	2.08	2.10	9120173	39211256.00
2013/01/24	2.11	2.13	2.06	2.07	13381714	57419816.00
2013/01/25	2.07	2.09	2.04	2.06	9135454	38476080.00
2013/01/28	2.07	2.10	2.06	2.10	14655839	62527496.00
2013/01/29	2.09	2.12	2.08	2.10	10689392	45881472.00
