600223 鲁商置业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.63	6.70	6.42	6.46	2964493	19476160.00
2011/10/11	6.62	6.70	5.90	6.04	5592844	35076720.00
2011/10/12	6.01	6.25	5.88	6.15	5389607	32655044.00
2011/10/13	6.15	6.22	6.10	6.16	3538624	21806452.00
2011/10/14	6.19	6.24	6.00	6.05	2891252	17592450.00
2011/10/17	6.06	6.09	5.99	6.06	3559942	21486606.00
2011/10/18	6.02	6.06	5.75	5.76	3119199	18377656.00
2011/10/19	5.75	5.79	5.57	5.62	3015135	16996504.00
2011/10/20	5.60	5.72	5.42	5.45	3079653	17025842.00
2011/10/21	5.39	5.49	5.34	5.39	2830963	15313905.00
2011/10/24	5.44	5.53	5.20	5.40	3733353	20147830.00
2011/10/25	5.41	5.62	5.33	5.58	3884432	21398952.00
2011/10/26	5.52	5.74	5.35	5.68	6045571	34169456.00
2011/10/27	5.69	5.80	5.65	5.69	3286291	18800704.00
2011/10/28	5.75	6.01	5.72	5.85	4729470	27842568.00
2011/10/31	5.83	5.92	5.76	5.84	2704683	15776323.00
2011/11/01	5.80	5.84	5.70	5.75	3099851	17843504.00
2011/11/02	5.66	5.88	5.63	5.85	4350714	24966428.00
2011/11/03	5.87	5.96	5.82	5.89	3956817	23343984.00
2011/11/04	5.91	5.97	5.86	5.94	2754653	16297504.00
2011/11/07	5.95	5.98	5.82	5.82	1770657	10462322.00
2011/11/08	5.85	5.85	5.60	5.65	3902575	22288036.00
2011/11/09	5.66	5.75	5.50	5.75	3691823	20822452.00
2011/11/10	5.67	5.70	5.48	5.52	2863736	16082437.00
2011/11/11	5.53	5.58	5.46	5.50	6407162	35276376.00
2011/11/14	5.54	5.68	5.52	5.68	5393167	30235572.00
2011/11/15	5.66	5.66	5.54	5.66	4658179	26096664.00
2011/11/16	5.67	5.68	5.49	5.54	5617684	31320472.00
2011/11/17	5.56	5.57	5.44	5.46	4895519	26881192.00
2011/11/18	5.44	5.44	5.10	5.18	5571935	29298156.00
2011/11/21	5.21	5.21	4.99	5.05	5936238	29920612.00
2011/11/22	5.03	5.06	4.96	5.04	2703741	13575908.00
2011/11/23	5.06	5.07	4.96	4.96	2436012	12185762.00
2011/11/24	4.93	5.07	4.85	4.98	4967246	24589592.00
2011/11/25	4.97	4.98	4.81	4.86	5750536	28046600.00
2011/11/28	4.87	4.94	4.76	4.80	3405910	16424100.00
2011/11/29	4.81	4.88	4.76	4.85	3766200	18188392.00
2011/11/30	4.87	4.87	4.59	4.63	4992326	23545432.00
2011/12/01	4.88	4.96	4.72	4.83	11787323	57489588.00
2011/12/02	4.76	4.79	4.66	4.69	4928960	23242692.00
2011/12/05	4.69	4.72	4.55	4.58	4231357	19419680.00
2011/12/06	4.53	4.61	4.48	4.55	5975808	27125864.00
2011/12/07	4.56	4.56	4.46	4.50	3619405	16334114.00
2011/12/08	4.50	4.60	4.33	4.56	7701088	34627416.00
2011/12/09	4.53	4.88	4.50	4.71	15998538	75539264.00
2011/12/12	4.69	4.77	4.61	4.63	4962778	23234616.00
2011/12/13	4.60	4.65	4.42	4.45	4057146	18395956.00
2011/12/14	4.40	4.54	4.30	4.46	3373685	15060396.00
2011/12/15	4.37	4.63	4.37	4.45	3720546	16899882.00
2011/12/16	4.41	4.61	4.37	4.60	4193434	18890132.00
2011/12/19	4.55	4.59	4.41	4.53	3496140	15760876.00
2011/12/20	4.49	4.75	4.49	4.67	7300907	34190504.00
2011/12/21	4.68	4.74	4.57	4.59	3136285	14597514.00
2011/12/22	4.52	4.57	4.27	4.50	3900995	17247296.00
2011/12/23	4.45	4.70	4.43	4.58	4926913	22622372.00
