600227 赤天化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.06	5.08	4.99	5.01	2647317	13465257.00
2011/10/11	5.14	5.19	4.98	5.04	3989403	20479344.00
2011/10/12	5.02	5.23	4.98	5.20	6873704	35760472.00
2011/10/13	5.19	5.28	5.16	5.24	6150852	32545410.00
2011/10/14	5.24	5.28	5.16	5.24	5619421	29674748.00
2011/10/17	5.24	5.29	5.21	5.23	4574670	24246312.00
2011/10/18	5.19	5.21	5.01	5.03	5305959	27407156.00
2011/10/19	5.04	5.08	4.98	5.01	3584674	18214224.00
2011/10/20	5.01	5.01	4.84	4.87	6771896	33634196.00
2011/10/21	4.89	4.91	4.80	4.80	3074991	15056897.00
2011/10/24	4.81	4.90	4.73	4.90	4712409	23046004.00
2011/10/25	4.90	5.02	4.85	5.00	7696835	38582816.00
2011/10/26	4.98	5.06	4.93	5.00	8400292	42495596.00
2011/10/27	5.00	5.04	4.95	5.01	5805414	29370310.00
2011/10/28	5.07	5.10	5.03	5.10	8898717	45600176.00
2011/10/31	5.09	5.21	5.04	5.18	11006230	57077876.00
2011/11/01	5.12	5.40	5.11	5.36	19668391	104459424.00
2011/11/02	5.24	5.33	5.20	5.32	21599615	114907288.00
2011/11/03	5.32	5.35	5.25	5.26	14690870	78778928.00
2011/11/04	5.27	5.31	5.21	5.26	8345358	44395136.00
2011/11/07	5.25	5.37	5.22	5.27	8584206	45996544.00
2011/11/08	5.26	5.33	5.15	5.15	6457929	34215236.00
2011/11/09	5.19	5.23	5.09	5.21	5654344	29547432.00
2011/11/10	5.14	5.18	5.07	5.08	7223534	37392496.00
2011/11/11	5.10	5.12	5.05	5.08	4151417	21357640.00
2011/11/14	5.11	5.21	5.11	5.19	6180101	32338356.00
2011/11/15	5.19	5.25	5.15	5.24	6865048	36147296.00
2011/11/16	5.24	5.25	5.06	5.09	7810639	40567744.00
2011/11/17	5.08	5.12	5.04	5.06	5451533	27992084.00
2011/11/18	5.04	5.04	4.91	4.93	6952810	34864084.00
2011/11/21	4.94	5.00	4.92	4.98	3701659	18559488.00
2011/11/22	4.92	4.95	4.88	4.93	3471230	17266380.00
2011/11/23	4.96	4.97	4.84	4.85	3382334	16772977.00
2011/11/24	4.85	4.86	4.75	4.82	3903326	18956304.00
