600228 昌九生化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	12.45	12.95	12.35	12.44	12477712	158253600.00
2011/10/11	12.60	12.92	12.30	12.80	10880188	137218880.00
2011/10/12	12.72	12.93	12.53	12.77	8963273	114518424.00
2011/10/13	12.73	13.14	12.70	12.94	8432308	108923592.00
2011/10/14	13.01	13.15	12.83	12.93	6330263	82257456.00
2011/10/17	12.93	12.93	12.50	12.82	6671860	84964512.00
2011/10/18	12.74	13.03	12.68	12.79	4550451	58573260.00
2011/10/19	12.66	12.95	12.61	12.93	2886064	36957028.00
2011/10/20	12.91	13.22	12.71	13.19	7070452	92293712.00
2011/10/21	13.20	13.30	12.69	12.76	9009167	116495472.00
2011/10/24	12.20	12.50	12.12	12.12	7391510	89940832.00
2011/10/25	11.92	12.72	11.92	12.72	6028336	74707800.00
2011/10/26	12.61	13.05	12.61	12.88	5142691	66267484.00
2011/10/27	12.92	13.07	12.72	12.81	2685882	34437644.00
2011/10/28	12.85	12.93	12.72	12.88	2622641	33592528.00
2011/10/31	12.96	13.10	12.80	12.90	3935270	51013892.00
2011/11/01	12.82	13.10	12.81	13.08	3196263	41389904.00
2011/11/02	13.02	13.73	12.95	13.72	6686962	90079360.00
2011/11/03	14.00	14.11	13.53	13.79	3983915	54764912.00
2011/11/04	13.80	14.45	13.60	13.70	7681497	107638360.00
2011/11/07	13.70	13.85	13.11	13.76	5807668	78557504.00
2011/11/08	13.85	14.45	13.68	14.33	7515931	106670856.00
2011/11/09	14.31	14.45	13.90	14.34	5880762	83350848.00
2011/11/10	14.20	14.86	14.11	14.46	6147490	89348600.00
2011/11/11	14.31	15.18	14.31	15.18	6252682	93752448.00
2011/12/02	14.42	14.42	14.42	14.42	278900	4021738.00
2011/12/05	13.70	13.70	13.70	13.70	9200	126040.00
2011/12/06	13.02	13.02	13.02	13.02	180800	2354016.00
2011/12/07	12.37	12.37	12.37	12.37	1679200	20771704.00
2011/12/08	11.75	11.75	11.75	11.75	153100	1798925.00
2011/12/13	11.16	11.16	11.16	11.16	1809900	20198484.00
2011/12/14	10.60	10.60	10.60	10.60	622200	6595320.00
2011/12/15	10.07	10.07	10.07	10.07	152800	1538696.00
2011/12/16	9.57	9.57	9.57	9.57	595900	5702763.00
2011/12/19	9.09	9.09	9.09	9.09	1211300	11010717.00
2011/12/20	8.64	8.64	8.64	8.64	504400	4358016.00
2011/12/21	8.21	8.98	8.21	8.36	33031352	274301888.00
2011/12/22	7.94	8.00	7.94	7.94	3428900	27232880.00
