600229 青岛碱业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	7.16	7.23	7.05	7.15	7279093	51946232.00
2011/10/11	7.37	7.53	7.13	7.28	13889682	102046120.00
2011/10/12	7.23	7.66	7.05	7.60	19654974	147066000.00
2011/10/13	7.51	7.74	7.45	7.60	14339792	108920384.00
2011/10/14	7.59	8.00	7.51	7.72	18817585	146290688.00
2011/10/17	7.68	7.75	7.51	7.61	13337504	101712976.00
2011/10/18	7.52	7.54	7.12	7.13	13332615	97190144.00
2011/10/19	7.14	7.28	7.06	7.18	8042735	57840328.00
2011/10/20	7.15	7.15	6.80	6.88	9630766	66700104.00
2011/10/21	6.82	6.92	6.54	6.59	6700575	44811056.00
2011/10/24	6.62	6.89	6.35	6.83	9809793	65236264.00
2011/10/25	6.75	7.10	6.75	7.00	11463288	79680440.00
2011/10/26	6.89	7.08	6.85	6.98	10878510	75932720.00
2011/10/27	6.98	7.10	6.90	6.97	9318509	65110008.00
2011/10/28	7.05	7.14	6.99	7.11	13451587	95062216.00
2011/10/31	7.06	7.19	7.05	7.11	9253365	65794748.00
2011/11/01	7.01	7.28	6.98	7.25	16043995	115058016.00
2011/11/02	7.09	7.25	7.01	7.20	13457232	96057528.00
2011/11/03	7.21	7.40	7.15	7.22	16218895	118000456.00
2011/11/04	7.24	7.34	7.18	7.28	11071631	80361696.00
2011/11/07	7.27	7.65	7.21	7.40	24460580	182218256.00
2011/11/08	7.33	7.58	7.31	7.40	18447698	137553696.00
2011/11/09	7.36	7.43	7.08	7.35	16245825	117741208.00
2011/11/10	7.22	7.39	7.12	7.17	10867018	78864520.00
2011/11/11	7.19	7.22	7.01	7.06	11026052	78100712.00
2011/11/14	7.10	7.22	7.09	7.21	9771482	70034592.00
2011/11/15	7.21	7.36	7.15	7.33	13062446	94928048.00
2011/11/16	7.30	7.88	7.29	7.73	50427379	384363392.00
2011/11/17	7.61	7.93	7.42	7.87	40451386	310979552.00
2011/11/18	7.70	7.98	7.64	7.87	36048002	281684512.00
2011/11/21	7.80	8.03	7.71	7.92	24518555	193537312.00
2011/11/22	7.81	8.17	7.52	8.06	36382200	286455968.00
2011/11/23	8.26	8.26	7.72	7.74	31604282	252447408.00
2011/11/24	7.54	7.92	7.52	7.89	20206973	156067488.00
2011/11/25	7.82	7.96	7.63	7.65	16484259	128508512.00
2011/11/28	7.61	7.77	7.50	7.68	11225392	86003568.00
2011/11/29	7.76	8.45	7.68	8.40	55004688	450257120.00
2011/11/30	8.20	8.68	8.06	8.49	70530254	590388288.00
2011/12/01	8.65	9.18	8.33	8.79	74091794	644376832.00
2011/12/02	8.75	8.75	8.16	8.26	38109410	321046592.00
2011/12/05	8.20	8.56	8.14	8.22	27078871	226321648.00
2011/12/06	8.09	8.10	7.58	7.88	25511026	199663856.00
2011/12/07	7.80	8.14	7.66	8.11	26022263	205378240.00
2011/12/08	8.12	8.38	7.85	8.21	27401067	223441904.00
2011/12/09	8.05	8.21	7.85	7.89	14850704	118987992.00
2011/12/12	7.87	8.09	7.63	7.65	16495378	129224528.00
2011/12/13	7.45	7.45	6.89	6.90	25330750	178555936.00
2011/12/14	6.72	6.94	6.40	6.57	15484118	103285344.00
2011/12/15	6.53	6.65	6.45	6.54	11701523	76855504.00
2011/12/16	6.57	6.75	6.28	6.72	14118741	92437672.00
2011/12/19	6.66	6.66	6.30	6.52	11351127	73607008.00
2011/12/20	6.48	6.79	6.45	6.62	14393648	95829024.00
2011/12/21	6.70	6.74	6.31	6.32	12324567	80463496.00
2011/12/22	6.00	6.18	5.70	5.95	12935841	76402032.00
2011/12/23	5.86	6.09	5.82	5.93	8745888	52398368.00
2011/12/26	5.86	6.15	5.86	6.06	9281033	55824472.00
2011/12/27	6.02	6.04	5.68	5.71	8040111	47094968.00
2011/12/28	5.60	5.70	5.43	5.64	9185237	50979256.00
2011/12/29	5.61	5.75	5.55	5.56	6551936	36947388.00
2011/12/30	5.61	5.71	5.55	5.69	6879999	38898184.00
2012/01/04	5.75	5.81	5.44	5.45	7548903	42867756.00
2012/01/05	5.45	5.49	4.95	5.01	9691886	50048176.00
2012/01/06	5.00	5.14	4.87	5.08	7141810	35660256.00
2012/01/09	5.09	5.46	5.00	5.41	11830647	62382496.00
2012/01/10	5.41	5.95	5.35	5.95	29918215	172382224.00
2012/01/11	5.88	6.20	5.81	6.17	29634040	178148976.00
2012/01/12	6.08	6.65	6.02	6.10	27838802	174657632.00
2012/01/13	5.99	6.11	5.83	5.99	19932839	118771568.00
2012/01/16	5.87	5.96	5.73	5.83	8107224	47246692.00
2012/01/17	5.88	6.24	5.83	6.19	24476897	148065056.00
2012/01/18	6.19	6.27	5.97	6.03	20004112	122515792.00
2012/01/19	6.04	6.12	5.92	6.08	10186749	61511288.00
2012/01/20	6.11	6.15	5.92	5.94	11658703	69898272.00
2012/01/30	5.96	5.97	5.80	5.84	6271652	36955896.00
2012/01/31	5.85	5.96	5.81	5.94	5564599	32849852.00
2012/02/01	5.90	6.04	5.88	5.90	7144512	42489212.00
2012/02/02	5.95	6.03	5.84	6.02	8063685	47889132.00
2012/02/03	5.97	6.47	5.97	6.32	25394867	158485568.00
2012/02/06	6.35	6.95	6.22	6.95	54694494	367115904.00
2012/02/07	6.80	6.97	6.77	6.93	32608620	223734144.00
2012/02/08	6.87	7.55	6.82	7.51	63349427	461541312.00
2012/02/15	7.52	7.85	7.29	7.51	58971883	444704640.00
2012/02/16	7.51	7.64	7.35	7.47	40236018	302339872.00
2012/02/17	7.40	7.51	7.15	7.31	25552221	187152320.00
2012/02/20	7.35	7.50	7.16	7.18	30595328	224494944.00
2012/02/21	7.16	7.44	7.06	7.35	26985054	195992656.00
2012/02/22	7.30	7.44	7.23	7.39	25229670	185066640.00
2012/02/23	7.40	7.40	7.21	7.25	21437202	156458352.00
2012/02/24	7.22	7.41	7.20	7.36	21381487	156107232.00
2012/02/27	7.41	7.80	7.34	7.42	40359380	304167328.00
2012/02/28	7.30	7.39	7.12	7.20	19989730	144612176.00
2012/02/29	7.21	7.62	7.21	7.24	20844908	154215216.00
2012/03/01	7.14	7.30	7.06	7.24	11041449	79509384.00
2012/03/02	7.24	7.40	7.24	7.38	15634622	114760352.00
2012/03/05	7.43	7.58	7.40	7.51	22962583	171991872.00
2012/03/06	7.51	7.53	7.23	7.30	13791004	101138384.00
2012/03/07	7.13	7.32	7.11	7.16	12897465	92852344.00
2012/03/08	7.18	7.35	7.18	7.27	10154177	73714424.00
2012/03/09	7.31	7.70	7.26	7.55	29209135	219214560.00
2012/03/12	7.50	7.76	7.41	7.67	29193700	221478832.00
2012/03/13	7.61	8.44	7.51	8.44	66111992	541535296.00
2012/03/14	8.49	8.88	8.01	8.28	85871809	724590016.00
2012/03/15	8.21	8.46	8.02	8.21	48930061	405917984.00
2012/03/16	8.06	8.35	7.75	8.10	38670690	311288000.00
2012/03/19	8.10	8.25	7.88	8.18	23627675	191601648.00
