600230 沧州大化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	10.02	10.02	9.80	9.90	281271	2837121.00
2011/10/11	10.10	10.24	9.72	9.78	423328	4286146.00
2011/10/12	9.71	10.03	9.53	9.99	916042	9266055.00
2011/10/13	10.02	10.13	9.95	10.04	851732	8728145.00
2011/10/14	10.08	10.08	9.91	9.98	647957	6610025.00
2011/10/17	9.98	10.15	9.94	10.00	549163	5618205.00
2011/10/18	9.91	9.99	9.65	9.72	634028	6330389.00
2011/10/19	9.70	9.75	9.55	9.56	367789	3617230.00
2011/10/20	9.56	9.66	9.12	9.16	803830	7569080.00
2011/10/21	9.20	9.20	8.52	8.66	936260	8415318.00
2011/10/24	8.64	8.85	8.50	8.84	760933	6763305.00
2011/10/25	8.91	9.01	8.73	8.99	708323	6458385.00
2011/10/26	8.92	9.13	8.89	9.00	1158455	10652970.00
2011/10/27	9.01	9.30	8.96	9.25	1092993	10156487.00
2011/10/28	9.20	9.35	9.15	9.34	1521304	14359596.00
2011/10/31	9.34	9.34	9.18	9.27	721679	6822113.00
2011/11/01	9.15	9.35	9.15	9.27	623678	5893003.00
2011/11/02	9.00	9.32	8.97	9.32	1293727	12112303.00
2011/11/03	9.37	9.57	9.36	9.41	2093705	20241396.00
2011/11/04	9.41	9.66	9.36	9.65	1380313	13472306.00
2011/11/07	9.75	9.80	9.59	9.77	1408616	13889577.00
2011/11/08	10.34	10.34	9.40	9.50	2608630	26020750.00
2011/11/09	9.35	9.56	9.31	9.53	1122311	10808553.00
2011/11/10	9.41	9.61	9.33	9.52	912902	8831949.00
2011/11/11	9.59	9.65	9.35	9.41	951338	9169819.00
2011/11/14	9.42	9.59	9.41	9.59	1003606	9767902.00
2011/11/15	9.58	9.83	9.52	9.76	2063023	20496412.00
2011/11/16	9.83	9.83	9.38	9.48	1078576	10530974.00
2011/11/17	9.45	9.51	9.35	9.43	506598	4879756.00
2011/11/18	9.32	9.40	8.96	8.99	1000968	9330834.00
2011/11/21	9.10	9.10	8.86	8.95	695057	6346303.00
2011/11/22	8.86	8.95	8.78	8.93	687910	6234939.00
2011/11/23	8.88	8.97	8.85	8.93	490396	4472557.00
2011/11/24	8.85	8.97	8.79	8.88	383250	3475631.00
2011/11/25	8.92	8.99	8.86	8.89	481735	4405079.00
2011/11/28	8.90	9.00	8.86	8.97	381803	3490453.00
2011/11/29	9.05	9.18	8.94	9.16	742789	6900057.00
2011/11/30	9.11	9.18	8.69	9.04	1079163	9789343.00
2011/12/01	9.17	9.35	9.05	9.21	1586190	14934282.00
2011/12/02	9.10	9.15	8.80	8.99	588037	5377140.00
2011/12/05	8.92	9.02	8.50	8.52	987683	8740065.00
2011/12/06	8.60	8.60	8.45	8.49	338422	2950139.00
2011/12/07	8.50	8.56	8.48	8.50	259755	2263785.00
2011/12/08	8.52	8.60	8.30	8.51	361203	3135315.00
2011/12/09	8.59	8.59	8.42	8.46	206146	1788391.00
2011/12/12	8.55	8.55	8.21	8.26	295100	2524938.00
2011/12/13	8.08	8.18	7.86	7.90	662891	5410008.00
2011/12/14	7.90	7.92	7.73	7.73	343505	2768970.00
2011/12/15	7.77	7.77	7.40	7.42	436494	3372166.00
2011/12/16	7.44	7.75	7.35	7.74	466311	3612565.00
2011/12/19	7.61	8.00	7.53	7.98	713997	5713638.00
2011/12/20	8.08	8.37	7.25	7.86	1226697	10043731.00
2011/12/21	7.82	7.97	7.50	7.53	722545	5693491.00
2011/12/22	7.50	7.50	7.20	7.31	503520	3791209.00
2011/12/23	7.21	7.60	7.21	7.50	435521	3334397.00
2011/12/26	7.50	7.55	7.43	7.45	276201	2118977.00
2011/12/27	7.53	7.53	7.33	7.34	220849	1678517.00
2011/12/28	7.25	7.37	7.20	7.30	279059	2079888.00
2011/12/29	7.22	7.45	7.22	7.24	287042	2158634.00
2012/01/04	7.48	7.48	7.00	7.18	812186	6103198.00
2012/01/05	7.01	7.08	6.84	6.88	604589	4317412.00
2012/01/06	6.89	6.96	6.60	6.87	496597	3439266.00
2012/01/09	6.99	7.21	6.61	7.18	638319	4636958.00
2012/01/10	7.20	7.54	7.18	7.53	1246298	9485704.00
2012/01/11	7.50	7.77	7.46	7.59	847331	6629860.00
2012/01/12	7.53	7.76	7.45	7.62	722243	5661214.00
2012/01/13	7.64	7.65	7.30	7.35	531873	4051763.00
2012/01/16	7.32	7.37	7.05	7.12	270800	2005264.00
2012/01/17	7.12	7.55	7.05	7.52	647604	4858823.00
2012/01/18	7.60	7.74	7.45	7.50	932146	7246515.00
2012/01/19	7.54	7.64	7.42	7.55	483892	3740041.00
2012/01/20	7.62	7.78	7.52	7.72	593967	4652485.00
2012/01/30	7.80	7.82	7.63	7.65	621154	4925176.00
2012/01/31	7.70	7.72	7.56	7.71	216341	1697371.00
2012/02/01	7.71	7.87	7.62	7.66	511583	4047490.00
2012/02/02	7.70	7.84	7.66	7.83	496749	3955611.00
2012/02/03	7.81	7.98	7.81	7.97	652430	5294369.00
2012/02/06	8.03	8.37	8.03	8.24	1949864	16468531.00
2012/02/07	8.21	8.21	7.87	7.91	1063126	8711559.00
2012/02/08	7.96	8.18	7.87	8.16	1053282	8656353.00
2012/02/09	8.07	8.29	8.07	8.15	815306	6825435.00
2012/02/10	8.05	8.60	7.98	8.39	2254026	19231122.00
2012/02/13	8.38	8.89	8.29	8.59	3553825	31364370.00
2012/02/14	8.55	8.55	8.40	8.45	1406470	12165811.00
2012/02/15	8.40	8.54	8.36	8.52	1331726	11548754.00
2012/02/16	8.45	8.78	8.43	8.70	1960038	17236826.00
2012/02/17	8.66	8.78	8.50	8.52	1600449	14115402.00
2012/02/20	8.69	8.69	8.48	8.49	1589293	13934423.00
2012/02/21	8.43	8.52	8.23	8.46	1373683	11767407.00
2012/02/22	8.45	8.60	8.41	8.58	1321877	11528157.00
2012/02/23	8.56	8.68	8.51	8.55	1311691	11527686.00
2012/02/24	8.54	8.66	8.45	8.66	1942682	17024992.00
2012/02/27	8.70	8.86	8.62	8.68	2365776	21203836.00
2012/02/28	8.60	8.64	8.44	8.56	1391342	12135451.00
2012/02/29	8.56	8.63	8.37	8.39	1659301	14444051.00
2012/03/02	8.41	8.63	8.41	8.61	1380289	12052387.00
2012/03/05	8.58	8.97	8.58	8.89	3360619	30496378.00
2012/03/06	8.87	8.92	8.62	8.78	1753995	15673732.00
2012/03/07	8.66	8.95	8.60	8.77	1408066	12725254.00
2012/03/08	8.77	9.08	8.77	9.03	1816126	16660474.00
2012/03/09	9.00	9.42	8.94	9.37	4964636	46782696.00
2012/03/12	9.35	9.46	9.23	9.42	2883496	27489346.00
2012/03/13	9.42	10.33	9.42	10.10	7823917	79781912.00
2012/03/14	10.07	10.25	9.42	9.52	4879583	49169944.00
2012/03/15	9.52	9.69	9.12	9.30	3059359	29215264.00
2012/03/16	9.32	9.56	9.25	9.54	3741189	35884664.00
2012/03/19	9.47	9.59	9.23	9.59	1904019	18298280.00
2012/03/20	9.59	9.64	9.12	9.17	1386449	13200269.00
2012/03/21	9.17	9.39	8.95	9.31	1310100	12333555.00
2012/03/22	9.30	9.34	9.09	9.23	822597	7729821.00
2012/03/23	9.24	9.40	9.06	9.09	1405801	13297660.00
2012/03/26	9.23	9.72	9.10	9.58	3043345	29549972.00
2012/03/27	9.54	9.66	9.15	9.38	2142627	20508186.00
2012/03/28	9.30	9.30	8.42	8.48	2988069	26545800.00
2012/03/29	8.31	8.44	7.80	8.08	1641394	13695365.00
2012/03/30	8.04	8.19	7.92	8.07	713644	5881224.00
2012/04/05	8.04	8.33	8.04	8.32	998868	8411475.00
2012/04/06	8.30	8.50	8.16	8.35	721365	6164626.00
2012/04/09	8.30	8.50	8.18	8.36	737847	6338566.00
2012/04/10	8.39	8.59	8.11	8.58	749860	6425738.00
2012/04/11	8.41	8.58	8.26	8.41	1479374	12691180.00
2012/04/12	8.42	8.52	8.16	8.50	2589273	22167338.00
2012/04/13	8.80	8.80	8.31	8.65	2534465	22237868.00
2012/04/16	8.53	8.66	8.51	8.59	1084088	9524344.00
2012/04/17	8.57	8.64	8.20	8.23	2036453	17475808.00
2012/04/18	8.28	8.62	8.27	8.60	2238485	19380472.00
2012/04/19	9.48	9.48	9.48	9.48	2358141	22756060.00
2012/04/20	9.98	10.31	9.81	9.88	11886678	120465360.00
2012/04/23	9.93	10.81	9.73	10.47	11494812	120197216.00
2012/04/24	10.23	10.80	9.85	10.68	8952552	93796184.00
