600232 金鹰股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.34	6.35	6.21	6.24	2145437	13979464.00
2011/10/11	6.44	6.49	6.19	6.33	3363043	22210328.00
2011/10/12	6.33	6.64	6.21	6.62	5352769	36200100.00
2011/10/13	6.72	6.86	6.64	6.80	7135633	50093448.00
2011/10/14	6.75	6.79	6.64	6.75	4130993	28737464.00
2011/10/17	6.75	6.97	6.67	6.79	4614247	32724932.00
2011/10/18	6.73	6.73	6.32	6.33	5427426	36731908.00
2011/10/19	6.29	6.44	6.24	6.38	3268676	21611952.00
2011/10/20	6.32	6.41	6.05	6.12	3555585	22822900.00
2011/10/21	6.12	6.17	5.90	5.93	2731358	17139406.00
2011/10/24	5.91	6.07	5.82	6.06	3813744	23859148.00
2011/10/25	6.07	6.27	6.06	6.22	4858439	31359516.00
2011/10/26	6.19	6.40	6.12	6.26	5973781	39071840.00
2011/10/27	6.29	6.37	6.20	6.27	4996031	32730496.00
2011/10/28	6.35	6.68	6.27	6.53	10347606	69786976.00
2011/10/31	6.46	6.54	6.42	6.48	5897346	39693176.00
2011/11/01	6.39	6.50	6.36	6.43	4331110	28972044.00
2011/11/02	6.31	6.48	6.19	6.47	6532141	42890160.00
2011/11/03	6.49	6.78	6.44	6.74	11932913	82193272.00
2011/11/04	6.85	7.06	6.79	6.85	12536178	89742832.00
2011/11/07	6.91	7.53	6.74	7.34	20375100	151916096.00
2011/11/08	7.21	7.51	7.12	7.16	12973396	97947296.00
2011/11/09	7.27	7.53	7.11	7.29	14018758	105954792.00
2011/11/10	7.18	7.26	6.87	6.88	11543389	83795312.00
2011/11/11	6.88	6.98	6.70	6.74	6660685	47323516.00
2011/11/14	6.86	7.02	6.84	6.95	6281166	45276664.00
2011/11/15	6.94	7.09	6.85	7.01	6688390	48367040.00
2011/11/16	7.00	7.00	6.72	6.74	6037404	42838864.00
2011/11/17	6.76	6.89	6.74	6.79	3686508	26021050.00
2011/11/18	6.77	6.77	6.39	6.48	5105560	34887420.00
2011/11/21	6.48	6.59	6.42	6.57	2269534	15358408.00
2011/11/22	6.49	6.60	6.43	6.52	2825140	19130672.00
2011/11/23	6.54	6.57	6.39	6.40	2449462	16471169.00
2011/11/24	6.33	6.47	6.25	6.37	2567270	16943508.00
2011/11/25	6.35	6.50	6.33	6.42	3132078	20845004.00
2011/11/28	6.44	6.57	6.41	6.56	4275090	28876460.00
2011/11/29	6.64	6.66	6.50	6.63	3898918	26772148.00
2011/11/30	6.63	6.63	5.99	6.10	5475541	35740248.00
2011/12/01	6.34	6.58	6.20	6.26	7007874	46179844.00
2011/12/02	6.10	6.44	6.09	6.11	3232848	20866068.00
2011/12/05	6.13	6.14	5.83	5.84	3062847	18887318.00
2011/12/06	5.83	5.90	5.77	5.90	1730779	10578253.00
2011/12/07	5.89	5.98	5.88	5.93	1991891	12347853.00
2011/12/08	5.94	5.99	5.80	5.88	2327008	14303713.00
2011/12/09	5.82	5.94	5.81	5.85	1580523	9684520.00
2011/12/12	5.89	5.90	5.77	5.80	1652191	10046142.00
2011/12/13	5.78	5.78	5.23	5.30	4941911	28051304.00
2011/12/14	5.24	5.37	5.09	5.09	2396126	13121378.00
2011/12/15	5.08	5.08	4.80	4.86	4153689	21339884.00
2011/12/16	4.86	5.08	4.86	5.04	2892010	15057237.00
2011/12/19	4.97	5.12	4.90	5.07	3693623	19488786.00
2011/12/20	5.05	5.20	5.02	5.09	3309276	17832196.00
2011/12/21	5.18	5.19	4.74	4.77	2841609	14865163.00
2011/12/22	4.74	4.74	4.37	4.62	4231511	20371732.00
2011/12/23	4.62	4.77	4.55	4.69	2721694	13471289.00
2011/12/26	4.69	4.94	4.64	4.77	3971166	19963018.00
2011/12/27	4.74	4.79	4.51	4.52	2483112	12169171.00
2011/12/28	4.51	4.57	4.37	4.53	2686948	12712489.00
2011/12/29	4.53	4.59	4.48	4.50	2602037	12471044.00
2011/12/30	4.53	4.64	4.53	4.63	2157753	10464701.00
2012/01/04	4.67	4.70	4.47	4.48	2122902	10319705.00
2012/01/05	4.47	4.49	4.24	4.24	2592465	12009718.00
2012/01/06	4.25	4.32	4.15	4.31	1636752	7345409.00
2012/01/09	4.25	4.65	4.25	4.55	3707870	17659228.00
2012/01/10	4.53	4.76	4.49	4.74	5344512	26396388.00
2012/01/11	4.74	4.98	4.67	4.84	6020889	30690852.00
2012/01/12	4.78	4.93	4.75	4.82	4069394	20771304.00
2012/01/13	4.75	4.89	4.59	4.64	3995787	19904748.00
2012/01/16	4.59	4.62	4.47	4.48	2168311	10425235.00
2012/01/17	4.48	4.80	4.43	4.77	3603144	17703086.00
2012/01/18	4.78	4.84	4.63	4.65	3180188	15904142.00
2012/01/19	4.72	4.77	4.59	4.67	2493881	12310221.00
2012/01/20	4.69	4.74	4.67	4.74	2340823	11646617.00
2012/01/30	4.75	4.84	4.72	4.73	2796536	14075578.00
2012/01/31	4.73	4.76	4.67	4.76	1706087	8488850.00
2012/02/01	4.74	5.03	4.72	4.93	8522745	43931404.00
2012/02/02	4.91	4.94	4.75	4.93	5514244	28267796.00
2012/02/03	4.90	5.02	4.85	4.99	5134545	26808698.00
2012/02/06	5.03	5.07	4.93	5.03	5370650	28281068.00
2012/02/07	5.04	5.04	4.84	4.89	4221898	21810328.00
2012/02/08	4.89	5.26	4.88	5.09	5894412	31261646.00
2012/02/09	5.04	5.21	5.03	5.11	5817443	31276932.00
2012/02/10	5.04	5.16	5.02	5.09	4302478	23037094.00
2012/02/13	5.04	5.23	4.96	5.18	5879308	31704496.00
2012/02/14	5.19	5.25	5.11	5.21	5006246	27285588.00
2012/02/15	5.19	5.35	5.16	5.34	6988360	38726764.00
2012/02/16	5.31	5.40	5.23	5.34	5862249	32650678.00
2012/02/17	5.34	5.54	5.34	5.41	8290245	47111212.00
2012/02/20	5.49	5.59	5.36	5.43	9327717	53505564.00
2012/02/21	5.36	5.45	5.27	5.44	5376187	30198188.00
2012/02/22	5.39	5.51	5.37	5.50	6464322	36906728.00
2012/02/23	5.50	5.61	5.41	5.46	6645908	38314536.00
2012/02/24	5.45	5.51	5.36	5.49	6274894	35841160.00
2012/02/27	5.49	5.60	5.45	5.49	8645388	50080488.00
2012/02/28	5.46	5.49	5.29	5.34	5541999	31268666.00
2012/02/29	5.33	5.41	5.28	5.29	3516864	19707000.00
2012/03/01	5.34	5.41	5.29	5.37	3451755	19380188.00
2012/03/02	5.40	5.50	5.38	5.48	4317466	24674816.00
2012/03/05	5.49	5.50	5.42	5.45	4610792	26351588.00
2012/03/06	5.45	5.85	5.42	5.73	18264094	107600536.00
2012/03/07	5.62	5.69	5.57	5.59	9178695	54063824.00
2012/03/08	5.61	5.66	5.55	5.62	6459476	37798912.00
2012/03/09	5.63	5.65	5.53	5.63	4677655	27421636.00
2012/03/12	5.63	5.64	5.53	5.61	4402023	25735364.00
2012/03/13	5.61	5.69	5.59	5.68	5499491	32510816.00
2012/03/14	5.71	5.76	5.22	5.24	9865428	57101980.00
2012/03/15	5.29	5.34	5.05	5.08	5830134	31529216.00
2012/03/16	5.10	5.23	5.06	5.21	4507371	24353100.00
2012/03/19	5.21	5.69	5.17	5.66	11871550	67936232.00
2012/03/20	5.59	5.78	5.52	5.71	13999191	82809336.00
2012/03/21	5.59	5.69	5.36	5.60	18379007	107278656.00
2012/03/22	5.55	5.55	5.39	5.42	5145300	29387668.00
2012/03/23	5.34	5.49	5.29	5.32	4256226	24007624.00
2012/03/26	5.25	5.42	5.25	5.38	3110959	17496998.00
2012/03/27	5.39	5.47	5.27	5.32	2891534	16306884.00
2012/03/28	5.30	5.30	4.84	4.94	4056020	21641364.00
2012/03/29	4.85	4.92	4.74	4.78	3546653	18020042.00
2012/03/30	4.75	4.84	4.72	4.79	2565759	12938375.00
2012/04/05	4.82	4.97	4.80	4.95	2426332	12515103.00
2012/04/06	4.92	5.21	4.88	5.16	4215353	22383316.00
2012/04/09	5.09	5.18	5.00	5.02	2568283	13785444.00
2012/04/10	4.98	5.09	4.85	5.07	2328805	12189704.00
2012/04/11	5.00	5.60	4.89	5.34	9729923	54576900.00
2012/04/12	5.25	5.90	5.25	5.90	28158873	169236544.00
2012/04/13	5.97	5.97	5.71	5.75	22151576	134126768.00
2012/04/16	5.72	5.90	5.64	5.81	15377382	93204992.00
2012/04/17	5.74	5.85	5.49	5.64	11017499	64945136.00
2012/04/18	5.61	6.23	5.54	6.11	24379180	151495232.00
2012/04/19	6.33	6.75	6.09	6.66	47681819	321020224.00
2012/04/20	6.40	6.94	6.25	6.54	37343634	255592048.00
2012/04/23	6.38	6.50	6.24	6.27	16789099	111192312.00
2012/04/24	6.21	6.38	5.88	6.34	16937483	108971488.00
2012/04/25	6.24	6.89	6.17	6.50	24080755	164288336.00
2012/04/26	6.40	6.49	6.16	6.17	14769355	96653648.00
2012/04/27	6.05	6.13	5.86	5.91	9564250	59499524.00
2012/05/02	6.04	6.07	5.88	5.92	7533215	46818288.00
2012/05/03	5.90	6.07	5.82	5.98	7181874	44480536.00
2012/05/04	5.92	5.97	5.84	5.95	5705112	35223416.00
2012/05/07	5.93	6.05	5.83	6.04	7811861	48695740.00
2012/05/08	6.02	6.32	5.96	6.18	10988610	70177440.00
2012/05/09	6.09	6.13	5.91	5.92	6438014	40409572.00
2012/05/10	5.92	6.00	5.82	5.84	5950868	36599276.00
2012/05/11	5.84	5.97	5.84	5.86	4185794	25816048.00
2012/05/14	5.88	6.07	5.87	5.95	6379747	39848444.00
2012/05/15	5.89	5.92	5.75	5.88	5054750	30685376.00
2012/05/16	5.86	6.02	5.82	5.90	4679316	28880848.00
2012/05/17	5.87	6.16	5.87	6.10	10855014	68606392.00
2012/05/18	6.25	6.52	6.10	6.12	19820766	129785520.00
2012/05/21	5.94	6.09	5.70	5.82	9826397	60258696.00
2012/05/22	5.87	5.89	5.75	5.88	4847911	29488874.00
2012/05/23	5.87	5.87	5.74	5.85	4641644	28129804.00
