600233 大杨创世 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	13.21	13.21	12.73	12.88	381216	5079419.00
2011/10/11	13.16	13.19	12.43	12.57	1069927	14197579.00
2011/10/12	12.50	13.20	12.20	12.97	1637081	21542888.00
2011/10/13	12.83	13.23	12.78	13.08	1049362	14174730.00
2011/10/14	13.08	13.08	12.72	12.92	702466	9362964.00
2011/10/17	12.92	13.11	12.66	12.91	1170217	15567728.00
2011/10/18	12.66	12.82	12.28	12.31	943974	12222911.00
2011/10/19	12.35	12.42	11.80	11.89	967316	12082650.00
2011/10/20	11.89	11.89	10.98	11.43	2110586	24664834.00
2011/10/21	11.30	11.58	11.14	11.18	597149	7029586.00
2011/10/24	11.24	11.38	10.88	11.35	1198917	13933269.00
2011/10/25	11.74	12.46	11.74	11.99	4096356	50967028.00
2011/10/26	11.78	12.26	11.59	11.99	2304670	28771752.00
2011/10/27	11.90	12.14	11.74	11.84	2283047	28104252.00
2011/10/28	11.98	12.56	11.86	12.37	3092322	39121576.00
2011/10/31	12.27	12.66	12.16	12.46	1410255	18144128.00
2011/11/01	12.33	12.44	12.20	12.32	1090073	13874203.00
2011/11/02	12.06	12.51	11.93	12.49	2887498	36293836.00
2011/11/03	12.48	12.80	12.38	12.59	2555431	33405512.00
2011/11/04	12.63	12.97	12.49	12.96	2858457	37506832.00
2011/11/07	12.94	13.10	12.81	12.96	2264576	30297192.00
2011/11/08	12.95	13.07	12.73	12.82	1876148	24907930.00
2011/11/09	12.78	12.87	12.49	12.81	2072343	27132460.00
2011/11/10	12.71	12.71	12.48	12.55	1940236	25203136.00
2011/11/11	12.54	12.88	12.16	12.85	4150915	53426612.00
2011/11/14	12.82	13.27	12.79	13.22	5005673	67598432.00
2011/11/15	13.08	13.26	12.96	13.17	1835283	24817240.00
2011/11/16	13.17	13.21	12.46	12.55	2100031	27684368.00
2011/11/17	12.54	12.64	12.38	12.39	1763050	22761786.00
2011/11/18	12.43	12.43	11.95	12.10	1523971	19088188.00
2011/11/21	12.03	12.18	11.76	11.89	1477773	18258350.00
2011/11/22	11.78	12.08	11.70	12.05	1590568	19641740.00
2011/11/23	12.08	12.15	11.94	12.00	1195870	14868117.00
2011/11/24	11.94	12.07	11.70	11.98	810128	9989883.00
2011/11/25	11.98	12.12	11.88	12.00	667285	8274834.00
2011/11/28	12.00	12.15	11.90	12.09	884411	11020360.00
2011/11/29	12.29	12.77	12.09	12.59	1643650	21219522.00
2011/11/30	12.48	12.58	11.70	11.90	1634451	20541036.00
2011/12/01	12.38	12.58	12.16	12.33	4631572	59397128.00
