600237 铜峰电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.23	6.26	6.17	6.21	1324870	8269393.00
2011/10/11	6.36	6.41	6.17	6.23	1759090	11140634.00
2011/10/12	6.21	6.47	6.13	6.44	3300345	21115888.00
2011/10/13	6.44	6.51	6.41	6.49	1979560	12863562.00
2011/10/14	6.45	6.51	6.37	6.45	1445762	9344204.00
2011/10/17	6.47	6.64	6.39	6.63	4275012	28061716.00
2011/10/18	6.62	6.68	6.36	6.37	4324601	28410424.00
2011/10/19	6.44	6.66	6.38	6.46	3760971	24702020.00
2011/10/20	6.46	6.49	6.15	6.23	2990324	18797548.00
2011/10/21	6.17	6.29	6.14	6.18	1505386	9367389.00
2011/10/24	6.22	6.32	6.12	6.31	1809888	11349235.00
2011/10/25	6.31	6.47	6.20	6.43	3313940	21245114.00
2011/10/26	6.42	6.57	6.39	6.49	4213967	27505628.00
2011/10/27	6.47	6.63	6.45	6.53	4336545	28571104.00
2011/10/28	6.56	6.87	6.51	6.82	7555017	50624392.00
2011/10/31	6.77	6.94	6.74	6.91	5037769	34565864.00
2011/11/01	6.84	7.04	6.78	6.80	4066744	28013824.00
2011/11/02	6.71	7.04	6.63	6.98	8756060	60250436.00
2011/11/03	6.98	7.17	6.92	6.94	6089248	42850224.00
2011/11/04	6.97	7.02	6.86	6.89	3505617	24322804.00
2011/11/07	6.89	6.93	6.81	6.84	2301009	15890624.00
2011/11/08	6.83	6.94	6.83	6.85	2719474	18810236.00
2011/11/09	6.87	7.02	6.86	6.98	3702569	25865228.00
2011/11/10	6.87	6.97	6.84	6.85	2495513	17296802.00
2011/11/11	6.88	7.02	6.83	6.95	4894133	34146244.00
2011/11/14	7.01	7.13	6.97	7.09	5168321	36649404.00
2011/11/15	7.11	7.22	7.03	7.14	4901162	35053176.00
2011/11/16	7.15	7.35	6.97	7.04	16226107	117469176.00
2011/11/17	7.09	7.47	6.87	7.42	18004612	130597712.00
2011/11/18	7.27	7.52	7.12	7.16	13373258	98659392.00
2011/11/21	7.16	7.26	6.66	6.77	10624745	72874920.00
2011/11/22	6.69	6.73	6.54	6.66	5516388	36717944.00
2011/11/23	6.64	6.87	6.58	6.73	5246849	35408244.00
2011/11/24	6.66	6.72	6.56	6.71	3244515	21676294.00
2011/11/25	6.68	6.74	6.61	6.65	2322191	15545986.00
2011/11/28	6.65	6.84	6.63	6.68	2797654	18773954.00
2011/11/29	6.71	6.87	6.69	6.79	3976361	27060124.00
2011/11/30	6.77	6.82	6.29	6.35	3957613	25915030.00
2011/12/01	6.55	6.62	6.39	6.46	6079852	39716324.00
2011/12/02	6.47	6.47	6.25	6.28	2495215	15890429.00
2011/12/05	6.30	6.33	6.03	6.06	3160135	19471338.00
2011/12/06	6.07	6.21	6.01	6.09	2395517	14639613.00
2011/12/07	6.11	6.15	6.09	6.15	1317086	8107776.00
2011/12/08	6.15	6.21	6.02	6.12	1488732	9164201.00
2011/12/09	6.10	6.14	5.97	5.98	1637467	9924290.00
2011/12/12	5.87	6.07	5.86	5.97	1272920	7630538.00
2011/12/13	5.91	5.95	5.61	5.69	2471598	14269784.00
2011/12/14	5.72	5.74	5.54	5.55	1379600	7835141.00
2011/12/15	5.59	5.59	5.25	5.27	2195067	11939492.00
2011/12/16	5.32	5.48	5.27	5.47	1851538	10026378.00
2011/12/19	5.42	5.45	5.26	5.44	2403211	12933871.00
2011/12/20	5.40	5.56	5.38	5.47	2191295	12095733.00
2011/12/21	5.52	5.56	5.30	5.31	1867700	10281529.00
2011/12/22	5.29	5.29	4.93	5.16	2562722	13131054.00
2011/12/23	5.07	5.28	5.06	5.19	1553294	8093907.00
2011/12/26	5.17	5.27	5.14	5.18	1752761	9183168.00
2011/12/27	5.16	5.32	5.06	5.10	1569290	8138919.00
2011/12/28	5.10	5.19	4.87	5.12	2811926	14271941.00
2011/12/29	5.08	5.21	5.05	5.08	2558600	13236417.00
2011/12/30	5.09	5.20	5.07	5.14	2324041	12026438.00
2012/01/04	5.21	5.22	4.89	4.92	1760931	8987537.00
2012/01/05	4.91	4.98	4.62	4.63	3161948	15189057.00
2012/01/06	4.65	4.65	4.33	4.59	3426199	15575400.00
2012/01/09	4.61	4.80	4.50	4.79	3338375	15778497.00
2012/01/10	4.79	5.02	4.73	5.01	5661315	27993908.00
2012/01/11	5.01	5.07	4.97	5.02	4066197	20533660.00
2012/01/12	5.02	5.06	4.95	5.00	3295291	16581292.00
2012/01/13	5.02	5.03	4.67	4.75	3937135	19055944.00
2012/01/16	4.72	4.81	4.61	4.62	2042131	9594272.00
2012/01/17	4.61	4.92	4.61	4.91	3454984	16584178.00
2012/01/18	4.91	5.04	4.80	4.83	4139041	20500402.00
2012/01/19	4.83	4.93	4.78	4.86	2341944	11456539.00
2012/01/20	4.87	4.99	4.87	4.96	3971551	19817540.00
2012/01/30	4.96	5.01	4.90	4.94	2078678	10363820.00
2012/01/31	4.92	4.96	4.87	4.94	1512175	7472043.00
2012/02/01	4.90	4.97	4.89	4.93	2017179	10008555.00
2012/02/02	4.93	5.02	4.89	5.01	3935999	19596292.00
2012/02/03	4.97	5.16	4.96	5.12	5816410	29705720.00
2012/02/06	5.12	5.17	5.05	5.12	3874050	19950108.00
2012/02/07	5.07	5.11	4.95	5.01	3061222	15484164.00
2012/02/08	4.97	5.15	4.97	5.15	4155505	21299184.00
2012/02/09	5.15	5.24	5.12	5.20	5129771	26838830.00
2012/02/10	5.17	5.25	5.13	5.18	4125823	21533560.00
2012/02/13	5.13	5.47	5.11	5.39	9515872	51176288.00
2012/02/14	5.37	5.42	5.28	5.34	4760134	25531484.00
2012/02/15	5.34	5.54	5.33	5.49	6484655	35485520.00
2012/02/16	5.48	5.75	5.44	5.54	8872030	49835712.00
2012/02/17	5.57	5.62	5.38	5.47	3766206	20766878.00
2012/02/20	5.55	5.61	5.44	5.49	8345792	46343032.00
2012/02/21	5.45	5.56	5.37	5.56	4989228	27445924.00
2012/02/22	5.57	5.67	5.52	5.66	5864292	32975996.00
2012/02/23	5.64	5.71	5.49	5.60	5638344	31775720.00
2012/02/24	5.57	5.77	5.54	5.71	7633832	43351052.00
2012/02/27	5.67	5.78	5.65	5.65	7219723	41497216.00
2012/02/28	5.65	5.70	5.55	5.64	5235214	29602622.00
2012/02/29	5.62	5.65	5.45	5.49	4909674	27448232.00
2012/03/01	5.44	5.92	5.44	5.65	13668701	78611344.00
2012/03/02	5.63	5.73	5.60	5.72	6539223	37300196.00
2012/03/05	5.75	5.84	5.67	5.77	8546040	49576116.00
2012/03/06	5.77	5.97	5.70	5.91	13210796	77921448.00
2012/03/07	5.85	5.93	5.75	5.82	6649353	39040692.00
2012/03/08	5.87	5.93	5.82	5.89	5757750	34083684.00
2012/03/09	5.91	6.05	5.86	6.03	8259190	49475328.00
2012/03/12	6.07	6.11	5.77	5.98	9456955	56401916.00
2012/03/13	5.96	5.96	5.83	5.91	6891483	40870388.00
2012/03/14	5.96	6.00	5.47	5.55	10385966	60801192.00
2012/03/15	5.53	5.61	5.32	5.40	6430696	35191032.00
2012/03/16	5.41	5.59	5.34	5.54	4615573	25515860.00
2012/03/19	5.54	5.67	5.50	5.66	4163140	23421040.00
2012/03/20	5.63	5.69	5.54	5.55	4346093	24501238.00
2012/03/21	5.57	5.65	5.47	5.58	2849067	15924009.00
2012/03/22	5.53	5.81	5.50	5.74	8231138	47000984.00
2012/03/23	5.68	5.73	5.50	5.55	3935125	22221536.00
2012/03/26	5.53	5.71	5.49	5.71	5832476	33104596.00
2012/03/27	5.71	5.87	5.54	5.56	12299542	70896104.00
2012/03/28	5.52	5.52	5.10	5.12	7677918	40726580.00
2012/03/29	5.09	5.15	4.88	4.96	3652063	18527220.00
2012/04/05	4.98	5.14	4.98	5.12	2380846	12162065.00
2012/04/06	5.12	5.21	5.09	5.19	2441820	12657125.00
2012/04/09	5.17	5.17	5.07	5.09	1866124	9620143.00
2012/04/10	5.08	5.17	4.99	5.17	1979246	10151603.00
2012/04/11	5.12	5.22	5.09	5.19	2683404	13957281.00
2012/04/12	5.19	5.37	5.17	5.34	4805226	25501888.00
2012/04/13	5.34	5.49	5.31	5.44	4514603	24528512.00
2012/04/16	5.41	5.97	5.34	5.67	8600864	48754528.00
2012/04/17	5.67	5.77	5.49	5.51	7853172	44605092.00
2012/04/18	5.58	5.68	5.50	5.62	4510723	25394984.00
2012/04/19	5.60	5.73	5.58	5.66	4834987	27431780.00
2012/04/20	5.66	5.92	5.57	5.82	9887700	57095396.00
2012/04/23	5.77	5.93	5.71	5.71	10720158	63117620.00
2012/04/24	5.63	5.82	5.42	5.72	9144517	51752408.00
2012/04/25	5.69	5.90	5.65	5.87	11026339	64546104.00
2012/04/26	5.89	5.89	5.71	5.76	6576421	38282656.00
2012/04/27	5.79	5.81	5.60	5.62	4430483	25298500.00
2012/05/02	5.72	5.81	5.62	5.79	5120494	29575128.00
2012/05/03	5.78	5.96	5.73	5.89	6316961	37261412.00
2012/05/04	5.93	5.93	5.81	5.89	5084873	29926832.00
2012/05/07	5.83	5.92	5.78	5.89	4580962	26919624.00
2012/05/08	5.90	5.91	5.79	5.82	3619106	21267092.00
2012/05/09	5.79	5.79	5.65	5.69	3689219	21109280.00
2012/05/10	5.70	5.77	5.66	5.70	3021552	17323260.00
2012/05/11	5.69	5.70	5.57	5.57	3464562	19586334.00
2012/05/14	5.62	5.72	5.56	5.61	3447162	19551772.00
2012/05/15	5.52	5.58	5.43	5.56	4580228	25412484.00
2012/05/16	5.54	5.59	5.46	5.47	2328305	12922778.00
2012/05/17	5.49	5.67	5.47	5.64	4151597	23376664.00
2012/05/18	5.59	5.63	5.27	5.38	5133476	28280804.00
2012/05/21	5.40	5.42	5.29	5.37	1717051	9264194.00
2012/05/22	5.39	5.52	5.39	5.49	1980109	10884009.00
2012/05/23	5.49	5.52	5.36	5.43	1963369	10740292.00
2012/05/24	5.42	5.50	5.39	5.40	2146104	11740947.00
2012/05/25	5.39	5.44	5.26	5.27	2000406	10730140.00
2012/05/28	5.26	5.48	5.24	5.48	3665253	19897244.00
2012/05/29	5.48	5.59	5.43	5.57	5243997	29252208.00
2012/05/30	5.56	5.62	5.53	5.57	3199781	17938760.00
2012/06/01	5.56	5.62	5.48	5.53	2171338	12136176.00
2012/06/04	5.42	5.43	5.27	5.27	2790373	15017744.00
2012/06/05	5.32	5.33	5.22	5.27	4135254	21901930.00
2012/06/06	5.26	5.30	5.19	5.25	2283390	12079176.00
2012/06/07	5.28	5.33	5.22	5.23	1951335	10339684.00
2012/06/08	5.28	5.29	5.20	5.22	1429401	7550525.00
2012/06/11	5.21	5.32	5.21	5.31	1379691	7320674.00
2012/06/12	5.31	5.49	5.23	5.45	5028960	27311178.00
2012/06/13	5.40	5.63	5.40	5.57	5358139	29873264.00
2012/06/14	5.53	5.60	5.44	5.47	2665151	14749922.00
2012/06/15	5.47	5.53	5.32	5.42	3207214	17409880.00
2012/06/18	5.40	5.53	5.38	5.47	2554949	14068181.00
2012/06/19	5.47	5.49	5.36	5.41	1962612	10723634.00
2012/06/20	5.43	5.56	5.42	5.52	3823754	21161144.00
2012/06/21	5.49	5.52	5.27	5.30	3348360	18016318.00
2012/06/25	5.25	5.28	5.08	5.09	1961500	10222342.00
2012/06/26	5.07	5.15	5.06	5.12	1171322	6014490.00
2012/06/27	5.15	5.17	5.04	5.04	1529675	7880604.00
2012/06/28	5.11	5.11	4.95	4.96	1519919	7686575.00
2012/06/29	4.96	5.04	4.91	5.03	1413797	7098490.00
2012/07/02	5.04	5.11	5.02	5.07	1626902	8296690.00
2012/07/03	5.09	5.13	5.05	5.06	1596852	8168299.00
2012/07/04	5.10	5.11	5.02	5.04	1401794	7119750.00
2012/07/05	5.04	5.04	4.94	4.97	1634030	8201177.00
2012/07/06	5.04	5.11	4.96	5.10	1536138	7780569.00
2012/07/09	5.07	5.11	4.94	4.98	1683612	8509571.00
2012/07/10	4.96	5.00	4.89	4.98	1552589	7728046.00
2012/07/11	4.97	5.09	4.93	5.09	1454975	7356157.00
2012/07/12	5.09	5.18	5.01	5.13	2213678	11371989.00
2012/07/13	5.08	5.13	5.01	5.07	1423807	7251639.00
2012/07/16	5.06	5.07	4.81	4.92	2371378	11728291.00
2012/07/17	4.92	5.42	4.85	5.17	6625861	34157716.00
2012/07/18	5.12	5.24	5.09	5.19	5488958	28538418.00
2012/07/19	5.27	5.28	5.14	5.17	4217824	22132680.00
2012/07/20	5.13	5.18	5.08	5.11	1693802	8737412.00
2012/07/23	5.09	5.09	4.98	5.01	1523185	7697789.00
2012/07/24	5.01	5.07	4.97	5.03	1769002	8938676.00
2012/07/25	5.01	5.10	4.97	4.99	1221662	6177947.00
2012/07/26	4.96	5.06	4.90	4.92	2367103	11865621.00
2012/07/27	4.95	4.97	4.84	4.88	1834174	9018198.00
2012/07/30	4.86	4.86	4.47	4.58	2448786	11473719.00
2012/07/31	4.58	4.61	4.50	4.55	857982	3929996.00
2012/08/01	4.53	4.68	4.53	4.63	1081001	5037651.00
2012/08/02	4.62	4.67	4.57	4.58	761446	3542985.00
2012/08/03	4.62	4.69	4.57	4.69	1301296	6069601.00
2012/08/06	4.65	4.79	4.62	4.77	1503166	7143271.00
2012/08/07	4.77	4.82	4.75	4.80	1435210	6921651.00
2012/08/08	4.80	4.83	4.78	4.80	1043001	5042367.00
2012/08/09	4.78	4.86	4.69	4.85	1527883	7393074.00
2012/08/10	4.82	4.85	4.78	4.80	1082277	5235779.00
2012/08/13	4.82	5.28	4.81	5.07	23739920	123887144.00
2012/08/14	4.94	4.97	4.63	4.84	14306082	68935680.00
2012/08/15	4.80	4.91	4.75	4.81	6889031	33603360.00
2012/08/16	4.79	4.81	4.64	4.67	4099535	19450706.00
2012/08/17	4.66	4.71	4.62	4.70	2265611	10649395.00
2012/08/20	4.67	4.75	4.62	4.73	1754168	8299674.00
2012/08/21	4.74	4.90	4.73	4.82	6403384	31094816.00
2012/08/22	4.92	5.02	4.84	4.87	7883042	39021188.00
2012/08/23	4.87	5.04	4.78	5.01	8610169	42649608.00
2012/08/24	4.97	4.99	4.82	4.84	4425662	21790706.00
2012/08/27	4.82	4.82	4.69	4.73	1876709	8951626.00
2012/08/28	4.72	4.84	4.70	4.81	2494782	12002046.00
2012/08/29	4.78	4.99	4.77	4.84	4735164	23373522.00
2012/08/30	4.81	4.87	4.62	4.69	3013630	14369125.00
2012/08/31	4.68	4.75	4.66	4.69	1508146	7143656.00
2012/09/03	4.69	4.79	4.66	4.76	1780537	8499530.00
2012/09/04	4.85	4.91	4.74	4.76	3352248	16251885.00
2012/09/05	4.71	4.93	4.70	4.88	4789204	23455624.00
2012/09/06	4.87	4.99	4.86	4.95	4788197	23760916.00
2012/09/07	5.09	5.12	4.96	5.05	10002255	50779208.00
2012/09/10	5.02	5.14	5.00	5.07	7111127	36231100.00
2012/09/11	5.08	5.21	5.02	5.12	7699597	39734140.00
2012/09/12	5.16	5.45	5.09	5.41	17517122	93381600.00
2012/09/13	5.41	5.59	5.29	5.41	17283252	94956376.00
2012/09/14	5.37	5.53	5.32	5.51	8161447	44649704.00
2012/09/17	5.52	5.55	5.24	5.34	6887026	37370988.00
2012/09/18	5.30	5.45	5.29	5.34	5608793	30307506.00
2012/09/19	5.35	5.44	5.29	5.36	4228817	22773368.00
2012/09/20	5.30	5.43	5.13	5.17	5420845	28796940.00
2012/09/21	5.17	5.23	5.09	5.19	4936730	25658936.00
2012/09/24	5.14	5.23	5.09	5.18	2600863	13526956.00
2012/09/25	5.15	5.32	5.14	5.16	3720322	19569572.00
2012/09/26	5.18	5.18	5.00	5.04	2331960	11921710.00
2012/09/27	5.00	5.17	4.98	5.12	4184608	21444532.00
2012/09/28	5.13	5.30	5.08	5.27	4979344	25767860.00
2012/10/08	5.21	5.28	5.19	5.21	2616063	13754672.00
2012/10/09	5.21	5.47	5.21	5.43	8391668	45310476.00
2012/10/10	5.40	5.46	5.33	5.45	5770084	31278532.00
2012/10/11	5.41	5.45	5.33	5.36	3696545	19931756.00
2012/10/12	5.40	5.53	5.32	5.36	5189405	28165144.00
2012/10/15	5.38	5.45	5.24	5.29	2857730	15321837.00
2012/10/16	5.28	5.41	5.21	5.30	5174361	27752984.00
2012/10/17	5.31	5.64	5.27	5.60	17764088	98597768.00
2012/10/18	5.61	5.63	5.53	5.59	9213859	51678196.00
2012/10/19	5.59	5.69	5.55	5.59	5545428	31290596.00
2012/10/22	5.55	5.72	5.53	5.71	6347688	36140016.00
2012/10/23	5.66	5.91	5.65	5.67	9413757	54763376.00
2012/10/24	5.60	5.67	5.54	5.59	4643634	26095138.00
2012/10/25	5.59	5.74	5.55	5.70	6893763	39257388.00
