600238 海南椰岛 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.98	8.99	8.55	8.64	2241076	20023760.00
2011/10/11	8.74	8.98	8.56	8.94	3402667	30379632.00
2011/10/12	8.80	9.25	8.71	9.22	3309492	30686308.00
2011/10/13	9.18	9.34	9.10	9.27	2807674	26563724.00
2011/10/14	9.27	9.27	9.00	9.12	1945115	18040624.00
2011/10/17	9.13	9.19	8.98	9.03	1365727	12656151.00
2011/10/18	8.90	9.06	8.70	8.78	2079058	18958880.00
2011/10/19	8.72	8.95	8.65	8.87	1798769	16167621.00
2011/10/20	8.87	8.87	8.40	8.45	2349309	20629464.00
2011/10/21	8.50	8.57	8.20	8.31	1916216	16381021.00
2011/10/24	8.31	8.46	8.21	8.39	2149858	18406012.00
2011/10/25	8.39	8.64	8.38	8.60	2192784	19145248.00
2011/10/26	8.55	9.19	8.50	8.92	4727971	43163408.00
2011/10/27	8.90	9.05	8.83	8.88	2730559	24946380.00
2011/10/28	9.00	9.06	8.83	9.03	4157812	38214264.00
2011/10/31	9.10	9.14	8.90	8.98	3832648	35150644.00
2011/11/01	8.96	9.40	8.88	9.22	5549390	52069904.00
2011/11/02	9.02	9.34	8.96	9.30	4361984	40774288.00
2011/11/03	9.38	9.51	9.21	9.31	5085475	48665060.00
2011/11/04	9.33	9.45	9.17	9.35	3291204	31293032.00
2011/11/07	9.35	9.35	9.15	9.19	2281282	21537382.00
2011/11/08	9.29	9.76	9.28	9.42	6544288	63604040.00
2011/11/09	9.31	9.89	9.31	9.73	9447842	93677440.00
2011/11/10	9.61	9.80	9.57	9.61	3430441	33846952.00
2011/11/11	9.61	9.69	9.54	9.66	2006230	19684520.00
2011/11/14	9.72	9.88	9.70	9.80	2634086	26257304.00
2011/11/15	9.83	10.05	9.72	10.04	4426056	44776252.00
2011/11/16	10.03	10.18	9.74	9.80	3927810	39896252.00
2011/11/17	9.79	9.93	9.69	9.70	2415287	24096466.00
2011/11/18	9.69	9.69	9.30	9.43	3159211	30543890.00
2011/11/21	9.39	9.56	9.27	9.55	1696582	16269285.00
2011/11/22	9.47	9.60	9.39	9.50	1647627	15977654.00
2011/11/23	9.58	9.62	9.32	9.41	3095825	29929498.00
2011/11/24	9.36	9.54	9.23	9.39	2318585	22285960.00
2011/11/25	9.35	9.59	9.31	9.40	1768163	17075364.00
2011/11/28	9.48	9.54	9.30	9.33	1819044	17398552.00
2011/11/29	9.40	9.50	9.36	9.49	1907403	18376256.00
2011/11/30	9.50	9.50	8.63	8.80	3023739	27972344.00
2011/12/01	9.02	9.52	8.98	9.25	4172953	39003492.00
2011/12/02	9.23	9.37	8.90	8.96	1469052	13633508.00
2011/12/05	8.95	8.95	8.31	8.41	3068667	26929440.00
2011/12/06	8.46	8.55	8.15	8.33	2208979	18750518.00
2011/12/07	8.32	8.43	8.28	8.38	1386175	11841168.00
2011/12/08	8.38	8.45	8.16	8.40	1353349	11552027.00
2011/12/09	8.30	8.43	8.24	8.36	720820	6140576.00
2011/12/12	8.36	8.54	8.30	8.32	1146461	9821065.00
2011/12/13	8.32	8.32	7.74	7.79	3526802	28600352.00
2011/12/14	7.79	7.89	7.22	7.28	2373122	18354076.00
2011/12/15	7.27	7.27	6.78	7.06	3832371	27638316.00
2011/12/16	7.05	7.27	6.98	7.22	2112462	15376240.00
2011/12/19	7.22	7.22	6.90	7.15	2119333	15279746.00
2011/12/20	7.08	7.30	7.00	7.05	2613053	19191936.00
2011/12/21	7.17	7.20	6.90	6.92	1637226	11880773.00
2011/12/22	6.90	7.09	6.50	7.07	2808260	19596320.00
2011/12/23	7.07	7.11	6.91	6.96	1993821	14354752.00
2011/12/26	6.96	7.68	6.96	7.24	7601910	58309828.00
2011/12/27	7.20	7.33	6.83	6.92	4943584	35654940.00
2011/12/28	6.82	7.06	6.82	7.00	2881650	20583772.00
2011/12/29	7.01	7.41	6.90	7.20	5419407	40362780.00
2011/12/30	7.27	7.43	7.16	7.32	2241845	16839984.00
2012/01/04	7.32	7.45	7.13	7.15	2046747	15295264.00
2012/01/05	7.15	7.23	6.70	6.96	2989973	21140084.00
2012/01/06	6.90	7.18	6.77	6.91	2388306	17095860.00
2012/01/09	6.91	7.23	6.88	7.21	2297705	16733626.00
2012/01/10	7.21	7.58	7.16	7.52	3671505	27913962.00
2012/01/11	7.45	7.66	7.33	7.56	2672762	20631952.00
2012/01/12	7.52	7.63	7.38	7.43	2842119	21950260.00
2012/01/13	7.45	7.52	7.16	7.41	2394049	17968020.00
2012/01/16	7.32	7.48	7.28	7.32	1643694	12449124.00
2012/01/17	7.32	7.70	7.30	7.68	4123347	31936686.00
2012/01/18	7.68	8.44	7.55	8.14	9941937	81962440.00
2012/01/19	8.14	8.57	7.91	8.26	5894634	50239068.00
2012/01/20	8.20	8.75	8.20	8.38	6119079	53350408.00
2012/01/30	8.43	8.57	8.28	8.37	2113776	18249648.00
2012/01/31	8.27	8.27	7.51	7.58	6356337	50562352.00
2012/02/01	7.50	8.19	7.42	8.17	7305042	59131120.00
2012/02/02	8.09	8.61	8.02	8.60	6859584	59233804.00
2012/02/03	8.70	8.75	8.42	8.55	3345773	29315780.00
2012/02/06	8.56	8.60	8.33	8.57	2830759	24511320.00
2012/02/07	8.38	8.54	8.36	8.41	1724212	14848096.00
2012/02/08	8.32	8.59	8.32	8.48	3702982	32039480.00
2012/02/09	8.46	8.76	8.43	8.50	3659007	32105580.00
2012/02/10	8.49	9.25	8.49	9.09	12277331	112141936.00
2012/02/13	9.05	9.17	8.92	9.03	4673763	43181812.00
2012/02/14	9.02	9.18	8.85	8.98	3311179	30355200.00
2012/02/15	8.96	9.05	8.82	9.03	4845273	44323908.00
2012/02/16	9.03	9.10	8.94	9.09	4009539	36946624.00
2012/02/17	9.11	9.33	8.98	9.05	3677043	34425404.00
2012/02/20	9.20	9.25	8.83	8.86	3495472	32099532.00
2012/02/21	8.86	8.93	8.54	8.79	5578537	49625416.00
2012/02/22	8.80	8.92	8.56	8.90	7545978	67274288.00
2012/02/23	8.81	8.93	8.71	8.80	5587560	50357672.00
2012/02/24	8.80	8.92	8.73	8.87	6363473	57495804.00
2012/02/27	8.88	9.05	8.87	8.90	5625861	51517084.00
2012/02/28	8.88	9.04	8.82	8.96	4638139	42349152.00
2012/02/29	8.96	8.98	8.56	8.58	4506690	40464124.00
2012/03/01	8.71	8.71	8.28	8.40	9925390	85127464.00
2012/03/02	8.42	8.51	8.34	8.48	7256163	62581724.00
2012/03/05	8.50	8.79	8.46	8.67	7191750	63679932.00
2012/03/06	8.68	8.74	8.50	8.59	4826622	42599552.00
2012/03/07	8.47	8.97	8.38	8.91	12894094	116016192.00
2012/03/08	8.76	9.55	8.76	9.40	17330724	163859616.00
2012/03/09	9.36	9.80	9.36	9.66	14688633	144537504.00
2012/03/12	9.69	9.79	9.52	9.72	8525787	84259536.00
2012/03/13	9.74	9.94	9.56	9.87	7291626	72761024.00
2012/03/14	9.80	9.95	9.35	9.40	9756054	96275400.00
2012/03/15	9.30	9.54	9.19	9.49	6342879	60533028.00
2012/03/16	9.50	10.46	9.49	10.46	22181263	230461584.00
2012/03/19	10.59	10.69	10.21	10.45	13893422	147784848.00
2012/03/20	10.32	10.50	10.01	10.33	8527836	89807056.00
2012/03/21	10.24	10.55	10.00	10.53	9641786	101838480.00
2012/03/22	10.55	10.60	10.25	10.39	6805021	72092576.00
2012/03/23	10.34	10.42	9.70	9.78	8162792	83558640.00
2012/03/26	9.82	9.94	9.48	9.66	5590567	54918460.00
2012/03/27	9.70	9.78	9.35	9.37	6452805	62718052.00
2012/03/28	9.40	9.40	8.70	9.07	8199228	75463696.00
2012/03/29	8.92	9.07	8.62	8.66	5620691	50638600.00
2012/03/30	8.75	8.91	8.55	8.68	3154329	28086648.00
2012/04/05	8.88	9.57	8.72	9.57	10982814	104387880.00
2012/04/06	9.69	10.45	9.65	10.11	20720004	213694752.00
2012/04/09	9.98	10.70	9.91	10.39	16823823	178531168.00
2012/04/10	10.31	10.55	9.85	10.41	10072829	104818480.00
2012/04/11	10.22	10.45	10.11	10.32	6208433	64852480.00
2012/04/12	10.30	10.34	9.86	10.14	8953082	92018352.00
2012/04/13	10.11	10.45	10.03	10.06	8456368	88675440.00
2012/04/16	9.85	10.38	9.83	10.20	8293973	86333464.00
2012/04/17	10.12	10.39	10.08	10.12	4619028	48166548.00
2012/04/18	10.20	10.20	9.87	10.19	8080830	82652328.00
2012/04/19	10.01	10.18	9.93	10.10	3738379	38295004.00
2012/04/20	10.11	10.37	10.03	10.18	6710736	69975072.00
2012/04/23	10.11	10.15	9.83	9.91	5886939	59633328.00
2012/04/24	9.63	10.24	9.60	9.83	7017298	70691880.00
2012/04/25	9.74	9.98	9.60	9.86	8151990	81034800.00
2012/04/26	9.81	9.83	9.64	9.76	3926578	38959544.00
2012/04/27	9.83	10.08	9.65	9.80	7920567	79945328.00
2012/05/02	9.98	9.98	9.69	9.77	5633713	56243332.00
2012/05/03	9.77	10.18	9.77	10.08	7975392	81651528.00
2012/05/04	10.04	10.56	9.96	10.42	13983592	147608192.00
2012/05/07	10.39	10.51	10.15	10.45	7267627	76540104.00
2012/05/08	10.40	10.42	10.02	10.20	6293118	65368760.00
2012/05/09	10.10	10.23	9.91	10.02	6606281	67922416.00
2012/05/10	10.04	10.75	10.03	10.40	15045743	161212880.00
2012/05/14	10.48	11.45	10.18	10.98	23634397	263194720.00
2012/05/15	10.89	11.15	10.60	10.80	15728489	173814208.00
2012/05/16	10.64	11.05	10.62	10.81	9276378	102258536.00
2012/05/17	10.85	11.00	10.51	10.98	8206892	90213288.00
2012/05/18	10.82	10.85	10.61	10.66	4972992	54352028.00
2012/05/21	10.58	11.07	10.58	11.00	8480707	94174816.00
2012/05/22	11.25	11.48	10.90	11.15	13359635	152322112.00
2012/05/23	11.03	11.69	10.84	11.52	17659664	202234416.00
2012/05/24	11.37	11.66	11.10	11.13	11749243	135853568.00
2012/05/25	11.03	11.21	10.67	10.78	8555461	95196944.00
2012/05/28	10.72	11.18	10.72	11.10	7151581	80394568.00
2012/05/29	11.09	11.47	11.03	11.27	8437999	97004912.00
2012/05/30	11.28	11.38	11.18	11.21	4250326	48673096.00
2012/05/31	11.15	11.27	11.02	11.07	5628712	63887156.00
2012/06/01	11.05	11.42	11.05	11.30	6296436	72300840.00
2012/06/04	11.11	11.28	10.86	10.89	6167769	69301976.00
2012/06/05	10.95	11.05	10.60	10.73	5470302	60064440.00
2012/06/06	10.73	11.10	10.73	11.03	5469956	61135668.00
2012/06/07	11.10	11.24	10.88	10.90	2962393	33340882.00
2012/06/08	11.01	11.02	10.53	10.61	5182907	56653608.00
2012/06/11	10.61	10.81	10.40	10.74	2887575	31260920.00
2012/06/12	10.75	10.88	10.70	10.76	2093057	23010378.00
2012/06/13	10.76	10.94	10.72	10.86	2959620	32676776.00
2012/06/14	10.81	11.16	10.80	10.92	4622789	51784676.00
2012/06/15	10.99	11.05	10.60	10.73	3876195	42547828.00
2012/06/18	10.77	10.95	10.70	10.80	2486254	27359964.00
2012/06/19	10.82	10.87	10.55	10.60	2766055	30090624.00
2012/06/20	10.60	10.74	10.51	10.65	1753258	18980326.00
2012/06/21	10.66	10.69	10.42	10.64	1931334	20765720.00
2012/06/25	10.64	10.92	10.38	10.41	2932608	31760932.00
2012/06/26	10.33	10.33	9.56	10.07	5324659	53947116.00
2012/06/27	9.95	10.07	9.76	9.78	2767899	27998952.00
2012/06/28	9.87	10.02	9.77	9.81	2231977	22489566.00
2012/06/29	9.95	10.25	9.80	10.08	5735263	59127092.00
