600241 时代万恒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.08	6.09	5.98	6.03	262127	2712465.00
2011/10/11	6.16	6.34	6.03	6.11	371499	3916699.00
2011/10/12	6.10	6.34	6.05	6.30	425717	4571383.00
2011/10/13	6.24	6.39	6.24	6.36	355870	3862254.00
2011/10/14	6.36	6.45	6.29	6.37	387275	4231295.00
2011/10/17	6.42	6.47	6.33	6.39	432982	4745386.00
2011/10/18	6.39	6.39	6.17	6.18	396402	4247212.00
2011/10/19	6.19	6.26	6.10	6.20	179301	1894240.00
2011/10/20	6.24	6.24	5.97	6.03	247125	2577002.00
2011/10/21	5.97	6.06	5.84	5.94	243590	2480325.00
2011/10/24	5.96	6.11	5.74	6.10	618148	6338065.00
2011/10/25	6.16	6.26	5.95	6.22	718163	7601402.00
2011/10/26	6.13	6.30	6.13	6.22	565627	6056159.00
2011/10/27	6.24	6.32	6.14	6.23	504428	5387256.00
2011/10/28	6.31	6.44	6.30	6.39	657954	7176939.00
2011/10/31	6.41	6.50	6.36	6.41	541198	5943542.00
2011/11/01	6.40	6.43	6.30	6.40	443804	4851658.00
2011/11/02	6.36	6.59	6.24	6.50	497806	5444567.00
2011/11/03	6.44	6.60	6.44	6.56	924248	10358451.00
2011/11/04	6.54	6.70	6.51	6.70	829708	9366515.00
2011/11/07	6.89	7.13	6.73	6.74	2093102	24724332.00
2011/11/08	6.66	6.76	6.54	6.59	1154197	13137122.00
2011/11/09	6.59	6.69	6.54	6.66	658762	7465414.00
2011/11/10	6.63	6.64	6.51	6.53	604104	6796933.00
2011/11/11	6.52	6.59	6.49	6.50	445466	4991873.00
2011/11/14	6.57	6.71	6.56	6.70	715460	8154642.00
2011/11/15	6.66	6.81	6.64	6.74	703067	8095581.00
2011/11/16	6.74	6.77	6.54	6.57	823699	9345112.00
2011/11/17	6.57	6.64	6.55	6.56	411350	4637585.00
2011/11/18	6.55	6.63	6.30	6.31	664389	7288937.00
2011/11/21	6.30	6.47	6.29	6.34	297550	3225147.00
2011/11/22	6.34	6.71	6.12	6.51	858807	9572078.00
2011/11/23	6.49	6.54	6.42	6.47	421621	4683329.00
2011/11/24	6.47	6.50	6.32	6.47	274747	3028451.00
2011/11/25	6.53	6.53	6.37	6.43	448543	4976446.00
2011/11/28	6.51	6.51	6.37	6.47	248901	2748865.00
2011/11/29	6.52	6.63	6.47	6.60	586332	6603278.00
2011/11/30	6.61	6.61	6.19	6.24	676048	7447734.00
2011/12/01	6.42	6.54	6.36	6.37	648781	7177749.00
2011/12/02	6.32	6.40	6.22	6.24	323200	3482529.00
2011/12/06	6.07	6.07	5.89	6.00	521858	5315649.00
2011/12/07	5.99	6.03	5.92	5.97	139949	1436316.00
2011/12/08	5.89	6.06	5.83	6.00	337814	3451742.00
2011/12/09	5.90	6.06	5.85	5.90	228054	2312851.00
2011/12/12	5.92	5.92	5.76	5.83	281168	2813369.00
2011/12/13	5.78	5.83	5.53	5.60	363826	3523519.00
2011/12/14	5.60	5.61	5.46	5.50	238898	2263195.00
2011/12/15	5.42	5.51	5.27	5.29	333451	3067696.00
2011/12/16	5.30	5.44	5.27	5.44	305755	2815831.00
2011/12/19	5.44	5.51	5.28	5.43	235495	2170518.00
2011/12/20	5.43	5.52	5.36	5.37	357499	3338679.00
2011/12/21	5.37	5.44	5.26	5.26	322499	2965433.00
2011/12/22	5.24	5.24	4.99	5.11	405147	3529382.00
2011/12/23	5.19	5.24	5.04	5.22	359040	3190084.00
2011/12/26	5.14	5.28	5.11	5.17	228344	2027047.00
2011/12/27	5.19	5.19	5.01	5.07	212327	1852079.00
2011/12/28	5.07	5.07	4.83	4.95	362699	3043266.00
2011/12/29	4.89	4.96	4.83	4.88	133670	1129266.00
2011/12/30	4.88	5.10	4.88	5.08	297434	2554831.00
2012/01/04	5.17	5.17	4.90	4.90	183015	1580352.00
2012/01/05	4.90	4.95	4.59	4.65	279889	2277921.00
2012/01/06	4.51	4.67	4.47	4.64	214495	1685706.00
2012/01/09	4.65	4.85	4.55	4.83	301626	2464918.00
2012/01/10	4.83	5.09	4.83	5.04	624345	5347654.00
2012/01/11	5.04	5.16	4.96	5.09	460360	4005319.00
2012/01/12	5.11	5.16	5.01	5.06	378802	3309871.00
2012/01/13	5.07	5.12	4.82	4.89	422614	3587945.00
2012/01/16	4.83	4.91	4.73	4.76	169822	1406084.00
2012/01/17	4.80	5.04	4.73	5.00	465549	3937424.00
2012/01/18	5.08	5.08	4.91	4.94	591652	5098367.00
2012/01/19	4.90	5.02	4.90	5.00	340248	2911431.00
2012/01/20	5.17	5.17	5.01	5.06	337844	2932425.00
2012/01/30	5.06	5.10	4.94	5.01	264628	2291440.00
2012/01/31	5.06	5.06	4.95	5.04	163208	1404180.00
2012/02/01	5.04	5.10	5.01	5.07	264335	2299352.00
2012/02/02	5.13	5.13	5.01	5.13	364691	3188033.00
2012/02/03	5.13	5.24	5.08	5.24	499527	4434682.00
2012/02/06	5.24	5.34	5.19	5.27	452392	4094317.00
2012/02/07	5.21	5.27	5.10	5.14	299098	2648848.00
2012/02/08	5.17	5.27	5.17	5.27	379752	3405539.00
2012/02/09	5.25	5.40	5.23	5.33	614940	5617499.00
2012/02/10	5.35	5.37	5.27	5.33	315688	2892331.00
2012/02/13	5.33	5.48	5.27	5.47	739969	6831338.00
2012/02/14	5.47	5.50	5.41	5.45	612018	5719941.00
2012/02/15	5.42	5.56	5.34	5.50	376316	3533537.00
2012/02/16	5.51	5.60	5.40	5.51	480814	4531811.00
2012/02/17	5.55	5.56	5.41	5.51	456399	4312067.00
2012/02/20	5.60	5.61	5.49	5.50	453701	4331014.00
2012/02/21	5.53	5.60	5.42	5.57	448686	4246810.00
