600249 两面针 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.32	6.33	6.14	6.15	1264500	7908672.00
2011/10/11	6.30	6.32	6.15	6.19	832732	5224937.00
2011/10/12	6.20	6.50	6.12	6.45	2509779	16186221.00
2011/10/13	6.42	6.54	6.40	6.49	1769084	11551484.00
2011/10/14	6.43	6.50	6.41	6.44	915135	5941696.00
2011/10/17	6.45	6.55	6.43	6.45	1411512	9238304.00
2011/10/18	6.44	6.45	6.23	6.24	1227666	7841985.00
2011/10/19	6.25	6.30	6.14	6.20	1133108	7101711.00
2011/10/20	6.22	6.22	6.03	6.06	1221398	7507355.00
2011/10/21	6.06	6.10	6.02	6.06	743339	4543977.00
2011/10/24	6.09	6.14	5.99	6.13	1390687	8527324.00
2011/10/25	6.19	6.30	6.11	6.26	2377189	14906344.00
2011/10/26	6.21	6.43	6.21	6.38	2742956	17511900.00
2011/10/27	6.33	6.43	6.29	6.36	1811637	11611508.00
2011/10/28	6.42	6.49	6.37	6.44	2912878	18885460.00
2011/10/31	6.44	6.45	6.35	6.40	2128728	13752406.00
2011/11/01	6.35	6.45	6.32	6.44	2488694	16061323.00
2011/11/02	6.38	6.49	6.31	6.48	2414048	15574901.00
2011/11/03	6.48	6.59	6.44	6.49	3877631	25457888.00
2011/11/04	6.49	6.57	6.49	6.55	2657018	17494824.00
2011/11/07	6.57	6.58	6.48	6.48	1787909	11755411.00
2011/11/08	6.48	6.52	6.38	6.39	1761841	11457086.00
2011/11/09	6.38	6.48	6.34	6.48	1487277	9594648.00
2011/11/10	6.38	6.40	6.32	6.34	2306087	14792551.00
2011/11/11	6.34	6.39	6.32	6.35	988393	6330345.00
2011/11/14	6.37	6.49	6.37	6.47	1928847	12543749.00
2011/11/15	6.48	6.59	6.44	6.56	2646064	17375640.00
2011/11/16	6.53	6.59	6.39	6.42	1944216	12680945.00
2011/11/17	6.39	6.47	6.39	6.43	1680900	10882407.00
2011/11/18	6.41	6.41	6.18	6.20	2123855	13400790.00
2011/11/21	6.18	6.27	6.14	6.25	1248916	7811787.00
2011/11/22	6.17	6.24	6.15	6.20	855389	5345346.00
2011/11/23	6.24	6.24	6.16	6.19	1053015	6593075.00
2011/11/24	6.16	6.18	6.07	6.13	1337312	8257248.00
2011/11/25	6.13	6.20	6.09	6.14	1081455	6709664.00
2011/11/28	6.13	6.22	6.13	6.16	1126746	7005432.00
2011/11/29	6.21	6.29	6.16	6.28	1538163	9635150.00
2011/11/30	6.25	6.30	5.97	6.02	2777198	17188064.00
2011/12/01	6.20	6.63	6.15	6.49	13277490	85604088.00
2011/12/02	6.40	6.68	6.37	6.66	11346929	74790128.00
2011/12/05	6.59	6.63	6.35	6.58	6067926	39826588.00
2011/12/06	6.50	6.79	6.32	6.45	16186842	106028008.00
2011/12/07	6.33	6.47	6.11	6.28	10875278	68746912.00
2011/12/08	6.21	6.22	5.98	6.04	8251246	50637224.00
2011/12/09	5.95	5.97	5.79	5.82	5941841	35154828.00
2011/12/12	5.81	5.93	5.77	5.92	2447997	14384510.00
2011/12/13	5.83	5.89	5.66	5.67	2607519	15071776.00
2011/12/14	5.58	5.69	5.46	5.51	2085574	11725563.00
2011/12/15	5.50	5.50	5.15	5.24	4822088	25738766.00
2011/12/16	5.24	5.39	5.19	5.36	1853179	9864522.00
2011/12/19	5.29	5.30	5.13	5.23	2245057	11786987.00
2011/12/20	5.19	5.33	5.17	5.27	1816754	9648066.00
2011/12/21	5.30	5.37	5.19	5.25	1810830	9604972.00
2011/12/22	5.21	5.34	4.93	5.13	2789958	14451836.00
2011/12/23	5.13	5.24	5.02	5.15	2184299	11344126.00
2011/12/26	5.14	5.17	5.04	5.07	1159114	5977227.00
2011/12/27	5.07	5.07	4.90	4.92	1479837	7433764.00
2011/12/28	4.90	4.92	4.70	4.84	1433789	6952694.00
2011/12/29	4.77	4.85	4.72	4.73	1211206	5865032.00
2011/12/30	4.75	4.83	4.75	4.78	1927199	9294412.00
2012/01/04	4.81	4.84	4.69	4.70	1406462	6777760.00
2012/01/05	4.65	4.65	4.41	4.44	2060852	9456602.00
2012/01/06	4.43	4.54	4.34	4.45	2125481	9494924.00
2012/01/09	4.46	4.63	4.42	4.62	2054946	9450314.00
2012/01/10	4.63	4.93	4.58	4.86	5241626	25185096.00
2012/01/11	4.82	4.88	4.75	4.83	3059522	14887242.00
2012/01/12	4.80	4.90	4.77	4.82	1997553	9737505.00
2012/01/13	4.81	4.82	4.60	4.60	3006602	14210517.00
2012/01/16	4.52	4.56	4.46	4.46	1411105	6444600.00
2012/01/17	4.48	4.76	4.45	4.70	2442500	11437217.00
2012/01/18	4.70	4.79	4.60	4.68	3007729	14279330.00
2012/01/19	4.68	4.74	4.56	4.69	2153922	10189431.00
2012/01/20	4.68	4.80	4.67	4.73	2294193	10981026.00
2012/01/30	4.75	4.78	4.65	4.67	1546490	7358105.00
2012/01/31	4.65	4.90	4.62	4.81	2108477	10071546.00
2012/02/01	4.76	4.82	4.71	4.71	1594414	7684745.00
2012/02/02	4.71	4.80	4.70	4.79	1452101	6979366.00
2012/02/03	4.79	4.89	4.75	4.89	2478761	12140013.00
2012/02/06	4.92	4.92	4.85	4.89	2309312	11407027.00
2012/02/07	4.90	4.90	4.74	4.78	1881830	9116342.00
2012/02/08	4.79	4.88	4.73	4.88	3406615	16621787.00
2012/02/09	4.88	4.96	4.85	4.95	3725242	18551568.00
2012/02/10	4.94	5.02	4.92	4.98	2849448	14314080.00
2012/02/13	5.02	5.16	4.94	5.07	4907068	25074790.00
2012/02/14	5.08	5.14	5.00	5.10	2823715	14387844.00
2012/02/15	5.05	5.45	5.03	5.22	6711742	35282440.00
2012/02/16	5.19	5.23	5.12	5.20	3645076	19068616.00
2012/02/20	5.24	5.44	5.15	5.15	3518134	18622628.00
2012/02/21	5.13	5.19	5.06	5.18	2681156	13853692.00
2012/02/22	5.18	5.31	5.14	5.30	4634504	24543422.00
2012/02/23	5.25	5.34	5.22	5.28	2332291	12424156.00
2012/02/24	5.30	5.43	5.24	5.38	4439368	23899372.00
2012/02/27	5.39	5.54	5.36	5.41	9368847	51417440.00
2012/02/28	5.35	5.40	5.27	5.33	4025893	21689194.00
2012/02/29	5.33	5.33	5.21	5.26	2583453	13759595.00
2012/03/01	5.22	5.31	5.21	5.25	1955920	10381188.00
2012/03/02	5.25	5.37	5.25	5.35	2695378	14482408.00
2012/03/05	5.34	5.58	5.34	5.55	6326930	34802384.00
2012/03/06	5.50	5.69	5.46	5.58	12945540	73128864.00
2012/03/07	5.50	5.69	5.47	5.68	9312156	52767928.00
2012/03/08	5.65	5.72	5.59	5.70	6618111	37798528.00
2012/03/09	5.69	5.72	5.54	5.65	6526862	37048932.00
2012/03/12	5.61	5.76	5.57	5.64	5045500	28908898.00
2012/03/13	5.64	5.70	5.57	5.69	4166439	23687406.00
2012/03/14	5.70	5.72	5.26	5.32	7205409	40270240.00
2012/03/15	5.34	5.38	5.14	5.17	4282633	22638518.00
2012/03/16	5.17	5.35	5.17	5.33	2648231	14071851.00
2012/03/19	5.30	5.54	5.30	5.50	3779380	20746090.00
2012/03/20	5.44	5.55	5.37	5.38	3110062	17059280.00
2012/03/21	5.38	5.60	5.33	5.53	4736289	26276106.00
2012/03/22	5.49	5.57	5.40	5.53	3328577	18420628.00
2012/03/23	5.47	5.53	5.35	5.39	2415233	13248222.00
2012/03/26	5.35	5.41	5.25	5.28	1853601	9922441.00
2012/03/27	5.30	5.33	5.19	5.27	1819656	9668116.00
2012/03/28	5.19	5.24	4.88	5.02	3161786	16087038.00
2012/03/29	4.96	4.99	4.89	4.92	2185020	10906099.00
2012/03/30	4.91	4.96	4.83	4.88	1621651	8017066.00
2012/04/05	4.92	5.07	4.89	5.02	1843644	9313978.00
2012/04/06	5.03	5.09	5.00	5.07	1707157	8705196.00
2012/04/09	5.05	5.10	5.00	5.03	987454	5027465.00
2012/04/10	5.01	5.12	4.88	5.11	2265240	11442253.00
2012/04/11	5.06	5.25	5.01	5.23	4319373	22517374.00
2012/04/12	5.35	5.76	5.26	5.76	17444178	99041584.00
2012/04/13	5.73	5.76	5.55	5.63	12337047	70443480.00
2012/04/16	5.56	6.15	5.52	5.91	16388218	97701792.00
2012/04/17	5.84	5.94	5.66	5.67	8436801	49066528.00
2012/04/18	5.71	5.86	5.59	5.78	7442966	43226936.00
2012/04/19	5.76	5.85	5.70	5.72	5862361	34204004.00
2012/04/20	5.67	6.01	5.67	5.88	9595142	56805184.00
2012/04/23	5.84	6.24	5.78	5.94	13505440	82588000.00
2012/04/24	5.82	6.07	5.56	5.99	11043008	64819060.00
2012/04/25	5.96	6.23	5.91	6.06	14299194	88109920.00
2012/04/26	6.08	6.10	5.86	5.98	8006055	48273088.00
2012/04/27	5.87	5.95	5.67	5.70	7776509	45304676.00
2012/05/02	5.85	5.91	5.60	5.81	8302188	48066576.00
2012/05/03	5.81	5.83	5.64	5.74	5506727	31951968.00
2012/05/04	5.69	5.82	5.66	5.80	5068137	29248710.00
2012/05/07	5.78	5.78	5.65	5.74	4083238	23476220.00
2012/05/08	5.74	5.78	5.67	5.76	2937650	16976412.00
2012/05/09	5.70	5.71	5.51	5.51	4113150	23226062.00
2012/05/10	5.51	5.60	5.51	5.53	2574239	14428185.00
2012/05/11	5.56	5.76	5.53	5.63	4443111	25310512.00
2012/05/14	5.65	5.76	5.62	5.68	4372119	25142640.00
2012/05/15	5.64	5.66	5.51	5.60	3297453	18503664.00
2012/05/16	5.56	5.67	5.56	5.62	2626871	14912868.00
2012/05/17	5.58	5.81	5.57	5.80	4824378	27923700.00
2012/05/18	5.75	5.88	5.65	5.69	3755662	21759892.00
2012/05/21	5.67	5.80	5.63	5.74	2391423	13840690.00
2012/05/22	5.80	5.82	5.56	5.69	3639773	20806592.00
2012/05/23	5.67	5.69	5.54	5.63	2710448	15325406.00
2012/05/24	5.60	5.64	5.49	5.50	2395611	13447654.00
2012/05/25	5.51	5.52	5.27	5.35	3279050	17767448.00
2012/05/28	5.30	5.45	5.17	5.45	2202780	11825192.00
2012/05/29	5.44	5.56	5.37	5.50	2372289	13141044.00
2012/05/30	5.46	5.58	5.46	5.49	2913591	16256096.00
2012/05/31	5.47	5.60	5.41	5.53	3597322	19964116.00
2012/06/01	5.55	5.70	5.44	5.68	4390060	24723498.00
2012/06/04	5.55	5.61	5.37	5.38	3485316	19317604.00
2012/06/05	5.38	5.44	5.23	5.29	2104778	11312761.00
2012/06/06	5.33	5.37	5.24	5.26	1341210	7161296.00
2012/06/07	5.34	5.42	4.97	5.12	1506174	8001034.00
2012/06/08	5.22	5.23	5.05	5.08	1830395	9499549.00
2012/06/11	5.15	5.20	5.06	5.18	1235930	6400971.00
2012/06/12	5.17	5.17	5.08	5.11	1106714	5718582.00
2012/06/13	5.12	5.23	5.10	5.22	1651421	8634757.00
2012/06/14	5.23	5.26	5.15	5.16	1692825	8901304.00
2012/06/15	5.17	5.23	5.11	5.18	1292487	6758055.00
2012/06/18	5.18	5.27	5.18	5.23	1133983	5995910.00
2012/06/20	5.21	5.24	5.08	5.11	2229714	11572672.00
2012/06/21	5.11	5.13	4.98	5.00	1777466	9018898.00
2012/06/25	5.01	5.02	4.82	4.84	1643611	8180390.00
2012/06/26	4.84	4.90	4.76	4.88	1014359	4957486.00
2012/06/27	4.88	4.92	4.82	4.85	886143	4363968.00
2012/06/28	4.86	4.90	4.65	4.71	1155230	5602351.00
2012/06/29	4.71	4.79	4.71	4.79	998183	4797426.00
2012/07/02	4.81	4.88	4.79	4.82	1032749	5043682.00
2012/07/03	4.82	4.88	4.78	4.81	1102010	5387337.00
2012/07/04	4.81	4.85	4.70	4.74	1616027	7817263.00
2012/07/05	4.73	4.74	4.57	4.58	1669709	7835255.00
2012/07/06	4.60	4.69	4.55	4.66	2169061	10153068.00
2012/07/09	4.61	4.67	4.49	4.54	1785400	8301660.00
2012/07/10	4.59	4.60	4.45	4.57	1112898	5113864.00
2012/07/11	4.55	4.64	4.50	4.63	982172	4545173.00
2012/07/12	4.63	4.68	4.55	4.66	2225596	10400907.00
2012/07/13	4.67	4.71	4.59	4.62	1609822	7565717.00
2012/07/16	4.62	4.62	4.30	4.34	3176166	14314658.00
2012/07/17	4.35	4.43	4.31	4.40	1489368	6598511.00
2012/07/18	4.40	4.49	4.35	4.48	2482678	11052416.00
2012/07/19	4.48	4.68	4.45	4.58	3697785	17074700.00
2012/07/20	4.53	4.60	4.48	4.53	1865241	8573935.00
2012/07/23	4.48	4.49	4.41	4.44	1367749	6148515.00
2012/07/24	4.43	4.55	4.42	4.52	1179777	5356203.00
2012/07/25	4.52	4.58	4.47	4.51	1020048	4656037.00
2012/07/26	4.45	4.57	4.45	4.48	1253600	5722970.00
2012/07/27	4.54	4.55	4.47	4.48	731345	3330238.00
2012/07/30	4.48	4.52	4.28	4.37	1439102	6369695.00
2012/07/31	4.33	4.35	4.26	4.28	891892	3875800.00
2012/08/01	4.28	4.39	4.28	4.36	779522	3413272.00
2012/08/02	4.34	4.38	4.29	4.36	824829	3617556.00
2012/08/03	4.35	4.44	4.32	4.43	945843	4206301.00
2012/08/06	4.43	4.53	4.39	4.51	1094869	4955282.00
2012/08/07	4.51	4.58	4.48	4.56	1547813	7098028.00
2012/08/08	4.59	4.59	4.50	4.54	1130254	5189948.00
2012/08/09	4.53	4.63	4.51	4.59	1634413	7546932.00
2012/08/10	4.60	4.60	4.51	4.58	1468301	6781154.00
2012/08/13	4.58	4.59	4.48	4.49	1234180	5663448.00
2012/08/14	4.49	4.53	4.39	4.51	1423229	6426608.00
2012/08/15	4.50	4.64	4.47	4.63	3377713	15644593.00
2012/08/16	4.60	4.64	4.49	4.52	1975530	9129281.00
2012/08/17	4.51	4.55	4.44	4.53	1079642	4905421.00
2012/08/20	4.50	4.62	4.47	4.61	1812070	8345380.00
2012/08/21	4.62	4.66	4.57	4.62	1990402	9290660.00
2012/08/22	4.63	4.64	4.55	4.56	1955962	9058392.00
2012/08/23	4.56	4.61	4.51	4.58	1360088	6278038.00
2012/08/24	4.57	4.58	4.42	4.42	1761000	8009603.00
2012/08/27	4.42	4.45	4.34	4.37	1305750	5803606.00
2012/08/28	4.37	4.45	4.36	4.42	870189	3876019.00
2012/08/29	4.42	4.46	4.40	4.41	836101	3738400.00
2012/08/30	4.37	4.44	4.29	4.35	1443058	6385357.00
2012/08/31	4.35	4.45	4.32	4.42	1197919	5314214.00
2012/09/03	4.40	4.51	4.37	4.46	1031736	4646930.00
2012/09/04	4.52	4.52	4.38	4.40	1095483	4916504.00
2012/09/05	4.40	4.46	4.37	4.42	834363	3729213.00
2012/09/06	4.45	4.50	4.43	4.49	1458674	6578871.00
2012/09/07	4.51	4.70	4.50	4.65	3573578	16673989.00
2012/09/10	4.64	4.69	4.61	4.67	2363194	11123400.00
2012/09/11	4.65	4.65	4.58	4.63	1988956	9276529.00
2012/09/12	4.64	4.72	4.63	4.67	2384919	11271427.00
2012/09/13	4.68	4.73	4.61	4.71	3637743	17218202.00
2012/09/14	4.71	4.72	4.63	4.67	2375774	11223674.00
2012/09/17	4.66	4.73	4.51	4.68	3196388	14951380.00
2012/09/18	4.62	4.67	4.59	4.65	1412871	6609362.00
2012/09/19	4.62	4.85	4.61	4.80	6372127	30743204.00
2012/09/20	4.76	4.79	4.51	4.66	4378464	20522888.00
2012/09/21	4.56	4.84	4.56	4.60	2492375	11770887.00
2012/09/24	4.57	4.58	4.45	4.52	2650269	12066541.00
2012/09/25	4.47	4.52	4.40	4.41	1371500	6181842.00
2012/09/26	4.42	4.45	4.35	4.40	1040761	4619134.00
2012/09/27	4.40	4.55	4.36	4.49	2257532	10230341.00
2012/09/28	4.46	4.54	4.43	4.53	1428053	6513268.00
2012/10/08	4.56	4.62	4.51	4.55	1744354	8036578.00
2012/10/09	4.55	4.67	4.55	4.66	2378717	11132351.00
2012/10/10	4.62	4.69	4.61	4.68	2216227	10433564.00
2012/10/11	4.70	4.70	4.60	4.65	1789603	8412814.00
2012/10/12	4.67	4.75	4.59	4.61	1652029	7750755.00
2012/10/15	4.61	4.68	4.59	4.66	2048060	9597170.00
2012/10/16	4.65	5.13	4.64	4.83	8594511	42195388.00
2012/10/17	4.78	4.83	4.68	4.77	3615576	17352474.00
2012/10/18	4.77	4.85	4.73	4.81	2946515	14311816.00
2012/10/19	4.78	4.82	4.76	4.79	2011103	9724617.00
2012/10/22	4.80	4.92	4.77	4.92	3966550	19473648.00
2012/10/23	4.90	4.92	4.79	4.79	2581747	12654603.00
2012/10/24	4.79	4.97	4.74	4.93	3897979	19087212.00
2012/10/25	4.92	5.03	4.86	4.88	3178324	15838808.00
2012/10/26	4.83	4.87	4.70	4.77	2339018	11265052.00
2012/10/29	4.77	4.80	4.65	4.78	1779302	8508343.00
2012/10/30	4.79	4.83	4.71	4.75	1221820	5893308.00
2012/10/31	4.78	4.78	4.67	4.69	1124560	5352887.00
2012/11/01	4.70	4.80	4.70	4.79	1541105	7410313.00
2012/11/02	4.79	4.87	4.77	4.84	1704908	8313187.00
2012/11/05	4.83	4.87	4.80	4.83	1180467	5757083.00
2012/11/06	4.84	4.85	4.73	4.80	1423519	6864400.00
2012/11/07	4.79	4.86	4.77	4.81	1117382	5431697.00
2012/11/08	4.79	4.79	4.62	4.63	2128087	10111658.00
2012/11/09	4.55	4.64	4.55	4.57	1424756	6592495.00
2012/11/12	4.57	4.63	4.53	4.62	1183956	5467112.00
2012/11/13	4.60	4.66	4.47	4.54	1433238	6610606.00
