600250 南纺股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	6.62	6.86	6.48	6.67	1123585	7410903.00
2011/10/11	6.77	6.78	6.46	6.55	1151579	7610770.00
2011/10/12	6.37	6.77	6.37	6.74	1304129	8649631.00
2011/10/13	6.70	6.84	6.64	6.76	2079958	14002761.00
2011/10/14	6.71	6.75	6.55	6.62	1241953	8234292.00
2011/10/17	6.60	6.66	6.53	6.61	1104011	7279555.00
2011/10/18	6.55	6.58	6.37	6.48	1113251	7165933.00
2011/10/19	6.45	6.55	6.32	6.45	1152610	7406698.00
2011/10/20	6.47	6.47	6.07	6.12	977790	6050672.00
2011/10/21	6.11	6.19	5.82	6.15	1480699	8880284.00
2011/10/24	6.10	6.15	5.93	6.14	740068	4488474.00
2011/10/25	6.10	6.39	6.06	6.33	1862255	11630090.00
2011/10/26	6.30	6.55	6.25	6.36	2282252	14530028.00
2011/10/27	6.37	6.38	6.28	6.35	1687137	10688176.00
2011/10/28	6.41	6.48	6.33	6.42	1868179	11928644.00
2011/10/31	6.45	6.45	6.35	6.40	1435006	9180848.00
2011/11/01	6.40	6.40	6.25	6.30	1660271	10494522.00
2011/11/02	6.23	6.44	6.06	6.36	2101098	13090608.00
2011/11/03	6.34	6.60	6.33	6.45	3980512	25679148.00
2011/11/04	6.45	6.90	6.41	6.85	7633218	50798732.00
2011/11/07	6.79	6.85	6.65	6.78	5420980	36412628.00
2011/11/08	6.72	6.81	6.61	6.72	5905173	39607152.00
2011/11/09	6.81	6.96	6.61	6.80	8671922	58167928.00
2011/11/10	6.69	6.77	6.61	6.71	2695594	17962232.00
2011/11/11	6.71	6.77	6.60	6.73	5057696	33700928.00
2011/11/14	6.71	6.88	6.68	6.79	6002954	40508916.00
2011/11/16	6.77	6.77	6.40	6.46	3708196	24381268.00
2011/11/17	6.47	6.49	6.28	6.30	2586160	16431021.00
2011/11/18	6.30	6.30	6.06	6.07	1778860	10955210.00
2011/11/21	6.07	6.17	6.07	6.16	1323535	8111448.00
2011/11/22	6.11	6.15	6.02	6.13	918707	5601373.00
2011/11/23	6.14	6.16	6.07	6.10	966184	5901555.00
2011/11/24	6.00	6.11	5.99	6.07	751077	4547416.00
2011/11/25	6.03	6.12	5.98	5.99	1036600	6260216.00
2011/11/28	6.01	6.03	5.85	5.94	1057547	6286585.00
2011/11/29	5.96	6.04	5.92	6.03	1268787	7614238.00
2011/11/30	6.01	6.04	5.58	5.61	1602491	9234871.00
2011/12/01	5.73	5.82	5.65	5.73	2001155	11481997.00
2011/12/02	5.65	5.70	5.48	5.56	1727915	9639276.00
2011/12/05	5.56	5.56	5.31	5.44	1864167	10101123.00
2011/12/06	5.42	5.46	5.36	5.41	936747	5069037.00
2011/12/07	5.40	5.45	5.35	5.44	1105142	5965076.00
2011/12/08	5.40	5.70	5.22	5.64	2982714	16351259.00
2011/12/09	5.46	5.72	5.46	5.50	4493315	25123516.00
2011/12/12	5.43	5.48	5.25	5.28	1593239	8479831.00
2011/12/13	5.29	5.29	4.97	4.99	2099617	10591574.00
2011/12/14	4.97	4.99	4.83	4.86	832942	4093380.00
2011/12/15	4.84	4.93	4.61	4.62	1421070	6694494.00
2011/12/16	4.62	4.76	4.58	4.75	1149481	5361013.00
2011/12/19	4.70	5.15	4.60	5.02	2984194	14381750.00
2011/12/20	4.95	5.24	4.92	5.14	4740901	23989960.00
2011/12/21	5.11	5.14	4.94	4.95	1605480	8093540.00
2011/12/22	4.92	4.94	4.53	4.88	2808121	13512536.00
2011/12/23	4.86	5.05	4.71	4.91	1307272	6456994.00
2011/12/26	4.98	5.02	4.83	4.98	1609233	7972043.00
2011/12/28	4.88	5.02	4.65	4.89	3830800	18350654.00
2011/12/29	4.85	5.38	4.77	5.26	9675382	49107476.00
2011/12/30	5.22	5.33	5.08	5.22	8641854	44442488.00
2012/01/04	5.20	5.20	4.98	5.00	3494403	17683284.00
2012/01/05	4.82	5.05	4.76	4.96	3301126	16136994.00
2012/01/06	4.88	5.28	4.86	5.20	9235994	46592664.00
2012/01/09	5.20	5.30	5.10	5.27	8217394	42922152.00
2012/01/10	5.20	5.48	5.16	5.37	7971807	42347184.00
2012/01/11	5.32	5.46	5.23	5.40	5066550	27047720.00
2012/01/12	5.30	5.54	5.19	5.43	5485625	29193968.00
2012/01/13	5.38	5.46	5.23	5.42	3403855	18122568.00
