600265 ST景谷 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	8.38	8.50	8.37	8.45	482344	4065676.00
2011/10/11	8.60	8.69	8.35	8.45	826416	7029901.00
2011/10/12	8.44	8.70	8.32	8.69	1180413	10144541.00
2011/10/13	8.69	8.98	8.60	8.81	1410004	12454045.00
2011/10/14	8.74	8.79	8.60	8.69	818281	7104669.00
2011/10/17	8.68	8.76	8.63	8.64	621366	5389822.00
2011/10/18	8.63	8.63	8.22	8.29	944767	7956729.00
2011/10/19	8.26	8.37	8.20	8.22	634401	5254291.00
2011/10/20	8.25	8.28	7.88	7.90	838021	6718532.00
2011/10/21	7.90	7.95	7.75	7.87	634556	4979574.00
2011/10/24	7.89	8.57	7.89	8.12	1006897	8194874.00
2011/10/25	8.09	8.32	7.95	8.27	1213564	9874482.00
2011/10/26	8.19	8.41	8.15	8.32	1054179	8744094.00
2011/10/27	8.28	8.43	8.27	8.32	700532	5846171.00
2011/10/28	8.35	9.15	8.32	9.14	6778543	60737336.00
2011/10/31	8.85	9.09	8.80	8.93	3128583	27850728.00
2011/11/01	8.86	8.98	8.68	8.82	1846829	16221215.00
2011/11/02	8.67	8.79	8.55	8.76	2934057	25524328.00
2011/11/03	8.77	9.13	8.75	8.91	3723649	33230584.00
2011/11/04	9.15	9.28	8.86	8.99	2785297	25262734.00
2011/11/07	9.00	9.01	8.82	8.85	1550839	13780793.00
2011/11/08	8.85	8.93	8.77	8.82	905525	8003072.00
2011/11/09	8.82	9.13	8.82	9.10	1803175	16199949.00
2011/11/10	9.03	9.17	8.92	9.00	2156319	19543424.00
2011/11/11	8.95	9.16	8.95	9.00	1927486	17473100.00
2011/11/14	9.09	9.15	9.00	9.13	1649158	15002696.00
2011/11/15	9.38	9.65	9.16	9.22	3556786	33296782.00
2011/11/16	9.15	9.24	8.93	8.95	1797400	16347781.00
2011/11/17	8.95	9.06	8.87	8.90	1080172	9657584.00
2011/11/18	8.80	8.89	8.50	8.54	1267014	10977239.00
2011/11/21	8.60	8.68	8.52	8.64	808520	6950184.00
2011/11/22	8.60	8.69	8.50	8.64	879364	7570329.00
2011/11/23	8.69	8.69	8.40	8.43	864830	7369551.00
2011/11/24	8.39	8.54	8.23	8.49	870822	7306679.00
2011/11/25	8.65	9.34	8.60	9.34	8069763	74423160.00
2011/11/28	9.44	9.99	9.30	9.46	11756170	112810000.00
2011/11/29	9.46	9.60	9.20	9.44	6438475	60586632.00
2011/11/30	9.32	9.44	8.54	8.67	6055023	54556100.00
2011/12/01	8.84	9.28	8.80	8.93	5534363	49757412.00
2011/12/02	8.72	8.74	8.39	8.40	4044387	34387888.00
2011/12/05	8.36	8.36	7.90	7.94	2403317	19420346.00
2011/12/06	7.89	8.10	7.85	8.05	1515390	12079141.00
2011/12/07	8.04	8.15	7.96	8.13	1402136	11314720.00
2011/12/08	8.07	8.30	7.90	8.23	2006221	16332074.00
2011/12/09	8.09	8.21	7.96	7.98	1415687	11411166.00
2011/12/12	8.08	8.25	8.06	8.08	2145333	17461922.00
2011/12/13	7.98	7.99	7.35	7.39	2867408	21635840.00
2011/12/14	7.40	7.48	7.17	7.18	1251698	9142571.00
2011/12/15	7.18	7.18	6.73	6.75	1572485	10856375.00
2011/12/16	6.82	6.95	6.67	6.94	1486063	10119830.00
2011/12/19	6.88	6.88	6.58	6.81	1380420	9277477.00
2011/12/20	6.81	7.12	6.76	6.95	1828533	12772504.00
