600268 国电南自 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	9.20	9.31	8.85	8.90	2402139	22261684.00
2011/10/11	9.06	9.20	8.79	8.86	3668046	34051492.00
2011/10/12	8.88	9.28	8.68	9.26	4823783	45255812.00
2011/10/13	9.28	9.69	9.19	9.64	6084528	59939720.00
2011/10/14	9.65	9.65	9.40	9.47	3273337	31970760.00
2011/10/17	9.55	9.66	9.38	9.49	2801871	27500642.00
2011/10/18	9.48	9.48	8.88	8.97	4613973	43355424.00
2011/10/19	8.97	9.10	8.81	8.88	2427956	22407040.00
2011/10/20	8.88	8.88	8.53	8.64	2475811	22131996.00
2011/10/21	8.61	8.72	8.56	8.61	1579697	14107927.00
2011/10/24	8.66	8.88	8.58	8.88	2764462	25057868.00
2011/10/25	8.90	9.07	8.70	9.05	4710870	43378944.00
2011/10/26	8.92	9.34	8.89	9.17	6642984	63066244.00
2011/10/27	9.24	9.24	8.95	8.99	7628933	71098760.00
2011/10/28	9.11	9.29	8.99	9.25	6285361	59100168.00
2011/10/31	9.25	9.54	9.18	9.43	4443872	43020304.00
2011/11/01	9.27	9.51	9.22	9.39	2999123	29047276.00
2011/11/02	9.26	9.81	9.12	9.79	7045420	69240752.00
2011/11/03	9.88	10.41	9.80	10.05	11592105	121034688.00
2011/11/04	10.21	10.46	10.06	10.15	8319326	87656120.00
2011/11/07	10.06	10.24	9.96	10.13	3098187	32257360.00
2011/11/08	10.10	10.23	10.06	10.23	3386516	35334932.00
2011/11/09	10.26	10.59	10.16	10.55	7283563	78200368.00
2011/11/10	10.45	10.53	10.11	10.13	7638970	80741104.00
2011/11/11	10.13	10.21	9.90	9.93	3999006	41271656.00
2011/11/14	9.98	10.43	9.98	10.40	6321284	66795568.00
2011/11/15	10.43	10.58	10.33	10.48	4325236	46651456.00
2011/11/16	10.51	10.60	9.98	10.09	4350716	45941496.00
2011/11/17	9.93	10.18	9.93	10.03	2570698	26674000.00
2011/11/18	9.93	9.98	9.68	9.73	3491999	35206256.00
2011/11/21	9.83	9.85	9.51	9.79	2265162	22561676.00
2011/11/22	9.70	10.10	9.61	9.96	2660280	27085288.00
2011/11/23	9.96	10.90	9.96	10.47	10736664	115788664.00
2011/11/24	10.23	10.78	10.23	10.66	8524768	92912792.00
2011/11/25	10.64	10.76	10.46	10.56	4888268	53216596.00
