600270 外运发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/10/10	5.82	5.97	5.82	5.93	978476	6446169.00
2011/10/11	6.12	6.13	5.91	5.96	1418006	9516898.00
2011/10/12	5.81	6.23	5.81	6.22	3583478	24446560.00
2011/10/13	6.20	6.29	6.17	6.23	2471132	17133478.00
2011/10/14	6.23	6.26	6.13	6.21	1512970	10430146.00
2011/10/17	6.22	6.33	6.17	6.21	1400203	9721446.00
2011/10/18	6.18	6.23	5.99	6.00	1869913	12772865.00
2011/10/19	6.08	6.11	5.95	6.04	1770644	11900506.00
2011/10/20	5.97	5.99	5.66	5.71	3949838	25516328.00
2011/10/21	5.74	5.74	5.54	5.61	2594734	16445260.00
2011/10/24	5.62	5.77	5.59	5.74	2227281	14245268.00
2011/10/25	5.75	5.95	5.71	5.92	2642715	17344622.00
2011/10/26	5.90	6.40	5.84	6.27	6759639	45840156.00
2011/10/27	6.22	6.29	6.16	6.17	7257435	50343308.00
2011/10/28	6.25	6.28	6.13	6.24	4204810	29070636.00
2011/10/31	6.25	6.29	6.18	6.26	2730212	18940582.00
2011/11/01	6.20	6.32	6.15	6.27	3115356	21663672.00
2011/11/02	6.20	6.32	6.07	6.32	4180626	28786936.00
2011/11/03	6.34	6.47	6.32	6.41	5472081	38906392.00
2011/11/04	6.42	6.45	6.34	6.42	3807658	27028654.00
2011/11/07	6.39	6.48	6.36	6.42	2377048	16925196.00
2011/11/08	6.42	6.44	6.31	6.33	2424819	17137110.00
2011/11/09	6.35	6.38	6.21	6.37	2332404	16352641.00
2011/11/10	6.29	6.31	6.17	6.17	2962470	20507428.00
2011/11/11	6.22	6.22	6.11	6.16	2165085	14884032.00
2011/11/14	6.22	6.32	6.20	6.31	2825390	19704024.00
2011/11/15	6.30	6.37	6.27	6.37	3398277	23826044.00
2011/11/16	6.38	6.39	6.13	6.20	2758862	19197724.00
2011/11/17	6.20	6.22	6.10	6.12	2302311	15759815.00
2011/11/18	6.10	6.12	5.92	5.94	2704788	18129952.00
2011/11/21	5.96	6.16	5.93	6.14	2364315	15907536.00
2011/11/22	6.08	6.26	5.99	6.23	3564286	24338456.00
2011/11/23	6.15	6.22	6.09	6.12	3504785	24010982.00
2011/11/24	6.01	6.11	5.93	5.98	1459997	9804471.00
2011/11/25	5.99	6.07	5.92	5.96	1021898	6836877.00
2011/11/28	5.95	6.04	5.95	5.97	832056	5550485.00
2011/11/29	6.04	6.08	6.00	6.06	1253050	8450453.00
2011/11/30	6.06	6.07	5.67	5.73	2712985	17678100.00
2011/12/01	5.87	5.98	5.81	5.82	2446860	16130433.00
2011/12/02	5.83	5.89	5.75	5.81	1382680	9014691.00
2011/12/05	5.77	5.80	5.63	5.63	991153	6338581.00
2011/12/06	5.64	5.68	5.59	5.66	1070449	6776565.00
2011/12/07	5.67	5.81	5.64	5.78	3108185	19991266.00
2011/12/08	5.69	5.87	5.67	5.80	2911025	18875698.00
2011/12/09	5.72	5.80	5.63	5.63	1430345	9164804.00
2011/12/12	5.63	5.66	5.55	5.56	1008402	6346994.00
2011/12/13	5.52	5.56	5.35	5.39	1539028	9456444.00
2011/12/14	5.39	5.44	5.29	5.30	944644	5721564.00
2011/12/15	5.30	5.30	5.09	5.17	1868629	10989478.00
2011/12/16	5.18	5.34	5.10	5.33	1595729	9458559.00
2011/12/19	5.31	5.32	5.14	5.31	1070962	6359712.00
2011/12/20	5.25	5.36	5.25	5.26	762160	4568084.00
2011/12/21	5.30	5.33	5.15	5.15	1041201	6204652.00
2011/12/22	5.13	5.13	4.96	5.08	1249166	7175020.00
2011/12/23	5.04	5.24	5.04	5.15	1081193	6340319.00
2011/12/26	5.13	5.49	5.13	5.36	3136319	18889304.00
2011/12/27	5.38	5.38	5.23	5.25	1865497	11149920.00
2011/12/28	5.20	5.24	5.10	5.21	974019	5706305.00
2011/12/29	5.24	5.24	5.11	5.12	1219825	7157927.00
2011/12/30	5.14	5.20	5.11	5.19	1528474	8950741.00
2012/01/04	5.22	5.25	5.06	5.07	1287811	7561496.00
2012/01/05	5.06	5.06	4.90	4.96	2079678	11794841.00
2012/01/06	4.96	5.18	4.96	5.15	2443785	14101702.00
2012/01/09	5.15	5.39	5.10	5.36	2980267	17833720.00
2012/01/10	5.32	5.56	5.32	5.53	3253252	20078774.00
2012/01/11	5.52	5.54	5.38	5.46	3075332	18927628.00
2012/01/12	5.43	5.59	5.39	5.40	2141862	13200344.00
2012/01/13	5.43	5.43	5.21	5.25	2025584	12142490.00
2012/01/16	5.25	5.28	5.13	5.18	825460	4874920.00
2012/01/17	5.24	5.55	5.12	5.53	3980114	24287144.00
2012/01/18	5.50	5.69	5.42	5.55	5636175	35428468.00
2012/01/19	5.50	5.69	5.42	5.59	2731292	17149368.00
2012/01/20	5.61	5.63	5.47	5.54	4651955	28984240.00
2012/01/30	5.58	5.59	5.48	5.48	1551376	9660352.00
2012/01/31	5.53	5.54	5.38	5.51	1511436	9333449.00
2012/02/01	5.49	5.55	5.41	5.46	1454191	8970230.00
2012/02/02	5.42	5.53	5.42	5.53	1523687	9439606.00
2012/02/03	5.53	5.62	5.49	5.59	2853142	17889948.00
2012/02/06	5.59	5.63	5.50	5.54	2405385	15077025.00
2012/02/07	5.55	5.55	5.43	5.45	1280110	7883581.00
2012/02/08	5.45	5.59	5.38	5.59	2779784	17249792.00
2012/02/09	5.58	5.71	5.52	5.61	4163721	26431362.00
2012/02/10	5.60	5.67	5.57	5.61	2320384	14682571.00
2012/02/13	5.57	5.72	5.55	5.67	3398442	21624572.00
2012/02/14	5.67	5.72	5.59	5.64	2408130	15263561.00
2012/02/15	5.64	5.86	5.60	5.77	5349747	34551692.00
2012/02/16	5.76	5.91	5.72	5.89	5862207	38184992.00
2012/02/17	5.88	5.91	5.79	5.87	3600082	23619364.00
2012/02/20	5.90	5.93	5.81	5.82	2544141	16686928.00
2012/02/21	5.79	5.90	5.72	5.89	3492282	22798108.00
2012/02/22	5.88	5.97	5.83	5.94	6482127	42836900.00
2012/02/23	5.94	6.00	5.90	5.96	3371517	22390726.00
2012/02/24	5.96	6.02	5.90	6.01	3838774	25580152.00
2012/02/27	6.02	6.21	6.01	6.08	6236839	42566932.00
2012/02/28	6.05	6.17	5.97	6.14	4753327	32212204.00
2012/02/29	6.14	6.57	6.01	6.35	15473045	108280808.00
2012/03/01	6.33	6.41	6.22	6.32	10286682	72525992.00
2012/03/02	6.30	6.38	6.23	6.38	6097592	42802608.00
2012/03/05	6.37	6.44	6.32	6.38	4352979	30806932.00
2012/03/06	6.33	6.33	6.14	6.25	4382001	30304308.00
2012/03/07	6.20	6.89	6.18	6.34	7249450	51858388.00
2012/03/08	6.34	6.57	6.31	6.42	10079904	71931216.00
2012/03/09	6.40	6.74	6.30	6.66	12222772	88401920.00
2012/03/12	6.64	6.82	6.60	6.64	6294146	46607092.00
2012/03/13	6.64	6.68	6.54	6.64	3300403	24095316.00
2012/03/14	6.66	6.71	6.28	6.34	6169732	44285392.00
2012/03/15	6.30	6.37	6.16	6.20	3659971	25428212.00
2012/03/16	6.12	6.37	6.12	6.36	3194885	22256446.00
2012/03/19	6.32	6.43	6.32	6.39	2478425	17553320.00
2012/03/20	6.35	6.38	6.12	6.18	2533478	17542392.00
2012/03/21	6.17	6.27	6.15	6.24	1465775	10117500.00
2012/03/22	6.30	6.49	6.30	6.44	5595100	39809724.00
2012/03/23	6.41	6.46	6.33	6.40	2347219	16612773.00
2012/03/26	6.40	6.78	6.40	6.64	8896253	65284296.00
2012/03/27	6.66	6.82	6.61	6.67	6860253	51059480.00
2012/03/28	6.69	6.73	6.28	6.32	5122615	36850064.00
2012/03/29	6.29	6.36	6.15	6.30	2079115	14457272.00
2012/03/30	6.25	6.46	6.21	6.30	2313773	16319897.00
2012/04/05	6.30	6.58	6.20	6.53	3420133	24303924.00
2012/04/06	6.55	6.62	6.44	6.60	3943773	28542652.00
2012/04/09	6.56	6.76	6.51	6.59	3542847	26097002.00
2012/04/10	6.53	6.73	6.35	6.72	3329689	24168424.00
2012/04/11	6.61	7.04	6.56	6.96	10291775	78182992.00
2012/04/12	6.95	7.04	6.86	6.96	8759527	66972020.00
2012/04/13	6.90	7.03	6.85	6.93	5585656	42734764.00
2012/04/16	6.84	7.14	6.74	7.03	5899110	45032004.00
2012/04/17	7.00	7.13	6.85	6.90	6037668	46417452.00
2012/04/19	7.05	7.10	6.86	6.95	3876213	29680632.00
2012/04/20	6.90	7.21	6.88	7.16	5660945	44109964.00
2012/04/23	7.16	7.17	6.95	7.03	5059312	39276744.00
2012/04/24	6.95	7.08	6.70	6.83	4356396	32949736.00
2012/04/25	6.85	7.12	6.81	7.06	3849217	29562608.00
2012/04/26	7.07	7.10	6.89	6.93	2939048	22563018.00
2012/04/27	6.89	6.89	6.76	6.78	3544416	26641194.00
2012/05/02	6.91	7.15	6.78	7.12	5894126	45426204.00
2012/05/03	7.08	7.50	7.08	7.39	12032750	97070784.00
2012/05/04	7.37	7.43	7.20	7.39	6272637	50229256.00
2012/05/07	7.36	7.65	7.30	7.60	9607819	79168944.00
2012/05/08	7.55	7.75	7.45	7.69	8792228	73170080.00
2012/05/09	7.63	7.63	7.34	7.37	6998744	57327096.00
2012/05/10	7.45	7.54	7.29	7.46	5368096	43704580.00
2012/05/11	7.41	7.67	7.27	7.37	6539589	53213160.00
2012/05/14	7.43	7.59	7.19	7.44	5926600	48072436.00
2012/05/15	7.34	7.41	7.21	7.37	5717019	45752212.00
2012/05/16	7.36	7.37	7.21	7.22	3444196	27420216.00
2012/05/17	7.23	7.34	7.07	7.30	5056317	40068768.00
2012/05/18	7.19	7.23	6.71	6.73	7411776	56555836.00
2012/05/22	6.82	6.87	6.70	6.78	5317023	39699352.00
2012/05/23	6.69	7.22	6.52	7.15	12480145	94650768.00
2012/05/24	7.10	7.22	6.90	6.93	5452966	42530212.00
2012/05/25	6.93	7.13	6.85	6.96	3921996	30170796.00
2012/05/28	6.95	7.16	6.80	7.15	3291488	25386526.00
2012/05/29	7.15	7.42	7.09	7.40	6183270	49554400.00
2012/05/30	7.38	7.46	7.29	7.40	3587822	28927704.00
2012/05/31	7.37	7.52	7.30	7.44	3316055	26973252.00
2012/06/01	7.40	7.49	7.22	7.32	2897050	23387780.00
2012/06/04	7.19	7.29	6.97	6.99	2728073	21412360.00
2012/06/05	6.95	7.18	6.91	7.06	1917963	14811551.00
2012/06/06	7.03	7.14	6.97	7.01	1914360	14843733.00
2012/06/07	7.09	7.15	6.76	6.78	3902590	29743660.00
2012/06/08	6.87	6.90	6.54	6.61	3722076	27525000.00
2012/06/11	6.63	6.93	6.58	6.91	3231166	24105456.00
2012/06/12	6.82	6.89	6.75	6.84	1111114	8355500.00
2012/06/13	6.93	6.98	6.82	6.97	1037636	7699978.00
2012/06/14	6.96	6.97	6.69	6.70	3047271	22194900.00
2012/06/15	6.72	6.78	6.66	6.74	2106140	15196296.00
2012/06/18	6.78	7.18	6.76	6.92	2653389	19826992.00
2012/06/19	6.92	6.96	6.83	6.91	1546286	11442776.00
2012/06/20	6.93	7.00	6.89	6.92	1502393	11138832.00
2012/06/21	6.96	6.96	6.74	6.81	2765784	20157984.00
2012/06/25	6.79	6.85	6.58	6.62	1245190	9006403.00
2012/06/26	6.61	6.77	6.59	6.73	2015269	14445704.00
2012/06/27	6.73	6.82	6.66	6.70	1463869	10601147.00
2012/06/28	6.71	6.82	6.55	6.59	1907026	13697585.00
2012/06/29	6.45	6.66	6.39	6.62	1481204	10381588.00
2012/07/02	6.66	6.79	6.47	6.78	2984047	21353004.00
2012/07/03	6.71	6.87	6.69	6.80	2525999	18456946.00
2012/07/04	6.74	6.85	6.72	6.82	1366083	9994609.00
2012/07/05	6.84	6.85	6.61	6.68	1928794	13842277.00
2012/07/06	6.71	6.80	6.48	6.71	1976853	14037037.00
2012/07/09	6.65	6.79	6.57	6.59	1720470	12366299.00
2012/07/10	6.56	6.70	6.51	6.64	2153863	15254603.00
2012/07/11	6.61	6.70	6.57	6.65	1114437	7965734.00
2012/07/12	6.66	6.74	6.52	6.65	2857248	20371992.00
2012/07/13	6.68	6.70	6.40	6.41	2634211	18523286.00
2012/07/16	6.40	6.40	5.72	5.72	6840470	43623928.00
2012/07/17	5.61	5.72	5.45	5.70	4248258	25823660.00
2012/07/18	5.61	5.77	5.56	5.76	2143363	13208988.00
2012/07/19	5.70	5.84	5.70	5.81	3326262	20901626.00
2012/07/20	5.77	5.81	5.73	5.80	2148024	13466866.00
2012/07/23	5.72	5.85	5.65	5.67	1783549	11058928.00
2012/07/24	5.67	5.80	5.62	5.79	1365153	8546604.00
2012/07/25	5.79	5.82	5.66	5.68	852576	5334238.00
2012/07/26	5.68	5.78	5.62	5.64	840520	5191584.00
2012/07/27	5.66	5.75	5.61	5.73	997946	6166841.00
2012/07/30	5.72	5.84	5.69	5.78	1503174	9389376.00
2012/07/31	5.71	5.83	5.71	5.78	1317271	8281518.00
2012/08/01	5.76	6.00	5.76	5.97	2067868	13274427.00
2012/08/02	5.98	6.01	5.83	5.97	1673262	10752665.00
2012/08/03	5.88	6.02	5.88	6.02	1638909	10599943.00
2012/08/06	6.02	6.12	5.94	6.10	2034778	13329084.00
2012/08/07	6.06	6.20	6.03	6.20	2238248	14823505.00
2012/08/08	6.26	6.26	5.96	6.12	3360374	22060272.00
2012/08/09	6.09	6.21	5.98	6.20	3008616	19806238.00
2012/08/10	6.13	6.28	6.12	6.19	1947665	13087559.00
2012/08/13	6.20	6.20	6.05	6.06	1352571	8937078.00
2012/08/14	6.05	6.09	5.95	6.05	1362412	8896437.00
2012/08/15	6.03	6.20	6.01	6.10	953959	6307864.00
2012/08/16	6.06	6.14	6.05	6.05	542279	3574944.00
2012/08/17	6.10	6.10	5.90	5.93	878576	5680752.00
2012/08/20	5.96	6.03	5.92	6.03	774324	5014944.00
2012/08/21	6.03	6.28	5.99	6.24	2281316	15149621.00
2012/08/22	6.24	6.25	6.03	6.09	1563423	10384441.00
2012/08/23	6.05	6.25	6.05	6.23	2461426	16435378.00
2012/08/24	6.23	6.25	6.14	6.16	1421182	9502498.00
2012/08/27	6.13	6.13	5.86	5.98	1344233	8748203.00
2012/08/28	5.96	6.06	5.90	6.01	586503	3808995.00
2012/08/29	5.95	6.01	5.74	5.81	2662351	16938536.00
2012/08/30	5.75	5.82	5.55	5.63	3732048	22822132.00
2012/08/31	5.59	5.64	5.53	5.60	1229893	7496388.00
2012/09/03	5.62	5.72	5.57	5.69	2546576	15730333.00
2012/09/04	5.70	5.72	5.58	5.61	1807834	11146949.00
2012/09/05	5.60	5.72	5.51	5.71	1690853	10332130.00
2012/09/06	5.71	5.85	5.68	5.79	1030222	6430165.00
2012/09/07	5.83	6.05	5.80	5.98	2495633	16091872.00
2012/09/10	5.99	6.03	5.93	6.00	1200365	7787806.00
2012/09/11	5.97	5.99	5.91	5.93	997146	6418313.00
2012/09/12	5.98	6.00	5.89	5.96	1107520	7144664.00
2012/09/13	6.00	6.06	5.93	5.97	1801435	11690093.00
2012/09/14	6.01	6.01	5.85	5.92	1830414	11752467.00
2012/09/17	5.92	5.95	5.62	5.64	2231354	13857384.00
2012/09/18	5.64	5.69	5.63	5.68	768840	4734780.00
2012/09/19	5.65	5.72	5.62	5.68	906524	5589717.00
2012/09/20	5.67	5.70	5.49	5.49	1523800	9261506.00
2012/09/21	5.50	5.57	5.44	5.47	1231604	7391828.00
2012/09/24	5.47	5.58	5.33	5.50	1737827	10352943.00
2012/09/25	5.42	5.53	5.38	5.40	789855	4676408.00
2012/09/26	5.46	5.46	5.27	5.29	978948	5704296.00
2012/09/27	5.29	5.55	5.28	5.49	1106824	6569001.00
2012/09/28	5.40	5.58	5.40	5.57	969995	5853027.00
2012/10/08	5.57	5.62	5.50	5.58	974033	5931753.00
2012/10/09	5.55	5.81	5.55	5.75	2245913	14000448.00
2012/10/10	5.76	5.78	5.70	5.76	782459	4885258.00
2012/10/11	5.75	5.78	5.63	5.64	910999	5645696.00
2012/10/12	5.67	5.72	5.60	5.65	1045312	6429729.00
2012/10/15	5.62	5.73	5.60	5.69	992828	6125336.00
2012/10/16	5.69	5.77	5.60	5.65	737903	4576705.00
2012/10/17	5.69	5.74	5.61	5.70	454163	2802411.00
2012/10/18	5.69	5.81	5.65	5.80	1718994	10766036.00
2012/10/19	5.80	5.82	5.74	5.75	922440	5785078.00
2012/10/22	5.75	5.86	5.73	5.86	1025714	6486796.00
2012/10/23	5.86	5.90	5.70	5.71	2025519	12740629.00
2012/10/24	5.68	5.74	5.63	5.69	1552552	9606149.00
2012/10/25	5.70	5.89	5.67	5.74	2063243	12901950.00
2012/10/26	5.67	5.70	5.53	5.59	1445769	8815645.00
2012/10/29	5.59	5.60	5.48	5.50	767987	4636017.00
2012/10/30	5.50	5.57	5.47	5.49	1672346	10043203.00
2012/10/31	5.85	6.09	5.83	6.09	5168021	33808576.00
2012/11/01	6.40	6.48	6.04	6.19	21595853	144596768.00
2012/11/02	6.14	6.23	6.10	6.22	12040858	80273864.00
2012/11/05	6.20	6.22	6.06	6.15	7764425	51509592.00
2012/11/06	6.13	6.13	5.85	5.92	9135848	58707816.00
2012/11/07	5.93	5.96	5.86	5.92	3742473	24010260.00
2012/11/08	5.82	5.89	5.75	5.78	4648136	29426328.00
2012/11/09	5.78	5.86	5.75	5.85	3349191	21153504.00
2012/11/12	5.87	5.97	5.84	5.95	3470481	22244976.00
2012/11/13	5.95	5.95	5.72	5.74	2865361	18093402.00
2012/11/14	5.75	5.82	5.70	5.79	1938063	12117181.00
2012/11/15	5.72	5.79	5.61	5.63	2203103	13668878.00
2012/11/16	5.63	5.68	5.60	5.63	1596307	9803833.00
2012/11/19	5.62	5.68	5.58	5.66	1590111	9739266.00
2012/11/20	5.73	5.73	5.65	5.65	1367399	8456366.00
2012/11/21	5.65	5.81	5.63	5.79	2873909	17900948.00
2012/11/22	5.76	5.76	5.65	5.71	2516629	15594918.00
2012/11/23	5.72	5.77	5.69	5.76	2244401	14011037.00
2012/11/26	5.77	5.78	5.68	5.70	1183131	7372545.00
2012/11/27	5.66	5.69	5.48	5.48	2237496	13522174.00
2012/11/28	5.45	5.60	5.43	5.51	4290343	25746368.00
2012/11/29	5.50	5.56	5.40	5.45	2374728	14197637.00
2012/11/30	5.48	5.53	5.40	5.52	3021992	18066234.00
2012/12/03	5.50	5.57	5.44	5.52	3830542	23030042.00
2012/12/04	5.52	5.58	5.45	5.57	2272615	13664784.00
2012/12/05	5.56	5.79	5.50	5.75	3844901	23905244.00
2012/12/06	5.74	5.79	5.70	5.73	3186265	19890306.00
2012/12/07	5.71	5.86	5.70	5.85	4693805	29563972.00
2012/12/10	5.85	5.95	5.82	5.92	4806257	30731472.00
2012/12/11	5.88	5.92	5.82	5.83	2706578	17208798.00
2012/12/12	5.82	5.89	5.78	5.88	3702037	23481082.00
2012/12/13	5.87	5.87	5.78	5.79	1500115	9487604.00
2012/12/14	5.79	6.22	5.79	6.14	9554086	62523472.00
2012/12/17	6.14	6.39	6.03	6.21	8331482	55789496.00
2012/12/18	6.16	6.28	6.12	6.14	4767250	31878688.00
2012/12/19	6.11	6.20	6.09	6.12	3164954	21005456.00
2012/12/20	6.13	6.27	6.07	6.25	5028454	33494676.00
2012/12/21	6.28	6.34	6.10	6.13	4383259	29479388.00
2012/12/24	6.09	6.20	6.09	6.14	2021615	13430541.00
2012/12/25	6.14	6.40	6.11	6.34	8742156	59768440.00
2012/12/26	6.30	6.40	6.25	6.39	4947863	33761848.00
2012/12/27	6.46	6.72	6.40	6.54	10049268	71126192.00
2012/12/28	6.51	6.68	6.49	6.59	3658213	25937516.00
2012/12/31	6.60	6.65	6.51	6.59	3880494	27420336.00
2013/01/04	6.65	6.68	6.45	6.60	6019666	42502820.00
2013/01/07	6.56	6.63	6.50	6.59	3293640	23290466.00
2013/01/08	6.58	6.59	6.44	6.58	3972619	27837468.00
2013/01/09	6.52	6.61	6.40	6.50	5159502	36089496.00
2013/01/10	6.50	6.57	6.45	6.55	3496106	24571400.00
2013/01/11	6.55	6.57	6.34	6.39	3518777	24403688.00
2013/01/14	6.33	6.55	6.32	6.53	6612357	46123176.00
2013/01/15	6.53	6.73	6.52	6.66	8190460	58448680.00
2013/01/16	6.66	6.66	6.49	6.58	4240472	29982976.00
2013/01/17	6.58	6.65	6.50	6.61	4197875	29722636.00
2013/01/18	6.57	6.67	6.53	6.65	3784711	26902246.00
2013/01/21	6.65	6.77	6.61	6.74	4164956	30059920.00
2013/01/22	6.78	6.78	6.56	6.59	4385189	31359740.00
2013/01/23	6.58	6.62	6.46	6.57	3328024	23456052.00
2013/01/24	6.57	6.67	6.38	6.41	5301371	37276948.00
2013/01/25	6.42	6.47	6.34	6.43	3112949	21487554.00
2013/01/28	6.43	6.67	6.40	6.64	3665745	25868250.00
2013/01/29	6.62	6.72	6.59	6.64	3307608	23669624.00
2013/01/30	6.67	6.69	6.55	6.69	5711333	40626812.00
2013/01/31	6.70	6.78	6.65	6.75	5920882	42782580.00
2013/02/01	6.73	6.78	6.68	6.78	4566342	33036180.00
2013/02/04	6.85	6.95	6.72	6.79	7565206	55433784.00
2013/02/05	6.80	7.04	6.75	6.97	5827173	43160420.00
2013/02/06	7.00	7.02	6.88	6.91	3396201	25248380.00
2013/02/07	6.90	7.09	6.88	7.08	5931499	44426328.00
2013/02/08	7.07	7.32	7.04	7.30	6660578	51310128.00
2013/02/18	7.30	7.35	7.19	7.23	3848162	29829410.00
2013/02/19	7.25	7.26	6.92	6.98	5241042	39589604.00
2013/02/20	6.97	7.10	6.91	7.08	3149412	23642436.00
2013/02/21	7.00	7.01	6.79	6.87	3781129	27964432.00
2013/02/22	6.85	6.95	6.82	6.84	3095666	22866068.00
2013/02/25	6.80	6.94	6.80	6.88	2135359	15766063.00
2013/02/26	6.85	7.00	6.74	6.84	5034770	37187044.00
2013/02/27	6.84	6.90	6.78	6.85	2596980	19070132.00
2013/02/28	6.87	7.06	6.81	7.05	4527356	33674752.00
2013/03/01	7.03	7.12	6.85	6.96	5588689	41675540.00
2013/03/04	6.92	6.92	6.62	6.69	4318445	31478574.00
2013/03/05	6.70	6.82	6.68	6.81	3648816	26529310.00
2013/03/06	6.83	6.92	6.77	6.91	3409380	25075252.00
2013/03/07	6.90	7.29	6.85	7.15	10188691	77981152.00
2013/03/08	7.11	7.17	7.02	7.03	2654217	20131980.00
2013/03/11	7.03	7.14	6.96	7.08	1678247	12709068.00
2013/03/12	7.08	7.24	6.75	6.80	4605684	34463224.00
2013/03/13	6.82	6.86	6.63	6.72	3350532	24190272.00
2013/03/14	6.75	6.78	6.68	6.72	1712683	12374343.00
2013/03/15	6.72	7.05	6.70	6.89	3560535	26239492.00
2013/03/18	6.88	7.05	6.84	6.91	2562042	19027456.00
2013/03/19	6.91	7.30	6.90	7.29	7322847	55983976.00
2013/03/20	7.15	7.29	7.03	7.27	13811857	106162024.00
